Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.033,0.039,0.033,0.034,63500,0.034
2016-06-30,0.03,0.031,0.03,0.031,340600,0.031
2016-06-29,0.03,0.03,0.03,0.03,240900,0.03
2016-06-28,0.03,0.03,0.028,0.028,203600,0.028
2016-06-27,0.031,0.031,0.028,0.03,699600,0.03
2016-06-24,0.033,0.033,0.031,0.031,457500,0.031
2016-06-23,0.032,0.033,0.032,0.033,148300,0.033
2016-06-22,0.033,0.033,0.032,0.032,234100,0.032
2016-06-21,0.034,0.034,0.034,0.034,195100,0.034
2016-06-20,0.038,0.038,0.035,0.035,238900,0.035
2016-06-17,0.035,0.037,0.035,0.036,366300,0.036
2016-06-16,0.036,0.036,0.034,0.034,185900,0.034
2016-06-15,0.037,0.037,0.035,0.035,294000,0.035
2016-06-14,0.04,0.04,0.04,0.04,14600,0.04
2016-06-13,0.037,0.037,0.037,0.037,000,0.037
2016-06-10,0.037,0.037,0.037,0.037,38700,0.037
2016-06-09,0.038,0.039,0.037,0.037,138800,0.037
2016-06-08,0.039,0.041,0.039,0.041,202200,0.041
2016-06-07,0.036,0.039,0.035,0.039,120000,0.039
2016-06-06,0.039,0.039,0.036,0.036,27400,0.036
2016-06-03,0.04,0.04,0.04,0.04,000,0.04
2016-06-02,0.04,0.041,0.04,0.04,185000,0.04
2016-06-01,0.039,0.039,0.035,0.036,451900,0.036
2016-05-31,0.042,0.043,0.041,0.041,333900,0.041
2016-05-30,0.041,0.041,0.041,0.041,18100,0.041
2016-05-27,0.045,0.045,0.041,0.041,445400,0.041
2016-05-26,0.045,0.045,0.045,0.045,5800,0.045
2016-05-25,0.046,0.046,0.046,0.046,15000,0.046
2016-05-24,0.043,0.043,0.043,0.043,100000,0.043
2016-05-23,0.048,0.05,0.047,0.049,212700,0.049
2016-05-20,0.044,0.046,0.044,0.046,250300,0.046
2016-05-19,0.047,0.047,0.043,0.043,434900,0.043
2016-05-18,0.053,0.053,0.05,0.05,492500,0.05
2016-05-17,0.055,0.055,0.053,0.053,293500,0.053
2016-05-16,0.059,0.059,0.059,0.059,200000,0.059
2016-05-13,0.054,0.057,0.054,0.057,166900,0.057
2016-05-12,0.049,0.06,0.049,0.054,1207400,0.054
2016-05-11,0.048,0.048,0.048,0.048,50000,0.048
2016-05-10,0.041,0.045,0.041,0.045,232300,0.045
2016-05-09,0.042,0.042,0.04,0.04,100100,0.04
2016-05-06,0.043,0.043,0.041,0.042,583800,0.042
2016-05-05,0.039,0.043,0.039,0.043,712000,0.043
2016-05-04,0.037,0.039,0.037,0.039,93100,0.039
2016-05-03,0.036,0.037,0.036,0.037,40000,0.037
2016-05-02,0.034,0.034,0.034,0.034,225100,0.034
2016-04-29,0.039,0.04,0.032,0.034,512800,0.034
2016-04-28,0.032,0.032,0.032,0.032,000,0.032
2016-04-27,0.033,0.033,0.032,0.032,283600,0.032
2016-04-26,0.033,0.033,0.032,0.032,162800,0.032
2016-04-25,0.034,0.034,0.034,0.034,000,0.034
2016-04-22,0.034,0.034,0.034,0.034,20000,0.034
2016-04-21,0.039,0.039,0.035,0.035,64000,0.035
2016-04-20,0.038,0.038,0.036,0.036,121100,0.036
2016-04-19,0.036,0.036,0.036,0.036,000,0.036
2016-04-18,0.037,0.037,0.036,0.036,67200,0.036
2016-04-15,0.039,0.039,0.037,0.037,181500,0.037
2016-04-14,0.038,0.038,0.038,0.038,40200,0.038
2016-04-13,0.036,0.036,0.036,0.036,000,0.036
2016-04-12,0.035,0.036,0.034,0.036,126900,0.036
2016-04-11,0.034,0.034,0.034,0.034,500,0.034
2016-04-08,0.035,0.035,0.032,0.035,110500,0.035
2016-04-07,0.034,0.035,0.034,0.035,123000,0.035
2016-04-06,0.039,0.039,0.034,0.034,295600,0.034
2016-04-05,0.039,0.039,0.039,0.039,000,0.039
2016-04-04,0.04,0.04,0.037,0.039,319000,0.039
2016-04-01,0.04,0.04,0.04,0.04,20000,0.04
2016-03-31,0.04,0.04,0.04,0.04,000,0.04
2016-03-30,0.042,0.043,0.04,0.04,227100,0.04
2016-03-29,0.043,0.044,0.043,0.043,46800,0.043
2016-03-28,0.044,0.044,0.044,0.044,000,0.044
2016-03-25,0.044,0.044,0.044,0.044,000,0.044
2016-03-24,0.042,0.044,0.042,0.044,100000,0.044
2016-03-23,0.041,0.041,0.041,0.041,000,0.041
2016-03-22,0.041,0.041,0.041,0.041,000,0.041
2016-03-21,0.041,0.041,0.04,0.041,152100,0.041
2016-03-18,0.042,0.042,0.041,0.041,194000,0.041
2016-03-17,0.044,0.044,0.042,0.042,162500,0.042
2016-03-16,0.045,0.045,0.045,0.045,000,0.045
2016-03-15,0.045,0.045,0.045,0.045,000,0.045
2016-03-14,0.045,0.045,0.044,0.045,94300,0.045
2016-03-11,0.045,0.045,0.045,0.045,150000,0.045
2016-03-10,0.046,0.046,0.045,0.045,49100,0.045
2016-03-09,0.048,0.048,0.041,0.043,648400,0.043
2016-03-08,0.055,0.055,0.055,0.055,000,0.055
2016-03-07,0.055,0.055,0.055,0.055,000,0.055
2016-03-04,0.055,0.055,0.055,0.055,000,0.055
2016-03-03,0.055,0.055,0.055,0.055,117000,0.055
2016-03-02,0.058,0.058,0.055,0.055,99600,0.055
2016-03-01,0.057,0.057,0.057,0.057,52100,0.057
2016-02-29,0.053,0.054,0.053,0.054,175000,0.054
2016-02-26,0.05,0.053,0.05,0.053,433200,0.053
2016-02-25,0.052,0.052,0.051,0.051,20000,0.051
2016-02-24,0.05,0.051,0.05,0.051,126900,0.051
2016-02-23,0.048,0.048,0.048,0.048,191800,0.048
2016-02-22,0.045,0.047,0.043,0.045,706600,0.045
2016-02-19,0.051,0.051,0.051,0.051,12000,0.051
2016-02-18,0.045,0.045,0.043,0.044,110000,0.044
2016-02-17,0.045,0.053,0.045,0.045,347300,0.045
2016-02-16,0.045,0.045,0.045,0.045,10000,0.045
2016-02-15,0.045,0.049,0.045,0.049,191000,0.049
2016-02-12,0.047,0.047,0.043,0.044,491200,0.044
2016-02-11,0.05,0.05,0.048,0.048,69000,0.048
2016-02-10,0.055,0.055,0.049,0.055,506100,0.055
2016-02-09,0.053,0.055,0.053,0.055,99700,0.055
2016-02-08,0.057,0.057,0.054,0.054,219100,0.054
2016-02-05,0.06,0.06,0.06,0.06,000,0.06
2016-02-04,0.06,0.06,0.06,0.06,000,0.06
2016-02-03,0.06,0.06,0.06,0.06,4000,0.06
2016-02-02,0.056,0.056,0.056,0.056,000,0.056
2016-02-01,0.058,0.058,0.055,0.056,245000,0.056
2016-01-29,0.056,0.056,0.055,0.055,29900,0.055
2016-01-28,0.056,0.056,0.056,0.056,39900,0.056
2016-01-27,0.056,0.059,0.055,0.055,336200,0.055
2016-01-26,0.062,0.062,0.062,0.062,000,0.062
2016-01-25,0.062,0.062,0.062,0.062,000,0.062
2016-01-22,0.062,0.062,0.062,0.062,000,0.062
2016-01-21,0.06,0.062,0.06,0.062,145000,0.062
2016-01-20,0.059,0.062,0.058,0.06,148800,0.06
2016-01-19,0.06,0.06,0.06,0.06,000,0.06
2016-01-18,0.061,0.061,0.06,0.06,25600,0.06
2016-01-15,0.06,0.06,0.06,0.06,000,0.06
2016-01-14,0.064,0.064,0.06,0.06,704000,0.06
2016-01-13,0.065,0.065,0.064,0.064,31400,0.064
2016-01-12,0.067,0.067,0.062,0.066,233500,0.066
2016-01-11,0.07,0.07,0.07,0.07,000,0.07
2016-01-08,0.07,0.07,0.07,0.07,000,0.07
2016-01-07,0.07,0.07,0.07,0.07,000,0.07
2016-01-06,0.07,0.071,0.07,0.07,205000,0.07
2016-01-05,0.065,0.065,0.065,0.065,000,0.065
2016-01-04,0.071,0.071,0.065,0.065,322300,0.065
2016-01-01,0.071,0.071,0.071,0.071,000,0.071
2015-12-31,0.071,0.071,0.071,0.071,000,0.071
2015-12-30,0.071,0.071,0.071,0.071,000,0.071
2015-12-29,0.071,0.071,0.071,0.071,40000,0.071
2015-12-28,0.074,0.074,0.074,0.074,000,0.074
2015-12-25,0.074,0.074,0.074,0.074,000,0.074
2015-12-24,0.072,0.074,0.072,0.074,80000,0.074
2015-12-23,0.068,0.07,0.068,0.07,330900,0.07
