Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.002,0.002,0.002,0.002,626000,0.002
2016-06-30,0.002,0.002,0.001,0.002,5966500,0.002
2016-06-29,0.002,0.002,0.001,0.002,11875500,0.002
2016-06-28,0.002,0.002,0.002,0.002,3520000,0.002
2016-06-27,0.002,0.0025,0.002,0.002,6490300,0.002
2016-06-24,0.002,0.002,0.002,0.002,659500,0.002
2016-06-23,0.003,0.003,0.002,0.002,1220000,0.002
2016-06-22,0.002,0.003,0.002,0.003,1600000,0.003
2016-06-21,0.002,0.002,0.002,0.002,971000,0.002
2016-06-20,0.002,0.002,0.002,0.002,1410000,0.002
2016-06-17,0.002,0.002,0.002,0.002,000,0.002
2016-06-16,0.002,0.0025,0.002,0.002,299900,0.002
2016-06-15,0.002,0.002,0.002,0.002,000,0.002
2016-06-14,0.003,0.003,0.002,0.002,1315000,0.002
2016-06-13,0.002,0.002,0.002,0.002,000,0.002
2016-06-10,0.002,0.002,0.002,0.002,000,0.002
2016-06-09,0.002,0.002,0.002,0.002,000,0.002
2016-06-08,0.003,0.003,0.002,0.002,1549700,0.002
2016-06-07,0.002,0.002,0.002,0.002,000,0.002
2016-06-06,0.002,0.0025,0.002,0.002,766600,0.002
2016-06-03,0.002,0.0025,0.002,0.002,800000,0.002
2016-06-02,0.003,0.003,0.002,0.002,2550000,0.002
2016-06-01,0.002,0.003,0.001,0.002,55413300,0.002
2016-05-31,0.001,0.001,0.001,0.001,150000,0.001
2016-05-30,0.001,0.001,0.001,0.0015,250000,0.0015
2016-05-27,0.001,0.001,0.001,0.001,315800,0.001
2016-05-26,0.001,0.001,0.001,0.001,383300,0.001
2016-05-25,0.001,0.001,0.001,0.001,000,0.001
2016-05-24,0.002,0.002,0.001,0.001,1053700,0.001
2016-05-23,0.001,0.001,0.001,0.001,000,0.001
2016-05-20,0.001,0.001,0.001,0.001,000,0.001
2016-05-19,0.001,0.001,0.001,0.001,000,0.001
2016-05-18,0.001,0.001,0.001,0.001,000,0.001
2016-05-17,0.001,0.001,0.001,0.001,465800,0.001
2016-05-16,0.001,0.001,0.001,0.001,000,0.001
2016-05-13,0.001,0.001,0.001,0.001,000,0.001
2016-05-12,0.001,0.001,0.001,0.001,000,0.001
2016-05-11,0.002,0.002,0.001,0.0015,1250000,0.0015
2016-05-10,0.002,0.002,0.001,0.0015,2050000,0.0015
2016-05-09,0.002,0.002,0.001,0.0015,50000,0.0015
2016-05-06,0.001,0.001,0.001,0.001,625000,0.001
2016-05-05,0.002,0.002,0.001,0.0015,1500000,0.0015
2016-05-04,0.002,0.002,0.002,0.002,304900,0.002
2016-05-03,0.001,0.0015,0.001,0.0015,815000,0.0015
2016-05-02,0.002,0.002,0.002,0.002,000,0.002
2016-04-29,0.002,0.002,0.002,0.002,000,0.002
2016-04-28,0.001,0.002,0.001,0.002,727500,0.002
2016-04-27,0.002,0.002,0.002,0.002,490000,0.002
2016-04-26,0.002,0.002,0.002,0.002,000,0.002
2016-04-25,0.002,0.002,0.002,0.002,000,0.002
2016-04-22,0.002,0.002,0.002,0.002,000,0.002
2016-04-21,0.002,0.002,0.002,0.002,66600,0.002
2016-04-20,0.001,0.001,0.001,0.0015,300000,0.0015
2016-04-19,0.002,0.002,0.002,0.002,000,0.002
2016-04-18,0.002,0.002,0.002,0.002,000,0.002
2016-04-15,0.002,0.002,0.002,0.002,382500,0.002
2016-04-14,0.002,0.002,0.002,0.002,1167400,0.002
2016-04-13,0.002,0.002,0.002,0.002,623100,0.002
2016-04-12,0.002,0.002,0.002,0.002,500000,0.002
2016-04-11,0.002,0.002,0.002,0.002,500000,0.002
2016-04-08,0.002,0.002,0.001,0.001,823500,0.001
2016-04-07,0.001,0.002,0.001,0.002,400000,0.002
2016-04-06,0.002,0.002,0.002,0.002,000,0.002
2016-04-05,0.002,0.002,0.002,0.002,000,0.002
2016-04-04,0.002,0.002,0.002,0.002,500000,0.002
2016-04-01,0.002,0.002,0.002,0.002,500000,0.002
2016-03-31,0.002,0.002,0.002,0.002,000,0.002
2016-03-30,0.002,0.002,0.002,0.002,2459400,0.002
2016-03-29,0.002,0.002,0.002,0.002,1592500,0.002
2016-03-28,0.002,0.002,0.002,0.002,000,0.002
2016-03-25,0.002,0.002,0.002,0.002,000,0.002
2016-03-24,0.002,0.002,0.002,0.002,000,0.002
2016-03-23,0.001,0.002,0.001,0.002,507500,0.002
2016-03-22,0.002,0.002,0.002,0.002,1450000,0.002
2016-03-21,0.002,0.002,0.002,0.002,000,0.002
2016-03-18,0.002,0.002,0.002,0.002,740500,0.002
2016-03-17,0.002,0.002,0.002,0.002,1728100,0.002
2016-03-16,0.002,0.002,0.002,0.002,1464300,0.002
2016-03-15,0.002,0.002,0.002,0.002,000,0.002
