Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.30,1.30,1.20,1.23,43200,1.23
2016-06-30,1.26,1.29,1.26,1.26,18300,1.26
2016-06-29,1.20,1.24,1.20,1.24,10000,1.24
2016-06-28,1.21,1.26,1.21,1.26,47400,1.26
2016-06-27,1.21,1.29,1.21,1.25,21100,1.25
2016-06-24,1.35,1.35,1.29,1.35,83400,1.35
2016-06-23,1.32,1.35,1.32,1.35,43900,1.35
2016-06-22,1.32,1.35,1.32,1.32,78000,1.32
2016-06-21,1.30,1.32,1.30,1.32,31900,1.32
2016-06-20,1.19,1.30,1.19,1.30,28100,1.30
2016-06-17,1.18,1.19,1.15,1.19,16600,1.19
2016-06-16,1.15,1.19,1.15,1.19,30100,1.19
2016-06-15,1.13,1.13,1.13,1.13,2000,1.13
2016-06-14,1.15,1.18,1.13,1.18,8000,1.18
2016-06-13,1.12,1.12,1.12,1.12,000,1.12
2016-06-10,1.15,1.16,1.12,1.12,51600,1.12
2016-06-09,1.15,1.15,1.15,1.15,4300,1.15
2016-06-08,1.15,1.15,1.15,1.15,47500,1.15
2016-06-07,1.20,1.20,1.20,1.20,000,1.20
2016-06-06,1.20,1.20,1.20,1.20,1200,1.20
2016-06-03,1.18,1.18,1.18,1.18,1200,1.18
2016-06-02,1.28,1.28,1.25,1.25,65000,1.25
2016-06-01,1.30,1.30,1.28,1.28,6500,1.28
2016-05-31,1.27,1.30,1.26,1.30,19400,1.30
2016-05-30,1.27,1.29,1.26,1.26,9300,1.26
2016-05-27,1.25,1.25,1.25,1.25,000,1.25
2016-05-26,1.24,1.25,1.20,1.25,34400,1.25
2016-05-25,1.24,1.27,1.24,1.27,13300,1.27
2016-05-24,1.21,1.27,1.21,1.27,90100,1.27
2016-05-23,1.15,1.21,1.15,1.21,59600,1.21
2016-05-20,1.05,1.11,1.05,1.10,66100,1.10
2016-05-19,1.115,1.12,1.05,1.05,66400,1.05
2016-05-18,1.15,1.15,1.06,1.12,77100,1.12
2016-05-17,1.195,1.195,1.195,1.195,10000,1.195
2016-05-16,1.20,1.20,1.12,1.20,6600,1.20
2016-05-13,1.13,1.21,1.13,1.18,125500,1.18
2016-05-12,1.15,1.175,1.11,1.13,61700,1.13
2016-05-11,1.15,1.205,1.12,1.18,51100,1.18
2016-05-10,1.155,1.16,1.12,1.16,40200,1.16
2016-05-09,1.205,1.205,1.14,1.175,6800,1.175
2016-05-06,1.19,1.205,1.14,1.205,97400,1.205
2016-05-05,1.20,1.20,1.12,1.19,14700,1.19
2016-05-04,1.15,1.20,1.09,1.20,95700,1.20
2016-05-03,1.17,1.205,1.13,1.165,46000,1.165
2016-05-02,1.20,1.20,1.17,1.175,15400,1.175
2016-04-29,1.17,1.20,1.17,1.20,23900,1.20
2016-04-28,1.175,1.18,1.17,1.17,8500,1.17
2016-04-27,1.175,1.175,1.175,1.175,1500,1.175
2016-04-26,1.215,1.215,1.215,1.215,000,1.215
2016-04-25,1.215,1.215,1.215,1.215,000,1.215
2016-04-22,1.215,1.215,1.215,1.215,000,1.215
2016-04-21,1.20,1.215,1.165,1.215,75200,1.215
2016-04-20,1.25,1.25,1.20,1.20,25200,1.20
2016-04-19,1.22,1.27,1.22,1.27,13600,1.27
2016-04-18,1.23,1.23,1.20,1.21,106000,1.21
2016-04-15,1.25,1.255,1.23,1.23,52500,1.23
2016-04-14,1.275,1.275,1.22,1.22,44400,1.22
2016-04-13,1.30,1.30,1.20,1.26,44300,1.26
2016-04-12,1.26,1.26,1.26,1.26,700,1.26
2016-04-11,1.30,1.30,1.26,1.30,13800,1.30
2016-04-08,1.26,1.32,1.26,1.30,45900,1.30
2016-04-07,1.26,1.26,1.26,1.26,2700,1.26
2016-04-06,1.25,1.315,1.20,1.315,89400,1.315
2016-04-05,1.32,1.32,1.30,1.30,57700,1.30
2016-04-04,1.38,1.38,1.32,1.32,36400,1.32
2016-04-01,1.41,1.425,1.375,1.375,17700,1.375
2016-03-31,1.32,1.36,1.32,1.36,11400,1.36
2016-03-30,1.345,1.35,1.295,1.32,78800,1.32
2016-03-29,1.43,1.43,1.38,1.405,28500,1.405
2016-03-28,1.485,1.485,1.485,1.485,000,1.485
2016-03-25,1.485,1.485,1.485,1.485,000,1.485
2016-03-24,1.445,1.485,1.445,1.485,7500,1.485
2016-03-23,1.45,1.485,1.44,1.445,30600,1.445
2016-03-22,1.48,1.485,1.44,1.485,46600,1.485
2016-03-21,1.485,1.485,1.415,1.43,7400,1.43
2016-03-18,1.485,1.485,1.485,1.485,000,1.485
2016-03-17,1.485,1.485,1.485,1.485,10000,1.485
2016-03-16,1.41,1.49,1.41,1.49,2500,1.49
2016-03-15,1.44,1.49,1.435,1.49,12600,1.49
2016-03-14,1.50,1.50,1.45,1.49,46300,1.49
