Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.007,0.007,0.007,0.007,000,0.007
2016-06-30,0.006,0.007,0.006,0.007,117600,0.007
2016-06-29,0.005,0.005,0.005,0.005,000,0.005
2016-06-28,0.005,0.005,0.005,0.005,000,0.005
2016-06-27,0.005,0.005,0.005,0.005,000,0.005
2016-06-24,0.005,0.005,0.005,0.005,000,0.005
2016-06-23,0.007,0.007,0.005,0.005,3357600,0.005
2016-06-22,0.006,0.006,0.006,0.006,000,0.006
2016-06-21,0.006,0.006,0.006,0.006,1090000,0.006
2016-06-20,0.007,0.007,0.006,0.006,3750000,0.006
2016-06-17,0.007,0.007,0.007,0.007,225000,0.007
2016-06-16,0.008,0.008,0.007,0.007,2635100,0.007
2016-06-15,0.006,0.006,0.006,0.006,85000,0.006
2016-06-14,0.006,0.006,0.006,0.006,58000,0.006
2016-06-13,0.006,0.006,0.006,0.006,000,0.006
2016-06-10,0.006,0.006,0.006,0.006,000,0.006
2016-06-09,0.006,0.006,0.006,0.006,000,0.006
2016-06-08,0.006,0.006,0.006,0.006,000,0.006
2016-06-07,0.006,0.006,0.006,0.006,000,0.006
2016-06-06,0.006,0.006,0.006,0.006,000,0.006
2016-06-03,0.006,0.006,0.006,0.006,000,0.006
2016-06-02,0.006,0.006,0.006,0.006,1140000,0.006
2016-06-01,0.008,0.008,0.006,0.006,165000,0.006
2016-05-31,0.006,0.006,0.006,0.006,65000,0.006
2016-05-30,0.008,0.008,0.008,0.008,163500,0.008
2016-05-27,0.007,0.008,0.007,0.008,1112500,0.008
2016-05-26,0.006,0.006,0.006,0.006,80000,0.006
2016-05-25,0.006,0.006,0.006,0.006,131000,0.006
2016-05-24,0.007,0.008,0.007,0.008,632100,0.008
2016-05-23,0.007,0.007,0.006,0.006,178000,0.006
2016-05-20,0.006,0.006,0.006,0.006,000,0.006
2016-05-19,0.007,0.008,0.006,0.006,1569900,0.006
2016-05-18,0.006,0.006,0.006,0.006,1160000,0.006
2016-05-17,0.009,0.009,0.005,0.005,3055000,0.005
2016-05-16,0.008,0.008,0.006,0.006,171700,0.006
2016-05-13,0.008,0.008,0.008,0.008,2045400,0.008
2016-05-12,0.007,0.007,0.007,0.007,646000,0.007
2016-05-11,0.008,0.008,0.007,0.007,749100,0.007
2016-05-10,0.008,0.008,0.008,0.008,000,0.008
2016-05-09,0.008,0.008,0.008,0.008,000,0.008
2016-05-06,0.008,0.008,0.008,0.008,625000,0.008
2016-05-05,0.007,0.008,0.007,0.008,660500,0.008
2016-05-04,0.007,0.007,0.007,0.007,000,0.007
2016-05-03,0.007,0.007,0.007,0.007,89500,0.007
2016-05-02,0.008,0.009,0.007,0.007,3521600,0.007
2016-04-29,0.008,0.008,0.007,0.008,4605800,0.008
2016-04-28,0.008,0.01,0.008,0.008,4277200,0.008
2016-04-27,0.006,0.007,0.006,0.007,421700,0.007
2016-04-26,0.007,0.007,0.007,0.007,300000,0.007
2016-04-25,0.006,0.006,0.006,0.006,000,0.006
2016-04-22,0.006,0.006,0.006,0.006,3000000,0.006
2016-04-21,0.006,0.006,0.006,0.006,250000,0.006
2016-04-20,0.006,0.007,0.006,0.006,1500000,0.006
2016-04-19,0.005,0.005,0.005,0.005,833300,0.005
2016-04-18,0.005,0.005,0.004,0.004,39900,0.004
2016-04-15,0.005,0.005,0.005,0.005,1000000,0.005
2016-04-14,0.005,0.005,0.004,0.005,1888000,0.005
2016-04-13,0.004,0.004,0.004,0.004,1000000,0.004
2016-04-12,0.004,0.004,0.004,0.004,2625000,0.004
2016-04-11,0.005,0.005,0.004,0.004,1612000,0.004
2016-04-08,0.004,0.004,0.004,0.004,000,0.004
2016-04-07,0.004,0.004,0.004,0.004,000,0.004
2016-04-06,0.004,0.004,0.004,0.004,000,0.004
2016-04-05,0.004,0.004,0.004,0.004,000,0.004
2016-04-04,0.004,0.004,0.004,0.004,000,0.004
2016-04-01,0.004,0.004,0.004,0.004,000,0.004
2016-03-31,0.004,0.004,0.004,0.004,000,0.004
2016-03-30,0.004,0.004,0.004,0.004,000,0.004
2016-03-29,0.004,0.004,0.004,0.004,000,0.004
2016-03-28,0.004,0.004,0.004,0.004,000,0.004
2016-03-25,0.004,0.004,0.004,0.004,000,0.004
2016-03-24,0.004,0.004,0.004,0.004,000,0.004
2016-03-23,0.004,0.004,0.004,0.004,000,0.004
2016-03-22,0.004,0.004,0.004,0.004,000,0.004
2016-03-21,0.004,0.004,0.004,0.004,000,0.004
2016-03-18,0.004,0.004,0.004,0.004,000,0.004
2016-03-17,0.004,0.004,0.004,0.004,000,0.004
2016-03-16,0.004,0.004,0.004,0.004,000,0.004
2016-03-15,0.004,0.004,0.004,0.004,000,0.004
2016-03-14,0.004,0.005,0.004,0.004,2350000,0.004
2016-03-11,0.004,0.004,0.004,0.004,000,0.004
2016-03-10,0.004,0.004,0.004,0.004,000,0.004
2016-03-09,0.004,0.004,0.004,0.004,000,0.004
2016-03-08,0.005,0.005,0.004,0.004,725000,0.004
2016-03-07,0.004,0.004,0.004,0.004,000,0.004
2016-03-04,0.004,0.004,0.004,0.004,000,0.004
2016-03-03,0.004,0.004,0.004,0.004,000,0.004
2016-03-02,0.004,0.004,0.004,0.004,000,0.004
2016-03-01,0.004,0.004,0.004,0.004,858700,0.004
2016-02-29,0.004,0.004,0.003,0.003,90700,0.003
2016-02-26,0.004,0.004,0.004,0.004,219700,0.004
2016-02-25,0.004,0.004,0.004,0.004,000,0.004
2016-02-24,0.004,0.004,0.004,0.004,000,0.004
2016-02-23,0.004,0.004,0.004,0.004,250000,0.004
2016-02-22,0.005,0.005,0.005,0.005,000,0.005
2016-02-19,0.005,0.005,0.005,0.005,000,0.005
2016-02-18,0.005,0.005,0.005,0.005,000,0.005
2016-02-17,0.005,0.005,0.005,0.005,000,0.005
2016-02-16,0.005,0.005,0.005,0.005,000,0.005
2016-02-15,0.005,0.005,0.005,0.005,000,0.005
2016-02-12,0.005,0.005,0.005,0.005,000,0.005
2016-02-11,0.005,0.005,0.005,0.005,000,0.005
2016-02-10,0.005,0.005,0.005,0.005,000,0.005
2016-02-09,0.005,0.005,0.005,0.005,000,0.005
2016-02-08,0.005,0.005,0.005,0.005,000,0.005
2016-02-05,0.005,0.005,0.005,0.005,000,0.005
2016-02-04,0.005,0.005,0.005,0.005,000,0.005
2016-02-03,0.005,0.005,0.005,0.005,000,0.005
2016-02-02,0.004,0.005,0.003,0.005,1047000,0.005
2016-02-01,0.004,0.005,0.003,0.004,6175000,0.004
2016-01-29,0.003,0.003,0.003,0.003,000,0.003
2016-01-28,0.003,0.003,0.003,0.003,340000,0.003
2016-01-27,0.004,0.004,0.004,0.004,4322000,0.004
2016-01-26,0.005,0.005,0.005,0.005,000,0.005
2016-01-25,0.005,0.005,0.005,0.005,000,0.005
2016-01-22,0.005,0.005,0.005,0.005,000,0.005
2016-01-21,0.005,0.005,0.005,0.005,000,0.005
2016-01-20,0.005,0.005,0.005,0.005,000,0.005
2016-01-19,0.005,0.005,0.005,0.005,000,0.005
2016-01-18,0.005,0.005,0.005,0.005,000,0.005
2016-01-15,0.005,0.005,0.005,0.005,000,0.005
2016-01-14,0.005,0.005,0.005,0.005,000,0.005
2016-01-13,0.005,0.005,0.005,0.005,155700,0.005
2016-01-12,0.006,0.006,0.006,0.006,000,0.006
2016-01-11,0.006,0.006,0.006,0.006,000,0.006
2016-01-08,0.006,0.006,0.006,0.006,000,0.006
2016-01-07,0.006,0.006,0.006,0.006,000,0.006
2016-01-06,0.006,0.006,0.006,0.006,395000,0.006
2016-01-05,0.006,0.006,0.006,0.006,000,0.006
2016-01-04,0.006,0.006,0.006,0.006,000,0.006
2016-01-01,0.006,0.006,0.006,0.006,000,0.006
2015-12-31,0.006,0.006,0.006,0.006,106400,0.006
2015-12-30,0.006,0.006,0.006,0.006,000,0.006
2015-12-29,0.006,0.006,0.006,0.006,000,0.006
2015-12-28,0.006,0.006,0.006,0.006,000,0.006
2015-12-25,0.006,0.006,0.006,0.006,000,0.006
2015-12-24,0.006,0.006,0.006,0.006,000,0.006
2015-12-23,0.006,0.006,0.006,0.006,000,0.006
2015-12-22,0.006,0.006,0.006,0.006,000,0.006
2015-12-21,0.006,0.006,0.006,0.006,000,0.006
2015-12-18,0.006,0.006,0.006,0.006,000,0.006
2015-12-17,0.006,0.006,0.006,0.006,000,0.006
2015-12-16,0.006,0.006,0.006,0.006,000,0.006
2015-12-15,0.006,0.006,0.006,0.006,000,0.006
2015-12-14,0.006,0.006,0.006,0.006,000,0.006
2015-12-11,0.006,0.006,0.006,0.006,000,0.006
2015-12-10,0.006,0.006,0.006,0.006,000,0.006
2015-12-09,0.006,0.006,0.006,0.006,000,0.006
2015-12-08,0.006,0.006,0.006,0.006,000,0.006
2015-12-07,0.006,0.006,0.006,0.006,000,0.006
2015-12-04,0.006,0.006,0.006,0.006,000,0.006
2015-12-03,0.006,0.006,0.006,0.006,000,0.006
2015-12-02,0.006,0.006,0.006,0.006,000,0.006
2015-12-01,0.006,0.006,0.006,0.006,000,0.006
2015-11-30,0.006,0.006,0.006,0.006,000,0.006
2015-11-27,0.006,0.006,0.006,0.006,000,0.006
2015-11-26,0.006,0.006,0.006,0.006,000,0.006
2015-11-25,0.006,0.006,0.006,0.006,000,0.006
2015-11-24,0.006,0.006,0.006,0.006,000,0.006
2015-11-23,0.006,0.006,0.006,0.006,000,0.006
2015-11-20,0.006,0.006,0.006,0.006,000,0.006
2015-11-19,0.006,0.006,0.006,0.006,1100000,0.006
2015-11-18,0.006,0.006,0.006,0.006,100000,0.006
2015-11-17,0.006,0.006,0.006,0.006,000,0.006
2015-11-16,0.005,0.006,0.005,0.006,300000,0.006
2015-11-13,0.006,0.006,0.006,0.006,000,0.006
2015-11-12,0.006,0.006,0.006,0.006,000,0.006
2015-11-11,0.006,0.006,0.006,0.006,000,0.006
