Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,24.26,24.27,23.83,23.95,6944000,23.95
2016-06-30,24.00,24.25,23.90,24.12,8815100,24.12
2016-06-29,23.75,23.78,23.51,23.60,7467400,23.60
2016-06-28,22.91,23.41,22.74,23.29,8953400,23.29
2016-06-27,23.01,23.38,22.71,23.27,6442500,23.27
2016-06-24,24.65,24.74,23.00,23.44,17558400,23.44
2016-06-23,24.40,24.56,24.29,24.44,4390600,24.44
2016-06-22,24.36,24.67,24.20,24.40,6479000,24.40
2016-06-21,24.00,24.29,23.94,24.25,9126000,24.25
2016-06-20,23.50,23.89,23.50,23.86,6062500,23.86
2016-06-17,23.29,23.45,23.17,23.23,6752400,23.23
2016-06-16,23.39,23.48,22.99,23.06,8146700,23.06
2016-06-15,23.54,23.58,23.19,23.22,8477400,23.22
2016-06-14,23.71,23.85,23.57,23.65,7733000,23.65
2016-06-13,24.29,24.29,24.29,24.29,000,24.29
2016-06-10,24.22,24.39,24.11,24.29,5766000,24.29
2016-06-09,24.76,24.79,24.37,24.50,7508900,24.50
2016-06-08,24.63,24.795,24.43,24.73,6525200,24.73
2016-06-07,25.08,25.19,24.76,24.86,7039200,24.86
2016-06-06,24.99,25.12,24.85,24.96,7951300,24.96
2016-06-03,25.10,25.25,24.825,25.09,8762600,25.09
2016-06-02,25.33,25.33,24.72,24.76,7310500,24.76
2016-06-01,25.12,25.33,24.915,25.20,7414200,25.20
2016-05-31,25.70,25.71,25.41,25.48,6141900,25.48
2016-05-30,25.85,25.93,25.64,25.69,5557900,25.69
2016-05-27,25.60,25.99,25.55,25.85,12227900,25.85
2016-05-26,25.39,25.64,25.21,25.54,7638900,25.54
2016-05-25,25.10,25.47,25.05,25.28,7956900,25.28
2016-05-24,24.94,25.02,24.775,24.78,6524600,24.78
2016-05-23,25.20,25.23,24.71,24.95,6196600,24.95
2016-05-20,24.70,25.16,24.69,25.09,6128500,25.09
2016-05-19,25.00,25.08,24.72,24.91,9383200,24.91
2016-05-18,24.48,24.83,24.38,24.70,7827400,24.70
2016-05-17,24.51,24.65,24.43,24.51,5282900,24.51
2016-05-16,24.00,24.385,24.00,24.31,5585500,24.31
2016-05-13,24.45,24.45,23.92,24.11,6655700,24.11
2016-05-12,24.38,24.43,24.12,24.30,9432400,24.30
2016-05-11,24.90,25.06,24.27,24.43,8816000,24.43
2016-05-10,24.31,24.775,24.13,24.70,9406500,24.70
2016-05-09,24.22,24.46,24.02,24.38,11376600,24.38
2016-05-06,25.32,25.345,24.77,25.14,12334200,23.9971
2016-05-05,25.10,25.45,24.93,25.34,13998500,24.18801
2016-05-04,24.70,25.24,24.64,24.90,10658500,23.76801
2016-05-03,22.80,25.11,22.78,25.05,20416200,23.91119
2016-05-02,24.02,24.14,23.32,23.73,8335600,22.6512
2016-04-29,24.05,24.35,24.05,24.27,8781100,23.16665
2016-04-28,24.05,24.23,23.85,24.02,6376100,22.92802
2016-04-27,24.47,24.75,23.76,23.88,9960300,22.79438
2016-04-26,24.35,24.48,24.01,24.25,7240900,23.14756
2016-04-25,24.35,24.35,24.35,24.35,000,23.24301
2016-04-22,24.10,24.49,24.01,24.35,5707100,23.24301
2016-04-21,24.26,24.40,24.14,24.30,7385000,23.19529
2016-04-20,24.20,24.30,23.66,23.90,5660700,22.81347
2016-04-19,23.98,24.34,23.86,24.06,9246200,22.9662
2016-04-18,23.60,23.835,23.43,23.70,4719900,22.62257
2016-04-15,23.77,23.95,23.50,23.85,7846200,22.76575
2016-04-14,23.62,23.96,23.555,23.77,11822600,22.68938
2016-04-13,23.13,23.34,22.935,23.34,6174600,22.27893
2016-04-12,22.20,22.92,22.15,22.84,5241000,21.80166
2016-04-11,22.35,22.46,22.11,22.25,5543100,21.23848
2016-04-08,22.35,22.50,22.06,22.28,6465600,21.26712
2016-04-07,22.70,22.76,22.54,22.62,4969700,21.59166
2016-04-06,22.40,22.77,22.345,22.55,7588500,21.52484
2016-04-05,22.75,22.80,22.30,22.47,7090500,21.44848
2016-04-04,23.00,23.20,22.74,22.81,5144700,21.77302
2016-04-01,23.14,23.21,22.75,22.81,9672200,21.77302
2016-03-31,23.30,23.59,23.01,23.46,9261600,22.39347
2016-03-30,23.39,23.60,22.87,23.11,10761700,22.05939
2016-03-29,23.80,23.86,23.13,23.20,12242200,22.1453
2016-03-28,24.02,24.02,24.02,24.02,000,22.92802
2016-03-25,24.02,24.02,24.02,24.02,000,22.92802
2016-03-24,24.40,24.46,23.81,24.02,21437500,22.92802
2016-03-23,25.40,25.56,25.21,25.34,7339600,24.18801
2016-03-22,25.83,25.87,25.37,25.44,7766300,24.28346
2016-03-21,26.20,26.20,25.67,25.87,3612400,24.69391
2016-03-18,26.10,26.35,25.89,26.05,9093000,24.86573
2016-03-17,26.00,26.09,25.62,25.86,8213500,24.68437
2016-03-16,25.42,25.59,25.30,25.59,4187100,24.42664
2016-03-15,25.75,25.84,25.32,25.39,5510000,24.23573
2016-03-14,25.70,26.165,25.67,25.75,5973500,24.57937
2016-03-11,25.48,25.56,24.99,25.42,5685400,24.26437
2016-03-10,25.72,25.86,25.46,25.49,4841200,24.33119
2016-03-09,24.98,25.54,24.82,25.48,7352100,24.32164
2016-03-08,25.59,25.70,24.84,24.98,8027800,23.84437
2016-03-07,25.21,25.58,25.07,25.48,6609200,24.32164
2016-03-04,25.00,25.33,24.82,25.02,11426300,23.88256
2016-03-03,24.35,24.90,24.22,24.80,9382700,23.67256
2016-03-02,23.70,24.45,23.64,24.10,12524700,23.00438
2016-03-01,22.42,23.11,22.36,23.07,9487200,22.0212
2016-02-29,22.74,22.88,22.31,22.40,9679000,21.38166
2016-02-26,22.75,22.84,22.30,22.56,8619500,21.53439
2016-02-25,22.45,22.68,21.87,22.55,11596800,21.52484
2016-02-24,22.90,22.95,22.225,22.32,8711200,21.3053
2016-02-23,23.50,23.59,23.08,23.12,5563500,22.06893
2016-02-22,23.26,23.45,23.215,23.32,5920000,22.25984
2016-02-19,23.55,23.60,23.21,23.40,4707900,22.3362
2016-02-18,23.51,23.86,23.22,23.75,9003800,22.67029
2016-02-17,23.40,23.67,22.88,23.14,10994500,22.08802
2016-02-16,23.15,23.27,22.58,23.27,8543100,22.21211
2016-02-15,22.85,22.98,22.42,22.84,10574600,21.80166
2016-02-12,22.46,22.77,22.12,22.18,10406000,21.17167
2016-02-11,22.63,22.77,22.41,22.71,5772600,21.67757
2016-02-10,23.16,23.29,21.86,22.42,13343200,21.40076
2016-02-09,23.50,23.53,22.65,22.79,11671100,21.75394
2016-02-08,23.75,23.83,23.56,23.73,6979600,22.6512
