Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.705,0.705,0.705,0.705,28200,0.705
2016-06-30,0.705,0.705,0.69,0.705,59400,0.705
2016-06-29,0.7056,0.7056,0.7056,0.7056,000,0.7056
2016-06-28,0.7083,0.7083,0.7083,0.7083,000,0.7083
2016-06-27,0.7082,0.7082,0.7082,0.7082,000,0.7082
2016-06-24,0.7262,0.7262,0.7262,0.7262,000,0.7262
2016-06-23,0.7262,0.7262,0.7262,0.7262,000,0.7262
2016-06-22,0.72,0.72,0.72,0.72,5600,0.72
2016-06-21,0.72,0.72,0.72,0.72,8500,0.72
2016-06-20,0.7099,0.7099,0.7099,0.7099,000,0.7099
2016-06-17,0.705,0.705,0.705,0.705,47200,0.705
2016-06-16,0.705,0.705,0.705,0.705,17600,0.705
2016-06-15,0.7141,0.7141,0.7141,0.7141,000,0.7141
2016-06-14,0.7263,0.7263,0.7263,0.7263,000,0.7263
2016-06-13,0.7263,0.7263,0.7263,0.7263,000,0.7263
2016-06-10,0.725,0.725,0.715,0.72,90800,0.72
2016-06-09,0.7339,0.7339,0.7339,0.7339,000,0.7339
2016-06-08,0.7359,0.7359,0.7359,0.7359,000,0.7359
2016-06-07,0.7361,0.7361,0.7361,0.7361,000,0.7361
2016-06-06,0.7358,0.7358,0.7358,0.7358,000,0.7358
2016-06-03,0.7327,0.7327,0.7327,0.7327,000,0.7327
2016-06-02,0.7405,0.7405,0.7405,0.7405,000,0.7405
2016-06-01,0.7453,0.7453,0.7453,0.7453,000,0.7453
2016-05-31,0.75,0.75,0.74,0.74,28300,0.74
2016-05-30,0.7536,0.7536,0.7536,0.7536,000,0.7536
2016-05-27,0.755,0.755,0.75,0.75,57800,0.75
2016-05-26,0.75,0.75,0.75,0.75,1000,0.75
2016-05-25,0.7436,0.7436,0.7436,0.7436,000,0.7436
2016-05-24,0.743,0.743,0.743,0.743,000,0.743
2016-05-23,0.745,0.745,0.745,0.745,000,0.745
2016-05-20,0.74,0.74,0.74,0.74,63400,0.74
2016-05-19,0.735,0.735,0.735,0.735,4900,0.735
2016-05-18,0.7444,0.7444,0.7444,0.7444,000,0.7444
2016-05-17,0.74,0.74,0.74,0.74,26600,0.74
2016-05-16,0.735,0.735,0.735,0.735,2500,0.735
2016-05-13,0.7417,0.7417,0.7417,0.7417,000,0.7417
2016-05-12,0.735,0.735,0.735,0.735,111000,0.735
2016-05-11,0.745,0.745,0.74,0.74,1700,0.74
2016-05-10,0.7374,0.7374,0.7374,0.7374,000,0.7374
2016-05-09,0.725,0.735,0.725,0.735,14900,0.735
2016-05-06,0.72,0.72,0.72,0.72,14900,0.72
2016-05-05,0.7244,0.7244,0.7244,0.7244,000,0.7244
2016-05-04,0.72,0.73,0.72,0.73,18500,0.73
2016-05-03,0.71,0.72,0.71,0.72,26300,0.72
2016-05-02,0.695,0.695,0.695,0.695,000,0.695
2016-04-29,0.711,0.711,0.711,0.711,000,0.711
2016-04-28,0.70,0.705,0.70,0.705,40600,0.705
2016-04-27,0.7172,0.7172,0.7172,0.7172,000,0.7172
2016-04-26,0.715,0.715,0.715,0.715,113800,0.715
2016-04-25,0.7176,0.7176,0.7176,0.7176,000,0.7176
2016-04-22,0.71,0.71,0.71,0.71,49200,0.71
