Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,3.18,3.19,3.15,3.18,424000,3.18
2016-06-30,3.10,3.19,3.10,3.17,1176900,3.17
2016-06-29,3.18,3.18,3.07,3.13,1243000,3.13
2016-06-28,3.22,3.27,3.15,3.20,2019800,3.12
2016-06-27,3.13,3.27,3.125,3.25,1259900,3.16875
2016-06-24,3.29,3.29,3.055,3.14,1858600,3.0615
2016-06-23,3.29,3.30,3.24,3.26,877800,3.1785
2016-06-22,3.29,3.31,3.275,3.28,1385400,3.198
2016-06-21,3.26,3.30,3.24,3.28,1115400,3.198
2016-06-20,3.29,3.30,3.24,3.27,2671000,3.18825
2016-06-17,3.32,3.33,3.29,3.29,1936800,3.20775
2016-06-16,3.30,3.32,3.295,3.30,1711400,3.2175
2016-06-15,3.29,3.33,3.29,3.29,825200,3.20775
2016-06-14,3.30,3.32,3.30,3.30,890500,3.2175
2016-06-13,3.35,3.35,3.35,3.35,000,3.26625
2016-06-10,3.35,3.36,3.32,3.35,544400,3.26625
2016-06-09,3.40,3.40,3.335,3.35,491100,3.26625
2016-06-08,3.35,3.40,3.34,3.36,926700,3.276
2016-06-07,3.33,3.34,3.31,3.33,1048600,3.24675
2016-06-06,3.33,3.345,3.31,3.33,691300,3.24675
2016-06-03,3.35,3.35,3.30,3.33,1618400,3.24675
2016-06-02,3.34,3.355,3.30,3.30,1277000,3.2175
2016-06-01,3.35,3.35,3.315,3.32,1460600,3.237
2016-05-31,3.34,3.36,3.295,3.35,2849400,3.26625
2016-05-30,3.35,3.37,3.32,3.34,430200,3.2565
2016-05-27,3.32,3.35,3.32,3.34,1186400,3.2565
2016-05-26,3.29,3.31,3.235,3.30,932100,3.2175
2016-05-25,3.29,3.33,3.20,3.30,1349300,3.2175
2016-05-24,3.29,3.30,3.24,3.24,942400,3.159
2016-05-23,3.31,3.325,3.25,3.28,727200,3.198
2016-05-20,3.30,3.33,3.28,3.31,613100,3.22725
2016-05-19,3.33,3.36,3.29,3.31,1156400,3.22725
2016-05-18,3.32,3.34,3.28,3.31,2648300,3.22725
2016-05-17,3.40,3.40,3.32,3.34,1934600,3.2565
2016-05-16,3.36,3.425,3.36,3.36,849600,3.276
2016-05-13,3.41,3.435,3.38,3.38,1223500,3.2955
2016-05-12,3.48,3.50,3.42,3.42,782600,3.3345
2016-05-11,3.45,3.52,3.44,3.47,1404500,3.38325
2016-05-10,3.32,3.46,3.32,3.43,1952700,3.34425
2016-05-09,3.35,3.39,3.30,3.32,1191900,3.237
2016-05-06,3.36,3.38,3.31,3.35,1419700,3.26625
2016-05-05,3.38,3.42,3.37,3.38,801100,3.2955
2016-05-04,3.41,3.45,3.36,3.39,2144000,3.30525
2016-05-03,3.39,3.445,3.375,3.39,2596900,3.30525
2016-05-02,3.43,3.45,3.38,3.38,1372100,3.2955
2016-04-29,3.44,3.45,3.41,3.42,1147000,3.3345
2016-04-28,3.41,3.48,3.38,3.44,1991800,3.354
2016-04-27,3.44,3.45,3.38,3.40,1484200,3.315
2016-04-26,3.40,3.495,3.39,3.43,1054200,3.34425
2016-04-25,3.39,3.39,3.39,3.39,000,3.30525
2016-04-22,3.48,3.48,3.37,3.39,758700,3.30525
2016-04-21,3.41,3.44,3.365,3.44,1055300,3.354
2016-04-20,3.42,3.45,3.36,3.37,882600,3.28575
2016-04-19,3.33,3.41,3.325,3.39,2372700,3.30525
2016-04-18,3.29,3.33,3.275,3.31,939100,3.22725
2016-04-15,3.32,3.33,3.29,3.30,1891700,3.2175
2016-04-14,3.32,3.33,3.30,3.32,1653300,3.237
2016-04-13,3.30,3.38,3.30,3.32,3668300,3.237
2016-04-12,3.30,3.36,3.27,3.35,1054800,3.26625
2016-04-11,3.30,3.30,3.26,3.30,1094900,3.2175
2016-04-08,3.31,3.31,3.27,3.29,425900,3.20775
2016-04-07,3.30,3.35,3.30,3.35,769400,3.26625
2016-04-06,3.25,3.31,3.22,3.29,945200,3.20775
2016-04-05,3.32,3.33,3.22,3.25,940200,3.16875
2016-04-04,3.32,3.36,3.29,3.33,486500,3.24675
2016-04-01,3.33,3.35,3.26,3.31,6561200,3.22725
2016-03-31,3.29,3.36,3.285,3.35,1450000,3.26625
2016-03-30,3.28,3.30,3.255,3.27,2275000,3.18825
2016-03-29,3.27,3.29,3.26,3.27,1077100,3.18825
2016-03-28,3.25,3.25,3.25,3.25,000,3.16875
2016-03-25,3.25,3.25,3.25,3.25,000,3.16875
2016-03-24,3.30,3.31,3.245,3.25,1131300,3.16875
2016-03-23,3.29,3.31,3.255,3.30,1105800,3.2175
2016-03-22,3.31,3.31,3.26,3.28,1573000,3.198
2016-03-21,3.25,3.31,3.24,3.28,1265800,3.198
2016-03-18,3.21,3.26,3.195,3.22,1875800,3.1395
2016-03-17,3.21,3.23,3.19,3.20,2073500,3.12
2016-03-16,3.19,3.20,3.17,3.18,827000,3.1005
2016-03-15,3.21,3.21,3.15,3.17,578900,3.09075
2016-03-14,3.19,3.21,3.18,3.21,486300,3.12975
2016-03-11,3.19,3.22,3.16,3.20,1082700,3.12
2016-03-10,3.17,3.21,3.12,3.20,2468600,3.12
2016-03-09,3.09,3.16,3.08,3.14,2412200,3.0615
2016-03-08,3.12,3.15,3.11,3.13,2404900,3.05175
2016-03-07,3.13,3.18,3.13,3.15,4769600,3.07125
2016-03-04,3.19,3.19,3.09,3.11,2129800,3.03225
2016-03-03,3.20,3.23,3.18,3.19,1123900,3.11025
2016-03-02,3.19,3.21,3.17,3.20,1421700,3.12
2016-03-01,3.15,3.19,3.13,3.16,2319500,3.081
2016-02-29,3.14,3.18,3.14,3.17,1275000,3.09075
2016-02-26,3.18,3.18,3.11,3.15,1378400,3.07125
2016-02-25,3.22,3.23,3.17,3.17,1610600,3.09075
2016-02-24,3.22,3.25,3.155,3.18,2316800,3.1005
2016-02-23,3.16,3.25,3.12,3.24,2111600,3.159
2016-02-22,3.13,3.18,3.13,3.15,1612600,3.07125
2016-02-19,3.15,3.175,3.13,3.14,1814000,3.0615
2016-02-18,3.12,3.235,3.11,3.16,2477100,3.081
2016-02-17,2.96,3.02,2.90,2.98,942400,2.9055
2016-02-16,2.85,2.93,2.81,2.93,649700,2.85675
2016-02-15,2.82,2.88,2.81,2.83,397900,2.75925
2016-02-12,2.84,2.87,2.79,2.79,737000,2.72025
2016-02-11,2.89,2.895,2.835,2.88,633600,2.808
2016-02-10,2.93,2.94,2.77,2.88,1226500,2.808
2016-02-09,2.94,2.95,2.89,2.92,1771600,2.847
2016-02-08,2.98,2.98,2.945,2.98,455000,2.9055
2016-02-05,2.98,2.99,2.93,2.99,299300,2.91525
2016-02-04,2.99,3.02,2.96,2.98,667500,2.9055
2016-02-03,3.02,3.03,2.97,2.97,828100,2.89575
