Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.055,0.055,0.055,0.055,000,0.055
2016-06-30,0.059,0.059,0.055,0.055,280300,0.055
2016-06-29,0.054,0.06,0.054,0.057,2379600,0.057
2016-06-28,0.056,0.057,0.053,0.057,242100,0.057
2016-06-27,0.056,0.06,0.056,0.056,100000,0.056
2016-06-24,0.056,0.057,0.055,0.056,277900,0.056
2016-06-23,0.059,0.059,0.057,0.057,90900,0.057
2016-06-22,0.058,0.06,0.058,0.059,266800,0.059
2016-06-21,0.058,0.059,0.058,0.059,201400,0.059
2016-06-20,0.057,0.057,0.057,0.057,19200,0.057
2016-06-17,0.056,0.058,0.056,0.058,241500,0.058
2016-06-16,0.058,0.058,0.058,0.058,000,0.058
2016-06-15,0.059,0.06,0.055,0.058,637400,0.058
2016-06-14,0.059,0.06,0.058,0.059,796600,0.059
2016-06-13,0.059,0.059,0.059,0.059,000,0.059
2016-06-10,0.059,0.06,0.059,0.059,313400,0.059
2016-06-09,0.06,0.06,0.06,0.06,173400,0.06
2016-06-08,0.057,0.06,0.057,0.06,1119000,0.06
2016-06-07,0.057,0.058,0.057,0.058,53300,0.058
2016-06-06,0.059,0.059,0.058,0.058,8800,0.058
2016-06-03,0.057,0.06,0.057,0.06,819600,0.06
2016-06-02,0.059,0.06,0.057,0.057,74400,0.057
2016-06-01,0.061,0.061,0.057,0.059,787400,0.059
2016-05-31,0.057,0.062,0.057,0.062,1286100,0.062
2016-05-30,0.057,0.057,0.057,0.057,414900,0.057
2016-05-27,0.057,0.057,0.055,0.057,666200,0.057
2016-05-26,0.05,0.057,0.05,0.057,1291600,0.057
2016-05-25,0.051,0.055,0.05,0.054,314900,0.054
2016-05-24,0.052,0.055,0.05,0.055,959900,0.055
2016-05-23,0.055,0.055,0.052,0.052,221500,0.052
2016-05-20,0.053,0.055,0.053,0.055,574500,0.055
2016-05-19,0.055,0.055,0.053,0.053,1248900,0.053
2016-05-18,0.054,0.055,0.052,0.055,217600,0.055
2016-05-17,0.051,0.055,0.051,0.055,954100,0.055
2016-05-16,0.05,0.05,0.05,0.05,310100,0.05
2016-05-13,0.05,0.05,0.05,0.05,200,0.05
2016-05-12,0.052,0.055,0.049,0.055,726000,0.055
2016-05-11,0.054,0.054,0.051,0.054,282300,0.054
2016-05-10,0.051,0.055,0.05,0.055,256800,0.055
2016-05-09,0.05,0.055,0.05,0.055,455000,0.055
2016-05-06,0.053,0.055,0.05,0.055,302900,0.055
2016-05-05,0.055,0.055,0.053,0.053,93400,0.053
2016-05-04,0.055,0.055,0.055,0.055,18300,0.055
2016-05-03,0.056,0.056,0.056,0.056,163500,0.056
2016-05-02,0.06,0.06,0.057,0.06,406600,0.06
2016-04-29,0.053,0.06,0.053,0.06,1034900,0.06
2016-04-28,0.053,0.053,0.051,0.051,11600,0.051
2016-04-27,0.053,0.057,0.053,0.055,1392000,0.055
2016-04-26,0.055,0.055,0.05,0.053,371600,0.053
2016-04-25,0.058,0.058,0.058,0.058,000,0.058
2016-04-22,0.05,0.059,0.05,0.058,520700,0.058
2016-04-21,0.058,0.061,0.058,0.058,1236400,0.058
2016-04-20,0.054,0.057,0.051,0.055,935900,0.055
2016-04-19,0.049,0.054,0.049,0.054,651900,0.054
2016-04-18,0.048,0.048,0.048,0.048,16000,0.048
2016-04-15,0.051,0.054,0.048,0.054,224400,0.054
2016-04-14,0.05,0.054,0.05,0.054,118200,0.054
2016-04-13,0.05,0.052,0.049,0.052,136200,0.052
2016-04-12,0.05,0.05,0.048,0.048,154700,0.048
2016-04-11,0.05,0.052,0.05,0.052,162600,0.052
2016-04-08,0.055,0.055,0.055,0.055,000,0.055
2016-04-07,0.055,0.055,0.055,0.055,000,0.055
2016-04-06,0.055,0.055,0.054,0.055,289600,0.055
2016-04-05,0.053,0.055,0.05,0.055,170000,0.055
2016-04-04,0.055,0.055,0.051,0.055,128600,0.055
2016-04-01,0.057,0.057,0.055,0.055,56100,0.055
2016-03-31,0.058,0.058,0.058,0.058,50000,0.058
2016-03-30,0.058,0.06,0.058,0.06,325000,0.06
2016-03-29,0.06,0.06,0.06,0.06,33300,0.06
2016-03-28,0.06,0.06,0.06,0.06,000,0.06
