Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.063,0.063,0.063,0.063,500,0.063
2016-06-30,0.06,0.06,0.06,0.06,1100,0.06
2016-06-29,0.055,0.06,0.055,0.06,8800,0.06
2016-06-28,0.053,0.053,0.053,0.053,000,0.053
2016-06-27,0.053,0.053,0.053,0.053,2500,0.053
2016-06-24,0.053,0.053,0.053,0.053,3100,0.053
2016-06-23,0.104,0.104,0.104,0.104,000,0.104
2016-06-22,0.104,0.104,0.104,0.104,000,0.104
2016-06-21,0.104,0.104,0.104,0.104,000,0.104
2016-06-20,0.104,0.104,0.104,0.104,000,0.104
2016-06-17,0.104,0.104,0.104,0.104,000,0.104
2016-06-16,0.10,0.108,0.10,0.104,26400,0.416
2016-06-15,0.096,0.10,0.096,0.10,137000,0.40
2016-06-14,0.096,0.10,0.096,0.10,66200,0.40
2016-06-13,0.088,0.088,0.088,0.088,000,0.352
2016-06-10,0.092,0.092,0.088,0.088,679500,0.352
2016-06-09,0.092,0.092,0.092,0.092,29500,0.368
2016-06-08,0.088,0.088,0.088,0.088,6700,0.352
2016-06-07,0.092,0.092,0.092,0.092,62500,0.368
2016-06-06,0.092,0.092,0.092,0.092,000,0.368
2016-06-03,0.022,0.023,0.022,0.023,417300,0.092
2016-06-02,0.023,0.023,0.023,0.023,000,0.092
2016-06-01,0.023,0.023,0.023,0.023,53000,0.092
2016-05-31,0.022,0.023,0.022,0.023,130100,0.092
2016-05-30,0.025,0.025,0.023,0.024,443900,0.096
2016-05-27,0.024,0.024,0.024,0.024,000,0.096
2016-05-26,0.025,0.025,0.024,0.024,113700,0.096
2016-05-25,0.026,0.026,0.026,0.026,17400,0.104
2016-05-24,0.024,0.026,0.024,0.026,989400,0.104
2016-05-23,0.00625,0.0065,0.00625,0.0065,20000,0.026
2016-05-20,0.0065,0.0065,0.00625,0.00625,1224600,0.025
2016-05-19,0.0065,0.0065,0.0055,0.00575,1328300,0.023
2016-05-18,0.00625,0.0065,0.00625,0.0065,16600,0.026
2016-05-17,0.00725,0.00725,0.00625,0.00625,295200,0.025
2016-05-16,0.0075,0.0075,0.0075,0.0075,199300,0.03
2016-05-13,0.00725,0.0075,0.00725,0.0075,219600,0.03
2016-05-12,0.0055,0.00675,0.0055,0.00675,943300,0.027
2016-05-11,0.005,0.00575,0.00475,0.00575,3667000,0.023
2016-05-10,0.00475,0.00475,0.00475,0.00475,000,0.019
2016-05-09,0.005,0.005,0.00475,0.00475,221300,0.019
2016-05-06,0.005,0.005,0.005,0.005,000,0.02
2016-05-05,0.005,0.005,0.005,0.005,15000,0.02
2016-05-04,0.0045,0.0045,0.0045,0.0045,2700,0.018
2016-05-03,0.005,0.005,0.0045,0.0045,97700,0.018
2016-05-02,0.0045,0.0045,0.0045,0.0045,58100,0.018
2016-04-29,0.0045,0.0045,0.0045,0.0045,33300,0.018
2016-04-28,0.0045,0.0045,0.0045,0.0045,100000,0.018
2016-04-27,0.0045,0.0045,0.00425,0.00425,138000,0.017
2016-04-26,0.004,0.0045,0.004,0.004,1152100,0.016
2016-04-25,0.00475,0.00475,0.00475,0.00475,000,0.019
2016-04-22,0.00425,0.00475,0.004,0.00475,947300,0.019
2016-04-21,0.0045,0.00475,0.00375,0.00475,635400,0.019
2016-04-20,0.0055,0.0055,0.0055,0.0055,000,0.022
2016-04-19,0.0055,0.0055,0.0055,0.0055,71000,0.022
2016-04-18,0.0045,0.0045,0.0045,0.0045,000,0.018
2016-04-15,0.0045,0.0045,0.0045,0.0045,53900,0.018
2016-04-14,0.00475,0.00475,0.00425,0.00425,276200,0.017
2016-04-13,0.00425,0.0045,0.00425,0.00425,11500,0.017
2016-04-12,0.0055,0.0055,0.0055,0.0055,310500,0.022
2016-04-11,0.00625,0.00625,0.0055,0.0055,28000,0.022
2016-04-08,0.0055,0.0055,0.0055,0.0055,100000,0.022
2016-04-07,0.0055,0.0055,0.0055,0.0055,10000,0.022
2016-04-06,0.007,0.007,0.0055,0.0055,10000,0.022
2016-04-05,0.0055,0.0055,0.0055,0.0055,23600,0.022
2016-04-04,0.006,0.006,0.00575,0.006,22500,0.024
2016-04-01,0.006,0.006,0.006,0.006,000,0.024
2016-03-31,0.006,0.006,0.006,0.006,91400,0.024
2016-03-30,0.006,0.006,0.006,0.006,000,0.024
