Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.13,0.13,0.125,0.125,282600,0.125
2016-06-30,0.13,0.13,0.13,0.13,000,0.13
2016-06-29,0.135,0.135,0.13,0.13,15000,0.13
2016-06-28,0.135,0.135,0.13,0.13,402000,0.13
2016-06-27,0.135,0.14,0.135,0.14,20000,0.14
2016-06-24,0.155,0.155,0.13,0.13,226800,0.13
2016-06-23,0.14,0.14,0.14,0.14,000,0.14
2016-06-22,0.13,0.14,0.13,0.14,404000,0.14
2016-06-21,0.13,0.13,0.13,0.13,37100,0.13
2016-06-20,0.13,0.13,0.13,0.13,000,0.13
2016-06-17,0.13,0.13,0.13,0.13,100000,0.13
2016-06-16,0.13,0.13,0.13,0.13,000,0.13
2016-06-15,0.13,0.13,0.13,0.13,55000,0.13
2016-06-14,0.14,0.14,0.14,0.14,5000,0.14
2016-06-13,0.14,0.14,0.14,0.14,000,0.14
2016-06-10,0.14,0.14,0.14,0.14,30000,0.14
2016-06-09,0.14,0.14,0.14,0.14,000,0.14
2016-06-08,0.14,0.14,0.14,0.14,000,0.14
2016-06-07,0.14,0.14,0.14,0.14,000,0.14
2016-06-06,0.14,0.14,0.14,0.14,000,0.14
2016-06-03,0.14,0.14,0.14,0.14,6000,0.14
2016-06-02,0.14,0.14,0.14,0.14,15200,0.14
2016-06-01,0.145,0.145,0.14,0.14,35000,0.14
2016-05-31,0.14,0.14,0.14,0.14,142500,0.14
2016-05-30,0.15,0.15,0.15,0.15,40000,0.15
2016-05-27,0.15,0.15,0.14,0.145,60200,0.145
2016-05-26,0.14,0.15,0.14,0.15,313000,0.15
2016-05-25,0.155,0.155,0.15,0.15,92200,0.15
2016-05-24,0.16,0.185,0.155,0.16,919100,0.16
2016-05-23,0.15,0.15,0.15,0.15,000,0.15
2016-05-20,0.135,0.15,0.135,0.15,212800,0.15
2016-05-19,0.14,0.14,0.135,0.135,133700,0.135
2016-05-18,0.14,0.14,0.135,0.135,262300,0.135
2016-05-17,0.125,0.125,0.125,0.125,000,0.125
2016-05-16,0.13,0.13,0.125,0.125,26000,0.125
2016-05-13,0.14,0.14,0.14,0.14,185000,0.14
2016-05-12,0.145,0.145,0.145,0.145,123000,0.145
2016-05-11,0.145,0.145,0.145,0.145,000,0.145
2016-05-10,0.145,0.145,0.145,0.145,000,0.145
2016-05-09,0.145,0.145,0.145,0.145,6500,0.145
2016-05-06,0.14,0.14,0.13,0.13,16200,0.13
2016-05-05,0.14,0.14,0.135,0.135,41900,0.135
2016-05-04,0.145,0.145,0.14,0.14,18000,0.14
2016-05-03,0.145,0.15,0.145,0.145,205400,0.145
2016-05-02,0.145,0.15,0.145,0.145,428700,0.145
2016-04-29,0.13,0.145,0.13,0.145,464300,0.145
2016-04-28,0.135,0.135,0.13,0.13,130200,0.13
2016-04-27,0.13,0.135,0.13,0.135,23700,0.135
2016-04-26,0.135,0.135,0.13,0.13,100000,0.13
2016-04-25,0.135,0.135,0.135,0.135,000,0.135
2016-04-22,0.135,0.135,0.135,0.135,62500,0.135
2016-04-21,0.13,0.14,0.13,0.135,453100,0.135
2016-04-20,0.125,0.125,0.125,0.125,208000,0.125
2016-04-19,0.12,0.12,0.11,0.11,48100,0.11
2016-04-18,0.13,0.13,0.125,0.125,127800,0.125
2016-04-15,0.115,0.125,0.115,0.125,137000,0.125
2016-04-14,0.115,0.115,0.115,0.115,77900,0.115
2016-04-13,0.12,0.12,0.12,0.12,84000,0.12
2016-04-12,0.11,0.11,0.11,0.11,000,0.11
2016-04-11,0.11,0.11,0.11,0.11,75000,0.11
2016-04-08,0.11,0.11,0.11,0.11,000,0.11
2016-04-07,0.11,0.11,0.11,0.11,66600,0.11
2016-04-06,0.11,0.11,0.11,0.11,50000,0.11
