Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.16,0.16,0.16,0.16,000,0.16
2016-06-30,0.15,0.16,0.15,0.16,166000,0.16
2016-06-29,0.16,0.16,0.16,0.16,10000,0.16
2016-06-28,0.15,0.155,0.15,0.15,165000,0.15
2016-06-27,0.16,0.16,0.16,0.16,77900,0.16
2016-06-24,0.155,0.155,0.155,0.155,41600,0.155
2016-06-23,0.16,0.165,0.16,0.16,152500,0.16
2016-06-22,0.165,0.165,0.16,0.16,205600,0.16
2016-06-21,0.17,0.17,0.16,0.165,471200,0.165
2016-06-20,0.17,0.17,0.17,0.17,90000,0.17
2016-06-17,0.175,0.175,0.165,0.165,216000,0.165
2016-06-16,0.18,0.18,0.175,0.175,134400,0.175
2016-06-15,0.18,0.185,0.18,0.185,183000,0.185
2016-06-14,0.175,0.175,0.17,0.17,77200,0.17
2016-06-13,0.18,0.18,0.18,0.18,000,0.18
2016-06-10,0.18,0.18,0.18,0.18,383700,0.18
2016-06-09,0.18,0.18,0.18,0.18,100000,0.18
2016-06-08,0.18,0.18,0.18,0.18,000,0.18
2016-06-07,0.18,0.185,0.18,0.18,191000,0.18
2016-06-06,0.185,0.185,0.185,0.185,107000,0.185
2016-06-03,0.185,0.19,0.185,0.185,91100,0.185
2016-06-02,0.185,0.185,0.185,0.185,75000,0.185
2016-06-01,0.185,0.185,0.18,0.18,168100,0.18
2016-05-31,0.185,0.19,0.185,0.185,175800,0.185
2016-05-30,0.19,0.19,0.19,0.19,130300,0.19
2016-05-27,0.19,0.195,0.185,0.195,80000,0.195
2016-05-26,0.19,0.19,0.185,0.19,135000,0.19
2016-05-25,0.195,0.195,0.19,0.19,326600,0.19
2016-05-24,0.195,0.195,0.195,0.195,90000,0.195
2016-05-23,0.195,0.20,0.19,0.195,752000,0.195
2016-05-20,0.175,0.21,0.175,0.20,1398400,0.20
2016-05-19,0.17,0.17,0.17,0.17,000,0.17
2016-05-18,0.165,0.17,0.16,0.17,120000,0.17
2016-05-17,0.17,0.17,0.17,0.17,000,0.17
2016-05-16,0.16,0.17,0.155,0.17,69300,0.17
2016-05-13,0.16,0.17,0.16,0.17,229800,0.17
2016-05-12,0.165,0.17,0.165,0.17,116500,0.17
2016-05-11,0.17,0.17,0.17,0.17,113500,0.17
2016-05-10,0.165,0.17,0.165,0.17,130000,0.17
2016-05-09,0.175,0.175,0.17,0.175,285400,0.175
2016-05-06,0.17,0.175,0.17,0.175,195800,0.175
2016-05-05,0.175,0.18,0.175,0.175,104000,0.175
2016-05-04,0.18,0.18,0.175,0.175,98000,0.175
2016-05-03,0.18,0.18,0.18,0.18,373800,0.18
2016-05-02,0.18,0.18,0.175,0.18,621700,0.18
2016-04-29,0.185,0.185,0.18,0.18,962000,0.18
2016-04-28,0.185,0.185,0.185,0.185,309000,0.185
2016-04-27,0.185,0.185,0.18,0.185,792000,0.185
2016-04-26,0.19,0.19,0.185,0.185,317500,0.185
2016-04-25,0.19,0.19,0.19,0.19,000,0.19
2016-04-22,0.19,0.195,0.185,0.19,344100,0.19
2016-04-21,0.195,0.20,0.19,0.20,145000,0.20
2016-04-20,0.19,0.195,0.18,0.195,137100,0.195
2016-04-19,0.18,0.185,0.18,0.185,27000,0.185
2016-04-18,0.195,0.195,0.185,0.185,211500,0.185
2016-04-15,0.195,0.195,0.19,0.19,342700,0.19
2016-04-14,0.19,0.19,0.19,0.19,118200,0.19
2016-04-13,0.18,0.195,0.18,0.195,84400,0.195
2016-04-12,0.185,0.185,0.18,0.18,7900,0.18
2016-04-11,0.185,0.19,0.185,0.185,276500,0.185
2016-04-08,0.18,0.18,0.18,0.18,125800,0.18
2016-04-07,0.17,0.18,0.17,0.175,372500,0.175
2016-04-06,0.17,0.17,0.17,0.17,49700,0.17
2016-04-05,0.17,0.175,0.17,0.175,418100,0.175
2016-04-04,0.175,0.175,0.165,0.165,12800,0.165
2016-04-01,0.175,0.175,0.16,0.16,644200,0.16
2016-03-31,0.17,0.17,0.165,0.165,101800,0.165
2016-03-30,0.18,0.18,0.17,0.17,183400,0.17
2016-03-29,0.18,0.18,0.18,0.18,150000,0.18
2016-03-28,0.175,0.175,0.175,0.175,000,0.175
2016-03-25,0.175,0.175,0.175,0.175,000,0.175
2016-03-24,0.18,0.18,0.175,0.175,140500,0.175
2016-03-23,0.175,0.18,0.175,0.18,73000,0.18
2016-03-22,0.185,0.185,0.185,0.185,000,0.185
2016-03-21,0.185,0.185,0.18,0.185,277400,0.185
2016-03-18,0.185,0.185,0.185,0.185,10000,0.185
2016-03-17,0.18,0.18,0.18,0.18,130000,0.18
2016-03-16,0.18,0.18,0.18,0.18,128900,0.18
2016-03-15,0.18,0.18,0.175,0.18,258000,0.18
2016-03-14,0.175,0.18,0.175,0.175,71400,0.175
2016-03-11,0.165,0.18,0.165,0.18,458400,0.18
2016-03-10,0.17,0.17,0.17,0.17,45000,0.17
2016-03-09,0.165,0.17,0.165,0.17,194200,0.17
2016-03-08,0.165,0.175,0.16,0.165,503100,0.165
2016-03-07,0.16,0.165,0.16,0.16,106500,0.16
2016-03-04,0.165,0.17,0.16,0.165,218300,0.165
2016-03-03,0.17,0.175,0.17,0.17,800500,0.17
2016-03-02,0.175,0.175,0.165,0.17,373100,0.17
2016-03-01,0.17,0.17,0.165,0.17,236100,0.17
2016-02-29,0.17,0.18,0.165,0.165,544000,0.165
2016-02-26,0.17,0.17,0.165,0.17,126000,0.17
2016-02-25,0.17,0.18,0.17,0.18,210000,0.18
2016-02-24,0.165,0.17,0.16,0.17,419600,0.17
2016-02-23,0.18,0.18,0.165,0.165,1949000,0.165
2016-02-22,0.14,0.14,0.14,0.14,000,0.14
2016-02-19,0.14,0.14,0.14,0.14,000,0.14
2016-02-18,0.14,0.14,0.14,0.14,000,0.14
2016-02-17,0.14,0.14,0.14,0.14,000,0.14
2016-02-16,0.14,0.14,0.14,0.14,000,0.14
2016-02-15,0.14,0.14,0.14,0.14,50000,0.14
2016-02-12,0.145,0.145,0.145,0.145,000,0.145
2016-02-11,0.145,0.145,0.145,0.145,000,0.145
2016-02-10,0.145,0.145,0.145,0.145,000,0.145
2016-02-09,0.145,0.145,0.145,0.145,000,0.145
2016-02-08,0.14,0.145,0.14,0.145,50000,0.145
2016-02-05,0.145,0.15,0.14,0.14,153700,0.14
2016-02-04,0.155,0.155,0.155,0.155,000,0.155
2016-02-03,0.155,0.155,0.155,0.155,000,0.155
2016-02-02,0.155,0.155,0.155,0.155,000,0.155
2016-02-01,0.15,0.155,0.15,0.155,6500,0.155
2016-01-29,0.15,0.15,0.15,0.15,000,0.15
2016-01-28,0.15,0.15,0.15,0.15,200,0.15
2016-01-27,0.15,0.15,0.15,0.15,70000,0.15
2016-01-26,0.155,0.155,0.155,0.155,000,0.155
