Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,9.30,9.355,9.175,9.25,3715700,9.25
2016-06-30,8.98,9.285,8.97,9.24,4565900,9.24
2016-06-29,8.85,8.96,8.77,8.93,3384200,8.93
2016-06-28,8.89,9.05,8.87,9.00,3098300,8.775
2016-06-27,8.72,8.995,8.72,8.93,1915200,8.70675
2016-06-24,8.90,8.945,8.61,8.71,2103000,8.49225
2016-06-23,8.82,8.895,8.81,8.89,907800,8.66775
2016-06-22,8.88,8.89,8.78,8.85,1418500,8.62875
2016-06-21,8.71,8.88,8.70,8.88,2295500,8.658
2016-06-20,8.79,8.79,8.67,8.73,1317600,8.51175
2016-06-17,8.70,8.73,8.67,8.71,1939800,8.49225
2016-06-16,8.71,8.78,8.64,8.74,2946300,8.5215
2016-06-15,8.70,8.75,8.65,8.65,2387200,8.43375
2016-06-14,8.63,8.78,8.62,8.73,2773900,8.51175
2016-06-13,8.80,8.80,8.80,8.80,000,8.58
2016-06-10,8.73,8.82,8.71,8.80,1533000,8.58
2016-06-09,8.72,8.83,8.70,8.79,1869700,8.57025
2016-06-08,8.71,8.83,8.63,8.78,2509000,8.5605
2016-06-07,8.75,8.81,8.72,8.76,4224100,8.541
2016-06-06,8.71,8.77,8.67,8.72,2486000,8.502
2016-06-03,8.71,8.75,8.63,8.69,2266900,8.47275
2016-06-02,8.71,8.735,8.64,8.67,1613400,8.45325
2016-06-01,8.78,8.815,8.705,8.73,2823700,8.51175
2016-05-31,8.80,8.825,8.72,8.77,3201500,8.55075
2016-05-30,8.80,8.855,8.76,8.81,1955900,8.58975
2016-05-27,8.84,8.98,8.78,8.78,2478700,8.5605
2016-05-26,8.84,8.84,8.71,8.78,3470600,8.5605
2016-05-25,8.84,8.90,8.80,8.87,3620400,8.64825
2016-05-24,8.93,8.96,8.77,8.81,3317500,8.58975
2016-05-23,8.99,9.02,8.88,8.88,1748700,8.658
2016-05-20,8.93,8.99,8.89,8.98,1398600,8.7555
2016-05-19,8.95,9.01,8.88,8.98,2151200,8.7555
2016-05-18,8.90,9.015,8.90,8.99,1853000,8.76525
2016-05-17,9.14,9.14,9.03,9.08,1412800,8.853
2016-05-16,8.90,9.14,8.90,9.11,1679300,8.88225
2016-05-13,9.01,9.09,8.91,9.01,1736500,8.78475
2016-05-12,9.01,9.07,8.84,8.92,3350800,8.697
2016-05-11,9.07,9.28,9.05,9.16,2991000,8.931
2016-05-10,9.17,9.26,9.08,9.20,2478300,8.97
2016-05-09,9.00,9.14,9.00,9.14,2273800,8.9115
2016-05-06,9.05,9.09,8.86,9.07,2798700,8.84325
2016-05-05,9.13,9.24,9.02,9.13,1970700,8.90175
2016-05-04,8.95,9.23,8.91,9.17,2685600,8.94075
2016-05-03,8.75,9.00,8.71,9.00,2286500,8.775
2016-05-02,8.80,8.85,8.64,8.75,1656000,8.53125
2016-04-29,8.64,8.76,8.64,8.75,1191400,8.53125
2016-04-28,8.77,8.83,8.71,8.72,2039000,8.502
2016-04-27,8.64,8.825,8.64,8.68,2283100,8.463
2016-04-26,8.66,8.70,8.52,8.67,2348500,8.45325
2016-04-25,8.58,8.58,8.58,8.58,000,8.3655
2016-04-22,8.68,8.77,8.43,8.58,3249900,8.3655
2016-04-21,8.94,8.95,8.80,8.84,2355000,8.619
2016-04-20,8.77,8.865,8.77,8.81,2384700,8.58975
2016-04-19,8.75,8.88,8.73,8.77,2716100,8.55075
2016-04-18,8.70,8.75,8.70,8.72,1636500,8.502
2016-04-15,8.54,8.74,8.54,8.71,1599700,8.49225
2016-04-14,8.50,8.63,8.45,8.60,1831000,8.385
2016-04-13,8.56,8.63,8.50,8.53,3108800,8.31675
2016-04-12,8.56,8.61,8.47,8.51,1337600,8.29725
2016-04-11,8.72,8.72,8.60,8.62,914200,8.4045
2016-04-08,8.60,8.74,8.57,8.67,1668400,8.45325
2016-04-07,8.54,8.625,8.51,8.58,1585400,8.3655
2016-04-06,8.49,8.555,8.445,8.47,2881800,8.25825
2016-04-05,8.63,8.675,8.46,8.46,2455000,8.2485
2016-04-04,8.57,8.775,8.56,8.56,1968100,8.346
2016-04-01,8.64,8.65,8.375,8.45,5292200,8.23875
2016-03-31,8.80,8.89,8.77,8.81,3131400,8.58975
2016-03-30,8.65,8.93,8.64,8.70,5521700,8.4825
2016-03-29,8.52,8.63,8.49,8.50,2316500,8.2875
2016-03-28,8.51,8.51,8.51,8.51,000,8.29725
2016-03-25,8.51,8.51,8.51,8.51,000,8.29725
2016-03-24,8.40,8.57,8.40,8.51,2144200,8.29725
2016-03-23,8.39,8.45,8.325,8.43,1532200,8.21925
2016-03-22,8.40,8.455,8.395,8.43,1200400,8.21925
2016-03-21,8.40,8.46,8.39,8.41,1432000,8.19975
2016-03-18,8.35,8.47,8.33,8.47,1807700,8.25825
2016-03-17,8.31,8.37,8.28,8.32,2672100,8.112
2016-03-16,8.20,8.29,8.20,8.26,2202000,8.0535
2016-03-15,8.22,8.27,8.20,8.23,2330200,8.02425
2016-03-14,8.26,8.31,8.22,8.24,3204400,8.034
2016-03-11,8.22,8.30,8.21,8.26,3540800,8.0535
2016-03-10,8.27,8.32,8.21,8.26,2133900,8.0535
2016-03-09,8.45,8.46,8.01,8.26,5747300,8.0535
2016-03-08,8.47,8.54,8.45,8.50,2846300,8.2875
2016-03-07,8.36,8.51,8.35,8.47,1644400,8.25825
2016-03-04,8.51,8.59,8.45,8.49,2824300,8.27775
2016-03-03,8.44,8.54,8.39,8.54,5749100,8.3265
2016-03-02,8.63,8.65,8.44,8.50,4507900,8.2875
2016-03-01,8.61,8.70,8.58,8.65,6282000,8.43375
2016-02-29,8.40,8.79,8.40,8.72,4666000,8.502
2016-02-26,8.59,8.66,8.50,8.64,4110000,8.424
2016-02-25,8.74,8.74,8.465,8.59,4020500,8.37525
2016-02-24,8.84,8.94,8.73,8.85,1628200,8.62875
2016-02-23,8.85,8.90,8.76,8.86,1599700,8.6385
2016-02-22,8.73,8.88,8.72,8.85,2101000,8.62875
2016-02-19,8.78,8.82,8.725,8.80,1767400,8.58
2016-02-18,8.85,8.85,8.71,8.78,1904100,8.5605
2016-02-17,8.77,8.79,8.66,8.67,3085500,8.45325
2016-02-16,8.70,8.79,8.63,8.75,2347700,8.53125
2016-02-15,8.60,8.70,8.52,8.70,1607700,8.4825
2016-02-12,8.52,8.59,8.46,8.53,3030900,8.31675
2016-02-11,8.55,8.66,8.51,8.66,1413200,8.4435
2016-02-10,8.72,8.75,8.505,8.62,2876400,8.4045
2016-02-09,8.65,8.79,8.58,8.68,3726500,8.463
2016-02-08,8.79,8.95,8.72,8.94,1841600,8.7165
2016-02-05,8.75,8.79,8.65,8.79,2651800,8.57025
2016-02-04,8.55,8.83,8.55,8.81,2717500,8.58975
2016-02-03,8.53,8.59,8.42,8.44,1291700,8.229
2016-02-02,8.56,8.655,8.54,8.60,1533600,8.385
2016-02-01,8.55,8.65,8.49,8.58,2296400,8.3655
2016-01-29,8.41,8.59,8.40,8.48,2906300,8.268
2016-01-28,8.33,8.47,8.29,8.42,2787000,8.2095
2016-01-27,8.42,8.48,8.36,8.37,1716200,8.16075
2016-01-26,8.46,8.46,8.46,8.46,000,8.2485
2016-01-25,8.38,8.46,8.35,8.46,2042500,8.2485
2016-01-22,8.23,8.30,8.18,8.24,2223500,8.034
2016-01-21,8.30,8.35,8.13,8.18,2734100,7.9755
2016-01-20,8.25,8.35,8.185,8.24,1978700,8.034
2016-01-19,8.11,8.27,8.09,8.26,2970100,8.0535
2016-01-18,8.10,8.14,8.04,8.13,2255700,7.92675
2016-01-15,8.24,8.29,8.17,8.22,3245800,8.0145
2016-01-14,8.10,8.21,8.01,8.17,2995700,7.96575
2016-01-13,8.23,8.32,8.18,8.30,3094100,8.0925
2016-01-12,8.17,8.33,8.17,8.24,3473600,8.034
2016-01-11,8.20,8.23,8.11,8.18,3279100,7.9755
2016-01-08,8.25,8.38,8.24,8.33,3232200,8.12175
2016-01-07,8.42,8.50,8.31,8.31,2068400,8.10225
2016-01-06,8.50,8.54,8.36,8.42,2446500,8.2095
2016-01-05,8.57,8.59,8.45,8.45,2018300,8.23875
2016-01-04,8.65,8.795,8.60,8.60,1301500,8.385
2016-01-01,8.68,8.68,8.68,8.68,000,8.463
2015-12-31,8.70,8.785,8.68,8.68,1008400,8.463
2015-12-30,8.72,8.72,8.60,8.68,1520900,8.463
2015-12-29,8.49,8.60,8.45,8.59,1641800,8.37525
2015-12-28,8.67,8.67,8.67,8.67,000,8.268
2015-12-25,8.67,8.67,8.67,8.67,000,8.268
2015-12-24,8.68,8.68,8.56,8.67,562500,8.268
2015-12-23,8.58,8.58,8.50,8.51,1116200,8.11542
2015-12-22,8.65,8.65,8.45,8.48,1905400,8.08681
2015-12-21,8.48,8.56,8.40,8.44,1446200,8.04866
2015-12-18,8.40,8.52,8.38,8.46,3766500,8.06774
2015-12-17,8.46,8.68,8.45,8.49,3870200,8.09635
2015-12-16,8.40,8.47,8.20,8.43,3250500,8.03913
2015-12-15,8.20,8.30,8.15,8.29,2483800,7.90562
2015-12-14,8.24,8.32,8.19,8.25,2754200,7.86747
2015-12-11,8.39,8.43,8.30,8.38,1824800,7.99145
2015-12-10,8.48,8.48,8.31,8.37,2309600,7.98191
2015-12-09,8.36,8.53,8.36,8.41,2771300,8.02006
2015-12-08,8.40,8.53,8.37,8.38,3877500,7.99145
2015-12-07,8.54,8.66,8.45,8.47,2350600,8.07727
2015-12-04,8.52,8.54,8.41,8.44,2768500,8.04866
2015-12-03,8.59,8.66,8.46,8.66,2325300,8.25846
2015-12-02,8.79,8.79,8.565,8.62,3124800,8.22032
2015-12-01,8.88,8.97,8.77,8.83,3435700,8.42058
2015-11-30,9.05,9.05,8.88,8.90,3478800,8.48734
2015-11-27,9.33,9.34,9.07,9.08,2096500,8.65899
2015-11-26,9.08,9.34,9.08,9.25,2053700,8.82111
2015-11-25,9.13,9.175,9.10,9.13,1992000,8.70667
2015-11-24,9.22,9.24,9.13,9.13,2279400,8.70667
2015-11-23,9.20,9.32,9.19,9.28,2499500,8.84972
2015-11-20,9.19,9.22,9.10,9.21,1762500,8.78296
2015-11-19,9.08,9.17,9.01,9.17,2410000,8.74482
2015-11-18,8.96,9.02,8.90,8.96,2186800,8.54455
2015-11-17,8.78,8.99,8.72,8.99,2483600,8.57316
2015-11-16,8.65,8.77,8.63,8.73,1678100,8.32522
2015-11-13,8.65,8.82,8.63,8.78,2531300,8.3729
2015-11-12,8.76,8.88,8.75,8.77,2090100,8.36336
2015-11-11,8.82,8.91,8.78,8.90,2142300,8.48734
2015-11-10,8.90,8.93,8.71,8.83,2527700,8.42058
2015-11-09,9.12,9.17,8.88,8.92,3042800,8.50641
2015-11-06,9.11,9.22,9.03,9.12,1174800,8.69714
2015-11-05,9.06,9.21,8.97,9.02,1894500,8.60177
2015-11-04,9.29,9.33,9.12,9.14,1860700,8.71621
2015-11-03,9.26,9.31,9.13,9.25,1438300,8.82111
2015-11-02,9.38,9.38,9.135,9.15,1219100,8.72574
2015-10-30,9.21,9.24,9.08,9.20,2119300,8.77343
2015-10-29,9.35,9.38,9.20,9.22,1772600,8.7925
2015-10-28,9.26,9.32,9.12,9.23,1210600,8.80203
2015-10-27,9.26,9.31,9.18,9.20,1934700,8.77343
2015-10-26,9.33,9.33,9.19,9.21,1291600,8.78296
2015-10-23,9.20,9.28,9.16,9.20,2090900,8.77343
2015-10-22,8.98,9.10,8.87,9.09,1389700,8.66853
2015-10-21,8.90,8.99,8.86,8.91,1737500,8.49687
2015-10-20,8.94,9.03,8.89,8.91,1927500,8.49687
2015-10-19,9.03,9.06,8.91,8.95,1384900,8.53502
2015-10-16,8.89,9.07,8.87,9.02,2000800,8.60177
2015-10-15,8.90,8.90,8.78,8.80,2811600,8.39197
2015-10-14,8.97,8.98,8.83,8.85,2501100,8.43965
2015-10-13,8.89,8.995,8.88,8.92,2841800,8.50641
2015-10-12,9.03,9.11,8.92,8.92,1955400,8.50641
2015-10-09,9.11,9.185,9.02,9.15,1959500,8.72574
2015-10-08,9.10,9.105,8.94,9.02,3105300,8.60177
2015-10-07,8.89,8.97,8.835,8.97,2241300,8.55409
2015-10-06,8.91,9.02,8.78,8.80,2794900,8.39197
2015-10-05,8.80,8.83,8.71,8.83,1581700,8.42058
2015-10-02,8.75,8.81,8.58,8.59,2136800,8.19171
2015-10-01,8.50,8.77,8.50,8.77,2331600,8.36336
2015-09-30,8.47,8.565,8.42,8.55,3233300,8.15356
2015-09-29,8.54,8.68,8.49,8.50,2910900,8.10588
2015-09-28,8.68,8.82,8.65,8.75,1730500,8.34429
2015-09-25,8.63,8.75,8.59,8.68,3178500,8.27754
2015-09-24,8.34,8.57,8.34,8.57,2937600,8.17264
2015-09-23,8.29,8.46,8.29,8.37,2125400,7.98191
2015-09-22,8.43,8.48,8.35,8.48,1563700,8.08681
2015-09-21,8.22,8.33,8.20,8.31,1615600,7.92469
2015-09-18,8.39,8.49,8.27,8.43,2319600,8.03913
2015-09-17,8.50,8.50,8.32,8.34,3214800,7.9533
2015-09-16,8.23,8.32,8.19,8.32,2239500,7.93423
2015-09-15,8.32,8.32,8.18,8.22,3643600,7.83887
2015-09-14,8.23,8.32,8.19,8.29,2648200,7.90562
2015-09-11,8.17,8.21,8.06,8.14,2274400,7.76257
2015-09-10,8.24,8.27,8.14,8.15,2946000,7.77211
2015-09-09,8.40,8.51,8.32,8.38,3982000,7.99145
2015-09-08,8.29,8.47,8.27,8.46,2210700,8.06774
2015-09-07,8.30,8.39,8.25,8.35,2868200,7.96284
2015-09-04,8.10,8.45,8.06,8.43,4123800,8.03913
2015-09-03,8.32,8.35,8.10,8.10,2655100,7.72443
2015-09-02,8.32,8.35,8.065,8.28,5587600,7.89608
2015-09-01,8.71,8.75,8.425,8.49,3857000,8.09635
2015-08-31,8.69,8.79,8.60,8.77,3438200,8.36336
2015-08-28,8.84,8.91,8.69,8.90,3056600,8.48734
2015-08-27,8.51,8.88,8.51,8.79,3109500,8.38244
