Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.50,0.50,0.50,0.50,136500,0.50
2016-06-30,0.495,0.50,0.49,0.50,569000,0.50
2016-06-29,0.495,0.495,0.495,0.495,9000,0.495
2016-06-28,0.49,0.49,0.48,0.49,115700,0.49
2016-06-27,0.47,0.50,0.47,0.49,91200,0.49
2016-06-24,0.455,0.455,0.445,0.45,44400,0.45
2016-06-23,0.445,0.46,0.445,0.46,236400,0.46
2016-06-22,0.445,0.445,0.44,0.44,289000,0.44
2016-06-21,0.44,0.44,0.44,0.44,000,0.44
2016-06-20,0.44,0.44,0.44,0.44,407800,0.44
2016-06-17,0.455,0.455,0.45,0.45,3300,0.45
2016-06-16,0.44,0.45,0.435,0.435,850100,0.435
2016-06-15,0.45,0.45,0.45,0.45,100,0.45
2016-06-14,0.44,0.45,0.44,0.45,27500,0.45
2016-06-13,0.445,0.445,0.445,0.445,000,0.445
2016-06-10,0.44,0.45,0.44,0.445,25500,0.445
2016-06-09,0.435,0.45,0.435,0.45,127800,0.45
2016-06-08,0.45,0.45,0.43,0.45,74800,0.45
2016-06-07,0.435,0.455,0.435,0.455,14800,0.455
2016-06-06,0.435,0.445,0.435,0.445,153000,0.445
2016-06-03,0.445,0.445,0.44,0.44,138100,0.44
2016-06-02,0.45,0.455,0.445,0.445,36100,0.445
2016-06-01,0.46,0.46,0.445,0.45,153800,0.45
2016-05-31,0.46,0.46,0.455,0.46,164000,0.46
2016-05-30,0.45,0.46,0.45,0.46,75300,0.46
2016-05-27,0.44,0.46,0.44,0.45,463900,0.45
2016-05-26,0.45,0.45,0.44,0.44,9500,0.44
2016-05-25,0.43,0.445,0.43,0.445,84500,0.445
2016-05-24,0.435,0.435,0.43,0.43,34100,0.43
2016-05-23,0.45,0.45,0.45,0.45,000,0.45
2016-05-20,0.44,0.45,0.435,0.45,69900,0.45
2016-05-19,0.445,0.45,0.44,0.44,32900,0.44
2016-05-18,0.44,0.45,0.44,0.45,89500,0.45
2016-05-17,0.45,0.45,0.45,0.45,628000,0.45
2016-05-16,0.45,0.45,0.45,0.45,1066400,0.45
2016-05-13,0.445,0.455,0.445,0.455,206700,0.455
2016-05-12,0.43,0.45,0.43,0.45,157500,0.45
2016-05-11,0.45,0.45,0.43,0.43,105900,0.43
2016-05-10,0.435,0.45,0.435,0.45,112500,0.45
2016-05-09,0.435,0.44,0.43,0.44,702100,0.44
2016-05-06,0.425,0.43,0.425,0.43,299300,0.43
2016-05-05,0.42,0.425,0.42,0.425,55800,0.425
2016-05-04,0.41,0.42,0.41,0.42,298900,0.42
2016-05-03,0.405,0.41,0.405,0.41,196900,0.41
2016-05-02,0.405,0.41,0.405,0.41,5600,0.41
2016-04-29,0.405,0.41,0.40,0.405,108400,0.405
2016-04-28,0.40,0.40,0.40,0.40,16200,0.40
2016-04-27,0.40,0.40,0.40,0.40,210200,0.40
2016-04-26,0.41,0.41,0.40,0.40,14800,0.40
2016-04-25,0.41,0.41,0.41,0.41,000,0.41
2016-04-22,0.41,0.41,0.41,0.41,000,0.41
2016-04-21,0.41,0.41,0.41,0.41,000,0.41
2016-04-20,0.41,0.41,0.41,0.41,223700,0.41
2016-04-19,0.41,0.42,0.41,0.41,76300,0.41
2016-04-18,0.415,0.415,0.395,0.40,33100,0.40
2016-04-15,0.415,0.415,0.405,0.415,26300,0.415
2016-04-14,0.40,0.405,0.40,0.405,129500,0.405
2016-04-13,0.40,0.41,0.40,0.405,56900,0.405
2016-04-12,0.40,0.40,0.40,0.40,10000,0.40
2016-04-11,0.395,0.405,0.395,0.40,270000,0.40
2016-04-08,0.405,0.405,0.40,0.40,147400,0.40
2016-04-07,0.405,0.41,0.405,0.405,131600,0.405
2016-04-06,0.415,0.415,0.405,0.405,190100,0.405
2016-04-05,0.42,0.42,0.415,0.415,1204400,0.415
2016-04-04,0.42,0.42,0.415,0.42,629400,0.42
2016-04-01,0.42,0.42,0.42,0.42,2023600,0.42
2016-03-31,0.415,0.42,0.415,0.42,45600,0.42
2016-03-30,0.42,0.42,0.42,0.42,000,0.42
2016-03-29,0.40,0.42,0.40,0.42,34000,0.42
2016-03-28,0.40,0.40,0.40,0.40,000,0.40
2016-03-25,0.40,0.40,0.40,0.40,000,0.40
2016-03-24,0.42,0.42,0.395,0.40,8500,0.40
2016-03-23,0.415,0.415,0.40,0.40,389200,0.40
2016-03-22,0.41,0.41,0.41,0.41,4000,0.41
2016-03-21,0.42,0.42,0.42,0.42,000,0.42
2016-03-18,0.415,0.435,0.415,0.42,432000,0.42
