Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,11.97,12.20,11.82,11.90,62300,11.90
2016-06-30,11.85,11.97,11.69,11.93,58100,11.93
2016-06-29,11.75,11.97,11.57,11.88,22700,11.88
2016-06-28,11.74,11.80,11.65,11.70,24200,11.70
2016-06-27,11.62,11.97,11.61,11.85,16100,11.85
2016-06-24,11.85,11.99,11.62,11.80,42900,11.80
2016-06-23,12.10,12.10,11.81,11.81,14600,11.81
2016-06-22,11.88,12.24,11.84,12.02,29900,12.02
2016-06-21,11.82,11.92,11.73,11.86,47400,11.86
2016-06-20,11.88,11.88,11.70,11.82,40300,11.82
2016-06-17,11.65,11.80,11.65,11.71,289100,11.71
2016-06-16,11.70,11.78,11.60,11.70,126100,11.70
2016-06-15,11.60,11.74,11.60,11.67,13100,11.67
2016-06-14,11.69,11.84,11.55,11.63,32100,11.63
2016-06-13,11.81,11.81,11.81,11.81,000,11.81
2016-06-10,11.70,12.00,11.58,11.81,94500,11.81
2016-06-09,11.51,11.72,11.40,11.69,34600,11.69
2016-06-08,11.56,11.71,11.52,11.57,16400,11.57
2016-06-07,11.58,11.67,11.42,11.51,48900,11.51
2016-06-06,11.73,11.73,11.46,11.58,31100,11.58
2016-06-03,11.70,11.72,11.50,11.72,18000,11.72
2016-06-02,11.56,11.80,11.50,11.56,27300,11.56
2016-06-01,11.55,11.75,11.50,11.60,24300,11.60
2016-05-31,11.75,11.79,11.55,11.75,45500,11.75
2016-05-30,11.95,11.95,11.52,11.75,36100,11.75
2016-05-27,11.50,11.96,11.39,11.92,83700,11.92
2016-05-26,11.50,11.55,11.33,11.50,89300,11.50
2016-05-25,11.02,11.40,10.96,11.12,100900,11.12
2016-05-24,10.80,10.99,10.80,10.85,39100,10.85
2016-05-23,10.24,10.79,10.22,10.72,38500,10.72
2016-05-20,10.34,10.44,10.30,10.34,20200,10.34
2016-05-19,10.21,10.45,10.21,10.37,18300,10.37
2016-05-18,10.23,10.44,10.23,10.32,18300,10.32
2016-05-17,10.10,10.40,10.06,10.28,29300,10.28
2016-05-16,10.08,10.33,10.07,10.10,32100,10.10
2016-05-13,10.47,10.47,10.06,10.12,62100,10.12
2016-05-12,10.67,10.67,10.44,10.53,25800,10.53
2016-05-11,10.64,10.67,10.59,10.67,17400,10.67
2016-05-10,10.60,10.69,10.57,10.60,25800,10.60
2016-05-09,10.61,10.71,10.51,10.69,31600,10.69
2016-05-06,10.72,10.72,10.51,10.69,97000,10.69
2016-05-05,10.52,10.88,10.52,10.74,48800,10.74
2016-05-04,10.91,11.04,10.62,10.74,104000,10.74
2016-05-03,10.86,10.95,10.84,10.94,44100,10.94
2016-05-02,10.79,10.94,10.72,10.91,34400,10.91
2016-04-29,10.62,10.97,10.48,10.79,84100,10.79
2016-04-28,10.58,10.69,10.58,10.62,56800,10.62
2016-04-27,10.45,10.70,10.44,10.58,91200,10.58
2016-04-26,10.25,10.44,10.24,10.44,52100,10.44
2016-04-25,10.25,10.25,10.25,10.25,000,10.25
2016-04-22,10.24,10.35,10.20,10.25,22300,10.25
2016-04-21,10.23,10.30,10.15,10.21,30700,10.21
2016-04-20,10.12,10.34,10.06,10.20,157700,10.20
2016-04-19,10.14,10.14,9.97,10.10,49200,10.10
2016-04-18,9.99,10.18,9.99,10.13,47500,10.13
2016-04-15,10.30,10.30,9.99,10.00,98600,10.00
2016-04-14,9.62,10.28,9.62,10.25,382600,10.25
2016-04-13,9.52,9.68,9.52,9.66,113700,9.66
2016-04-12,9.35,9.45,9.30,9.40,162400,9.40
2016-04-11,9.56,9.61,9.34,9.35,87000,9.35
2016-04-08,9.70,9.70,9.53,9.61,106600,9.61
2016-04-07,9.73,9.80,9.71,9.72,48800,9.72
2016-04-06,9.80,9.84,9.70,9.76,356800,9.76
2016-04-05,9.70,9.89,9.70,9.80,254500,9.80
2016-04-04,9.67,9.91,9.67,9.70,323300,9.70
2016-04-01,9.70,9.79,9.65,9.70,93700,9.70
2016-03-31,9.57,9.84,9.57,9.75,80400,9.75
2016-03-30,9.73,9.80,9.45,9.55,107100,9.55
2016-03-29,9.99,9.99,9.65,9.70,118400,9.70
2016-03-28,10.00,10.00,10.00,10.00,000,10.00
2016-03-25,10.00,10.00,10.00,10.00,000,10.00
2016-03-24,10.00,10.04,9.89,10.00,70400,10.00
2016-03-23,10.42,10.45,10.25,10.33,471200,10.04429
2016-03-22,10.29,10.51,10.20,10.41,9600,10.12207
2016-03-21,10.24,10.38,10.21,10.26,13400,9.97622
2016-03-18,10.48,10.48,10.24,10.24,38100,9.95678
2016-03-17,10.22,10.59,10.22,10.48,17300,10.19014
2016-03-16,10.26,10.34,10.18,10.20,105300,9.91788
2016-03-15,10.52,10.52,10.26,10.26,35600,9.97622
2016-03-14,10.60,10.62,10.38,10.52,40800,10.22903
2016-03-11,10.30,10.53,10.30,10.38,37100,10.0929
2016-03-10,10.23,10.55,10.19,10.50,76400,10.20958
2016-03-09,10.45,10.45,10.10,10.23,70600,9.94705
2016-03-08,10.40,10.56,10.40,10.45,971200,10.16097
