Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.68,1.71,1.67,1.70,975500,1.70
2016-06-30,1.72,1.72,1.665,1.68,1361800,1.68
2016-06-29,1.635,1.73,1.63,1.69,1743600,1.69
2016-06-28,1.615,1.62,1.59,1.59,1891600,1.59
2016-06-27,1.65,1.685,1.63,1.635,1411100,1.635
2016-06-24,1.665,1.695,1.625,1.64,3842500,1.64
2016-06-23,1.625,1.67,1.61,1.65,2254800,1.65
2016-06-22,1.64,1.64,1.58,1.61,1883400,1.61
2016-06-21,1.62,1.64,1.605,1.64,1086500,1.64
2016-06-20,1.64,1.64,1.57,1.61,1290500,1.61
2016-06-17,1.62,1.645,1.60,1.63,1788800,1.63
2016-06-16,1.65,1.66,1.605,1.62,1864200,1.62
2016-06-15,1.63,1.64,1.565,1.635,2510000,1.635
2016-06-14,1.705,1.705,1.63,1.635,2046000,1.635
2016-06-13,1.71,1.71,1.71,1.71,000,1.71
2016-06-10,1.715,1.725,1.70,1.71,493900,1.71
2016-06-09,1.76,1.76,1.705,1.725,589800,1.725
2016-06-08,1.70,1.745,1.70,1.73,1096800,1.73
2016-06-07,1.75,1.75,1.70,1.70,1026200,1.70
2016-06-06,1.75,1.785,1.74,1.74,1213800,1.74
2016-06-03,1.79,1.795,1.745,1.76,1718400,1.76
2016-06-02,1.845,1.85,1.775,1.79,945100,1.79
2016-06-01,1.86,1.875,1.84,1.84,739800,1.84
2016-05-31,1.86,1.88,1.845,1.865,1270700,1.865
2016-05-30,1.88,1.89,1.857,1.86,633300,1.86
2016-05-27,1.875,1.92,1.875,1.88,736700,1.88
2016-05-26,1.84,1.885,1.84,1.86,1021300,1.86
2016-05-25,1.855,1.87,1.83,1.84,896900,1.84
2016-05-24,1.90,1.90,1.83,1.83,1340400,1.83
2016-05-23,1.905,1.915,1.89,1.895,1022800,1.895
2016-05-20,1.86,1.91,1.86,1.905,806900,1.905
2016-05-19,1.87,1.89,1.852,1.865,1105000,1.865
2016-05-18,1.88,1.905,1.852,1.86,1242300,1.86
2016-05-17,1.90,1.92,1.875,1.90,1066300,1.90
2016-05-16,1.88,1.905,1.85,1.89,1096200,1.89
2016-05-13,1.95,1.95,1.88,1.88,735400,1.88
2016-05-12,1.94,1.96,1.90,1.91,1208200,1.91
2016-05-11,1.92,2.00,1.915,1.93,1767000,1.93
2016-05-10,1.93,1.95,1.90,1.92,831300,1.92
2016-05-09,1.91,1.945,1.89,1.93,1047300,1.93
2016-05-06,1.96,1.99,1.905,1.93,686500,1.93
2016-05-05,2.02,2.02,1.92,1.96,1111500,1.96
2016-05-04,1.99,2.07,1.98,2.05,1827700,2.01429
2016-05-03,1.98,2.02,1.95,1.98,1182800,1.94551
2016-05-02,1.975,1.985,1.96,1.985,994300,1.95042
2016-04-29,1.99,2.00,1.95,1.96,851200,1.92585
2016-04-28,1.97,1.99,1.905,1.98,1574100,1.94551
2016-04-27,1.98,2.00,1.935,1.96,1619700,1.92585
2016-04-26,2.04,2.09,1.955,1.97,3578400,1.93568
2016-04-25,2.03,2.03,2.03,2.03,000,1.99463
2016-04-22,1.935,2.04,1.915,2.03,3928500,1.99463
2016-04-21,1.90,1.93,1.80,1.88,2164500,1.84725
2016-04-20,1.97,1.97,1.88,1.89,980900,1.85707
2016-04-19,1.985,1.985,1.915,1.975,1129800,1.94059
2016-04-18,1.92,2.00,1.92,1.96,1273600,1.92585
2016-04-15,1.875,1.9175,1.87,1.915,754200,1.88164
2016-04-14,1.865,1.88,1.84,1.87,1216600,1.83742
2016-04-13,1.86,1.88,1.85,1.855,673100,1.82268
2016-04-12,1.865,1.8975,1.815,1.85,1066000,1.81777
2016-04-11,1.89,1.905,1.86,1.875,506200,1.84233
2016-04-08,1.87,1.92,1.86,1.89,791900,1.85707
2016-04-07,1.92,1.93,1.87,1.895,512700,1.86199
2016-04-06,1.865,1.93,1.85,1.92,781400,1.88655
2016-04-05,1.91,1.93,1.855,1.865,748000,1.83251
2016-04-04,1.875,1.94,1.87,1.905,370100,1.87181
2016-04-01,1.95,1.95,1.87,1.875,497300,1.84233
2016-03-31,1.96,1.995,1.94,1.955,588400,1.92094
2016-03-30,1.915,1.96,1.905,1.945,912300,1.91112
2016-03-29,1.92,1.92,1.885,1.905,630200,1.87181
2016-03-28,1.915,1.915,1.915,1.915,000,1.88164
2016-03-25,1.915,1.915,1.915,1.915,000,1.88164
2016-03-24,1.925,1.94,1.91,1.915,401100,1.88164
2016-03-23,1.98,1.985,1.91,1.93,910000,1.89638
2016-03-22,1.85,1.98,1.85,1.98,1889400,1.94551
2016-03-21,1.805,1.89,1.80,1.85,1082600,1.81777
2016-03-18,1.81,1.825,1.79,1.805,1121500,1.77355
2016-03-17,1.80,1.815,1.79,1.795,1272800,1.76373
2016-03-16,1.79,1.835,1.775,1.785,2700900,1.7539
2016-03-15,1.81,1.82,1.77,1.79,913200,1.75882
2016-03-14,1.76,1.85,1.755,1.82,1430800,1.78829
2016-03-11,1.65,1.77,1.65,1.765,1368800,1.73425
2016-03-10,1.69,1.695,1.67,1.695,1382500,1.66547
2016-03-09,1.69,1.7025,1.675,1.70,1369600,1.67038
2016-03-08,1.69,1.74,1.69,1.725,1176300,1.69495
2016-03-07,1.82,1.825,1.73,1.73,1036800,1.69986
2016-03-04,1.87,1.88,1.785,1.82,1478900,1.78829
2016-03-03,1.85,1.87,1.815,1.87,922000,1.83742
2016-03-02,1.905,1.905,1.84,1.845,875800,1.81286
2016-03-01,1.94,1.94,1.86,1.89,1186800,1.85707
2016-02-29,1.87,1.96,1.87,1.945,1379400,1.91112
2016-02-26,1.91,1.92,1.86,1.88,754700,1.84725
2016-02-25,1.915,1.95,1.885,1.91,1853000,1.87672
2016-02-24,1.93,1.93,1.885,1.915,1886600,1.88164
2016-02-23,2.01,2.02,1.96,1.99,705100,1.95533
2016-02-22,2.02,2.03,1.98,2.01,819900,1.97498
2016-02-19,2.05,2.07,2.01,2.02,695000,1.98481
2016-02-18,2.04,2.07,2.00,2.05,1753600,2.01429
2016-02-17,2.03,2.05,1.985,2.00,1734300,1.96516
2016-02-16,1.97,2.01,1.925,2.01,818400,1.97498
2016-02-15,1.97,1.97,1.92,1.955,807200,1.92094
2016-02-12,1.92,1.9525,1.88,1.945,1199700,1.91112
2016-02-11,1.925,1.96,1.895,1.96,932400,1.92585
2016-02-10,1.99,1.99,1.87,1.92,4924000,1.88655
2016-02-09,2.02,2.02,1.945,1.96,2031100,1.92585
2016-02-08,2.11,2.13,2.06,2.07,800000,2.03394
2016-02-05,2.15,2.155,2.08,2.13,473000,2.09289
2016-02-04,2.11,2.15,2.10,2.15,836400,2.11254
2016-02-03,2.14,2.24,2.05,2.08,1587600,2.04376
2016-02-02,2.16,2.18,2.10,2.17,1299800,2.1322
2016-02-01,2.09,2.17,2.05,2.17,1017100,2.1322
2016-01-29,2.10,2.10,2.04,2.09,738700,2.05359
2016-01-28,2.09,2.13,2.03,2.09,2097700,2.05359
2016-01-27,2.04,2.09,2.00,2.09,1336500,2.05359
2016-01-26,2.05,2.05,2.05,2.05,000,2.01429
2016-01-25,1.97,2.05,1.97,2.05,1026000,2.01429
2016-01-22,1.93,1.955,1.89,1.95,975400,1.91603
2016-01-21,1.94,1.94,1.90,1.915,803600,1.88164
2016-01-20,1.895,1.93,1.89,1.915,690900,1.88164
2016-01-19,1.87,1.905,1.83,1.905,949400,1.87181
2016-01-18,1.915,1.915,1.885,1.905,667900,1.87181
2016-01-15,2.05,2.05,1.93,1.95,1072500,1.91603
2016-01-14,1.99,2.04,1.99,2.02,1121800,1.98481
2016-01-13,1.97,2.00,1.97,1.98,961400,1.94551
2016-01-12,1.96,1.995,1.94,1.95,694500,1.91603
2016-01-11,1.97,1.97,1.925,1.96,683400,1.92585
2016-01-08,2.00,2.02,1.975,1.99,917000,1.95533
2016-01-07,2.04,2.07,2.01,2.03,1212900,1.99463
2016-01-06,2.01,2.03,2.01,2.01,447800,1.97498
2016-01-05,2.04,2.05,2.00,2.02,1278100,1.98481
2016-01-04,1.92,2.05,1.92,2.05,968500,2.01429
2016-01-01,1.93,1.93,1.93,1.93,000,1.89638
2015-12-31,1.95,1.98,1.93,1.93,502300,1.89638
2015-12-30,2.00,2.00,1.925,1.96,403400,1.92585
2015-12-29,1.94,2.01,1.935,1.97,951300,1.93568
2015-12-28,1.94,1.94,1.94,1.94,000,1.9062
2015-12-25,1.94,1.94,1.94,1.94,000,1.9062
2015-12-24,2.00,2.00,1.92,1.94,368700,1.9062
2015-12-23,2.03,2.04,1.955,1.97,723600,1.93568
2015-12-22,2.00,2.06,1.985,2.02,1019300,1.98481
2015-12-21,1.97,2.03,1.955,1.995,2115800,1.96024
2015-12-18,2.06,2.07,1.955,1.97,12840200,1.93568
2015-12-17,2.18,2.19,2.10,2.10,985300,2.06341
2015-12-16,2.10,2.18,2.09,2.14,1018300,2.10272
2015-12-15,2.12,2.14,2.08,2.10,972300,2.06341
2015-12-14,2.14,2.14,2.07,2.14,1012600,2.10272
2015-12-11,2.11,2.17,2.11,2.14,1227500,2.10272
2015-12-10,2.10,2.11,2.065,2.11,1117800,2.07324
2015-12-09,2.05,2.15,2.04,2.12,1790800,2.08307
2015-12-08,2.02,2.05,2.00,2.05,885600,2.01429
2015-12-07,2.06,2.07,1.985,2.03,1107900,1.99463
2015-12-04,2.07,2.07,2.00,2.04,1028400,2.00446
2015-12-03,2.06,2.11,2.01,2.07,1399300,2.03394
2015-12-02,2.08,2.11,2.04,2.07,1079600,2.03394
2015-12-01,2.04,2.10,2.03,2.07,846100,2.03394
2015-11-30,2.06,2.06,2.01,2.05,2308800,2.01429
2015-11-27,2.09,2.13,2.01,2.06,1731700,2.02411
2015-11-26,2.06,2.10,2.05,2.08,1215900,2.04376
2015-11-25,2.06,2.09,2.04,2.05,1109800,2.01429
2015-11-24,2.09,2.09,2.02,2.06,1315900,2.02411
2015-11-23,2.08,2.11,2.05,2.09,1037600,2.05359
2015-11-20,2.02,2.06,2.005,2.04,1148500,2.00446
2015-11-19,2.01,2.08,1.985,2.00,1627200,1.96516
2015-11-18,2.05,2.08,1.995,1.995,1238400,1.96024
2015-11-17,1.935,2.05,1.93,2.05,3150200,2.01429
2015-11-16,1.95,1.96,1.915,1.935,1498100,1.90129
2015-11-13,1.93,1.96,1.887,1.96,2229600,1.92585
2015-11-12,1.94,1.99,1.93,1.95,1026000,1.91603
2015-11-11,1.88,1.98,1.875,1.94,1227700,1.9062
2015-11-10,1.90,1.905,1.86,1.88,691000,1.84725
2015-11-09,1.85,1.945,1.815,1.915,1024000,1.88164
2015-11-06,1.865,1.88,1.815,1.865,945200,1.83251
2015-11-05,1.90,1.90,1.805,1.86,1242100,1.8276
2015-11-04,1.975,1.975,1.865,1.89,798600,1.85707
2015-11-03,1.98,1.99,1.96,1.975,783200,1.90551
2015-11-02,1.98,2.00,1.955,1.985,1176300,1.91516
2015-10-30,1.97,2.00,1.955,1.98,1637600,1.91034
2015-10-29,1.935,1.97,1.92,1.97,1258000,1.90069
2015-10-28,1.94,1.95,1.90,1.905,7433100,1.83798
2015-10-27,1.94,1.965,1.885,1.95,1655000,1.88139
2015-10-26,1.88,1.96,1.835,1.93,1626300,1.8621
2015-10-23,1.735,1.83,1.73,1.805,1431900,1.7415
2015-10-22,1.78,1.8125,1.70,1.735,1324800,1.67396
2015-10-21,1.65,1.76,1.65,1.76,1060100,1.69808
2015-10-20,1.58,1.65,1.575,1.645,661700,1.58712
2015-10-19,1.56,1.58,1.555,1.58,445600,1.52441
2015-10-16,1.57,1.59,1.55,1.55,314900,1.49547
2015-10-15,1.53,1.59,1.53,1.565,486700,1.50994
2015-10-14,1.605,1.605,1.535,1.565,416100,1.50994
2015-10-13,1.605,1.62,1.59,1.59,259300,1.53406
2015-10-12,1.565,1.62,1.565,1.61,598800,1.55336
2015-10-09,1.57,1.575,1.55,1.56,877000,1.50512
2015-10-08,1.57,1.59,1.54,1.565,529000,1.50994
2015-10-07,1.56,1.585,1.545,1.575,531200,1.51959
2015-10-06,1.54,1.56,1.51,1.545,444200,1.49064
2015-10-05,1.52,1.545,1.515,1.53,186800,1.47617
2015-10-02,1.555,1.585,1.51,1.51,734500,1.45687
2015-10-01,1.545,1.59,1.53,1.585,355900,1.52924
2015-09-30,1.56,1.57,1.50,1.515,853900,1.4617
2015-09-29,1.61,1.61,1.56,1.56,267400,1.50512
2015-09-28,1.59,1.625,1.575,1.60,248100,1.54371
2015-09-25,1.59,1.63,1.555,1.63,513600,1.57265
2015-09-24,1.59,1.605,1.58,1.59,327300,1.53406
2015-09-23,1.61,1.615,1.575,1.59,133700,1.53406
2015-09-22,1.565,1.63,1.56,1.60,517500,1.54371
2015-09-21,1.595,1.62,1.585,1.615,371300,1.55818
2015-09-18,1.58,1.62,1.56,1.60,612700,1.54371
2015-09-17,1.57,1.59,1.55,1.585,443000,1.52924
2015-09-16,1.51,1.55,1.505,1.54,360300,1.48582
2015-09-15,1.58,1.58,1.465,1.50,816400,1.44723
2015-09-14,1.60,1.605,1.55,1.57,480700,1.51476
2015-09-11,1.64,1.64,1.60,1.605,348500,1.54853
2015-09-10,1.605,1.64,1.585,1.64,304200,1.5823
2015-09-09,1.555,1.60,1.52,1.60,595500,1.54371
2015-09-08,1.535,1.56,1.52,1.54,308700,1.48582
2015-09-07,1.57,1.575,1.515,1.535,303100,1.48099
2015-09-04,1.575,1.60,1.555,1.58,915000,1.52441
2015-09-03,1.64,1.64,1.525,1.58,726600,1.52441
2015-09-02,1.58,1.63,1.552,1.62,666000,1.563
2015-09-01,1.587,1.62,1.58,1.58,375200,1.52441
2015-08-31,1.67,1.67,1.567,1.625,731400,1.56783
2015-08-28,1.65,1.67,1.63,1.67,359700,1.61125
2015-08-27,1.61,1.65,1.60,1.65,357100,1.59195
2015-08-26,1.55,1.615,1.55,1.59,561500,1.53406
2015-08-25,1.525,1.60,1.515,1.60,824000,1.54371
2015-08-24,1.505,1.60,1.505,1.60,853500,1.54371
2015-08-21,1.60,1.61,1.535,1.60,629200,1.54371
2015-08-20,1.60,1.64,1.57,1.63,535000,1.57265
2015-08-19,1.60,1.625,1.585,1.59,721600,1.53406
2015-08-18,1.55,1.605,1.55,1.58,390700,1.52441
2015-08-17,1.56,1.565,1.55,1.55,107100,1.49547
2015-08-14,1.58,1.58,1.535,1.545,1313200,1.49064
2015-08-13,1.50,1.57,1.50,1.55,262700,1.49547
2015-08-12,1.555,1.57,1.51,1.515,854600,1.4617
2015-08-11,1.59,1.6025,1.55,1.565,386800,1.50994
2015-08-10,1.59,1.64,1.575,1.59,878700,1.53406
2015-08-07,1.68,1.685,1.57,1.59,725600,1.53406
