Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,4.01,4.06,3.94,3.95,477700,3.95
2016-06-30,3.90,4.04,3.82,4.02,827000,4.02
2016-06-29,3.86,4.00,3.67,3.93,639300,3.93
2016-06-28,3.95,3.98,3.82,3.86,638200,3.86
2016-06-27,4.42,4.42,3.96,4.00,515900,4.00
2016-06-24,3.63982,3.6478,3.41233,3.56,509700,3.56
2016-06-23,3.71964,3.71964,3.49215,3.61587,620500,3.61587
2016-06-22,3.80744,3.85534,3.6957,3.71964,792700,3.71964
2016-06-21,3.75157,3.91121,3.68771,3.79148,255300,3.79148
2016-06-20,3.67973,3.99103,3.67973,3.91121,125300,3.91121
2016-06-17,3.54803,3.58993,3.43628,3.52009,1128200,24.64063
2016-06-16,0.51883,0.52283,0.50287,0.50287,809700,3.52009
2016-06-15,0.52283,0.52682,0.50686,0.51085,939300,3.57596
2016-06-14,0.5348,0.5348,0.51883,0.52283,909400,3.65978
2016-06-13,0.53879,0.53879,0.53879,0.53879,000,3.77152
2016-06-10,0.5348,0.53879,0.52682,0.53879,381100,3.77152
2016-06-09,0.5348,0.54677,0.53081,0.53879,712200,3.77152
2016-06-08,0.54278,0.54278,0.53081,0.5348,427800,3.74359
2016-06-07,0.54278,0.55076,0.53879,0.54278,395200,3.79946
2016-06-06,0.54278,0.54677,0.5324,0.53879,519300,3.77152
2016-06-03,0.53879,0.54677,0.5348,0.53879,410500,3.77152
2016-06-02,0.53081,0.54278,0.51883,0.53081,748500,3.71565
2016-06-01,0.5348,0.55076,0.52283,0.52682,599500,3.68771
2016-05-31,0.53879,0.55076,0.52682,0.55076,827400,3.85534
2016-05-30,0.54278,0.54278,0.52283,0.52682,210300,3.68771
2016-05-27,0.55076,0.55076,0.53081,0.54278,259000,3.79946
2016-05-26,0.55076,0.55076,0.5324,0.53879,181500,3.77152
2016-05-25,0.53879,0.55276,0.53879,0.55076,1855700,3.85534
2016-05-24,0.54278,0.54677,0.52682,0.5348,328700,3.74359
2016-05-23,0.54677,0.55076,0.5348,0.54278,373800,3.79946
2016-05-20,0.55076,0.55076,0.52682,0.53879,370600,3.77152
2016-05-19,0.55076,0.55874,0.5348,0.55874,694000,3.91121
2016-05-18,0.55475,0.56274,0.54039,0.55874,945600,3.91121
2016-05-17,0.55874,0.56274,0.55076,0.55475,1601000,3.88327
2016-05-16,0.54677,0.55874,0.53879,0.55874,829000,3.91121
2016-05-13,0.54278,0.55874,0.51484,0.55874,3243400,3.91121
2016-05-12,0.48291,0.48291,0.48291,0.48291,000,3.3804
2016-05-11,0.48291,0.48291,0.48291,0.48291,000,3.3804
2016-05-10,0.48291,0.48291,0.48291,0.48291,000,3.3804
2016-05-09,0.48291,0.48291,0.48291,0.48291,000,3.3804
2016-05-06,0.48675,0.50016,0.46375,0.48291,321200,3.3804
2016-05-05,0.48291,0.49441,0.47525,0.49058,4428800,3.43406
2016-05-04,0.49058,0.49825,0.47908,0.48675,443400,3.40723
2016-05-03,0.49058,0.49441,0.47908,0.49058,251600,3.43406
2016-05-02,0.47525,0.49825,0.47525,0.49058,120700,3.43406
2016-04-29,0.46758,0.47525,0.46375,0.47525,79700,3.32675
2016-04-28,0.47908,0.48291,0.46758,0.46758,134700,3.27309
2016-04-27,0.47525,0.48675,0.46758,0.47142,548300,3.29992
2016-04-26,0.47525,0.48675,0.46375,0.47525,161700,3.32675
2016-04-25,0.47142,0.47142,0.47142,0.47142,000,3.29992
2016-04-22,0.47525,0.48675,0.46375,0.47142,195600,3.29992
2016-04-21,0.47908,0.481,0.47142,0.47525,393300,3.32675
2016-04-20,0.46375,0.49058,0.45992,0.47908,260600,3.35358
2016-04-19,0.47142,0.47142,0.47142,0.47142,000,3.29992
2016-04-18,0.12812,0.13469,0.12703,0.13469,730300,3.29992
2016-04-15,0.12703,0.13141,0.12637,0.12703,673100,3.11212
2016-04-14,0.12484,0.12867,0.12264,0.12703,279500,3.11212
2016-04-13,0.12374,0.12593,0.12089,0.12484,362300,3.05846
2016-04-12,0.12155,0.12374,0.12155,0.12264,63400,3.0048
2016-04-11,0.12484,0.12593,0.12155,0.12264,213300,3.0048
2016-04-08,0.12593,0.12593,0.12155,0.12484,245000,3.05846
2016-04-07,0.12812,0.12922,0.12593,0.12593,182800,3.08529
2016-04-06,0.12922,0.13031,0.12264,0.12703,142700,3.11212
2016-04-05,0.13469,0.13579,0.12812,0.12812,200200,3.13895
2016-04-04,0.13579,0.13907,0.1336,0.13469,187500,3.29992
2016-04-01,0.14126,0.14126,0.13184,0.13579,169300,3.32675
2016-03-31,0.13907,0.144,0.13622,0.14236,260100,3.48772
2016-03-30,0.14236,0.14236,0.1336,0.13798,300900,3.3804
2016-03-29,0.14126,0.14345,0.13732,0.14236,139100,3.48772
2016-03-28,0.14017,0.14017,0.14017,0.14017,000,3.43406
2016-03-25,0.14017,0.14017,0.14017,0.14017,000,3.43406
2016-03-24,0.1336,0.14126,0.1336,0.14017,137100,3.43406
2016-03-23,0.14017,0.14126,0.13141,0.14017,420500,3.43406
2016-03-22,0.13469,0.14236,0.13469,0.14017,194200,3.43406
2016-03-21,0.13031,0.13469,0.12922,0.13469,299300,3.29992
2016-03-18,0.12484,0.13031,0.12374,0.13031,740400,3.1926
2016-03-17,0.12264,0.12484,0.12264,0.12264,319700,3.0048
2016-03-16,0.12046,0.12527,0.12046,0.12484,475900,3.05846
2016-03-15,0.12264,0.12703,0.12264,0.12264,90900,3.0048
2016-03-14,0.12812,0.12812,0.12199,0.12264,264500,3.0048
2016-03-11,0.12703,0.12703,0.12046,0.12264,327300,3.0048
2016-03-10,0.12703,0.12812,0.12484,0.12593,677900,3.08529
2016-03-09,0.12703,0.12922,0.12374,0.12703,507400,3.11212
2016-03-08,0.13031,0.1336,0.12593,0.12593,258100,3.08529
2016-03-07,0.1336,0.13414,0.12922,0.13141,242400,3.21943
2016-03-04,0.1325,0.13469,0.13031,0.1325,303000,3.24626
2016-03-03,0.13141,0.13469,0.12812,0.13141,1721100,3.21943
2016-03-02,0.13579,0.13579,0.12812,0.13141,394900,3.21943
2016-03-01,0.12922,0.13622,0.12812,0.1336,489200,3.27309
2016-02-29,0.12264,0.13141,0.12264,0.13031,880100,3.1926
2016-02-26,0.11498,0.12319,0.11498,0.12155,614600,2.97798
2016-02-25,0.11388,0.11717,0.11169,0.11498,647000,2.817
2016-02-24,0.1106,0.11224,0.1095,0.1095,167500,2.68286
2016-02-23,0.10403,0.11279,0.10293,0.1095,277200,2.68286
2016-02-22,0.10841,0.1106,0.10184,0.10184,387200,2.49506
2016-02-19,0.11169,0.11169,0.10622,0.10841,88200,2.65603
2016-02-18,0.1106,0.11388,0.10512,0.11388,140200,2.79018
2016-02-17,0.11169,0.11169,0.10293,0.10841,201900,2.65603
2016-02-16,0.10512,0.11169,0.10074,0.11169,164600,2.73652
2016-02-15,0.10293,0.10622,0.10074,0.10293,167700,2.52189
2016-02-12,0.09965,0.10239,0.0979,0.10184,257200,2.49506
2016-02-11,0.10184,0.10403,0.09965,0.10403,188900,2.54872
2016-02-10,0.10293,0.10403,0.09965,0.10184,3819800,2.49506
2016-02-09,0.10403,0.1095,0.10074,0.10293,217800,2.52189
2016-02-08,0.11388,0.11607,0.10512,0.10622,218400,2.60237
2016-02-05,0.11717,0.11826,0.10841,0.11607,618100,2.84383
2016-02-04,0.11498,0.12046,0.11388,0.11717,448200,2.87066
2016-02-03,0.11169,0.11498,0.1095,0.11388,210700,2.79018
2016-02-02,0.11936,0.12046,0.11388,0.11388,76300,2.79018
2016-02-01,0.11388,0.12374,0.11388,0.11826,241800,2.89749
2016-01-29,0.11498,0.11607,0.1095,0.11279,144000,2.76335
2016-01-28,0.1106,0.11388,0.10841,0.11388,343900,2.79018
2016-01-27,0.1095,0.11388,0.10841,0.1106,276300,2.70969
2016-01-26,0.11279,0.11279,0.11279,0.11279,000,2.76335
2016-01-25,0.10841,0.11279,0.10622,0.11279,149000,2.76335
2016-01-22,0.1095,0.1095,0.10622,0.10731,128800,2.6292
2016-01-21,0.1106,0.1106,0.10731,0.10841,178300,2.65603
2016-01-20,0.10841,0.1106,0.10622,0.10622,328100,2.60237
2016-01-19,0.10841,0.1095,0.10622,0.10841,345700,2.65603
2016-01-18,0.10622,0.10841,0.10512,0.10841,97800,2.65603
2016-01-15,0.1106,0.1106,0.10775,0.10841,211000,2.65603
2016-01-14,0.10731,0.10896,0.10731,0.10731,115500,2.6292
2016-01-13,0.1095,0.11388,0.10731,0.11169,87400,2.73652
2016-01-12,0.1095,0.11169,0.10775,0.11169,140800,2.73652
2016-01-11,0.10512,0.11169,0.10184,0.1095,349300,2.68286
2016-01-08,0.10403,0.10896,0.10009,0.10731,242400,2.6292
2016-01-07,0.1106,0.11279,0.10622,0.10731,274100,2.6292
2016-01-06,0.11388,0.11388,0.1106,0.1106,260700,2.70969
2016-01-05,0.11169,0.11388,0.1106,0.1106,294800,2.70969
2016-01-04,0.11279,0.11717,0.11279,0.11388,135600,2.79018
2016-01-01,0.11498,0.11498,0.11498,0.11498,000,2.817
2015-12-31,0.11826,0.11826,0.11388,0.11498,76200,2.817
2015-12-30,0.11607,0.11826,0.11279,0.11826,181000,2.89749
2015-12-29,0.11388,0.11826,0.11169,0.11607,167400,2.84383
2015-12-28,0.11498,0.11498,0.11498,0.11498,000,2.817
2015-12-25,0.11498,0.11498,0.11498,0.11498,000,2.817
2015-12-24,0.11279,0.11498,0.11279,0.11498,30400,2.817
2015-12-23,0.1095,0.11169,0.10512,0.11169,1934400,2.73652
2015-12-22,0.10512,0.10841,0.10403,0.10512,88400,2.57555
2015-12-21,0.10403,0.10622,0.10228,0.10293,150300,2.52189
2015-12-18,0.10512,0.1095,0.10403,0.10403,276900,2.54872
2015-12-17,0.10184,0.1106,0.10074,0.1106,516100,2.70969
2015-12-16,0.10184,0.10184,0.09855,0.09965,457400,2.4414
2015-12-15,0.09636,0.10184,0.09636,0.10074,435000,2.46823
2015-12-14,0.09636,0.10074,0.09636,0.09636,548800,2.36092
2015-12-11,0.09746,0.09965,0.09417,0.09527,722200,2.33409
2015-12-10,0.10403,0.10403,0.09527,0.09636,208000,2.36092
2015-12-09,0.10622,0.10622,0.10293,0.10293,150000,2.52189
2015-12-08,0.10841,0.1106,0.10622,0.10622,187700,2.60237
2015-12-07,0.1106,0.11388,0.10841,0.1095,182900,2.68286
2015-12-04,0.1106,0.11169,0.10622,0.10841,344400,2.65603
2015-12-03,0.10841,0.11607,0.10731,0.11498,207200,2.817
2015-12-02,0.10622,0.11169,0.10403,0.10841,127700,2.65603
2015-12-01,0.10622,0.11005,0.10403,0.10622,3089900,2.60237
2015-11-30,0.10622,0.10731,0.10293,0.10403,320700,2.54872
2015-11-27,0.1095,0.1095,0.10622,0.10622,196800,2.60237
2015-11-26,0.10293,0.1095,0.10293,0.10841,461200,2.65603
2015-11-25,0.1095,0.1095,0.09965,0.10403,181100,2.54872
2015-11-24,0.1095,0.11169,0.10622,0.10622,528800,2.60237
2015-11-23,0.11169,0.11334,0.1106,0.11279,153800,2.76335
2015-11-20,0.11279,0.11279,0.1095,0.11279,344100,2.76335
2015-11-19,0.1095,0.11169,0.10731,0.11169,571400,2.73652
2015-11-18,0.10512,0.1095,0.10403,0.10731,188100,2.6292
2015-11-17,0.10731,0.10841,0.10403,0.10512,316600,2.57555
2015-11-16,0.10622,0.10841,0.10403,0.10403,172300,2.54872
2015-11-13,0.1095,0.11169,0.10731,0.10841,218000,2.65603
2015-11-12,0.1095,0.11388,0.1095,0.11169,212700,2.73652
2015-11-11,0.1095,0.11498,0.10841,0.11279,1218300,2.76335
2015-11-10,0.10622,0.1106,0.10512,0.10841,2126100,2.65603
2015-11-09,0.10841,0.10841,0.10556,0.10622,272500,2.60237
2015-11-06,0.10841,0.1106,0.10731,0.10841,96900,2.65603
2015-11-05,0.11498,0.11717,0.10622,0.10622,448600,2.60237
2015-11-04,0.11607,0.11936,0.11388,0.11388,210900,2.79018
2015-11-03,0.11498,0.11717,0.11388,0.11607,108800,2.84383
2015-11-02,0.11717,0.11717,0.11169,0.11279,115800,2.76335
2015-10-30,0.11279,0.11717,0.11169,0.11279,213400,2.76335
2015-10-29,0.11717,0.11772,0.11169,0.11279,279200,2.76335
2015-10-28,0.11717,0.11717,0.11279,0.11607,113900,2.84383
2015-10-27,0.11498,0.11717,0.11279,0.11717,243200,2.87066
2015-10-26,0.11717,0.11772,0.11388,0.11607,298800,2.84383
2015-10-23,0.11388,0.11826,0.11388,0.11717,206400,2.87066
2015-10-22,0.11498,0.11498,0.10885,0.11169,507900,2.73652
2015-10-21,0.11279,0.11662,0.1106,0.11607,161900,2.84383
2015-10-20,0.10841,0.11388,0.10841,0.11388,159100,2.79018
2015-10-19,0.1095,0.11169,0.10731,0.1095,66600,2.68286
2015-10-16,0.10841,0.11169,0.10622,0.10841,120300,2.65603
2015-10-15,0.10841,0.10841,0.10293,0.10403,195700,2.54872
2015-10-14,0.1095,0.11279,0.10403,0.10403,256200,2.54872
2015-10-13,0.11498,0.11498,0.10841,0.1095,125800,2.68286
2015-10-12,0.11498,0.11717,0.11279,0.11498,193200,2.817
2015-10-09,0.11388,0.11936,0.11279,0.11936,94800,2.92432
2015-10-08,0.11717,0.11826,0.1106,0.11169,149200,2.73652
2015-10-07,0.12046,0.12264,0.11388,0.11607,313300,2.84383
