Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,6.95,6.95,6.735,6.83,725800,6.83
2016-06-30,6.81,6.94,6.81,6.90,457500,6.90
2016-06-29,6.85,6.88,6.74,6.81,559900,6.81
2016-06-28,6.57,6.805,6.54,6.75,1332600,6.75
2016-06-27,6.51,6.78,6.40,6.70,617200,6.70
2016-06-24,6.97,7.02,6.56,6.62,538200,6.62
2016-06-23,6.91,6.95,6.81,6.93,407600,6.93
2016-06-22,6.97,7.04,6.91,6.94,321700,6.94
2016-06-21,6.88,7.045,6.785,6.96,450600,6.96
2016-06-20,6.74,6.90,6.70,6.89,509900,6.89
2016-06-17,6.71,6.73,6.62,6.70,1068700,6.70
2016-06-16,6.79,6.86,6.69,6.70,673500,6.70
2016-06-15,6.66,6.77,6.61,6.69,641700,6.69
2016-06-14,6.91,6.925,6.68,6.73,674400,6.73
2016-06-13,7.00,7.00,7.00,7.00,000,7.00
2016-06-10,6.99,7.065,6.94,7.00,395700,7.00
2016-06-09,6.98,7.03,6.89,7.00,410900,7.00
2016-06-08,7.13,7.14,6.94,6.97,430200,6.97
2016-06-07,7.15,7.22,7.07,7.10,824800,7.10
2016-06-06,7.20,7.26,7.10,7.11,619000,7.11
2016-06-03,7.27,7.30,7.14,7.18,552200,7.18
2016-06-02,7.05,7.24,7.05,7.23,1259700,7.23
2016-06-01,6.82,7.055,6.81,7.00,1355300,7.00
2016-05-31,6.90,6.94,6.83,6.84,4354400,6.84
2016-05-30,6.88,6.95,6.84,6.89,627600,6.89
2016-05-27,7.02,7.03,6.85,6.86,983500,6.86
2016-05-26,7.11,7.14,6.97,6.98,921500,6.98
2016-05-25,7.19,7.21,7.08,7.11,920000,7.11
2016-05-24,7.20,7.21,7.10,7.12,751900,7.12
2016-05-23,7.18,7.21,7.13,7.20,608300,7.20
2016-05-20,7.18,7.22,7.155,7.17,430100,7.17
2016-05-19,7.24,7.24,7.13,7.18,768500,7.18
2016-05-18,7.24,7.27,7.12,7.22,721300,7.22
2016-05-17,7.28,7.28,7.12,7.24,581100,7.24
2016-05-16,7.09,7.22,7.09,7.19,714600,7.19
2016-05-13,7.05,7.25,7.05,7.07,858000,7.07
2016-05-12,7.01,7.09,6.91,7.01,835100,7.01
2016-05-11,6.95,7.05,6.89,7.01,1464000,7.01
2016-05-10,6.65,6.93,6.64,6.92,1032700,6.92
2016-05-09,6.74,6.75,6.58,6.65,495900,6.65
2016-05-06,6.56,6.61,6.40,6.55,793900,6.55
2016-05-05,6.75,6.81,6.54,6.58,916500,6.58
2016-05-04,6.72,6.77,6.62,6.71,687200,6.71
2016-05-03,6.42,6.83,6.42,6.63,1514900,6.63
2016-05-02,6.25,6.52,6.24,6.46,717000,6.46
2016-04-29,6.39,6.40,6.22,6.31,909200,6.31
2016-04-28,6.53,6.54,6.41,6.41,570400,6.41
2016-04-27,6.48,6.63,6.22,6.48,550500,6.48
2016-04-26,6.55,6.69,6.42,6.52,674800,6.52
2016-04-25,6.51,6.51,6.51,6.51,000,6.51
2016-04-22,6.81,6.835,6.48,6.51,442900,6.51
2016-04-21,6.87,6.87,6.69,6.81,927200,6.81
2016-04-20,6.70,6.74,6.59,6.63,520900,6.63
2016-04-19,7.00,7.00,6.57,6.62,747600,6.62
2016-04-18,6.98,7.00,6.90,6.95,392100,6.95
2016-04-15,6.93,7.05,6.91,6.99,476200,6.99
2016-04-14,6.81,6.91,6.75,6.89,233900,6.89
2016-04-13,6.90,6.97,6.72,6.73,867900,6.73
2016-04-12,6.91,6.96,6.81,6.85,517100,6.85
2016-04-11,7.00,7.00,6.78,6.93,315300,6.93
2016-04-08,6.94,7.06,6.90,7.01,446400,7.01
2016-04-07,6.94,7.00,6.85,6.95,426400,6.95
2016-04-06,6.75,6.99,6.74,6.90,1229000,6.90
2016-04-05,6.55,6.96,6.55,6.79,1417700,6.79
2016-04-04,6.35,6.41,6.30,6.38,517800,6.38
2016-04-01,6.43,6.49,6.31,6.31,1126200,6.31
2016-03-31,6.43,6.52,6.39,6.48,945900,6.48
2016-03-30,6.33,6.39,6.26,6.37,364100,6.37
2016-03-29,6.36,6.40,6.25,6.29,357800,6.29
2016-03-28,6.35,6.35,6.35,6.35,000,6.35
2016-03-25,6.35,6.35,6.35,6.35,000,6.35
2016-03-24,6.30,6.40,6.23,6.35,745300,6.35
2016-03-23,6.35,6.39,6.29,6.34,2175600,6.34
2016-03-22,6.38,6.40,6.31,6.34,692400,6.34
2016-03-21,6.55,6.56,6.32,6.32,857300,6.32
2016-03-18,6.32,6.44,6.31,6.35,4382800,6.35
2016-03-17,6.15,6.32,6.12,6.25,1919100,6.25
2016-03-16,6.10,6.17,6.00,6.11,550900,6.11
2016-03-15,6.16,6.18,6.05,6.07,310500,6.07
2016-03-14,6.02,6.15,5.96,6.13,562200,6.13
2016-03-11,5.81,6.02,5.75,5.95,473800,5.95
2016-03-10,5.61,5.77,5.55,5.74,591300,5.74
2016-03-09,5.63,5.64,5.55,5.61,1328600,5.61
2016-03-08,5.98,6.00,5.66,5.75,750000,5.593
2016-03-07,5.94,6.02,5.87,5.96,733800,5.797
2016-03-04,5.99,5.99,5.83,5.89,1167700,5.729
2016-03-03,5.94,5.99,5.85,5.97,1064400,5.807
2016-03-02,6.06,6.15,5.89,5.90,909600,5.739
2016-03-01,6.06,6.06,5.90,6.02,1149300,5.856
2016-02-29,6.08,6.11,6.01,6.10,720300,5.933
2016-02-26,6.11,6.13,6.02,6.05,638700,5.885
2016-02-25,5.96,6.17,5.92,6.09,1319400,5.924
2016-02-24,5.88,5.97,5.80,5.90,1028200,5.739
2016-02-23,5.89,6.00,5.73,5.90,3564600,5.739
2016-02-22,6.15,6.23,5.80,5.85,1428200,5.69
2016-02-19,5.65,5.90,5.56,5.70,563600,5.544
2016-02-18,5.51,5.74,5.51,5.67,642700,5.515
2016-02-17,5.50,5.59,5.45,5.51,298300,5.359
2016-02-16,5.30,5.50,5.30,5.44,810900,5.291
2016-02-15,5.15,5.46,5.11,5.34,713800,5.194
2016-02-12,5.05,5.11,5.00,5.09,457800,4.951
2016-02-11,5.05,5.14,5.00,5.14,404900,5.00
2016-02-10,5.03,5.14,4.90,5.05,1129000,4.912
2016-02-09,5.20,5.29,4.96,5.01,1837900,4.873
2016-02-08,5.44,5.65,5.36,5.44,412100,5.291
2016-02-05,5.66,5.66,5.55,5.62,324700,5.466
2016-02-04,5.66,5.715,5.64,5.64,387000,5.486
2016-02-03,5.84,5.87,5.61,5.61,504300,5.457
2016-02-02,6.08,6.09,5.905,5.94,486500,5.778
2016-02-01,6.06,6.13,5.96,6.06,382300,5.894
2016-01-29,6.03,6.08,5.94,6.00,491400,5.836
2016-01-28,6.02,6.08,5.94,6.02,727200,5.856
