Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.125,0.125,0.125,0.125,100000,0.125
2016-06-30,0.125,0.125,0.125,0.125,266800,0.125
2016-06-29,0.12,0.125,0.12,0.125,835000,0.125
2016-06-28,0.122,0.1225,0.122,0.122,113000,0.12017
2016-06-27,0.12,0.125,0.12,0.125,245600,0.12313
2016-06-24,0.125,0.125,0.125,0.125,84900,0.12313
2016-06-23,0.125,0.125,0.122,0.122,270500,0.12017
2016-06-22,0.125,0.125,0.12,0.125,1483300,0.12313
2016-06-21,0.125,0.125,0.125,0.125,63700,0.12313
2016-06-20,0.125,0.125,0.125,0.125,000,0.12313
2016-06-17,0.125,0.125,0.125,0.125,6400,0.12313
2016-06-16,0.13,0.13,0.13,0.13,000,0.12805
2016-06-15,0.13,0.13,0.13,0.13,000,0.12805
2016-06-14,0.13,0.13,0.13,0.13,273000,0.12805
2016-06-13,0.13,0.13,0.13,0.13,000,0.12805
2016-06-10,0.125,0.13,0.125,0.13,271900,0.12805
2016-06-09,0.13,0.13,0.13,0.13,000,0.12805
2016-06-08,0.13,0.13,0.13,0.13,296400,0.12805
2016-06-07,0.13,0.13,0.125,0.13,1276100,0.12805
2016-06-06,0.125,0.125,0.125,0.125,000,0.12313
2016-06-03,0.125,0.125,0.125,0.125,134500,0.12313
2016-06-02,0.125,0.13,0.125,0.13,406800,0.12805
2016-06-01,0.13,0.13,0.13,0.13,000,0.12805
2016-05-31,0.13,0.13,0.13,0.13,900000,0.12805
2016-05-30,0.13,0.13,0.13,0.13,652600,0.12805
2016-05-27,0.13,0.13,0.125,0.13,1142200,0.12805
2016-05-26,0.13,0.13,0.13,0.13,31000,0.12805
2016-05-25,0.13,0.13,0.13,0.13,401200,0.12805
2016-05-24,0.125,0.13,0.125,0.13,1157900,0.12805
2016-05-23,0.125,0.13,0.125,0.13,397800,0.12805
2016-05-20,0.125,0.125,0.125,0.125,280000,0.12313
2016-05-19,0.125,0.125,0.125,0.125,261100,0.12313
2016-05-18,0.125,0.125,0.125,0.125,1416000,0.12313
2016-05-17,0.125,0.125,0.125,0.125,618000,0.12313
2016-05-16,0.125,0.125,0.12,0.125,788300,0.12313
2016-05-13,0.125,0.125,0.125,0.125,1114600,0.12313
2016-05-12,0.125,0.125,0.125,0.125,000,0.12313
2016-05-11,0.125,0.125,0.125,0.125,732300,0.12313
2016-05-10,0.125,0.125,0.12,0.125,415400,0.12313
2016-05-09,0.125,0.125,0.125,0.125,16000,0.12313
2016-05-06,0.12,0.125,0.12,0.125,2617100,0.12313
2016-05-05,0.12,0.125,0.12,0.125,315000,0.12313
2016-05-04,0.12,0.12,0.12,0.12,79400,0.1182
2016-05-03,0.12,0.12,0.12,0.12,384400,0.1182
2016-05-02,0.12,0.12,0.12,0.12,000,0.1182
2016-04-29,0.12,0.12,0.12,0.12,000,0.1182
2016-04-28,0.12,0.12,0.12,0.12,000,0.1182
2016-04-27,0.12,0.12,0.12,0.12,000,0.1182
2016-04-26,0.12,0.12,0.12,0.12,000,0.1182
2016-04-25,0.12,0.12,0.12,0.12,000,0.1182
2016-04-22,0.12,0.12,0.12,0.12,19500,0.1182
2016-04-21,0.12,0.12,0.12,0.12,9900,0.1182
2016-04-20,0.12,0.12,0.12,0.12,000,0.1182
2016-04-19,0.115,0.12,0.115,0.12,1245300,0.1182
2016-04-18,0.115,0.115,0.115,0.115,000,0.11328
2016-04-15,0.115,0.115,0.115,0.115,000,0.11328
2016-04-14,0.115,0.115,0.115,0.115,7800,0.11328
2016-04-13,0.115,0.115,0.115,0.115,2052100,0.11328
2016-04-12,0.11,0.11,0.11,0.11,2940100,0.10835
2016-04-11,0.11,0.11,0.11,0.11,112700,0.10835
2016-04-08,0.11,0.11,0.11,0.11,14600,0.10835
2016-04-07,0.11,0.11,0.11,0.11,67800,0.10835
2016-04-06,0.11,0.11,0.11,0.11,000,0.10835
