Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.60,2.73,2.58,2.68,257100,2.68
2016-06-30,2.65,2.74,2.56,2.59,241000,2.59
2016-06-29,2.64,2.65,2.53,2.61,139400,2.61
2016-06-28,2.50,2.54,2.47,2.50,226900,2.50
2016-06-27,2.31,2.56,2.25,2.54,178200,2.54
2016-06-24,2.55,2.585,2.38,2.38,275500,2.38
2016-06-23,2.60,2.61,2.52,2.52,345700,2.52
2016-06-22,2.45,2.58,2.44,2.54,208600,2.54
2016-06-21,2.42,2.46,2.39,2.44,95100,2.44
2016-06-20,2.43,2.46,2.35,2.37,1465200,2.37
2016-06-17,2.40,2.45,2.36,2.45,286400,2.45
2016-06-16,2.41,2.44,2.36,2.39,66300,2.39
2016-06-15,2.40,2.43,2.37,2.41,78600,2.41
2016-06-14,2.46,2.465,2.30,2.38,287500,2.38
2016-06-13,2.49,2.49,2.49,2.49,000,2.49
2016-06-10,2.42,2.50,2.42,2.49,127000,2.49
2016-06-09,2.49,2.495,2.40,2.46,156900,2.46
2016-06-08,2.50,2.50,2.46,2.49,237800,2.49
2016-06-07,2.38,2.50,2.38,2.46,527100,2.46
2016-06-06,2.32,2.39,2.32,2.34,187200,2.34
2016-06-03,2.39,2.405,2.32,2.32,116400,2.32
2016-06-02,2.30,2.41,2.23,2.35,645400,2.35
2016-06-01,2.31,2.35,2.23,2.28,589700,2.28
2016-05-31,2.38,2.38,2.28,2.30,253400,2.30
2016-05-30,2.33,2.45,2.30,2.36,602200,2.36
2016-05-27,2.07,2.28,2.07,2.21,4112100,2.21
2016-05-26,1.96,1.96,1.93,1.93,78300,1.93
2016-05-25,1.94,1.9675,1.94,1.96,77700,1.96
2016-05-24,1.93,1.94,1.92,1.925,29100,1.925
2016-05-23,1.95,1.96,1.93,1.95,17300,1.95
2016-05-20,1.94,1.95,1.93,1.95,15200,1.95
2016-05-19,1.93,1.96,1.93,1.935,60500,1.935
2016-05-18,2.02,2.02,1.905,1.92,135100,1.92
2016-05-17,1.99,2.04,1.97,2.00,108300,2.00
2016-05-16,2.00,2.01,1.96,1.96,59600,1.96
2016-05-13,1.97,1.99,1.955,1.99,147900,1.99
2016-05-12,2.01,2.05,1.96,1.97,68300,1.97
2016-05-11,1.99,2.08,1.98,2.01,301200,2.01
2016-05-10,1.96,1.975,1.95,1.975,180900,1.975
2016-05-09,1.95,1.97,1.94,1.95,170900,1.95
2016-05-06,1.89,1.94,1.855,1.94,286700,1.94
2016-05-05,1.87,1.935,1.865,1.90,230200,1.90
2016-05-04,1.83,1.85,1.80,1.825,61700,1.825
2016-05-03,1.85,1.855,1.825,1.835,203100,1.835
2016-05-02,1.82,1.88,1.80,1.85,111100,1.85
2016-04-29,1.88,1.88,1.765,1.83,63000,1.83
2016-04-28,1.82,1.875,1.81,1.85,88900,1.85
2016-04-27,1.86,1.865,1.75,1.80,91100,1.80
2016-04-26,1.95,1.95,1.86,1.865,219600,1.865
2016-04-25,1.90,1.90,1.90,1.90,000,1.90
2016-04-22,1.85,1.93,1.83,1.90,226700,1.90
2016-04-21,1.80,1.86,1.785,1.85,201000,1.85
2016-04-20,1.77,1.815,1.73,1.78,361700,1.78
2016-04-19,1.74,1.76,1.69,1.74,148400,1.74
2016-04-18,1.74,1.74,1.70,1.70,141100,1.70
2016-04-15,1.715,1.75,1.715,1.74,27900,1.74
2016-04-14,1.70,1.73,1.68,1.70,162600,1.70
2016-04-13,1.72,1.72,1.675,1.68,145000,1.68
2016-04-12,1.755,1.755,1.71,1.71,246000,1.71
2016-04-11,1.68,1.80,1.68,1.70,567600,1.70
2016-04-08,1.695,1.695,1.67,1.69,37900,1.69
2016-04-07,1.68,1.695,1.665,1.695,2867400,1.695
2016-04-06,1.65,1.695,1.65,1.695,118700,1.695
2016-04-05,1.63,1.68,1.62,1.645,274500,1.645
2016-04-04,1.60,1.60,1.57,1.59,39700,1.59
2016-04-01,1.62,1.62,1.56,1.60,63100,1.60
2016-03-31,1.60,1.66,1.59,1.59,49100,1.59
2016-03-30,1.61,1.645,1.55,1.62,109900,1.62
2016-03-29,1.665,1.665,1.615,1.645,29500,1.645
2016-03-28,1.665,1.665,1.665,1.665,000,1.665
2016-03-25,1.665,1.665,1.665,1.665,000,1.665
2016-03-24,1.67,1.69,1.63,1.665,31600,1.665
