Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.007,0.007,0.007,0.007,000,0.007
2016-06-30,0.007,0.007,0.007,0.007,116200,0.007
2016-06-29,0.007,0.007,0.007,0.007,1548300,0.007
2016-06-28,0.007,0.007,0.007,0.007,3614400,0.007
2016-06-27,0.007,0.007,0.006,0.006,8132000,0.006
2016-06-24,0.008,0.008,0.007,0.007,4802000,0.007
2016-06-23,0.008,0.008,0.007,0.007,2434100,0.007
2016-06-22,0.007,0.008,0.007,0.008,12244600,0.008
2016-06-21,0.007,0.007,0.006,0.007,15964900,0.007
2016-06-20,0.007,0.0075,0.007,0.007,10295100,0.007
2016-06-17,0.007,0.007,0.007,0.007,23139500,0.007
2016-06-16,0.007,0.007,0.006,0.006,20534400,0.006
2016-06-15,0.01,0.01,0.01,0.01,000,0.01
2016-06-14,0.01,0.01,0.01,0.01,000,0.01
2016-06-13,0.01,0.01,0.01,0.01,000,0.01
2016-06-10,0.009,0.01,0.009,0.01,664000,0.01
2016-06-09,0.009,0.009,0.009,0.009,90000,0.009
2016-06-08,0.01,0.011,0.01,0.01,1150000,0.01
2016-06-07,0.01,0.0105,0.009,0.01,8061800,0.01
2016-06-06,0.011,0.011,0.011,0.011,1876300,0.011
2016-06-03,0.011,0.011,0.011,0.011,95000,0.011
2016-06-02,0.011,0.012,0.011,0.012,326900,0.012
2016-06-01,0.013,0.013,0.009,0.011,15490800,0.011
2016-05-31,0.014,0.014,0.013,0.013,1604200,0.013
2016-05-30,0.015,0.015,0.014,0.014,574000,0.014
2016-05-27,0.013,0.014,0.013,0.0135,946500,0.0135
2016-05-26,0.014,0.014,0.014,0.014,000,0.014
2016-05-25,0.014,0.014,0.013,0.014,973500,0.014
2016-05-24,0.013,0.0135,0.013,0.013,1364900,0.013
2016-05-23,0.013,0.0135,0.013,0.0135,2633600,0.0135
2016-05-20,0.013,0.013,0.013,0.013,4429400,0.013
2016-05-19,0.014,0.014,0.013,0.013,4947700,0.013
2016-05-18,0.014,0.0145,0.014,0.014,739300,0.014
2016-05-17,0.015,0.015,0.015,0.015,000,0.015
2016-05-16,0.015,0.0165,0.015,0.015,11998200,0.015
2016-05-13,0.014,0.015,0.013,0.015,7389300,0.015
2016-05-12,0.013,0.014,0.013,0.014,4400800,0.014
2016-05-11,0.013,0.013,0.012,0.013,3979800,0.013
2016-05-10,0.015,0.015,0.013,0.014,12253500,0.014
2016-05-09,0.014,0.015,0.014,0.015,4869900,0.015
2016-05-06,0.014,0.015,0.014,0.014,15176800,0.014
2016-05-05,0.015,0.015,0.014,0.014,16442900,0.014
2016-05-04,0.016,0.016,0.016,0.016,937500,0.016
2016-05-03,0.015,0.016,0.015,0.016,8910200,0.016
2016-05-02,0.016,0.016,0.015,0.015,1443400,0.015
2016-04-29,0.016,0.016,0.015,0.016,2193900,0.016
2016-04-28,0.016,0.017,0.016,0.016,13986700,0.016
2016-04-27,0.015,0.017,0.014,0.017,9277400,0.017
2016-04-26,0.015,0.016,0.014,0.014,7811300,0.014
2016-04-25,0.014,0.014,0.014,0.014,000,0.014
2016-04-22,0.017,0.017,0.014,0.014,10379300,0.014
2016-04-21,0.016,0.017,0.016,0.017,5454300,0.017
2016-04-20,0.015,0.018,0.015,0.015,17885400,0.015
2016-04-19,0.014,0.016,0.013,0.016,25319900,0.016
2016-04-18,0.014,0.019,0.014,0.015,58128600,0.015
2016-04-15,0.014,0.014,0.014,0.014,000,0.014
2016-04-14,0.014,0.014,0.014,0.014,000,0.014
2016-04-13,0.014,0.014,0.014,0.014,000,0.014
2016-04-12,0.014,0.014,0.014,0.014,000,0.014
2016-04-11,0.014,0.014,0.014,0.014,000,0.014
2016-04-08,0.014,0.014,0.014,0.014,000,0.014
2016-04-07,0.014,0.014,0.014,0.014,000,0.014
2016-04-06,0.011,0.014,0.011,0.014,10104500,0.014
2016-04-05,0.013,0.013,0.011,0.011,7608900,0.011
2016-04-04,0.009,0.013,0.009,0.013,18900500,0.013
2016-04-01,0.009,0.009,0.009,0.009,180000,0.009
2016-03-31,0.009,0.009,0.009,0.009,1400000,0.009
2016-03-30,0.009,0.009,0.009,0.009,3354500,0.009
2016-03-29,0.009,0.009,0.009,0.009,525000,0.009
2016-03-28,0.009,0.009,0.009,0.009,000,0.009
2016-03-25,0.009,0.009,0.009,0.009,000,0.009
2016-03-24,0.009,0.01,0.009,0.009,567200,0.009
2016-03-23,0.009,0.009,0.009,0.009,2878600,0.009
2016-03-22,0.009,0.009,0.008,0.009,2642700,0.009
2016-03-21,0.009,0.009,0.008,0.008,2560000,0.008
2016-03-18,0.009,0.009,0.009,0.009,3187200,0.009
2016-03-17,0.009,0.009,0.009,0.009,3650800,0.009
2016-03-16,0.01,0.01,0.01,0.01,000,0.01
2016-03-15,0.009,0.01,0.009,0.01,5011400,0.01
2016-03-14,0.01,0.01,0.008,0.008,10003800,0.008
2016-03-11,0.01,0.01,0.01,0.01,3336600,0.01
2016-03-10,0.012,0.012,0.01,0.01,5189800,0.01
2016-03-09,0.011,0.012,0.011,0.012,2091300,0.012
2016-03-08,0.012,0.012,0.011,0.011,1803500,0.011
2016-03-07,0.011,0.012,0.011,0.012,4396500,0.012
