Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.197,1.20,1.18,1.195,88400,1.195
2016-06-30,1.19,1.21,1.18,1.20,32400,1.20
2016-06-29,1.18,1.20,1.165,1.195,6019200,1.195
2016-06-28,1.23,1.23,1.22,1.22,245100,1.174
2016-06-27,1.225,1.25,1.22,1.22,1500100,1.174
2016-06-24,1.22,1.24,1.215,1.22,2133000,1.174
2016-06-23,1.22,1.22,1.215,1.22,949700,1.174
2016-06-22,1.225,1.23,1.22,1.22,115900,1.174
2016-06-21,1.205,1.225,1.195,1.22,737900,1.174
2016-06-20,1.19,1.21,1.19,1.205,5300,1.15957
2016-06-17,1.21,1.21,1.19,1.20,525400,1.15475
2016-06-16,1.21,1.225,1.20,1.21,199600,1.16438
2016-06-15,1.22,1.23,1.20,1.225,483500,1.17881
2016-06-14,1.23,1.24,1.23,1.23,11217300,1.18362
2016-06-13,1.23,1.23,1.23,1.23,000,1.18362
2016-06-10,1.22,1.23,1.21,1.23,172500,1.18362
2016-06-09,1.22,1.22,1.215,1.215,26300,1.16919
2016-06-08,1.19,1.295,1.185,1.22,1147000,1.174
2016-06-07,1.18,1.18,1.18,1.18,40100,1.13551
2016-06-06,1.17,1.18,1.17,1.18,282400,1.13551
2016-06-03,1.18,1.18,1.175,1.175,191400,1.1307
2016-06-02,1.175,1.19,1.175,1.19,108500,1.14513
2016-06-01,1.18,1.185,1.17,1.17,317000,1.12589
2016-05-31,1.18,1.195,1.175,1.175,292500,1.1307
2016-05-30,1.15,1.15,1.15,1.15,10000,1.10664
2016-05-27,1.16,1.16,1.16,1.16,53600,1.11626
2016-05-26,1.17,1.17,1.16,1.16,97800,1.11626
2016-05-25,1.155,1.16,1.155,1.16,245500,1.11626
2016-05-24,1.15,1.155,1.15,1.15,201700,1.10664
2016-05-23,1.15,1.15,1.145,1.145,761100,1.10183
2016-05-20,1.15,1.15,1.14,1.145,1014300,1.10183
2016-05-19,1.14,1.15,1.14,1.145,21500,1.10183
2016-05-18,1.155,1.155,1.14,1.14,115800,1.09702
2016-05-17,1.155,1.16,1.152,1.16,100100,1.11626
2016-05-16,1.15,1.165,1.145,1.165,335200,1.12107
2016-05-13,1.16,1.17,1.15,1.165,56100,1.12107
2016-05-12,1.145,1.155,1.14,1.155,106100,1.11145
2016-05-11,1.155,1.16,1.145,1.145,55000,1.10183
2016-05-10,1.135,1.15,1.132,1.15,45900,1.10664
2016-05-09,1.12,1.125,1.12,1.125,20900,1.08258
2016-05-06,1.10,1.11,1.10,1.10,216000,1.05852
2016-05-05,1.115,1.115,1.085,1.10,80200,1.05852
2016-05-04,1.12,1.12,1.12,1.12,14000,1.07777
2016-05-03,1.125,1.135,1.125,1.125,628500,1.08258
2016-05-02,1.13,1.13,1.115,1.115,8100,1.07296
2016-04-29,1.15,1.155,1.15,1.15,49600,1.10664
2016-04-28,1.15,1.16,1.15,1.16,4000,1.11626
2016-04-27,1.12,1.15,1.12,1.145,20600,1.10183
2016-04-26,1.11,1.11,1.11,1.11,000,1.06815
2016-04-25,1.11,1.11,1.11,1.11,000,1.06815
2016-04-22,1.115,1.115,1.105,1.11,16900,1.06815
2016-04-21,1.115,1.16,1.115,1.16,4400,1.11626
2016-04-20,1.115,1.115,1.115,1.115,29500,1.07296
2016-04-19,1.12,1.12,1.115,1.115,9900,1.07296
2016-04-18,1.11,1.11,1.11,1.11,100,1.06815
