Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.018,0.018,0.018,0.018,200000,0.018
2016-06-30,0.016,0.017,0.016,0.017,280800,0.017
2016-06-29,0.017,0.017,0.016,0.016,3365600,0.016
2016-06-28,0.018,0.018,0.018,0.018,1100000,0.018
2016-06-27,0.018,0.018,0.018,0.018,000,0.018
2016-06-24,0.018,0.018,0.018,0.018,1000000,0.018
2016-06-23,0.018,0.018,0.018,0.018,30000,0.018
2016-06-22,0.017,0.017,0.017,0.017,000,0.017
2016-06-21,0.017,0.017,0.017,0.017,000,0.017
2016-06-20,0.017,0.017,0.017,0.017,000,0.017
2016-06-17,0.017,0.017,0.017,0.017,332400,0.017
2016-06-16,0.017,0.017,0.017,0.017,1000000,0.017
2016-06-15,0.017,0.017,0.017,0.017,21100,0.017
2016-06-14,0.017,0.018,0.016,0.018,525800,0.018
2016-06-13,0.018,0.018,0.018,0.018,000,0.018
2016-06-10,0.017,0.018,0.017,0.018,291000,0.018
2016-06-09,0.017,0.017,0.017,0.017,000,0.017
2016-06-08,0.017,0.017,0.017,0.017,000,0.017
2016-06-07,0.018,0.018,0.017,0.017,359200,0.017
2016-06-06,0.017,0.018,0.017,0.018,523700,0.018
2016-06-03,0.017,0.017,0.016,0.016,61200,0.016
2016-06-02,0.019,0.019,0.017,0.017,4392000,0.017
2016-06-01,0.019,0.019,0.019,0.019,1180000,0.019
2016-05-31,0.018,0.02,0.018,0.02,633400,0.02
2016-05-30,0.019,0.019,0.019,0.019,485000,0.019
2016-05-27,0.02,0.02,0.019,0.019,584900,0.019
2016-05-26,0.02,0.02,0.019,0.019,582200,0.019
2016-05-25,0.019,0.02,0.018,0.018,363400,0.018
2016-05-24,0.019,0.02,0.019,0.019,618900,0.019
2016-05-23,0.019,0.02,0.019,0.02,1115800,0.02
2016-05-20,0.018,0.018,0.018,0.018,50000,0.018
2016-05-19,0.018,0.019,0.018,0.019,136100,0.019
2016-05-18,0.018,0.018,0.017,0.017,268400,0.017
2016-05-17,0.018,0.018,0.018,0.018,308300,0.018
2016-05-16,0.018,0.019,0.018,0.018,1760300,0.018
2016-05-13,0.018,0.019,0.018,0.018,411700,0.018
2016-05-12,0.016,0.016,0.016,0.016,000,0.016
2016-05-11,0.016,0.016,0.016,0.016,000,0.016
2016-05-10,0.018,0.018,0.016,0.016,277100,0.016
2016-05-09,0.018,0.018,0.016,0.016,294500,0.016
2016-05-06,0.018,0.018,0.017,0.017,585000,0.017
2016-05-05,0.018,0.019,0.018,0.019,256300,0.019
2016-05-04,0.018,0.018,0.017,0.017,756700,0.017
2016-05-03,0.018,0.018,0.018,0.018,980400,0.018
