Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.013,0.013,0.013,0.013,000,0.013
2016-06-30,0.013,0.013,0.013,0.013,306700,0.013
2016-06-29,0.013,0.013,0.013,0.013,159500,0.013
2016-06-28,0.014,0.014,0.013,0.013,155700,0.013
2016-06-27,0.014,0.014,0.014,0.014,148400,0.014
2016-06-24,0.014,0.014,0.014,0.014,1354200,0.014
2016-06-23,0.014,0.014,0.014,0.014,278500,0.014
2016-06-22,0.016,0.016,0.016,0.016,000,0.016
2016-06-21,0.015,0.016,0.015,0.016,900000,0.016
2016-06-20,0.015,0.015,0.015,0.015,320000,0.015
2016-06-17,0.014,0.014,0.013,0.014,1288400,0.014
2016-06-16,0.016,0.016,0.014,0.014,2190100,0.014
2016-06-15,0.015,0.015,0.015,0.015,873100,0.015
2016-06-14,0.016,0.016,0.016,0.016,250000,0.016
2016-06-13,0.016,0.016,0.016,0.016,000,0.016
2016-06-10,0.015,0.016,0.015,0.016,464400,0.016
2016-06-09,0.015,0.015,0.015,0.015,20000,0.015
2016-06-08,0.015,0.015,0.015,0.015,55000,0.015
2016-06-07,0.015,0.015,0.015,0.015,199800,0.015
2016-06-06,0.015,0.015,0.015,0.015,745300,0.015
2016-06-03,0.014,0.014,0.014,0.014,000,0.014
2016-06-02,0.014,0.014,0.014,0.014,126600,0.014
2016-06-01,0.014,0.014,0.014,0.014,524200,0.014
2016-05-31,0.014,0.015,0.014,0.015,538700,0.015
2016-05-30,0.014,0.014,0.014,0.014,66700,0.014
2016-05-27,0.014,0.014,0.014,0.014,35700,0.014
2016-05-26,0.014,0.014,0.014,0.014,315300,0.014
2016-05-25,0.015,0.015,0.014,0.014,93400,0.014
2016-05-24,0.014,0.014,0.014,0.014,000,0.014
2016-05-23,0.014,0.014,0.014,0.014,78200,0.014
2016-05-20,0.014,0.014,0.014,0.014,500000,0.014
2016-05-19,0.016,0.016,0.015,0.015,304500,0.015
2016-05-18,0.015,0.017,0.015,0.016,1164000,0.016
2016-05-17,0.016,0.016,0.015,0.015,650000,0.015
2016-05-16,0.015,0.016,0.015,0.016,734500,0.016
2016-05-13,0.014,0.015,0.013,0.013,213700,0.013
2016-05-12,0.015,0.016,0.014,0.014,1920000,0.014
2016-05-11,0.016,0.016,0.015,0.015,482300,0.015
