Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.75,1.75,1.75,1.75,65300,1.75
2016-06-30,1.72,1.72,1.72,1.72,50000,1.72
2016-06-29,1.74,1.74,1.74,1.74,000,1.74
2016-06-28,1.70,1.70,1.70,1.70,42500,1.70
2016-06-27,1.79,1.79,1.79,1.79,000,1.79
2016-06-24,1.79,1.79,1.79,1.79,000,1.79
2016-06-23,1.75,1.75,1.75,1.75,220600,1.75
2016-06-22,1.79,1.79,1.79,1.79,000,1.79
2016-06-21,1.75,1.75,1.75,1.75,7200,1.75
2016-06-20,1.71,1.71,1.71,1.71,22800,1.71
2016-06-17,1.77,1.77,1.77,1.77,000,1.77
2016-06-16,1.71,1.71,1.71,1.71,38900,1.71
2016-06-15,1.77,1.77,1.77,1.77,000,1.77
2016-06-14,1.83,1.83,1.83,1.83,000,1.83
2016-06-13,1.83,1.83,1.83,1.83,000,1.83
2016-06-10,1.83,1.83,1.83,1.83,000,1.83
2016-06-09,1.83,1.83,1.83,1.83,000,1.83
2016-06-08,1.79,1.79,1.79,1.79,34200,1.79
2016-06-07,1.8546,1.8546,1.8546,1.8546,000,1.8546
2016-06-06,1.8546,1.8546,1.8546,1.8546,000,1.8546
2016-06-03,1.8546,1.8546,1.8546,1.8546,000,1.8546
2016-06-02,1.78,1.78,1.78,1.78,5600,1.78
2016-06-01,1.80,1.80,1.80,1.80,112900,1.80
2016-05-31,1.81,1.81,1.80,1.80,50000,1.80
2016-05-30,1.80,1.80,1.79,1.80,50100,1.80
2016-05-27,1.77,1.80,1.77,1.80,79900,1.80
2016-05-26,1.78,1.79,1.78,1.79,115500,1.79
2016-05-25,1.77,1.77,1.77,1.77,3800,1.77
2016-05-24,1.78,1.78,1.78,1.78,33300,1.78
2016-05-23,1.80,1.80,1.79,1.79,87300,1.79
2016-05-20,1.78,1.79,1.78,1.79,35000,1.79
2016-05-19,1.79,1.79,1.79,1.79,31900,1.79
2016-05-18,1.84,1.84,1.84,1.84,000,1.84
2016-05-17,1.82,1.82,1.82,1.82,000,1.82
2016-05-16,1.78,1.78,1.78,1.78,200,1.78
2016-05-13,1.82,1.82,1.82,1.82,000,1.82
2016-05-12,1.79,1.79,1.79,1.79,11600,1.79
2016-05-11,1.82,1.82,1.82,1.82,000,1.82
2016-05-10,1.76,1.76,1.76,1.76,29800,1.76
2016-05-09,1.81,1.81,1.81,1.81,000,1.81
2016-05-06,1.81,1.81,1.81,1.81,000,1.81
2016-05-05,1.81,1.81,1.81,1.81,000,1.81
2016-05-04,1.81,1.81,1.81,1.81,000,1.81
2016-05-03,1.78,1.78,1.78,1.78,000,1.78
2016-05-02,1.74,1.74,1.73,1.73,131800,1.73
2016-04-29,1.78,1.78,1.78,1.78,000,1.78
2016-04-28,1.78,1.78,1.78,1.78,000,1.78
2016-04-27,1.74,1.74,1.74,1.74,23500,1.74
2016-04-26,1.76,1.76,1.76,1.76,000,1.76
2016-04-25,1.76,1.76,1.76,1.76,000,1.76
2016-04-22,1.75,1.75,1.75,1.75,10700,1.75
2016-04-21,1.76,1.76,1.76,1.76,000,1.76
2016-04-20,1.76,1.76,1.76,1.76,000,1.76
2016-04-19,1.71,1.71,1.71,1.71,12800,1.71
2016-04-18,1.69,1.69,1.69,1.69,000,1.69
2016-04-15,1.69,1.69,1.69,1.69,000,1.69
2016-04-14,1.68,1.68,1.68,1.68,12500,1.68
2016-04-13,1.69,1.69,1.69,1.69,000,1.69
2016-04-12,1.67,1.67,1.67,1.67,000,1.67
2016-04-11,1.67,1.67,1.67,1.67,000,1.67
2016-04-08,1.64,1.64,1.64,1.64,000,1.64
2016-04-07,1.67,1.67,1.67,1.67,000,1.67
2016-04-06,1.67,1.67,1.67,1.67,000,1.67
2016-04-05,1.6913,1.6913,1.6913,1.6913,000,1.6913
2016-04-04,1.70,1.70,1.70,1.70,000,1.70
2016-04-01,1.70,1.70,1.70,1.70,000,1.70
2016-03-30,1.70,1.70,1.70,1.70,000,1.70
2016-03-29,1.69,1.69,1.69,1.69,2800,1.69
2016-03-28,1.76,1.76,1.76,1.76,000,1.76
2016-03-25,1.76,1.76,1.76,1.76,000,1.76
2016-03-24,1.76,1.76,1.76,1.76,000,1.76
2016-03-23,1.76,1.76,1.76,1.76,000,1.76
2016-03-22,1.74,1.74,1.74,1.74,000,1.74
2016-03-21,1.725,1.725,1.72,1.72,2000,1.72
2016-03-18,1.74,1.74,1.74,1.74,000,1.74
2016-03-17,1.74,1.74,1.74,1.74,000,1.74
2016-03-16,1.74,1.74,1.74,1.74,000,1.74
2016-03-15,1.73,1.73,1.73,1.73,1400,1.73
2016-03-14,1.74,1.74,1.74,1.74,000,1.74
2016-03-11,1.74,1.74,1.74,1.74,000,1.74
2016-03-10,1.74,1.74,1.74,1.74,000,1.74
2016-03-09,1.74,1.74,1.74,1.74,000,1.74
2016-03-08,1.66,1.66,1.66,1.66,000,1.66
2016-03-07,1.66,1.66,1.66,1.66,000,1.66
2016-03-04,1.66,1.66,1.66,1.66,000,1.66
2016-03-03,1.66,1.66,1.66,1.66,000,1.66
2016-03-02,1.66,1.66,1.66,1.66,000,1.66
2016-03-01,1.72,1.72,1.72,1.72,000,1.72
2016-02-29,1.72,1.72,1.72,1.72,000,1.72
2016-02-26,1.72,1.72,1.72,1.72,000,1.72
2016-02-25,1.64,1.68,1.64,1.68,14800,1.68
2016-02-24,1.68,1.68,1.68,1.68,5900,1.68
2016-02-23,1.69,1.69,1.69,1.69,000,1.69
2016-02-22,1.69,1.69,1.69,1.69,000,1.69
2016-02-19,1.69,1.69,1.69,1.69,000,1.69
2016-02-18,1.69,1.69,1.69,1.69,000,1.69
2016-02-17,1.69,1.69,1.69,1.69,000,1.69
2016-02-16,1.66,1.66,1.66,1.66,000,1.66
2016-02-15,1.66,1.66,1.66,1.66,000,1.66
2016-02-12,1.66,1.66,1.66,1.66,000,1.66
2016-02-11,1.66,1.66,1.66,1.66,000,1.66
2016-02-10,1.66,1.66,1.66,1.66,000,1.66
2016-02-09,1.7266,1.7266,1.7266,1.7266,000,1.7266
2016-02-08,1.7266,1.7266,1.7266,1.7266,000,1.7266
2016-02-05,1.73,1.73,1.73,1.73,2200,1.73
2016-02-04,1.72,1.72,1.72,1.72,000,1.72
2016-02-03,1.73,1.73,1.73,1.73,6800,1.73
2016-02-02,1.73,1.73,1.73,1.73,2100,1.73
2016-02-01,1.73,1.73,1.73,1.73,000,1.73
2016-01-29,1.73,1.73,1.73,1.73,000,1.73
2016-01-28,1.73,1.73,1.73,1.73,000,1.73
2016-01-27,1.73,1.73,1.73,1.73,4000,1.73
2016-01-26,1.73,1.73,1.73,1.73,000,1.73
2016-01-25,1.70,1.70,1.70,1.70,000,1.70
2016-01-22,1.70,1.70,1.70,1.70,000,1.70
2016-01-21,1.70,1.70,1.70,1.70,000,1.70
2016-01-20,1.66,1.66,1.66,1.66,5800,1.66
2016-01-19,1.64,1.64,1.64,1.64,9700,1.64
2016-01-18,1.7272,1.7272,1.7272,1.7272,000,1.7272
2016-01-15,1.7272,1.7272,1.7272,1.7272,000,1.7272
2016-01-14,1.7272,1.7272,1.7272,1.7272,000,1.7272
2016-01-13,1.70,1.70,1.70,1.70,000,1.70
2016-01-12,1.69,1.69,1.67,1.67,10100,1.67
2016-01-11,1.694,1.694,1.694,1.694,000,1.694
2016-01-08,1.70,1.71,1.70,1.70,59400,1.70
2016-01-07,1.694,1.694,1.694,1.694,000,1.694
2016-01-06,1.694,1.694,1.694,1.694,000,1.694
2016-01-05,1.694,1.694,1.694,1.694,000,1.694
2016-01-04,1.81,1.81,1.81,1.81,500,1.81
2016-01-01,1.694,1.694,1.694,1.694,000,1.694
2015-12-29,1.77,1.77,1.77,1.77,142200,1.77
2015-12-24,1.694,1.694,1.694,1.694,000,1.694
2015-12-23,1.70,1.70,1.70,1.70,000,1.70
2015-12-22,1.70,1.70,1.70,1.70,000,1.70
2015-12-21,1.73,1.735,1.73,1.73,57400,1.73
2015-12-18,1.73,1.73,1.73,1.73,1300,1.73
2015-12-17,1.70,1.70,1.70,1.70,53500,1.70
2015-12-16,1.66,1.67,1.66,1.66,22900,1.66
2015-12-15,1.67,1.67,1.67,1.67,57300,1.67
2015-12-14,1.70,1.70,1.70,1.70,94100,1.70
2015-12-11,1.72,1.72,1.71,1.71,60900,1.71
2015-12-10,1.77,1.77,1.77,1.77,000,1.77
2015-12-09,1.77,1.77,1.77,1.77,000,1.77
2015-12-08,1.84,1.84,1.84,1.84,000,1.84
2015-12-07,1.84,1.84,1.84,1.84,000,1.84
2015-12-04,1.84,1.84,1.84,1.84,000,1.84
2015-12-03,1.84,1.84,1.84,1.84,000,1.84
2015-12-02,1.84,1.84,1.84,1.84,000,1.84
2015-12-01,1.83,1.83,1.81,1.81,500,1.81
2015-11-27,1.83,1.83,1.83,1.83,000,1.83
2015-11-26,1.83,1.83,1.83,1.83,000,1.83
2015-11-25,1.83,1.83,1.83,1.83,000,1.83
2015-11-24,1.8025,1.8025,1.8025,1.8025,000,1.8025
2015-11-23,1.80,1.80,1.80,1.80,10200,1.80
2015-11-20,1.8025,1.8025,1.8025,1.8025,000,1.8025
2015-11-19,1.75,1.75,1.75,1.75,1000,1.75
2015-11-18,1.79,1.79,1.79,1.79,000,1.79
2015-11-17,1.78,1.78,1.78,1.78,000,1.78
2015-11-16,1.78,1.78,1.78,1.78,000,1.78
2015-11-13,1.78,1.78,1.78,1.78,000,1.78
2015-11-12,1.76,1.76,1.76,1.76,3000,1.76
2015-11-11,1.78,1.78,1.78,1.78,000,1.78
2015-11-10,1.81,1.81,1.81,1.81,000,1.81
2015-11-09,1.81,1.81,1.81,1.81,000,1.81
2015-11-06,1.81,1.81,1.81,1.81,000,1.81
2015-11-05,1.81,1.81,1.81,1.81,000,1.81
2015-11-04,1.81,1.81,1.81,1.81,000,1.81
2015-11-03,1.86,1.86,1.86,1.86,000,1.86
2015-11-02,1.86,1.86,1.86,1.86,000,1.86
2015-10-30,1.86,1.86,1.86,1.86,000,1.86
2015-10-29,1.81,1.81,1.81,1.81,200,1.81
2015-10-28,1.82,1.82,1.82,1.82,000,1.82
2015-10-27,1.82,1.82,1.82,1.82,000,1.82
2015-10-26,1.82,1.82,1.82,1.82,30000,1.82
2015-10-23,1.82,1.82,1.82,1.82,000,1.82
2015-10-22,1.82,1.82,1.82,1.82,000,1.82
2015-10-21,1.82,1.82,1.82,1.82,000,1.82
2015-10-20,1.79,1.79,1.79,1.79,106800,1.79
2015-10-19,1.81,1.81,1.81,1.81,000,1.81
2015-10-16,1.81,1.81,1.81,1.81,000,1.81
2015-10-15,1.81,1.81,1.81,1.81,000,1.81
2015-10-14,1.82,1.82,1.82,1.82,9700,1.82
2015-10-13,1.8015,1.8015,1.8015,1.8015,000,1.8015
2015-10-12,1.8015,1.8015,1.8015,1.8015,000,1.8015
2015-10-09,1.80,1.80,1.80,1.80,000,1.80
2015-10-08,1.80,1.80,1.80,1.80,000,1.80
2015-10-07,1.82,1.82,1.82,1.82,5700,1.82
2015-10-06,1.71,1.71,1.71,1.71,000,1.71
2015-10-05,1.71,1.71,1.71,1.71,000,1.71
2015-10-02,1.71,1.71,1.71,1.71,000,1.71
2015-10-01,1.71,1.71,1.71,1.71,000,1.71
2015-09-30,1.75,1.75,1.75,1.75,000,1.75
2015-09-29,1.7804,1.7804,1.7804,1.7804,000,1.7804
2015-09-28,1.79,1.79,1.79,1.79,000,1.79
2015-09-25,1.79,1.79,1.79,1.79,000,1.79
2015-09-24,1.79,1.79,1.79,1.79,000,1.79
2015-09-23,1.76,1.76,1.76,1.76,22700,1.76
2015-09-22,1.76,1.76,1.76,1.76,000,1.76
2015-09-21,1.77,1.77,1.77,1.77,12500,1.77
2015-09-18,1.76,1.76,1.76,1.76,000,1.76
2015-09-17,1.76,1.76,1.76,1.76,000,1.76
2015-09-16,1.78,1.78,1.78,1.78,2700,1.78
2015-09-15,1.78,1.78,1.78,1.78,000,1.78
2015-09-14,1.79,1.79,1.79,1.79,600,1.79
2015-09-11,1.78,1.78,1.78,1.78,000,1.78
2015-09-10,1.79,1.79,1.79,1.79,13700,1.79
2015-09-09,1.78,1.78,1.78,1.78,000,1.78
2015-09-08,1.78,1.78,1.78,1.78,1200,1.78
2015-09-07,1.78,1.78,1.78,1.78,000,1.78
2015-09-04,1.78,1.78,1.78,1.78,13100,1.78
2015-09-03,1.78,1.78,1.78,1.78,000,1.78
2015-09-02,1.76,1.76,1.76,1.76,6500,1.76
2015-09-01,1.79,1.79,1.79,1.79,000,1.79
2015-08-31,1.79,1.79,1.79,1.79,000,1.79
2015-08-28,1.79,1.79,1.79,1.79,000,1.79
2015-08-27,1.85,1.85,1.85,1.85,4500,1.85
2015-08-26,1.878,1.878,1.878,1.878,000,1.878
2015-08-25,1.70,1.70,1.70,1.70,150200,1.70
2015-08-24,1.88,1.88,1.88,1.88,000,1.88
2015-08-21,1.88,1.88,1.88,1.88,000,1.88
2015-08-20,1.87,1.87,1.87,1.87,5600,1.87
2015-08-19,1.88,1.88,1.88,1.88,000,1.88
2015-08-18,1.86,1.86,1.85,1.85,200,1.85
2015-08-17,1.93,1.93,1.93,1.93,000,1.93
2015-08-14,1.93,1.93,1.93,1.93,000,1.93
2015-08-13,1.93,1.93,1.93,1.93,000,1.93
2015-08-12,2.01,2.01,2.01,2.01,000,2.01
2015-08-11,1.93,1.97,1.93,1.97,15300,1.97
2015-08-10,2.01,2.01,2.01,2.01,000,2.01
2015-08-07,2.01,2.01,2.01,2.01,000,2.01
2015-08-06,2.01,2.01,2.01,2.01,000,2.01
2015-08-05,2.10,2.10,2.10,2.10,5200,2.10
2015-08-04,1.97,1.97,1.97,1.97,000,1.97
2015-08-03,1.97,1.97,1.97,1.97,000,1.97
2015-07-31,1.97,1.97,1.97,1.97,000,1.97
2015-07-30,1.97,1.97,1.97,1.97,000,1.97
2015-07-29,1.99,1.99,1.93,1.93,18500,1.93
2015-07-28,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-27,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-24,1.9679,1.9679,1.9679,1.9679,000,1.9679
2015-07-23,1.97,1.97,1.97,1.97,000,1.97
2015-07-22,1.97,1.97,1.97,1.97,11400,1.97
2015-07-21,1.97,1.97,1.97,1.97,000,1.97
2015-07-20,1.97,1.97,1.97,1.97,000,1.97
2015-07-17,1.97,1.97,1.97,1.97,000,1.97
2015-07-16,1.95,1.95,1.95,1.95,4400,1.95
2015-07-15,1.97,1.97,1.97,1.97,000,1.97
2015-07-14,1.97,1.97,1.97,1.97,000,1.97
2015-07-13,1.96,1.96,1.96,1.96,19300,1.96
2015-07-10,1.97,1.97,1.97,1.97,000,1.97
2015-07-09,1.97,1.97,1.97,1.97,000,1.97
2015-07-08,1.99,1.99,1.99,1.99,12500,1.99
2015-07-07,1.93,1.93,1.93,1.93,000,1.93
2015-07-06,1.95,1.95,1.95,1.95,12800,1.95
2015-07-03,1.93,1.93,1.93,1.93,000,1.93
2015-07-02,1.93,1.93,1.93,1.93,000,1.93
2015-07-01,1.93,1.93,1.93,1.93,32200,1.93
2015-06-30,1.93,1.93,1.93,1.93,000,1.93
2015-06-29,2.00,2.00,2.00,2.00,000,2.00
2015-06-26,2.00,2.00,2.00,2.00,000,2.00
2015-06-25,2.02,2.02,2.02,2.02,6200,2.02
2015-06-24,2.00,2.00,2.00,2.00,000,2.00
2015-06-23,1.95,1.95,1.95,1.95,000,1.95
2015-06-22,1.95,1.95,1.95,1.95,000,1.95
2015-06-19,1.95,1.95,1.95,1.95,000,1.95
2015-06-18,1.95,1.95,1.95,1.95,000,1.95
2015-06-17,1.98,2.02,1.98,2.02,31700,2.02
2015-06-16,1.9224,1.9224,1.9224,1.9224,000,1.9224
2015-06-15,1.9224,1.9224,1.9224,1.9224,000,1.9224
2015-06-12,1.97,1.97,1.97,1.97,23800,1.97
2015-06-11,1.92,1.92,1.92,1.92,000,1.92
2015-06-10,1.92,1.92,1.92,1.92,000,1.92
2015-06-09,1.97,1.97,1.97,1.97,000,1.97
2015-06-05,1.94,1.94,1.94,1.94,28300,1.94
2015-06-04,1.97,1.97,1.97,1.97,000,1.97
2015-06-03,1.97,1.97,1.97,1.97,000,1.97
2015-06-02,1.96,1.96,1.96,1.96,13500,1.96
2015-06-01,2.02,2.02,2.02,2.02,000,2.02
2015-05-29,2.02,2.02,2.02,2.02,000,2.02
2015-05-28,2.02,2.02,2.02,2.02,000,2.02
2015-05-27,2.02,2.02,2.02,2.02,000,2.02
2015-05-26,1.96,1.96,1.96,1.96,4300,1.96
2015-05-25,1.97,1.97,1.97,1.97,000,1.97
2015-05-22,1.97,1.97,1.97,1.97,000,1.97
2015-05-21,1.92,1.92,1.92,1.92,4600,1.92
2015-05-20,1.97,1.97,1.97,1.97,000,1.97
2015-05-19,1.98,1.98,1.98,1.98,000,1.98
2015-05-18,1.98,1.98,1.98,1.98,000,1.98
2015-05-15,2.02,2.02,2.02,2.02,37100,2.02
2015-05-14,1.98,1.98,1.98,1.98,000,1.98
2015-05-13,1.94,1.94,1.94,1.94,1500,1.94
2015-05-12,2.04,2.04,2.04,2.04,000,2.04
2015-05-11,2.04,2.04,2.04,2.04,000,2.04
2015-05-08,2.04,2.04,2.04,2.04,000,2.04
2015-05-07,1.95,1.95,1.95,1.95,5600,1.95
2015-05-06,2.04,2.04,2.04,2.04,000,2.04
2015-05-05,2.09,2.09,2.09,2.09,000,2.09
2015-05-04,2.09,2.09,2.09,2.09,000,2.09
2015-05-01,2.09,2.09,2.09,2.09,000,2.09
2015-04-30,2.03,2.03,2.03,2.03,000,2.03
2015-04-29,2.09,2.09,2.09,2.09,000,2.09
2015-04-28,2.05,2.05,2.05,2.05,15600,2.05
2015-04-27,2.06,2.06,2.06,2.06,000,2.06
2015-04-24,2.06,2.06,2.06,2.06,000,2.06
2015-04-23,2.00,2.00,2.00,2.00,5000,2.00
2015-04-22,2.06,2.06,2.06,2.06,000,2.06
2015-04-21,2.03,2.03,2.01,2.01,10000,2.01
2015-04-20,2.09,2.09,2.09,2.09,000,2.09
2015-04-17,2.09,2.09,2.09,2.09,000,2.09
2015-04-16,2.06,2.10,2.03,2.03,16500,2.03
2015-04-15,2.09,2.09,2.09,2.09,000,2.09
2015-04-14,2.0961,2.0961,2.0961,2.0961,000,2.0961
2015-04-13,2.0802,2.0802,2.0802,2.0802,000,2.0802
2015-04-10,2.0802,2.0802,2.0802,2.0802,000,2.0802
2015-04-09,2.09,2.09,2.09,2.09,000,2.09
2015-04-08,2.09,2.09,2.09,2.09,000,2.09
2015-04-07,2.03,2.03,2.03,2.03,8900,2.03
2015-04-02,2.08,2.08,2.08,2.08,000,2.08
2015-04-01,2.08,2.08,2.08,2.08,000,2.08
2015-03-31,2.08,2.08,2.08,2.08,000,2.08
2015-03-30,2.10,2.10,2.10,2.10,000,2.10
2015-03-27,2.10,2.10,2.10,2.10,000,2.10
2015-03-26,2.10,2.10,2.10,2.10,000,2.10
2015-03-25,2.05,2.07,2.05,2.07,17700,2.07
2015-03-24,2.06,2.06,2.06,2.06,000,2.06
2015-03-23,2.06,2.06,2.06,2.06,31000,2.06
2015-03-20,2.06,2.06,2.06,2.06,000,2.06
2015-03-19,2.06,2.06,2.06,2.06,000,2.06
2015-03-18,2.06,2.06,2.06,2.06,000,2.06
2015-03-17,2.04,2.04,2.04,2.04,000,2.04
2015-03-16,2.04,2.04,2.04,2.04,000,2.04
2015-03-13,2.01,2.01,2.01,2.01,91900,2.01
2015-03-12,2.04,2.04,2.04,2.04,000,2.04
2015-03-11,2.04,2.04,2.04,2.04,000,2.04
2015-03-10,2.00,2.00,2.00,2.00,20000,2.00
2015-03-09,2.08,2.08,2.08,2.08,000,2.08
2015-03-06,2.08,2.08,2.08,2.08,000,2.08
2015-03-05,2.08,2.08,2.08,2.08,000,2.08
2015-03-04,2.08,2.08,2.08,2.08,000,2.08
2015-03-03,2.07,2.07,2.07,2.07,000,2.07
2015-03-02,2.07,2.07,2.07,2.07,000,2.07
2015-02-27,2.07,2.07,2.07,2.07,000,2.07
2015-02-26,2.07,2.07,2.07,2.07,000,2.07
2015-02-25,2.07,2.07,2.07,2.07,000,2.07
2015-02-24,2.04,2.04,2.04,2.04,46900,2.04
2015-02-23,2.07,2.07,2.07,2.07,000,2.07
2015-02-20,2.0587,2.0587,2.0587,2.0587,000,2.0587
2015-02-19,2.05,2.05,2.05,2.05,9700,2.05
2015-02-18,2.07,2.07,2.07,2.07,000,2.07
2015-02-17,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-16,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-13,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-12,2.0479,2.0479,2.0479,2.0479,000,2.0479
2015-02-11,2.04,2.04,2.04,2.04,000,2.04
2015-02-10,2.01,2.01,2.01,2.01,000,2.01
2015-02-09,2.00,2.00,2.00,2.00,19100,2.00
2015-02-06,2.01,2.01,2.01,2.01,000,2.01
2015-02-05,1.99,1.99,1.99,1.99,10000,1.99
2015-02-04,2.01,2.01,2.01,2.01,000,2.01
2015-02-03,1.9624,1.9624,1.9624,1.9624,000,1.9624
2015-02-02,1.97,1.97,1.97,1.97,96600,1.97
2015-01-30,1.96,1.96,1.96,1.96,000,1.96
2015-01-29,1.9624,1.9624,1.9624,1.9624,000,1.9624
2015-01-28,1.96,1.96,1.96,1.96,000,1.96
2015-01-27,14.7808,14.7808,14.7808,14.7808,000,14.7808
2015-01-23,1.87,1.87,1.87,1.87,000,1.87
2015-01-22,1.93,1.93,1.88,1.88,99100,1.88
2015-01-21,1.87,1.87,1.87,1.87,000,1.87
2015-01-20,1.91,1.91,1.91,1.91,000,1.91
2015-01-19,1.91,1.91,1.91,1.91,000,1.91
2015-01-16,1.91,1.91,1.91,1.91,000,1.91
2015-01-15,1.91,1.91,1.91,1.91,000,1.91
2015-01-14,1.91,1.91,1.91,1.91,000,1.91
2015-01-13,1.91,1.91,1.91,1.91,100,1.91
2015-01-12,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-09,1.90,1.90,1.90,1.90,7900,1.90
2015-01-08,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-07,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-06,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-05,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-02,1.8285,1.8285,1.8285,1.8285,000,1.8285
2015-01-01,1.8285,1.8285,1.8285,1.8285,000,1.8285
2014-12-31,1.91,1.91,1.91,1.91,000,1.91
2014-12-30,1.8285,1.8285,1.8285,1.8285,000,1.8285
2014-12-29,1.8285,1.8285,1.8285,1.8285,000,1.8285
2014-12-26,1.8285,1.8285,1.8285,1.8285,000,1.8285
2014-12-25,1.8285,1.8285,1.8285,1.8285,000,1.8285
2014-12-24,1.8124,1.8124,1.8124,1.8124,000,1.8124
2014-12-23,1.8124,1.8124,1.8124,1.8124,000,1.8124
2014-12-22,1.82,1.82,1.82,1.82,000,1.82
2014-12-19,1.82,1.82,1.82,1.82,000,1.82
2014-12-18,1.82,1.82,1.82,1.82,000,1.82
