Date,Open,High,Low,Close,Volume,Adj Close
2016-04-13,0.25,0.25,0.25,0.25,000,0.25
2016-04-12,0.25,0.25,0.25,0.25,000,0.25
2016-04-11,0.25,0.25,0.25,0.25,000,0.25
2016-04-08,0.25,0.25,0.25,0.25,000,0.25
2016-04-07,0.25,0.25,0.25,0.25,000,0.25
2016-04-06,0.25,0.25,0.25,0.25,000,0.25
2016-04-05,0.25,0.25,0.25,0.25,000,0.25
2016-04-04,0.25,0.25,0.25,0.25,000,0.25
2016-04-01,0.25,0.25,0.25,0.25,2300,0.25
2016-03-31,0.25,0.25,0.25,0.25,15600,0.25
2016-03-30,0.25,0.255,0.25,0.255,40500,0.255
2016-03-29,0.26,0.26,0.255,0.255,6000,0.255
2016-03-28,0.255,0.255,0.255,0.255,000,0.255
2016-03-25,0.255,0.255,0.255,0.255,000,0.255
2016-03-24,0.255,0.26,0.255,0.255,1158800,0.255
2016-03-23,0.25,0.255,0.25,0.255,86700,0.255
2016-03-22,0.25,0.25,0.25,0.25,112800,0.25
2016-03-21,0.25,0.25,0.25,0.25,300,0.25
2016-03-18,0.25,0.2525,0.25,0.25,827700,0.25
2016-03-17,0.25,0.252,0.25,0.25,121500,0.25
2016-03-16,0.25,0.25,0.24,0.24,2254800,0.24
2016-03-15,0.245,0.245,0.245,0.245,171400,0.245
2016-03-14,0.245,0.25,0.245,0.245,103800,0.245
2016-03-11,0.245,0.25,0.245,0.245,457200,0.245
2016-03-10,0.255,0.255,0.245,0.245,649700,0.245
2016-03-09,0.25,0.25,0.25,0.25,17400,0.25
2016-03-08,0.255,0.255,0.25,0.25,56300,0.25
2016-03-07,0.255,0.255,0.255,0.255,386300,0.255
2016-03-04,0.255,0.26,0.255,0.255,95500,0.255
2016-03-03,0.255,0.255,0.25,0.255,511700,0.255
2016-03-02,0.255,0.255,0.25,0.25,11300,0.25
2016-03-01,0.25,0.26,0.25,0.255,12600,0.255
2016-02-29,0.255,0.255,0.255,0.255,343600,0.255
2016-02-26,0.245,0.245,0.245,0.245,2400,0.245
2016-02-25,0.25,0.25,0.25,0.25,000,0.25
2016-02-24,0.25,0.25,0.25,0.25,116400,0.25
2016-02-23,0.25,0.25,0.25,0.25,65600,0.25
2016-02-22,0.25,0.25,0.25,0.25,35200,0.25
2016-02-19,0.25,0.25,0.25,0.25,587100,0.25
2016-02-18,0.245,0.245,0.245,0.245,000,0.245
2016-02-17,0.25,0.25,0.245,0.245,49000,0.245
2016-02-16,0.25,0.25,0.245,0.25,654500,0.25
2016-02-15,0.25,0.25,0.25,0.25,67200,0.25
2016-02-12,0.25,0.255,0.245,0.245,650800,0.245
2016-02-11,0.25,0.25,0.25,0.25,53300,0.25
2016-02-10,0.25,0.25,0.25,0.25,271000,0.25
2016-02-09,0.25,0.25,0.25,0.25,000,0.25
2016-02-08,0.25,0.255,0.25,0.25,112200,0.25
2016-02-05,0.25,0.255,0.245,0.25,340400,0.25
2016-02-04,0.255,0.255,0.25,0.25,286800,0.25
2016-02-03,0.25,0.25,0.25,0.25,164700,0.25
2016-02-02,0.245,0.245,0.24,0.245,103300,0.245
2016-02-01,0.245,0.245,0.245,0.245,2400,0.245
2016-01-29,0.24,0.24,0.24,0.24,000,0.24
2016-01-28,0.25,0.25,0.24,0.24,215100,0.24
2016-01-27,0.25,0.25,0.245,0.25,728500,0.25
2016-01-26,0.25,0.25,0.25,0.25,000,0.25
2016-01-25,0.25,0.25,0.25,0.25,000,0.25
2016-01-22,0.255,0.255,0.245,0.25,4449900,0.25
2016-01-21,0.252,0.2525,0.245,0.25,1623600,0.25
2016-01-20,0.25,0.255,0.25,0.25,2326100,0.25
2016-01-19,0.25,0.255,0.24,0.245,3821100,0.245
2016-01-18,0.245,0.245,0.24,0.245,2863400,0.245
2016-01-15,0.24,0.24,0.24,0.24,2819100,0.24
2016-01-14,0.24,0.24,0.235,0.235,2496800,0.235
2016-01-13,0.245,0.245,0.24,0.245,2124600,0.245
2016-01-12,0.235,0.24,0.235,0.24,314000,0.24
2016-01-11,0.245,0.245,0.235,0.235,3422700,0.235
2016-01-08,0.235,0.235,0.235,0.235,216200,0.235
2016-01-07,0.23,0.23,0.23,0.23,8600,0.23
2016-01-06,0.23,0.23,0.23,0.23,000,0.23
2016-01-05,0.23,0.232,0.23,0.23,107100,0.23
2016-01-04,0.23,0.23,0.23,0.23,31500,0.23
2016-01-01,0.23,0.23,0.23,0.23,000,0.23
2015-12-31,0.23,0.235,0.23,0.23,317900,0.23
2015-12-30,0.23,0.23,0.225,0.225,72000,0.225
2015-12-29,0.23,0.232,0.23,0.23,596400,0.23
2015-12-28,0.23,0.23,0.23,0.23,000,0.23
2015-12-25,0.23,0.23,0.23,0.23,000,0.23
2015-12-24,0.235,0.235,0.23,0.23,21900,0.23
2015-12-23,0.23,0.235,0.23,0.23,83100,0.23
