Date,Open,High,Low,Close,Volume,Adj Close
2016-01-13,0.032,0.032,0.03,0.03,100000,0.03
2016-01-12,0.03,0.03,0.03,0.03,000,0.03
2016-01-11,0.03,0.03,0.03,0.03,000,0.03
2016-01-08,0.03,0.03,0.03,0.03,000,0.03
2016-01-07,0.031,0.031,0.03,0.03,200000,0.03
2016-01-06,0.032,0.032,0.031,0.031,250000,0.031
2016-01-05,0.03,0.03,0.03,0.03,30000,0.03
2016-01-04,0.03,0.03,0.03,0.03,000,0.03
2016-01-01,0.03,0.03,0.03,0.03,000,0.03
2015-12-31,0.03,0.03,0.03,0.03,000,0.03
2015-12-30,0.031,0.031,0.03,0.03,100000,0.03
2015-12-29,0.031,0.031,0.031,0.031,000,0.031
2015-12-28,0.031,0.031,0.031,0.031,000,0.031
2015-12-25,0.031,0.031,0.031,0.031,000,0.031
2015-12-24,0.029,0.031,0.029,0.031,355000,0.031
2015-12-23,0.03,0.03,0.029,0.029,534700,0.029
2015-12-22,0.03,0.03,0.029,0.029,109800,0.029
2015-12-21,0.029,0.029,0.029,0.029,000,0.029
2015-12-18,0.029,0.029,0.029,0.029,000,0.029
2015-12-17,0.029,0.029,0.029,0.029,000,0.029
2015-12-16,0.029,0.029,0.029,0.029,8000,0.029
2015-12-15,0.029,0.029,0.029,0.029,000,0.029
2015-12-14,0.029,0.029,0.029,0.029,400000,0.029
2015-12-11,0.032,0.032,0.032,0.032,000,0.032
2015-12-10,0.032,0.032,0.032,0.032,000,0.032
2015-12-09,0.032,0.032,0.032,0.032,000,0.032
2015-12-08,0.032,0.032,0.032,0.032,000,0.032
2015-12-07,0.032,0.032,0.032,0.032,000,0.032
2015-12-04,0.032,0.032,0.032,0.032,000,0.032
2015-12-03,0.032,0.032,0.032,0.032,000,0.032
2015-12-02,0.032,0.032,0.032,0.032,000,0.032
2015-12-01,0.032,0.032,0.032,0.032,000,0.032
2015-11-30,0.035,0.035,0.032,0.032,347300,0.032
2015-11-27,0.035,0.035,0.035,0.035,400000,0.035
2015-11-26,0.038,0.038,0.035,0.035,230000,0.035
2015-11-25,0.038,0.038,0.038,0.038,000,0.038
2015-11-24,0.038,0.038,0.038,0.038,000,0.038
2015-11-23,0.038,0.038,0.038,0.038,5500,0.038
2015-11-20,0.038,0.038,0.038,0.038,000,0.038
2015-11-19,0.038,0.038,0.038,0.038,000,0.038
2015-11-18,0.038,0.038,0.038,0.038,000,0.038
2015-11-17,0.038,0.038,0.038,0.038,000,0.038
2015-11-16,0.038,0.038,0.038,0.038,000,0.038
2015-11-13,0.038,0.038,0.038,0.038,000,0.038
2015-11-12,0.038,0.038,0.038,0.038,000,0.038
2015-11-11,0.038,0.038,0.038,0.038,000,0.038
2015-11-10,0.04,0.04,0.038,0.038,747000,0.038
2015-11-09,0.041,0.041,0.041,0.041,100000,0.041
2015-11-06,0.044,0.044,0.044,0.044,200000,0.044
2015-11-05,0.044,0.044,0.044,0.044,000,0.044
2015-11-04,0.044,0.044,0.044,0.044,000,0.044
2015-11-03,0.046,0.046,0.043,0.044,350000,0.044
2015-11-02,0.043,0.043,0.043,0.043,000,0.043
2015-10-30,0.042,0.043,0.042,0.043,149000,0.043
2015-10-29,0.041,0.041,0.041,0.041,15000,0.041
2015-10-28,0.041,0.041,0.041,0.041,134900,0.041
2015-10-27,0.039,0.039,0.039,0.039,000,0.039
2015-10-26,0.039,0.039,0.039,0.039,45000,0.039
2015-10-23,0.04,0.044,0.039,0.039,511000,0.039
2015-10-22,0.04,0.04,0.04,0.04,300000,0.04
2015-10-21,0.042,0.042,0.042,0.042,000,0.042
2015-10-20,0.042,0.042,0.042,0.042,50000,0.042
2015-10-19,0.04,0.04,0.04,0.04,000,0.04
2015-10-16,0.04,0.04,0.04,0.04,000,0.04
2015-10-15,0.04,0.04,0.04,0.04,000,0.04
2015-10-14,0.04,0.04,0.04,0.04,220000,0.04
2015-10-13,0.041,0.041,0.041,0.041,45000,0.041
2015-10-12,0.045,0.045,0.04,0.043,460000,0.043
2015-10-09,0.05,0.05,0.05,0.05,000,0.05
2015-10-08,0.05,0.05,0.05,0.05,000,0.05
2015-10-07,0.042,0.05,0.04,0.05,329000,0.05
2015-10-06,0.055,0.055,0.055,0.055,000,0.055
2015-10-05,0.055,0.055,0.055,0.055,000,0.055
2015-10-02,0.055,0.055,0.055,0.055,000,0.055
2015-10-01,0.055,0.055,0.055,0.055,000,0.055
2015-09-30,0.055,0.055,0.055,0.055,000,0.055
2015-09-29,0.055,0.055,0.055,0.055,000,0.055
2015-09-28,0.055,0.055,0.055,0.055,000,0.055
2015-09-25,0.055,0.055,0.055,0.055,000,0.055
2015-09-24,0.055,0.055,0.055,0.055,000,0.055
2015-09-23,0.055,0.055,0.055,0.055,000,0.055
2015-09-22,0.055,0.055,0.055,0.055,000,0.055
2015-09-21,0.055,0.055,0.055,0.055,69800,0.055
2015-09-18,0.045,0.05,0.045,0.05,140400,0.05
2015-09-17,0.049,0.049,0.049,0.049,000,0.049
2015-09-16,0.049,0.049,0.049,0.049,000,0.049
2015-09-15,0.049,0.049,0.049,0.049,000,0.049
2015-09-14,0.049,0.049,0.049,0.049,250000,0.049
2015-09-11,0.045,0.045,0.045,0.045,000,0.045
2015-09-10,0.045,0.045,0.045,0.045,000,0.045
2015-09-09,0.045,0.045,0.045,0.045,100000,0.045
2015-09-08,0.05,0.05,0.05,0.05,4500,0.05
2015-09-07,0.05,0.05,0.05,0.05,000,0.05
2015-09-04,0.05,0.05,0.05,0.05,000,0.05
2015-09-03,0.046,0.05,0.046,0.05,306400,0.05
2015-09-02,0.05,0.05,0.05,0.05,30000,0.05
2015-09-01,0.05,0.05,0.05,0.05,000,0.05
2015-08-31,0.05,0.05,0.05,0.05,20000,0.05
