Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.068,0.068,0.068,0.068,000,0.068
2016-06-30,0.068,0.068,0.068,0.068,000,0.068
2016-06-29,0.068,0.068,0.068,0.068,000,0.068
2016-06-28,0.068,0.068,0.068,0.068,000,0.068
2016-06-27,0.068,0.068,0.068,0.068,20000,0.068
2016-06-24,0.068,0.068,0.068,0.068,16000,0.068
2016-06-23,0.068,0.068,0.068,0.068,24000,0.068
2016-06-22,0.068,0.068,0.068,0.068,000,0.068
2016-06-21,0.07,0.07,0.068,0.068,10000,0.068
2016-06-20,0.075,0.075,0.07,0.07,16000,0.07
2016-06-17,0.07,0.07,0.07,0.07,25000,0.07
2016-06-16,0.07,0.07,0.07,0.07,000,0.07
2016-06-15,0.07,0.07,0.07,0.07,000,0.07
2016-06-14,0.07,0.075,0.07,0.07,38000,0.07
2016-06-13,0.07,0.07,0.07,0.07,000,0.07
2016-06-10,0.07,0.07,0.07,0.07,21400,0.07
2016-06-09,0.075,0.075,0.075,0.075,000,0.075
2016-06-08,0.075,0.075,0.075,0.075,20700,0.075
2016-06-07,0.066,0.066,0.066,0.066,000,0.066
2016-06-06,0.066,0.066,0.066,0.066,000,0.066
2016-06-03,0.066,0.066,0.066,0.066,000,0.066
2016-06-02,0.066,0.066,0.066,0.066,000,0.066
2016-06-01,0.066,0.066,0.066,0.066,40000,0.066
2016-05-31,0.073,0.073,0.066,0.066,3600,0.066
2016-05-30,0.075,0.075,0.07,0.07,26500,0.07
2016-05-27,0.076,0.076,0.076,0.076,000,0.076
2016-05-26,0.076,0.076,0.076,0.076,22000,0.076
2016-05-25,0.075,0.075,0.075,0.075,16000,0.075
2016-05-24,0.065,0.065,0.065,0.065,000,0.065
2016-05-23,0.065,0.065,0.065,0.065,000,0.065
2016-05-20,0.065,0.065,0.065,0.065,000,0.065
2016-05-19,0.065,0.065,0.065,0.065,000,0.065
2016-05-18,0.065,0.065,0.065,0.065,6300,0.065
2016-05-17,0.065,0.065,0.065,0.065,000,0.065
2016-05-16,0.065,0.065,0.065,0.065,000,0.065
2016-05-13,0.065,0.065,0.065,0.065,144600,0.065
2016-05-12,0.065,0.065,0.065,0.065,12500,0.065
2016-05-11,0.08,0.08,0.08,0.08,7500,0.08
2016-05-10,0.085,0.085,0.085,0.085,000,0.085
2016-05-09,0.085,0.085,0.085,0.085,11700,0.085
2016-05-06,0.083,0.085,0.083,0.085,70000,0.085
2016-05-05,0.07,0.07,0.07,0.07,000,0.07
2016-05-04,0.07,0.07,0.07,0.07,000,0.07
2016-05-03,0.07,0.07,0.07,0.07,16000,0.07
2016-05-02,0.061,0.061,0.061,0.061,000,0.061
2016-04-29,0.061,0.061,0.061,0.061,000,0.061
2016-04-28,0.061,0.061,0.061,0.061,67700,0.061
2016-04-27,0.068,0.068,0.068,0.068,000,0.068
2016-04-26,0.068,0.068,0.068,0.068,60000,0.068
2016-04-25,0.068,0.068,0.068,0.068,000,0.068
2016-04-22,0.068,0.068,0.068,0.068,30000,0.068
2016-04-21,0.065,0.065,0.065,0.065,40000,0.065
2016-04-20,0.076,0.076,0.064,0.064,146000,0.064
2016-04-19,0.085,0.085,0.085,0.085,000,0.085
2016-04-18,0.085,0.085,0.085,0.085,000,0.085
2016-04-15,0.085,0.085,0.085,0.085,000,0.085
2016-04-14,0.085,0.085,0.085,0.085,000,0.085
2016-04-13,0.08,0.085,0.08,0.085,123000,0.085
2016-04-12,0.076,0.076,0.076,0.076,53400,0.076
2016-04-11,0.076,0.076,0.076,0.076,000,0.076
2016-04-08,0.075,0.076,0.075,0.076,52000,0.076
2016-04-07,0.08,0.08,0.08,0.08,000,0.08
2016-04-06,0.085,0.085,0.08,0.08,62600,0.08
2016-04-05,0.085,0.085,0.085,0.085,000,0.085
2016-04-04,0.085,0.085,0.085,0.085,000,0.085
2016-04-01,0.084,0.085,0.084,0.085,36500,0.085
2016-03-31,0.085,0.085,0.085,0.085,000,0.085
2016-03-30,0.085,0.085,0.085,0.085,000,0.085
2016-03-29,0.085,0.085,0.085,0.085,000,0.085
2016-03-28,0.085,0.085,0.085,0.085,000,0.085
2016-03-25,0.085,0.085,0.085,0.085,000,0.085
2016-03-24,0.085,0.085,0.085,0.085,000,0.085
2016-03-23,0.085,0.085,0.085,0.085,000,0.085
2016-03-22,0.085,0.085,0.085,0.085,000,0.085
2016-03-21,0.085,0.085,0.085,0.085,000,0.085
2016-03-18,0.085,0.085,0.085,0.085,000,0.085
2016-03-17,0.085,0.085,0.085,0.085,000,0.085
2016-03-16,0.085,0.085,0.085,0.085,000,0.085
2016-03-15,0.085,0.085,0.085,0.085,000,0.085
2016-03-14,0.085,0.085,0.085,0.085,000,0.085
2016-03-11,0.085,0.085,0.085,0.085,000,0.085
2016-03-10,0.085,0.085,0.085,0.085,100000,0.085
2016-03-09,0.085,0.085,0.085,0.085,16200,0.085
2016-03-08,0.072,0.09,0.071,0.09,277800,0.09
2016-03-07,0.06,0.063,0.059,0.063,134000,0.063
2016-03-04,0.06,0.06,0.06,0.06,000,0.06
2016-03-03,0.06,0.06,0.06,0.06,000,0.06
2016-03-02,0.06,0.06,0.06,0.06,000,0.06
2016-03-01,0.06,0.06,0.06,0.06,000,0.06
2016-02-29,0.06,0.06,0.06,0.06,000,0.06
2016-02-26,0.06,0.06,0.06,0.06,000,0.06
2016-02-25,0.06,0.06,0.06,0.06,000,0.06
2016-02-24,0.07,0.07,0.06,0.06,84000,0.06
2016-02-23,0.075,0.075,0.065,0.065,102800,0.065
2016-02-22,0.088,0.088,0.088,0.088,000,0.088
2016-02-19,0.088,0.088,0.088,0.088,000,0.088
2016-02-18,0.088,0.088,0.088,0.088,000,0.088
2016-02-17,0.088,0.088,0.088,0.088,000,0.088
2016-02-16,0.088,0.088,0.088,0.088,000,0.088
2016-02-15,0.088,0.088,0.088,0.088,000,0.088
2016-02-12,0.088,0.088,0.088,0.088,000,0.088
2016-02-11,0.088,0.088,0.088,0.088,000,0.088
2016-02-10,0.088,0.088,0.088,0.088,000,0.088
2016-02-09,0.088,0.088,0.088,0.088,000,0.088
2016-02-08,0.088,0.088,0.088,0.088,000,0.088
2016-02-05,0.088,0.088,0.088,0.088,000,0.088
2016-02-04,0.088,0.088,0.088,0.088,000,0.088
2016-02-03,0.089,0.089,0.088,0.088,33800,0.088
2016-02-02,0.081,0.081,0.081,0.081,000,0.081
2016-02-01,0.081,0.081,0.081,0.081,2800,0.081
2016-01-29,0.075,0.075,0.075,0.075,000,0.075
2016-01-28,0.075,0.075,0.075,0.075,000,0.075
2016-01-27,0.075,0.075,0.075,0.075,000,0.075
2016-01-26,0.075,0.075,0.075,0.075,000,0.075
2016-01-25,0.075,0.075,0.075,0.075,000,0.075
2016-01-22,0.075,0.075,0.075,0.075,000,0.075
2016-01-21,0.075,0.075,0.075,0.075,000,0.075
2016-01-20,0.075,0.075,0.075,0.075,000,0.075
2016-01-19,0.075,0.075,0.075,0.075,000,0.075
2016-01-18,0.075,0.075,0.075,0.075,000,0.075
2016-01-15,0.075,0.075,0.075,0.075,000,0.075
2016-01-14,0.075,0.075,0.075,0.075,000,0.075
2016-01-13,0.075,0.075,0.075,0.075,000,0.075
2016-01-12,0.075,0.075,0.075,0.075,000,0.075
2016-01-11,0.075,0.075,0.075,0.075,000,0.075
2016-01-08,0.075,0.075,0.075,0.075,000,0.075
2016-01-07,0.075,0.075,0.075,0.075,000,0.075
2016-01-06,0.075,0.075,0.075,0.075,000,0.075
2016-01-05,0.075,0.075,0.075,0.075,000,0.075
2016-01-04,0.075,0.075,0.075,0.075,000,0.075
2016-01-01,0.075,0.075,0.075,0.075,000,0.075
2015-12-31,0.075,0.075,0.075,0.075,000,0.075
2015-12-30,0.075,0.075,0.075,0.075,000,0.075
2015-12-29,0.075,0.075,0.075,0.075,000,0.075
2015-12-28,0.075,0.075,0.075,0.075,000,0.075
2015-12-25,0.075,0.075,0.075,0.075,000,0.075
2015-12-24,0.075,0.075,0.075,0.075,000,0.075
2015-12-23,0.075,0.075,0.075,0.075,15100,0.075
2015-12-22,0.075,0.075,0.075,0.075,000,0.075
2015-12-21,0.075,0.075,0.075,0.075,000,0.075
2015-12-18,0.075,0.075,0.075,0.075,000,0.075
2015-12-17,0.075,0.075,0.075,0.075,000,0.075
2015-12-16,0.075,0.075,0.075,0.075,000,0.075
2015-12-15,0.075,0.075,0.075,0.075,10000,0.075
2015-12-14,0.07,0.07,0.07,0.07,000,0.07
2015-12-11,0.07,0.07,0.07,0.07,10000,0.07
2015-12-10,0.069,0.069,0.069,0.069,000,0.069
2015-12-09,0.069,0.069,0.069,0.069,000,0.069
2015-12-08,0.069,0.069,0.069,0.069,000,0.069
2015-12-07,0.069,0.069,0.069,0.069,000,0.069
2015-12-04,0.069,0.069,0.069,0.069,000,0.069
2015-12-03,0.069,0.069,0.069,0.069,000,0.069
2015-12-02,0.069,0.069,0.069,0.069,000,0.069
2015-12-01,0.069,0.069,0.069,0.069,000,0.069
2015-11-30,0.069,0.069,0.069,0.069,000,0.069
2015-11-27,0.069,0.069,0.069,0.069,000,0.069
2015-11-26,0.069,0.069,0.069,0.069,000,0.069
2015-11-25,0.066,0.069,0.066,0.069,100000,0.069
2015-11-24,0.072,0.072,0.072,0.072,000,0.072
2015-11-23,0.072,0.072,0.072,0.072,70000,0.072
2015-11-20,0.072,0.072,0.072,0.072,10000,0.072
2015-11-19,0.076,0.076,0.076,0.076,000,0.076
2015-11-18,0.076,0.076,0.076,0.076,000,0.076
2015-11-17,0.085,0.085,0.075,0.076,27000,0.076
2015-11-16,0.08,0.08,0.08,0.08,144600,0.08
2015-11-13,0.078,0.08,0.078,0.08,120700,0.08
2015-11-12,0.08,0.08,0.08,0.08,000,0.08
2015-11-11,0.08,0.08,0.08,0.08,000,0.08
2015-11-10,0.08,0.08,0.08,0.08,000,0.08
2015-11-09,0.08,0.08,0.08,0.08,000,0.08
2015-11-06,0.08,0.08,0.08,0.08,000,0.08
2015-11-05,0.081,0.081,0.08,0.08,108300,0.08
2015-11-04,0.088,0.088,0.088,0.088,11700,0.088
2015-11-03,0.095,0.095,0.095,0.095,000,0.095
2015-11-02,0.095,0.095,0.095,0.095,10300,0.095
2015-10-30,0.095,0.095,0.095,0.095,000,0.095
2015-10-29,0.095,0.095,0.095,0.095,000,0.095
2015-10-28,0.095,0.095,0.095,0.095,000,0.095
2015-10-27,0.095,0.095,0.095,0.095,000,0.095
2015-10-26,0.095,0.095,0.095,0.095,000,0.095
2015-10-23,0.095,0.095,0.095,0.095,5500,0.095
2015-10-22,0.095,0.095,0.095,0.095,000,0.095
2015-10-21,0.095,0.095,0.095,0.095,000,0.095
2015-10-20,0.095,0.095,0.095,0.095,000,0.095
2015-10-19,0.095,0.095,0.095,0.095,5000,0.095
2015-10-16,0.09,0.09,0.09,0.09,000,0.09
2015-10-15,0.09,0.09,0.09,0.09,000,0.09
2015-10-14,0.09,0.09,0.09,0.09,000,0.09
2015-10-13,0.09,0.09,0.09,0.09,20700,0.09
2015-10-12,0.08,0.08,0.08,0.08,000,0.08
2015-10-09,0.08,0.08,0.08,0.08,000,0.08
2015-10-08,0.08,0.08,0.08,0.08,000,0.08
2015-10-07,0.105,0.105,0.08,0.08,65000,0.08
2015-10-06,0.11,0.11,0.11,0.11,000,0.11
2015-10-05,0.115,0.115,0.11,0.11,22000,0.11
2015-10-02,0.115,0.115,0.115,0.115,000,0.115
2015-10-01,0.115,0.115,0.115,0.115,10000,0.115
2015-09-30,0.115,0.115,0.115,0.115,000,0.115
2015-09-29,0.115,0.115,0.115,0.115,000,0.115
2015-09-28,0.115,0.115,0.115,0.115,2600,0.115
2015-09-25,0.13,0.13,0.13,0.13,000,0.13
2015-09-24,0.13,0.13,0.13,0.13,000,0.13
2015-09-23,0.13,0.13,0.13,0.13,5000,0.13
2015-09-22,0.12,0.13,0.12,0.13,14400,0.13
