Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.035,0.035,0.035,0.035,000,0.035
2016-06-30,0.035,0.035,0.035,0.035,4600,0.035
2016-06-29,0.035,0.035,0.034,0.034,3000,0.034
2016-06-28,0.04,0.04,0.04,0.04,000,0.04
2016-06-27,0.04,0.04,0.04,0.04,246000,0.04
2016-06-24,0.037,0.039,0.037,0.039,88900,0.039
2016-06-23,0.035,0.037,0.035,0.037,80000,0.037
2016-06-22,0.03,0.03,0.03,0.03,50500,0.03
2016-06-21,0.03,0.03,0.03,0.03,000,0.03
2016-06-20,0.03,0.03,0.03,0.03,30600,0.03
2016-06-17,0.03,0.03,0.03,0.03,000,0.03
2016-06-16,0.03,0.03,0.03,0.03,000,0.03
2016-06-15,0.03,0.03,0.03,0.03,700000,0.03
2016-06-14,0.032,0.032,0.032,0.032,250600,0.032
2016-06-13,0.034,0.034,0.034,0.034,000,0.034
2016-06-10,0.034,0.034,0.034,0.034,000,0.034
2016-06-09,0.034,0.034,0.034,0.034,100000,0.034
2016-06-08,0.032,0.032,0.032,0.032,000,0.032
2016-06-07,0.032,0.032,0.032,0.032,50000,0.032
2016-06-06,0.035,0.035,0.035,0.035,100000,0.035
2016-06-03,0.037,0.037,0.033,0.033,359600,0.033
2016-06-02,0.04,0.04,0.04,0.04,000,0.04
2016-06-01,0.037,0.04,0.037,0.04,210000,0.04
2016-05-31,0.04,0.04,0.04,0.04,000,0.04
2016-05-30,0.04,0.04,0.04,0.04,000,0.04
2016-05-27,0.04,0.04,0.04,0.04,100000,0.04
2016-05-26,0.046,0.046,0.04,0.045,179700,0.045
2016-05-25,0.042,0.046,0.042,0.046,150000,0.046
2016-05-24,0.041,0.045,0.041,0.042,213200,0.042
2016-05-23,0.05,0.05,0.05,0.05,000,0.05
2016-05-20,0.05,0.05,0.05,0.05,000,0.05
2016-05-19,0.05,0.05,0.05,0.05,10000,0.05
2016-05-18,0.05,0.05,0.05,0.05,000,0.05
2016-05-17,0.05,0.05,0.05,0.05,39700,0.05
2016-05-16,0.049,0.049,0.049,0.049,000,0.049
2016-05-13,0.049,0.049,0.049,0.049,000,0.049
2016-05-12,0.049,0.049,0.049,0.049,21100,0.049
2016-05-11,0.048,0.048,0.048,0.048,400,0.048
2016-05-10,0.05,0.05,0.05,0.05,000,0.05
2016-05-09,0.05,0.05,0.05,0.05,000,0.05
2016-05-06,0.05,0.05,0.05,0.05,000,0.05
2016-05-05,0.05,0.05,0.05,0.05,000,0.05
2016-05-04,0.048,0.05,0.048,0.05,50000,0.05
2016-05-03,0.048,0.048,0.048,0.048,000,0.048
2016-05-02,0.047,0.048,0.047,0.048,280900,0.048
2016-04-29,0.047,0.047,0.047,0.047,100,0.047
2016-04-28,0.05,0.05,0.05,0.05,000,0.05
2016-04-27,0.05,0.05,0.05,0.05,000,0.05
2016-04-26,0.05,0.05,0.05,0.05,000,0.05
2016-04-25,0.05,0.05,0.05,0.05,000,0.05
2016-04-22,0.05,0.05,0.05,0.05,000,0.05
2016-04-21,0.05,0.05,0.05,0.05,000,0.05
2016-04-20,0.052,0.052,0.05,0.05,103700,0.05
2016-04-19,0.048,0.052,0.047,0.052,55900,0.052
2016-04-18,0.053,0.053,0.05,0.05,72000,0.05
2016-04-15,0.054,0.054,0.047,0.047,181500,0.047
2016-04-14,0.055,0.055,0.055,0.055,000,0.055
2016-04-13,0.055,0.055,0.055,0.055,000,0.055
2016-04-12,0.051,0.055,0.05,0.055,102000,0.055
2016-04-11,0.057,0.057,0.052,0.052,529500,0.052
2016-04-08,0.054,0.057,0.053,0.057,1054000,0.057
2016-04-07,0.055,0.055,0.055,0.055,38100,0.055
2016-04-06,0.054,0.055,0.053,0.055,330200,0.055
2016-04-05,0.046,0.046,0.046,0.046,2000,0.046
2016-04-04,0.046,0.046,0.046,0.046,10500,0.046
2016-04-01,0.051,0.052,0.05,0.052,305000,0.052
2016-03-31,0.046,0.046,0.046,0.046,000,0.046
2016-03-30,0.046,0.046,0.046,0.046,000,0.046
2016-03-29,0.046,0.049,0.046,0.046,211500,0.046
2016-03-28,0.049,0.049,0.049,0.049,000,0.049
2016-03-25,0.049,0.049,0.049,0.049,000,0.049
2016-03-24,0.049,0.049,0.049,0.049,000,0.049
2016-03-23,0.049,0.049,0.049,0.049,000,0.049
2016-03-22,0.049,0.049,0.049,0.049,000,0.049
2016-03-21,0.049,0.049,0.049,0.049,300,0.049
2016-03-18,0.049,0.049,0.049,0.049,000,0.049
2016-03-17,0.049,0.049,0.049,0.049,000,0.049
2016-03-16,0.049,0.049,0.049,0.049,155000,0.049
2016-03-15,0.049,0.049,0.049,0.049,000,0.049
2016-03-14,0.049,0.049,0.049,0.049,000,0.049
2016-03-11,0.049,0.049,0.049,0.049,18900,0.049
2016-03-10,0.049,0.049,0.049,0.049,000,0.049
2016-03-09,0.049,0.049,0.049,0.049,000,0.049
2016-03-08,0.05,0.05,0.049,0.049,52600,0.049
2016-03-07,0.05,0.05,0.05,0.05,000,0.05
2016-03-04,0.05,0.05,0.05,0.05,000,0.05
2016-03-03,0.05,0.05,0.049,0.05,42000,0.05
2016-03-02,0.053,0.053,0.053,0.053,000,0.053
2016-03-01,0.053,0.053,0.053,0.053,000,0.053
2016-02-29,0.054,0.054,0.053,0.053,98500,0.053
2016-02-26,0.054,0.054,0.054,0.054,18500,0.054
2016-02-25,0.049,0.054,0.049,0.054,341600,0.054
2016-02-24,0.049,0.049,0.049,0.049,10200,0.049
2016-02-23,0.054,0.054,0.054,0.054,000,0.054
2016-02-22,0.054,0.054,0.054,0.054,35000,0.054
2016-02-19,0.054,0.054,0.054,0.054,10000,0.054
2016-02-18,0.05,0.05,0.05,0.05,000,0.05
2016-02-17,0.05,0.05,0.05,0.05,000,0.05
2016-02-16,0.05,0.05,0.05,0.05,000,0.05
2016-02-15,0.05,0.05,0.05,0.05,2500,0.05
2016-02-12,0.054,0.054,0.054,0.054,000,0.054
2016-02-11,0.054,0.054,0.054,0.054,000,0.054
2016-02-10,0.054,0.054,0.054,0.054,000,0.054
2016-02-09,0.054,0.054,0.054,0.054,000,0.054
2016-02-08,0.054,0.054,0.054,0.054,000,0.054
2016-02-05,0.05,0.054,0.05,0.054,12000,0.054
2016-02-04,0.05,0.05,0.05,0.05,000,0.05
2016-02-03,0.055,0.055,0.05,0.05,24500,0.05
2016-02-02,0.055,0.055,0.055,0.055,000,0.055
2016-02-01,0.055,0.055,0.055,0.055,000,0.055
2016-01-29,0.055,0.055,0.055,0.055,000,0.055
2016-01-28,0.055,0.055,0.055,0.055,000,0.055
2016-01-27,0.055,0.055,0.055,0.055,000,0.055
2016-01-26,0.055,0.055,0.055,0.055,000,0.055
2016-01-25,0.055,0.055,0.055,0.055,000,0.055
2016-01-22,0.055,0.055,0.055,0.055,110200,0.055
2016-01-21,0.055,0.055,0.055,0.055,114700,0.055
2016-01-20,0.045,0.05,0.045,0.05,102000,0.05
2016-01-19,0.05,0.05,0.045,0.045,455000,0.045
2016-01-18,0.05,0.054,0.05,0.054,224100,0.054
2016-01-15,0.051,0.051,0.05,0.05,68000,0.05
2016-01-14,0.05,0.05,0.05,0.05,000,0.05
2016-01-13,0.053,0.053,0.05,0.05,12300,0.05
2016-01-12,0.053,0.053,0.053,0.053,000,0.053
2016-01-11,0.053,0.053,0.053,0.053,000,0.053
2016-01-08,0.05,0.05,0.05,0.05,000,0.05
2016-01-07,0.05,0.05,0.05,0.05,000,0.05
2016-01-06,0.05,0.05,0.05,0.05,10000,0.05
2016-01-05,0.05,0.054,0.05,0.054,20400,0.054
2016-01-04,0.052,0.052,0.052,0.052,000,0.052
2016-01-01,0.052,0.052,0.052,0.052,000,0.052
2015-12-31,0.052,0.052,0.052,0.052,000,0.052
2015-12-30,0.052,0.052,0.052,0.052,000,0.052
2015-12-29,0.052,0.052,0.052,0.052,000,0.052
2015-12-28,0.052,0.052,0.052,0.052,000,0.052
2015-12-25,0.052,0.052,0.052,0.052,000,0.052
2015-12-24,0.054,0.054,0.052,0.052,38400,0.052
2015-12-23,0.05,0.055,0.05,0.054,532600,0.054
2015-12-22,0.043,0.044,0.04,0.044,154700,0.044
2015-12-21,0.042,0.042,0.042,0.042,150000,0.042
2015-12-18,0.052,0.052,0.052,0.052,000,0.052
2015-12-17,0.052,0.052,0.052,0.052,000,0.052
2015-12-16,0.052,0.052,0.052,0.052,000,0.052
2015-12-15,0.052,0.052,0.052,0.052,37000,0.052
2015-12-14,0.053,0.053,0.053,0.053,000,0.053
2015-12-11,0.053,0.053,0.053,0.053,000,0.053
2015-12-10,0.053,0.053,0.053,0.053,000,0.053
2015-12-09,0.053,0.053,0.053,0.053,000,0.053
2015-12-08,0.053,0.053,0.053,0.053,000,0.053
2015-12-07,0.053,0.053,0.053,0.053,000,0.053
2015-12-04,0.05,0.053,0.05,0.053,500900,0.053
2015-12-03,0.053,0.053,0.05,0.05,227000,0.05
2015-12-02,0.05,0.053,0.05,0.053,260300,0.053
2015-12-01,0.05,0.05,0.05,0.05,63300,0.05
2015-11-30,0.053,0.053,0.053,0.053,000,0.053
2015-11-27,0.052,0.053,0.052,0.053,45000,0.053
2015-11-26,0.052,0.052,0.052,0.052,000,0.052
2015-11-25,0.05,0.052,0.05,0.052,186700,0.052
2015-11-24,0.053,0.053,0.05,0.05,12000,0.05
2015-11-23,0.055,0.055,0.05,0.055,807600,0.055
2015-11-20,0.07,0.07,0.07,0.07,000,0.07
2015-11-19,0.07,0.07,0.07,0.07,000,0.07
2015-11-18,0.07,0.07,0.07,0.07,000,0.07
2015-11-17,0.07,0.07,0.07,0.07,000,0.07
2015-11-16,0.07,0.07,0.07,0.07,000,0.07
2015-11-13,0.07,0.07,0.07,0.07,000,0.07
2015-11-12,0.07,0.07,0.07,0.07,000,0.07
2015-11-11,0.07,0.07,0.07,0.07,000,0.07
2015-11-10,0.07,0.07,0.07,0.07,000,0.07
2015-11-09,0.07,0.07,0.07,0.07,000,0.07
2015-11-06,0.07,0.07,0.07,0.07,000,0.07
2015-11-05,0.07,0.07,0.07,0.07,000,0.07
2015-11-04,0.07,0.07,0.07,0.07,000,0.07
2015-11-03,0.07,0.07,0.07,0.07,000,0.07
2015-11-02,0.07,0.07,0.07,0.07,000,0.07
2015-10-30,0.07,0.07,0.07,0.07,000,0.07
2015-10-29,0.07,0.07,0.07,0.07,000,0.07
2015-10-28,0.07,0.07,0.07,0.07,000,0.07
2015-10-27,0.07,0.07,0.07,0.07,000,0.07
2015-10-26,0.07,0.07,0.07,0.07,000,0.07
2015-10-23,0.07,0.07,0.07,0.07,000,0.07
2015-10-22,0.07,0.07,0.07,0.07,000,0.07
2015-10-21,0.07,0.07,0.07,0.07,000,0.07
2015-10-20,0.07,0.07,0.07,0.07,000,0.07
2015-10-19,0.07,0.07,0.07,0.07,000,0.07
2015-10-16,0.07,0.07,0.07,0.07,000,0.07
2015-10-15,0.07,0.07,0.07,0.07,000,0.07
2015-10-14,0.07,0.07,0.07,0.07,000,0.07
2015-10-13,0.07,0.07,0.07,0.07,000,0.07
2015-10-12,0.07,0.07,0.07,0.07,000,0.07
2015-10-09,0.07,0.07,0.07,0.07,000,0.07
2015-10-08,0.07,0.07,0.07,0.07,000,0.07
2015-10-07,0.07,0.07,0.07,0.07,000,0.07
2015-10-06,0.07,0.07,0.07,0.07,000,0.07
2015-10-05,0.07,0.07,0.07,0.07,000,0.07
2015-10-02,0.07,0.07,0.07,0.07,000,0.07
2015-10-01,0.07,0.07,0.07,0.07,000,0.07
2015-09-30,0.07,0.07,0.07,0.07,000,0.07
2015-09-29,0.07,0.07,0.07,0.07,000,0.07
2015-09-28,0.07,0.07,0.07,0.07,000,0.07
2015-09-25,0.07,0.07,0.07,0.07,000,0.07
2015-09-24,0.07,0.07,0.07,0.07,000,0.07
2015-09-23,0.07,0.07,0.07,0.07,000,0.07
2015-09-22,0.07,0.07,0.07,0.07,000,0.07
2015-09-21,0.07,0.07,0.07,0.07,000,0.07
2015-09-18,0.07,0.07,0.07,0.07,000,0.07
2015-09-17,0.07,0.07,0.07,0.07,000,0.70
2015-09-16,0.07,0.07,0.07,0.07,000,7.00
2015-09-15,0.007,0.007,0.007,0.007,000,0.70
2015-09-14,0.007,0.007,0.007,0.007,31100,0.70
2015-09-11,0.006,0.006,0.006,0.006,000,0.60
2015-09-10,0.006,0.006,0.006,0.006,000,0.60
2015-09-09,0.006,0.006,0.006,0.006,000,0.60
2015-09-08,0.006,0.006,0.006,0.006,000,0.60
2015-09-07,0.006,0.006,0.006,0.006,4200,0.60
2015-09-04,0.006,0.006,0.006,0.006,000,0.60
2015-09-03,0.006,0.006,0.006,0.006,700,0.60
2015-09-02,0.006,0.006,0.006,0.006,000,0.60
2015-09-01,0.006,0.006,0.006,0.006,000,0.60
2015-08-31,0.006,0.006,0.006,0.006,000,0.60
2015-08-28,0.006,0.006,0.006,0.006,000,0.60
2015-08-27,0.006,0.006,0.006,0.006,000,0.60
2015-08-26,0.006,0.006,0.006,0.006,000,0.60
2015-08-25,0.006,0.006,0.006,0.006,000,0.60
2015-08-24,0.007,0.007,0.006,0.006,20000,0.60
2015-08-21,0.007,0.007,0.007,0.007,000,0.70
2015-08-20,0.001,0.001,0.001,0.001,10000,0.07
2015-08-19,0.001,0.001,0.001,0.001,000,0.08
2015-08-18,0.001,0.001,0.001,0.001,000,0.08
2015-08-17,0.001,0.001,0.001,0.001,000,0.08
2015-08-14,0.001,0.001,0.001,0.001,000,0.08
2015-08-13,0.001,0.001,0.001,0.001,000,0.08
2015-08-12,0.001,0.001,0.001,0.001,000,0.08
2015-08-11,0.001,0.001,0.001,0.001,000,0.08
2015-08-10,0.001,0.001,0.001,0.001,000,0.08
2015-08-07,0.001,0.001,0.001,0.001,000,0.08
2015-08-06,0.001,0.001,0.001,0.001,13700,0.08
2015-08-05,0.001,0.001,0.001,0.001,000,0.09
2015-08-04,0.001,0.001,0.001,0.001,000,0.09
2015-08-03,0.001,0.001,0.001,0.001,000,0.09
2015-07-31,0.001,0.001,0.001,0.001,000,0.09
2015-07-30,0.001,0.001,0.001,0.001,000,0.09
2015-07-29,0.001,0.001,0.001,0.001,000,0.09
2015-07-28,0.001,0.001,0.001,0.001,500,0.09
2015-07-27,0.001,0.001,0.001,0.001,4000,0.09
2015-07-24,0.001,0.001,0.001,0.001,8000,0.10
2015-07-23,0.001,0.001,0.001,0.001,26100,0.09
2015-07-22,0.001,0.002,0.001,0.001,298500,0.10
2015-07-21,0.001,0.001,0.001,0.001,000,0.07
2015-07-20,0.001,0.001,0.001,0.001,000,0.07
2015-07-17,0.001,0.001,0.001,0.001,000,0.07
2015-07-16,0.001,0.001,0.001,0.001,8400,0.07
2015-07-15,0.00,0.00,0.00,0.00,1100,0.05
2015-07-14,0.001,0.001,0.001,0.001,000,0.07
2015-07-13,0.001,0.001,0.001,0.001,000,0.07
2015-07-10,0.001,0.001,0.001,0.001,000,0.07
2015-07-09,0.001,0.001,0.001,0.001,000,0.07
2015-07-08,0.001,0.001,0.001,0.001,5200,0.07
2015-07-07,0.001,0.001,0.001,0.001,000,0.07
2015-07-06,0.001,0.001,0.001,0.001,000,0.07
2015-07-03,0.001,0.001,0.001,0.001,000,0.07
2015-07-02,0.001,0.001,0.001,0.001,000,0.07
2015-07-01,0.001,0.001,0.001,0.001,000,0.07
2015-06-30,0.001,0.001,0.001,0.001,000,0.07
2015-06-29,0.001,0.001,0.001,0.001,800,0.07
2015-06-26,0.001,0.001,0.001,0.001,000,0.07
2015-06-25,0.001,0.001,0.001,0.001,400,0.07
2015-06-24,0.001,0.001,0.001,0.001,000,0.07
2015-06-23,0.001,0.001,0.001,0.001,1600,0.07
2015-06-22,0.001,0.001,0.001,0.001,000,0.07
2015-06-19,0.001,0.001,0.001,0.001,500,0.07
2015-06-18,0.001,0.001,0.001,0.001,000,0.06
2015-06-17,0.001,0.001,0.001,0.001,000,0.06
2015-06-16,0.001,0.001,0.001,0.001,000,0.06
2015-06-15,0.001,0.001,0.001,0.001,000,0.06
2015-06-12,0.001,0.001,0.001,0.001,000,0.06
2015-06-11,0.001,0.001,0.001,0.001,12600,0.06
2015-06-10,0.00,0.00,0.00,0.00,000,0.05
