Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,16.85,17.00,16.72,16.87,91000,16.87
2016-06-30,16.65,16.91,16.54,16.74,123600,16.74
2016-06-29,16.48,16.66,16.36,16.55,84100,16.55
2016-06-28,16.36,16.74,15.95,16.33,162900,16.33
2016-06-27,16.46,16.59,16.18,16.48,45300,16.48
2016-06-24,17.00,17.00,16.38,16.50,129000,16.50
2016-06-23,16.81,16.885,16.68,16.79,71100,16.79
2016-06-22,16.89,16.96,16.66,16.82,44400,16.82
2016-06-21,16.39,16.76,16.35,16.71,55300,16.71
2016-06-20,16.70,16.70,16.37,16.49,55200,16.49
2016-06-17,16.50,16.56,16.37,16.52,88300,16.52
2016-06-16,16.18,16.50,16.18,16.48,222200,16.48
2016-06-15,16.23,16.32,16.07,16.12,100000,16.12
2016-06-14,16.43,16.48,16.23,16.24,85700,16.24
2016-06-13,16.65,16.65,16.65,16.65,000,16.65
2016-06-10,16.59,16.67,16.38,16.65,88300,16.65
2016-06-09,16.50,16.76,16.50,16.64,98200,16.64
2016-06-08,16.64,16.82,16.53,16.70,69600,16.70
2016-06-07,16.61,16.80,16.60,16.69,98600,16.69
2016-06-06,16.70,16.70,16.33,16.56,81900,16.56
2016-06-03,16.54,16.90,16.45,16.72,189500,16.72
2016-06-02,16.34,16.59,16.23,16.30,92400,16.30
2016-06-01,16.34,16.60,16.30,16.48,257200,16.48
2016-05-31,16.60,16.60,16.34,16.60,207600,16.60
2016-05-30,16.47,16.68,15.94,16.55,84500,16.55
2016-05-27,16.35,16.53,16.27,16.46,108700,16.46
2016-05-26,16.30,16.35,16.20,16.31,77100,16.31
2016-05-25,16.12,16.30,15.95,16.24,96200,16.24
2016-05-24,16.12,16.12,15.83,15.92,61700,15.92
2016-05-23,16.16,16.31,15.86,15.91,116100,15.91
2016-05-20,15.90,16.19,15.87,16.17,92500,16.17
2016-05-19,15.96,16.12,15.87,15.97,92400,15.97
2016-05-18,16.05,16.11,15.81,15.90,145900,15.90
2016-05-17,16.17,16.22,15.94,16.18,131200,16.18
2016-05-16,16.00,16.31,15.87,16.13,131300,16.13
2016-05-13,16.41,16.41,15.90,16.09,119200,16.09
2016-05-12,16.22,16.26,15.90,16.11,108600,16.11
2016-05-11,16.38,16.41,16.155,16.20,135800,16.20
2016-05-10,16.35,16.42,16.14,16.27,97100,16.27
2016-05-09,16.07,16.33,16.03,16.27,126300,16.27
2016-05-06,15.96,16.35,15.81,16.35,139300,16.35
2016-05-05,16.06,16.28,16.01,16.10,99400,16.10
