Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.57,0.57,0.57,0.57,900,0.57
2016-06-30,0.57,0.57,0.57,0.57,000,0.57
2016-06-29,0.57,0.57,0.57,0.57,000,0.57
2016-06-28,0.55,0.64,0.55,0.64,100,0.64
2016-06-27,0.65,0.65,0.65,0.65,000,0.65
2016-06-24,0.65,0.65,0.65,0.65,000,0.65
2016-06-23,0.65,0.65,0.65,0.65,000,0.65
2016-06-22,0.65,0.65,0.65,0.65,000,0.65
2016-06-21,0.65,0.65,0.65,0.65,000,0.65
2016-06-20,0.65,0.65,0.65,0.65,000,0.65
2016-06-17,0.65,0.65,0.65,0.65,000,0.65
2016-06-16,0.65,0.65,0.65,0.65,000,0.65
2016-06-15,0.65,0.65,0.65,0.65,000,0.65
2016-06-14,0.65,0.65,0.65,0.65,28800,0.65
2016-06-13,0.65,0.65,0.65,0.65,000,0.65
2016-06-10,0.64,0.65,0.64,0.65,130100,0.65
2016-06-09,0.60,0.60,0.60,0.60,000,0.60
2016-06-08,0.57,0.60,0.57,0.60,18000,0.60
2016-06-07,0.56,0.56,0.56,0.56,5000,0.56
2016-06-06,0.56,0.56,0.56,0.56,000,0.56
2016-06-03,0.56,0.56,0.56,0.56,000,0.56
2016-06-02,0.56,0.56,0.56,0.56,000,0.56
2016-06-01,0.56,0.56,0.56,0.56,000,0.56
2016-05-31,0.56,0.56,0.56,0.56,000,0.56
2016-05-30,0.56,0.56,0.56,0.56,10000,0.56
2016-05-27,0.55,0.56,0.55,0.56,10400,0.56
2016-05-26,0.56,0.56,0.56,0.56,000,0.56
2016-05-25,0.56,0.56,0.56,0.56,19300,0.56
2016-05-24,0.555,0.555,0.555,0.555,000,0.555
2016-05-23,0.555,0.555,0.555,0.555,000,0.555
2016-05-20,0.555,0.555,0.555,0.555,000,0.555
2016-05-19,0.555,0.555,0.555,0.555,5000,0.555
2016-05-18,0.55,0.555,0.55,0.555,62300,0.555
2016-05-17,0.51,0.51,0.51,0.51,000,0.51
2016-05-16,0.51,0.51,0.51,0.51,000,0.51
2016-05-13,0.51,0.51,0.51,0.51,000,0.51
2016-05-12,0.51,0.51,0.51,0.51,11000,0.51
2016-05-11,0.51,0.51,0.51,0.51,21400,0.51
2016-05-10,0.58,0.58,0.58,0.58,000,0.58
2016-05-09,0.58,0.58,0.58,0.58,000,0.58
2016-05-06,0.58,0.58,0.58,0.58,300,0.58
2016-05-05,0.55,0.58,0.55,0.58,14800,0.58
2016-05-04,0.465,0.48,0.46,0.46,13300,0.46
2016-05-03,0.50,0.50,0.50,0.50,14000,0.50
2016-05-02,0.50,0.50,0.50,0.50,000,0.50
2016-04-29,0.72,0.72,0.50,0.50,181900,0.50
2016-04-28,0.75,0.75,0.75,0.75,000,0.75
2016-04-27,0.75,0.75,0.75,0.75,800,0.75
2016-04-26,0.75,0.76,0.72,0.75,82000,0.75
2016-04-25,0.79,0.79,0.79,0.79,000,0.79
2016-04-22,0.80,0.80,0.79,0.79,7300,0.79
2016-04-21,0.66,0.85,0.66,0.76,135100,0.76
2016-04-20,0.65,0.65,0.63,0.65,65500,0.65
2016-04-19,0.61,0.61,0.61,0.61,000,0.61
2016-04-18,0.63,0.63,0.61,0.61,6500,0.61
2016-04-15,0.63,0.63,0.63,0.63,30000,0.63
2016-04-14,0.60,0.60,0.60,0.60,40000,0.60
2016-04-13,0.60,0.60,0.60,0.60,000,0.60
2016-04-12,0.60,0.60,0.60,0.60,000,0.60
2016-04-11,0.60,0.60,0.60,0.60,000,0.60
2016-04-08,0.60,0.60,0.60,0.60,000,0.60
2016-04-07,0.60,0.60,0.60,0.60,64700,0.60
2016-04-06,0.595,0.595,0.595,0.595,30500,0.595
2016-04-05,0.58,0.58,0.58,0.58,000,0.58
2016-04-04,0.58,0.58,0.575,0.58,4000,0.58
2016-04-01,0.55,0.55,0.55,0.55,000,0.55
2016-03-31,0.55,0.55,0.55,0.55,000,0.55
2016-03-30,0.55,0.55,0.55,0.55,000,0.55
2016-03-29,0.56,0.56,0.55,0.55,4300,0.55
2016-03-28,0.58,0.58,0.58,0.58,000,0.58
2016-03-25,0.58,0.58,0.58,0.58,000,0.58
2016-03-24,0.58,0.58,0.58,0.58,000,0.58
2016-03-23,0.58,0.58,0.58,0.58,17800,0.58
2016-03-22,0.60,0.60,0.60,0.60,000,0.60
2016-03-21,0.60,0.60,0.60,0.60,000,0.60
2016-03-18,0.60,0.60,0.60,0.60,9800,0.60
2016-03-17,0.61,0.61,0.60,0.60,6200,0.60
