Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.03,0.033,0.03,0.032,2587500,0.032
2016-06-30,0.029,0.032,0.029,0.03,1623600,0.03
2016-06-29,0.027,0.029,0.027,0.029,3346200,0.029
2016-06-28,0.029,0.031,0.027,0.027,2592500,0.027
2016-06-27,0.026,0.026,0.026,0.026,000,0.026
2016-06-24,0.026,0.026,0.026,0.026,000,0.026
2016-06-23,0.024,0.026,0.024,0.026,333300,0.026
2016-06-22,0.025,0.026,0.024,0.025,625800,0.025
2016-06-21,0.026,0.027,0.025,0.025,498500,0.025
2016-06-20,0.027,0.027,0.027,0.027,77300,0.027
2016-06-17,0.027,0.028,0.025,0.026,2525000,0.026
2016-06-16,0.026,0.029,0.024,0.029,1661200,0.029
2016-06-15,0.029,0.033,0.024,0.024,6004900,0.024
2016-06-14,0.029,0.03,0.029,0.029,722400,0.029
2016-06-13,0.029,0.029,0.029,0.029,000,0.029
2016-06-10,0.03,0.03,0.029,0.029,625900,0.029
2016-06-09,0.03,0.03,0.028,0.029,1494900,0.029
2016-06-08,0.028,0.028,0.027,0.028,394200,0.028
2016-06-07,0.031,0.031,0.028,0.028,921900,0.028
2016-06-06,0.03,0.031,0.03,0.031,1045600,0.031
2016-06-03,0.026,0.027,0.026,0.026,311000,0.026
2016-06-02,0.027,0.027,0.026,0.027,1185000,0.027
2016-06-01,0.03,0.03,0.027,0.027,166700,0.027
2016-05-31,0.029,0.03,0.026,0.027,1448500,0.027
2016-05-30,0.03,0.03,0.029,0.029,234100,0.029
2016-05-27,0.028,0.03,0.028,0.03,259200,0.03
2016-05-26,0.028,0.029,0.028,0.029,386600,0.029
2016-05-25,0.028,0.028,0.026,0.028,4091300,0.028
2016-05-24,0.029,0.03,0.028,0.028,340900,0.028
2016-05-23,0.03,0.03,0.029,0.029,178100,0.029
2016-05-20,0.029,0.03,0.029,0.03,922000,0.03
2016-05-19,0.03,0.03,0.028,0.028,369000,0.028
2016-05-18,0.032,0.032,0.028,0.03,2641300,0.03
2016-05-17,0.033,0.033,0.03,0.031,1564100,0.031
