Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.012,0.012,0.012,0.012,2018500,0.012
2016-06-30,0.013,0.013,0.012,0.012,953000,0.012
2016-06-29,0.013,0.013,0.012,0.012,2009100,0.012
2016-06-28,0.012,0.012,0.012,0.012,1130400,0.012
2016-06-27,0.011,0.012,0.011,0.011,3055300,0.011
2016-06-24,0.013,0.013,0.012,0.012,9898200,0.012
2016-06-23,0.014,0.014,0.013,0.013,2727100,0.013
2016-06-22,0.014,0.015,0.014,0.015,1165000,0.015
2016-06-21,0.014,0.014,0.014,0.014,1380300,0.014
2016-06-20,0.015,0.015,0.013,0.013,4187100,0.013
2016-06-17,0.015,0.015,0.015,0.015,2432600,0.015
2016-06-16,0.016,0.016,0.015,0.015,485500,0.015
2016-06-15,0.016,0.016,0.015,0.016,410500,0.016
2016-06-14,0.016,0.016,0.015,0.015,1865400,0.015
2016-06-13,0.017,0.017,0.017,0.017,000,0.017
2016-06-10,0.017,0.017,0.016,0.017,4803900,0.017
2016-06-09,0.017,0.018,0.017,0.017,2504900,0.017
2016-06-08,0.018,0.019,0.017,0.017,9695900,0.017
2016-06-07,0.017,0.017,0.016,0.016,1508000,0.016
2016-06-06,0.017,0.017,0.016,0.016,7517400,0.016
2016-06-03,0.018,0.018,0.017,0.017,1511000,0.017
2016-06-02,0.018,0.018,0.017,0.017,4667000,0.017
2016-06-01,0.018,0.018,0.017,0.017,1359300,0.017
2016-05-31,0.018,0.018,0.017,0.017,3082200,0.017
2016-05-30,0.019,0.019,0.017,0.017,9277300,0.017
2016-05-27,0.018,0.0185,0.018,0.018,1148400,0.018
2016-05-26,0.018,0.019,0.018,0.018,3949300,0.018
2016-05-25,0.018,0.019,0.018,0.019,7431000,0.019
2016-05-24,0.017,0.018,0.017,0.018,5691600,0.018
2016-05-23,0.018,0.018,0.017,0.017,6040900,0.017
2016-05-20,0.017,0.018,0.017,0.017,2769200,0.017
2016-05-19,0.018,0.019,0.017,0.017,3154200,0.017
2016-05-18,0.018,0.019,0.018,0.019,5545900,0.019
2016-05-17,0.019,0.02,0.018,0.018,15978800,0.018
2016-05-16,0.02,0.022,0.018,0.019,27738400,0.019
2016-05-13,0.023,0.023,0.019,0.02,21391000,0.02
2016-05-12,0.021,0.026,0.02,0.023,53369600,0.023
2016-05-11,0.02,0.02,0.02,0.02,2654500,0.02
2016-05-10,0.022,0.022,0.019,0.02,15584800,0.02
2016-05-09,0.015,0.022,0.015,0.022,20714800,0.022
2016-05-06,0.016,0.016,0.015,0.015,3454300,0.015
2016-05-05,0.017,0.017,0.016,0.016,5209400,0.016
2016-05-04,0.017,0.017,0.016,0.016,4332900,0.016
2016-05-03,0.018,0.018,0.016,0.017,1990300,0.017
2016-05-02,0.017,0.017,0.016,0.017,3611900,0.017
2016-04-29,0.018,0.018,0.017,0.017,2559100,0.017
