Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.02,2.04,1.985,2.00,168200,2.00
2016-06-30,1.99,2.02,1.985,1.99,92300,1.99
2016-06-29,1.995,2.03,1.97,2.02,91300,2.02
2016-06-28,2.02,2.05,1.99,1.995,93300,1.9673
2016-06-27,1.98,2.05,1.98,2.03,80200,2.0018
2016-06-24,2.02,2.03,1.97,2.00,257700,1.9722
2016-06-23,2.00,2.04,2.00,2.02,70200,1.9919
2016-06-22,2.03,2.03,1.985,2.00,149400,1.9722
2016-06-21,2.01,2.01,1.987,2.01,121400,1.982
2016-06-20,2.01,2.03,1.98,2.01,96100,1.982
2016-06-17,2.03,2.03,1.995,2.00,252200,1.9722
2016-06-16,1.99,2.02,1.99,2.00,174100,1.9722
2016-06-15,2.01,2.04,1.995,2.02,103800,1.9919
2016-06-14,2.03,2.03,1.98,2.00,100400,1.9722
2016-06-13,2.02,2.02,2.02,2.02,000,1.9919
2016-06-10,2.03,2.03,2.00,2.02,22200,1.9919
2016-06-09,2.03,2.03,1.985,2.03,105700,2.0018
2016-06-08,2.02,2.03,2.00,2.02,131300,1.9919
2016-06-07,1.98,2.02,1.965,2.02,231000,1.9919
2016-06-06,1.96,2.00,1.96,1.98,138900,1.9525
2016-06-03,1.97,2.02,1.95,1.96,201100,1.9327
2016-06-02,1.985,2.04,1.96,1.965,263000,1.9377
2016-06-01,2.04,2.04,1.985,1.985,166400,1.9574
2016-05-31,2.01,2.04,2.00,2.03,3276100,2.0018
2016-05-30,1.995,2.01,1.975,2.00,127000,1.9722
2016-05-27,1.98,1.99,1.97,1.98,95600,1.9525
2016-05-26,1.97,1.995,1.96,1.96,193500,1.9327
2016-05-25,1.97,1.975,1.955,1.975,122100,1.9475
2016-05-24,1.97,1.975,1.96,1.965,64400,1.9377
2016-05-23,1.98,1.99,1.97,1.98,1326500,1.9525
2016-05-20,1.99,1.99,1.97,1.97,117100,1.9426
2016-05-19,2.00,2.00,1.97,1.975,149800,1.9475
2016-05-18,2.00,2.01,1.975,1.99,353500,1.9623
2016-05-17,2.02,2.04,1.99,1.99,137400,1.9623
2016-05-16,2.04,2.05,2.01,2.02,220700,1.9919
2016-05-13,1.98,2.06,1.98,2.02,203800,1.9919
2016-05-12,1.96,1.98,1.955,1.98,221700,1.9525
2016-05-11,1.965,1.97,1.95,1.96,372800,1.9327
2016-05-10,1.97,1.97,1.925,1.94,388500,1.913
2016-05-09,1.96,1.97,1.955,1.97,63000,1.9426
2016-05-06,1.96,1.98,1.96,1.97,170700,1.9426
2016-05-05,1.96,1.9725,1.955,1.955,97700,1.9278
2016-05-04,1.935,1.98,1.935,1.96,339500,1.9327
2016-05-03,1.94,1.945,1.92,1.93,264100,1.9032
2016-05-02,1.92,1.96,1.915,1.935,548300,1.9081
2016-04-29,1.93,1.9375,1.925,1.935,104700,1.9081
2016-04-28,1.93,1.94,1.92,1.935,242200,1.9081
2016-04-27,1.93,1.94,1.915,1.915,82600,1.8884
