Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,7.35,7.44,7.33,7.41,230300,7.41
2016-06-30,7.36,7.38,7.31,7.37,197900,7.37
2016-06-29,7.28,7.28,7.28,7.28,000,7.28
2016-06-28,7.28,7.28,7.28,7.28,000,7.28
2016-06-27,7.28,7.28,7.28,7.28,000,7.28
2016-06-24,7.28,7.28,7.28,7.28,000,7.28
2016-06-23,7.28,7.28,7.28,7.28,000,7.28
2016-06-22,7.21,7.27,7.19,7.19,265800,7.19
2016-06-21,7.23,7.27,7.20,7.20,232200,7.20
2016-06-20,7.22,7.27,7.20,7.23,175400,7.23
2016-06-17,7.23,7.25,7.21,7.21,123700,7.21
2016-06-16,7.21,7.23,7.21,7.21,137100,7.21
2016-06-15,7.28,7.28,7.28,7.28,000,7.28
2016-06-14,7.28,7.28,7.28,7.28,000,7.28
2016-06-13,7.28,7.28,7.28,7.28,000,7.28
2016-06-10,7.28,7.30,7.26,7.26,224000,7.26
2016-06-09,7.28,7.28,7.28,7.28,000,7.28
2016-06-08,7.28,7.28,7.28,7.28,000,7.28
2016-06-07,7.28,7.28,7.28,7.28,000,7.28
2016-06-06,7.28,7.28,7.28,7.28,000,7.28
2016-06-03,7.28,7.28,7.28,7.28,000,7.28
2016-06-02,7.21,7.25,7.20,7.23,153800,7.23
2016-06-01,7.24,7.28,7.20,7.20,251700,7.20
2016-05-31,7.26,7.28,7.23,7.23,123500,7.23
2016-05-30,7.27,7.27,7.23,7.26,141200,7.26
2016-05-27,7.25,7.27,7.23,7.27,165000,7.27
2016-05-26,7.24,7.27,7.24,7.27,189100,7.27
2016-05-25,7.23,7.27,7.22,7.26,239200,7.26
2016-05-24,7.18,7.23,7.18,7.23,158900,7.23
2016-05-23,7.21,7.24,7.18,7.18,191500,7.18
2016-05-20,7.21,7.25,7.19,7.19,351500,7.19
2016-05-19,7.22,7.24,7.18,7.20,272600,7.20
2016-05-18,7.23,7.24,7.20,7.20,260100,7.20
2016-05-17,7.23,7.25,7.21,7.25,331100,7.25
2016-05-16,7.20,7.22,7.16,7.20,314800,7.20
2016-05-13,7.21,7.27,7.15,7.19,276500,7.19
2016-05-12,7.23,7.28,7.19,7.19,248900,7.19
2016-05-11,7.26,7.27,7.23,7.23,249400,7.23
2016-05-10,7.26,7.27,7.21,7.25,250000,7.25
2016-05-09,7.26,7.30,7.25,7.25,161400,7.25
2016-05-06,7.30,7.31,7.25,7.25,114800,7.25
2016-05-05,7.27,7.34,7.27,7.29,206200,7.29
2016-05-04,7.27,7.30,7.25,7.25,185000,7.25
2016-05-03,7.27,7.38,7.26,7.28,230700,7.28
2016-05-02,7.26,7.30,7.24,7.30,185600,7.30
2016-04-29,7.27,7.31,7.26,7.26,114200,7.26
2016-04-28,7.38,7.39,7.27,7.27,178200,7.27
2016-04-27,7.45,7.49,7.35,7.38,132100,7.38
2016-04-26,7.39,7.44,7.35,7.40,163400,7.40
2016-04-25,6.87,6.87,6.87,6.87,000,6.87
2016-04-22,7.30,7.37,7.28,7.37,143900,7.37
