Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.054,0.056,0.054,0.056,58500,0.056
2016-06-30,0.054,0.054,0.054,0.054,3000,0.054
2016-06-29,0.055,0.055,0.053,0.053,72900,0.053
2016-06-28,0.057,0.057,0.054,0.054,359800,0.054
2016-06-27,0.057,0.057,0.056,0.057,244600,0.057
2016-06-24,0.061,0.061,0.055,0.055,241200,0.055
2016-06-23,0.055,0.066,0.055,0.066,513600,0.066
2016-06-22,0.052,0.058,0.052,0.057,413100,0.057
2016-06-21,0.051,0.051,0.051,0.051,235300,0.051
2016-06-20,0.05,0.051,0.05,0.051,97200,0.051
2016-06-17,0.048,0.05,0.048,0.05,543300,0.05
2016-06-16,0.047,0.048,0.047,0.048,576700,0.048
2016-06-15,0.047,0.047,0.047,0.047,000,0.047
2016-06-14,0.048,0.048,0.047,0.047,81100,0.047
2016-06-13,0.048,0.048,0.048,0.048,000,0.048
2016-06-10,0.048,0.048,0.048,0.048,17500,0.048
2016-06-09,0.047,0.05,0.047,0.049,39000,0.049
2016-06-08,0.047,0.048,0.047,0.047,64200,0.047
2016-06-07,0.05,0.05,0.046,0.046,476300,0.046
2016-06-06,0.049,0.05,0.049,0.049,76200,0.049
2016-06-03,0.049,0.051,0.047,0.048,1372100,0.048
2016-06-02,0.041,0.049,0.041,0.048,562800,0.048
2016-06-01,0.042,0.042,0.04,0.04,125000,0.04
2016-05-31,0.042,0.042,0.042,0.042,000,0.042
2016-05-30,0.042,0.042,0.042,0.042,44700,0.042
2016-05-27,0.04,0.04,0.04,0.04,102000,0.04
2016-05-26,0.04,0.042,0.04,0.042,43000,0.042
2016-05-25,0.044,0.044,0.044,0.044,000,0.044
2016-05-24,0.044,0.044,0.044,0.044,000,0.044
2016-05-23,0.044,0.044,0.044,0.044,4600,0.044
2016-05-20,0.04,0.04,0.04,0.04,63200,0.04
2016-05-19,0.044,0.044,0.04,0.042,302400,0.042
2016-05-18,0.045,0.045,0.044,0.044,195300,0.044
