Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.015,0.015,0.015,0.015,000,0.015
2016-06-30,0.015,0.015,0.015,0.015,8500,0.015
2016-06-29,0.015,0.015,0.015,0.015,8000,0.015
2016-06-28,0.015,0.015,0.015,0.015,1700,0.015
2016-06-27,0.015,0.015,0.015,0.015,000,0.015
2016-06-24,0.014,0.014,0.014,0.014,2500,0.014
2016-06-23,0.014,0.014,0.014,0.014,1500,0.014
2016-06-22,0.014,0.014,0.014,0.014,250000,0.014
2016-06-21,0.014,0.014,0.014,0.014,000,0.014
2016-06-20,0.014,0.014,0.014,0.014,52000,0.014
2016-06-17,0.015,0.015,0.015,0.015,000,0.015
2016-06-16,0.015,0.015,0.015,0.015,000,0.015
2016-06-15,0.015,0.015,0.015,0.015,53400,0.015
2016-06-14,0.013,0.013,0.013,0.013,250000,0.013
2016-06-13,0.015,0.015,0.015,0.015,000,0.015
2016-06-10,0.015,0.015,0.015,0.015,90000,0.015
2016-06-09,0.011,0.014,0.011,0.014,256600,0.014
2016-06-08,0.012,0.013,0.011,0.011,186500,0.011
2016-06-07,0.01,0.01,0.01,0.01,000,0.01
2016-06-06,0.01,0.01,0.01,0.01,10000,0.01
2016-06-03,0.01,0.01,0.01,0.01,340900,0.01
2016-06-02,0.006,0.008,0.006,0.008,454800,0.008
2016-06-01,0.006,0.008,0.006,0.008,444000,0.008
2016-05-31,0.005,0.005,0.005,0.005,000,0.005
2016-05-30,0.005,0.005,0.005,0.005,000,0.005
2016-05-27,0.005,0.005,0.005,0.005,16000,0.005
2016-05-26,0.006,0.006,0.006,0.006,000,0.006
2016-05-25,0.006,0.006,0.006,0.006,000,0.006
2016-05-24,0.006,0.006,0.006,0.006,000,0.006
2016-05-23,0.006,0.006,0.006,0.006,311100,0.006
2016-05-20,0.007,0.007,0.007,0.007,440400,0.007
2016-05-19,0.007,0.007,0.007,0.007,8500,0.007
2016-05-18,0.007,0.007,0.007,0.007,5000,0.007
2016-05-17,0.007,0.007,0.007,0.007,000,0.007
2016-05-16,0.007,0.007,0.007,0.007,000,0.007
2016-05-13,0.007,0.007,0.007,0.007,000,0.007
2016-05-12,0.007,0.007,0.007,0.007,000,0.007
2016-05-11,0.007,0.007,0.007,0.007,000,0.007
2016-05-10,0.007,0.007,0.007,0.007,000,0.007
2016-05-09,0.007,0.007,0.007,0.007,000,0.007
2016-05-06,0.007,0.007,0.007,0.007,000,0.007
2016-05-05,0.007,0.007,0.007,0.007,000,0.007
2016-05-04,0.007,0.007,0.007,0.007,000,0.007
2016-05-03,0.007,0.007,0.007,0.007,000,0.007
2016-05-02,0.007,0.007,0.007,0.007,000,0.007
2016-04-29,0.007,0.007,0.007,0.007,000,0.007
2016-04-28,0.007,0.007,0.007,0.007,000,0.007
2016-04-27,0.007,0.007,0.007,0.007,000,0.007
2016-04-26,0.007,0.007,0.007,0.007,000,0.007
2016-04-25,0.007,0.007,0.007,0.007,000,0.007
2016-04-22,0.007,0.007,0.007,0.007,000,0.007
2016-04-21,0.007,0.007,0.007,0.007,000,0.007
2016-04-20,0.007,0.007,0.007,0.007,15000,0.007
2016-04-19,0.008,0.008,0.008,0.008,000,0.008
2016-04-18,0.008,0.008,0.008,0.008,000,0.008
2016-04-15,0.008,0.008,0.008,0.008,000,0.008
2016-04-14,0.008,0.008,0.008,0.008,000,0.008
2016-04-13,0.008,0.008,0.008,0.008,50000,0.008
2016-04-12,0.007,0.007,0.007,0.007,000,0.007
2016-04-11,0.007,0.007,0.007,0.007,000,0.007
2016-04-08,0.007,0.007,0.007,0.007,000,0.007
2016-04-07,0.007,0.007,0.007,0.007,000,0.007
2016-04-06,0.007,0.007,0.007,0.007,19100,0.007
2016-04-05,0.008,0.008,0.008,0.008,000,0.008
2016-04-04,0.008,0.008,0.008,0.008,000,0.008
2016-04-01,0.008,0.008,0.008,0.008,000,0.008
2016-03-31,0.008,0.008,0.008,0.008,000,0.008
2016-03-30,0.008,0.008,0.008,0.008,000,0.008
2016-03-29,0.008,0.008,0.008,0.008,000,0.008
2016-03-28,0.008,0.008,0.008,0.008,000,0.008
2016-03-25,0.008,0.008,0.008,0.008,000,0.008
2016-03-24,0.008,0.008,0.008,0.008,000,0.008
2016-03-23,0.008,0.008,0.008,0.008,000,0.008
2016-03-22,0.008,0.008,0.008,0.008,000,0.008
2016-03-21,0.008,0.008,0.008,0.008,000,0.008
2016-03-18,0.008,0.008,0.008,0.008,15000,0.008
2016-03-17,0.008,0.008,0.008,0.008,112500,0.008
2016-03-16,0.007,0.007,0.007,0.007,000,0.007
2016-03-15,0.007,0.007,0.007,0.007,000,0.007
2016-03-14,0.007,0.007,0.007,0.007,000,0.007
2016-03-11,0.007,0.007,0.007,0.007,000,0.007
2016-03-10,0.007,0.007,0.007,0.007,000,0.007
2016-03-09,0.007,0.007,0.007,0.007,000,0.007
2016-03-08,0.007,0.007,0.007,0.007,578700,0.007
2016-03-07,0.007,0.007,0.007,0.007,100000,0.007
2016-03-04,0.007,0.007,0.007,0.007,000,0.007
2016-03-03,0.007,0.007,0.007,0.007,000,0.007
2016-03-02,0.007,0.007,0.007,0.007,000,0.007
2016-03-01,0.007,0.007,0.007,0.007,000,0.007
2016-02-29,0.007,0.007,0.007,0.007,000,0.007
