Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.05,0.051,0.05,0.051,116500,0.051
2016-06-30,0.048,0.048,0.048,0.048,57600,0.048
2016-06-29,0.048,0.049,0.048,0.048,328400,0.048
2016-06-28,0.048,0.049,0.048,0.048,97500,0.048
2016-06-27,0.05,0.05,0.048,0.05,218900,0.05
2016-06-24,0.051,0.052,0.05,0.05,190100,0.05
2016-06-23,0.05,0.051,0.05,0.051,221300,0.051
2016-06-22,0.049,0.049,0.049,0.049,45200,0.049
2016-06-21,0.049,0.049,0.049,0.049,136900,0.049
2016-06-20,0.049,0.05,0.049,0.049,103400,0.049
2016-06-17,0.05,0.05,0.049,0.049,208000,0.049
2016-06-16,0.049,0.049,0.049,0.049,131100,0.049
2016-06-15,0.05,0.05,0.049,0.049,86200,0.049
2016-06-14,0.05,0.05,0.048,0.05,75100,0.05
2016-06-13,0.05,0.05,0.05,0.05,000,0.05
2016-06-10,0.05,0.051,0.05,0.05,121400,0.05
2016-06-09,0.051,0.051,0.05,0.05,22300,0.05
2016-06-08,0.051,0.051,0.051,0.051,110000,0.051
2016-06-07,0.05,0.05,0.05,0.05,29200,0.05
2016-06-06,0.05,0.052,0.049,0.049,318500,0.049
2016-06-03,0.048,0.049,0.048,0.049,25700,0.049
2016-06-02,0.049,0.05,0.048,0.048,255400,0.048
2016-06-01,0.05,0.05,0.048,0.05,57600,0.05
2016-05-31,0.047,0.048,0.047,0.047,62500,0.047
2016-05-30,0.051,0.051,0.047,0.05,235800,0.05
2016-05-27,0.05,0.05,0.049,0.05,134400,0.05
2016-05-26,0.052,0.052,0.049,0.051,209900,0.051
2016-05-25,0.049,0.052,0.049,0.052,187700,0.052
2016-05-24,0.05,0.05,0.048,0.048,191500,0.048
2016-05-23,0.049,0.051,0.049,0.05,119700,0.05
2016-05-20,0.046,0.051,0.046,0.048,401100,0.048
2016-05-19,0.047,0.047,0.047,0.047,84400,0.047
2016-05-18,0.047,0.047,0.047,0.047,62300,0.047
2016-05-17,0.047,0.047,0.047,0.047,11900,0.047
2016-05-16,0.05,0.05,0.047,0.047,289500,0.047
2016-05-13,0.049,0.05,0.049,0.05,295100,0.05
2016-05-12,0.048,0.05,0.048,0.049,712600,0.049
2016-05-11,0.047,0.048,0.047,0.047,48100,0.047
2016-05-10,0.045,0.048,0.045,0.048,107500,0.048
2016-05-09,0.046,0.048,0.046,0.048,146200,0.048
2016-05-06,0.046,0.046,0.046,0.046,000,0.046
2016-05-05,0.046,0.048,0.045,0.046,176700,0.046
2016-05-04,0.047,0.048,0.046,0.048,221200,0.048
2016-05-03,0.049,0.049,0.047,0.048,227600,0.048
2016-05-02,0.049,0.049,0.049,0.049,99000,0.049
2016-04-29,0.048,0.049,0.048,0.048,60500,0.048
2016-04-28,0.046,0.048,0.046,0.048,45100,0.048
2016-04-27,0.05,0.05,0.05,0.05,000,0.05
2016-04-26,0.046,0.05,0.046,0.05,97400,0.05
2016-04-25,0.046,0.046,0.046,0.046,000,0.046
2016-04-22,0.049,0.049,0.046,0.046,66600,0.046
2016-04-21,0.043,0.05,0.043,0.05,588300,0.05
2016-04-20,0.046,0.046,0.042,0.042,559900,0.042
2016-04-19,0.047,0.047,0.041,0.043,689900,0.043
2016-04-18,0.048,0.048,0.047,0.047,202900,0.047
2016-04-15,0.048,0.048,0.047,0.048,424800,0.048
2016-04-14,0.049,0.05,0.046,0.047,517600,0.047
2016-04-13,0.05,0.05,0.049,0.049,107000,0.049
2016-04-12,0.049,0.05,0.049,0.049,219800,0.049
2016-04-11,0.049,0.05,0.049,0.049,143600,0.049
