Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.21,0.21,0.205,0.205,22600,0.205
2016-06-30,0.22,0.22,0.22,0.22,000,0.22
2016-06-29,0.215,0.22,0.215,0.22,104900,0.22
2016-06-28,0.20,0.20,0.195,0.195,38300,0.195
2016-06-27,0.22,0.22,0.20,0.20,9700,0.20
2016-06-24,0.23,0.23,0.22,0.22,54000,0.22
2016-06-23,0.205,0.215,0.20,0.215,80700,0.215
2016-06-22,0.205,0.205,0.20,0.20,56000,0.20
2016-06-21,0.205,0.205,0.205,0.205,14400,0.205
2016-06-20,0.20,0.20,0.20,0.20,3200,0.20
2016-06-17,0.23,0.23,0.23,0.23,000,0.23
2016-06-16,0.23,0.23,0.23,0.23,000,0.23
2016-06-15,0.23,0.23,0.20,0.23,63600,0.23
2016-06-14,0.235,0.235,0.235,0.235,104300,0.235
2016-06-13,0.235,0.235,0.235,0.235,000,0.235
2016-06-10,0.235,0.235,0.23,0.235,56300,0.235
2016-06-09,0.235,0.24,0.235,0.24,135000,0.24
2016-06-08,0.23,0.245,0.23,0.23,250000,0.23
2016-06-07,0.225,0.23,0.225,0.23,64400,0.23
2016-06-06,0.21,0.225,0.21,0.225,256500,0.225
2016-06-03,0.20,0.21,0.20,0.21,225000,0.21
2016-06-02,0.22,0.22,0.195,0.21,391600,0.21
2016-06-01,0.215,0.215,0.215,0.215,6900,0.215
2016-05-31,0.21,0.21,0.21,0.21,2900,0.21
2016-05-30,0.21,0.21,0.21,0.21,000,0.21
2016-05-27,0.21,0.21,0.21,0.21,000,0.21
2016-05-26,0.21,0.21,0.21,0.21,15000,0.21
2016-05-25,0.20,0.20,0.20,0.20,1900,0.20
2016-05-24,0.195,0.20,0.195,0.20,4800,0.20
2016-05-23,0.195,0.195,0.195,0.195,10000,0.195
2016-05-20,0.19,0.19,0.19,0.19,000,0.19
2016-05-19,0.195,0.195,0.18,0.19,35700,0.19
2016-05-18,0.195,0.195,0.195,0.195,1400,0.195
2016-05-17,0.20,0.20,0.20,0.20,120800,0.20
2016-05-16,0.21,0.21,0.20,0.20,21000,0.20
2016-05-13,0.21,0.21,0.21,0.21,4500,0.21
2016-05-12,0.21,0.245,0.21,0.245,129500,0.245
2016-05-11,0.22,0.22,0.21,0.21,133000,0.21
2016-05-10,0.19,0.20,0.19,0.20,62400,0.20
2016-05-09,0.185,0.185,0.185,0.185,15500,0.185
2016-05-06,0.18,0.18,0.18,0.18,16900,0.18
2016-05-05,0.18,0.18,0.18,0.18,19500,0.18
2016-05-04,0.18,0.18,0.17,0.17,86100,0.17
2016-05-03,0.18,0.18,0.18,0.18,59000,0.18
2016-05-02,0.18,0.18,0.18,0.18,13900,0.18
2016-04-29,0.195,0.195,0.195,0.195,000,0.195
2016-04-28,0.195,0.195,0.195,0.195,000,0.195
2016-04-27,0.19,0.195,0.18,0.195,45500,0.195
2016-04-26,0.195,0.195,0.195,0.195,000,0.195
2016-04-25,0.195,0.195,0.195,0.195,000,0.195
2016-04-22,0.195,0.195,0.195,0.195,000,0.195
2016-04-21,0.19,0.195,0.19,0.195,29700,0.195
2016-04-20,0.19,0.19,0.19,0.19,13100,0.19
2016-04-19,0.195,0.20,0.195,0.20,90000,0.20
2016-04-18,0.19,0.19,0.19,0.19,36900,0.19
2016-04-15,0.18,0.195,0.18,0.195,235000,0.195
2016-04-14,0.17,0.17,0.17,0.17,78200,0.17
2016-04-13,0.185,0.185,0.16,0.165,268500,0.165
2016-04-12,0.20,0.20,0.20,0.20,000,0.20
2016-04-11,0.20,0.20,0.20,0.20,000,0.20
2016-04-08,0.20,0.20,0.20,0.20,23000,0.20
2016-04-07,0.185,0.185,0.185,0.185,33000,0.185
2016-04-06,0.185,0.205,0.185,0.205,86800,0.205
2016-04-05,0.19,0.19,0.18,0.18,132100,0.18
