Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.65,0.65,0.65,0.65,000,0.65
2016-06-30,0.625,0.625,0.625,0.625,7600,0.625
2016-06-29,0.635,0.635,0.635,0.635,10000,0.635
2016-06-28,0.63,0.63,0.63,0.63,000,0.63
2016-06-27,0.63,0.63,0.63,0.63,000,0.63
2016-06-24,0.63,0.63,0.625,0.63,55000,0.63
2016-06-23,0.66,0.66,0.66,0.66,000,0.66
2016-06-22,0.66,0.66,0.66,0.66,000,0.66
2016-06-21,0.66,0.66,0.66,0.66,15000,0.66
2016-06-20,0.65,0.66,0.65,0.66,7800,0.66
2016-06-17,0.65,0.65,0.65,0.65,000,0.65
2016-06-16,0.65,0.65,0.65,0.65,4300,0.65
2016-06-15,0.64,0.65,0.64,0.65,50400,0.65
2016-06-14,0.60,0.60,0.60,0.60,000,0.60
2016-06-13,0.60,0.60,0.60,0.60,000,0.60
2016-06-10,0.60,0.60,0.60,0.60,000,0.60
2016-06-09,0.60,0.60,0.60,0.60,000,0.60
2016-06-08,0.60,0.60,0.60,0.60,000,0.60
2016-06-07,0.60,0.60,0.60,0.60,000,0.60
2016-06-06,0.60,0.60,0.60,0.60,000,0.60
2016-06-03,0.60,0.60,0.60,0.60,21000,0.60
2016-06-02,0.62,0.62,0.60,0.60,91600,0.60
2016-06-01,0.62,0.62,0.62,0.62,000,0.62
2016-05-31,0.62,0.62,0.62,0.62,000,0.62
2016-05-30,0.62,0.62,0.62,0.62,000,0.62
2016-05-27,0.62,0.62,0.62,0.62,000,0.62
2016-05-26,0.62,0.62,0.62,0.62,000,0.62
2016-05-25,0.63,0.63,0.62,0.62,31000,0.62
2016-05-24,0.61,0.61,0.61,0.61,000,0.61
2016-05-23,0.61,0.61,0.61,0.61,000,0.61
2016-05-20,0.61,0.61,0.61,0.61,000,0.61
2016-05-19,0.61,0.61,0.61,0.61,000,0.61
2016-05-18,0.61,0.61,0.61,0.61,000,0.61
2016-05-17,0.61,0.61,0.61,0.61,000,0.61
2016-05-16,0.61,0.61,0.61,0.61,000,0.61
2016-05-13,0.61,0.61,0.61,0.61,000,0.61
2016-05-12,0.61,0.61,0.61,0.61,000,0.61
2016-05-11,0.61,0.61,0.61,0.61,000,0.61
2016-05-10,0.65,0.65,0.61,0.61,36000,0.61
2016-05-09,0.65,0.65,0.65,0.65,000,0.65
2016-05-06,0.65,0.65,0.65,0.65,000,0.65
2016-05-05,0.65,0.65,0.65,0.65,3000,0.65
2016-05-04,0.63,0.63,0.63,0.63,000,0.63
2016-05-03,0.63,0.63,0.63,0.63,000,0.63
2016-05-02,0.63,0.63,0.63,0.63,000,0.63
2016-04-29,0.63,0.63,0.63,0.63,000,0.63
2016-04-28,0.63,0.63,0.63,0.63,000,0.63
2016-04-27,0.63,0.63,0.63,0.63,000,0.63
2016-04-26,0.63,0.63,0.63,0.63,000,0.63
2016-04-25,0.63,0.63,0.63,0.63,000,0.63
2016-04-22,0.63,0.63,0.63,0.63,000,0.63
2016-04-21,0.63,0.63,0.63,0.63,5000,0.63
2016-04-20,0.62,0.62,0.62,0.62,15000,0.62
2016-04-19,0.62,0.62,0.62,0.62,15000,0.62
2016-04-18,0.615,0.615,0.615,0.615,000,0.615
2016-04-15,0.615,0.615,0.615,0.615,000,0.615
2016-04-14,0.615,0.615,0.615,0.615,000,0.615
2016-04-13,0.615,0.615,0.615,0.615,000,0.615
2016-04-12,0.615,0.615,0.615,0.615,000,0.615
2016-04-11,0.615,0.615,0.615,0.615,000,0.615
2016-04-08,0.63,0.63,0.615,0.615,8000,0.615
2016-04-07,0.63,0.63,0.63,0.63,000,0.63
