Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.912,0.95,0.91,0.93,74300,0.93
2016-06-30,0.895,0.92,0.895,0.91,1088000,0.91
2016-06-29,0.925,0.925,0.89,0.895,3137900,0.895
2016-06-28,0.93,0.945,0.89,0.90,169000,0.90
2016-06-27,0.92,0.93,0.88,0.925,183800,0.925
2016-06-24,0.95,0.955,0.90,0.925,962100,0.925
2016-06-23,0.95,0.955,0.945,0.955,42100,0.955
2016-06-22,0.955,0.955,0.945,0.95,24700,0.95
2016-06-21,0.94,0.955,0.935,0.95,213800,0.95
2016-06-20,0.955,0.955,0.935,0.94,242100,0.94
2016-06-17,0.97,0.98,0.95,0.955,353400,0.955
2016-06-16,0.92,0.975,0.91,0.955,228000,0.955
2016-06-15,0.90,0.925,0.90,0.91,596800,0.91
2016-06-14,0.94,0.95,0.887,0.90,573800,0.90
2016-06-13,0.93,0.93,0.93,0.93,000,0.93
2016-06-10,0.947,0.95,0.915,0.93,2090900,0.93
2016-06-09,0.977,0.98,0.945,0.95,2022600,0.95
2016-06-08,0.995,1.00,0.975,0.98,161800,0.98
2016-06-07,0.997,1.01,0.975,0.975,215000,0.975
2016-06-06,1.035,1.07,0.99,0.99,244000,0.99
2016-06-03,1.03,1.05,1.02,1.03,1101900,1.03
2016-06-02,1.06,1.065,1.025,1.03,210800,1.03
2016-06-01,1.035,1.10,1.035,1.075,1564600,1.075
2016-05-31,1.045,1.05,1.03,1.035,110800,1.035
2016-05-30,1.05,1.055,1.035,1.035,142500,1.035
2016-05-27,1.03,1.085,1.03,1.085,194000,1.085
2016-05-26,1.035,1.05,1.02,1.035,82400,1.035
2016-05-25,1.10,1.105,1.027,1.09,1078500,1.09
2016-05-24,1.04,1.085,1.037,1.085,200300,1.085
2016-05-23,1.04,1.05,1.02,1.05,227200,1.05
2016-05-20,0.997,1.04,0.995,1.04,135200,1.04
2016-05-19,0.99,1.02,0.985,1.015,224400,1.015
2016-05-18,1.00,1.05,0.97,1.05,402700,1.05
2016-05-17,1.015,1.027,0.99,1.02,127200,1.02
2016-05-16,1.06,1.06,1.015,1.015,151800,1.015
2016-05-13,1.03,1.06,1.03,1.06,99200,1.06
2016-05-12,1.04,1.05,1.02,1.035,364400,1.035
2016-05-11,1.05,1.05,1.02,1.04,113600,1.04
2016-05-10,1.06,1.06,1.02,1.04,244700,1.04
2016-05-09,1.05,1.07,1.04,1.06,227500,1.06
2016-05-06,1.08,1.08,1.04,1.04,181000,1.04
2016-05-05,1.06,1.08,1.057,1.08,239200,1.08
2016-05-04,1.07,1.07,1.055,1.06,123900,1.06
2016-05-03,1.08,1.08,1.05,1.07,179400,1.07
2016-05-02,1.10,1.10,1.075,1.08,164800,1.08
2016-04-29,1.095,1.105,1.09,1.10,53300,1.10
2016-04-28,1.11,1.12,1.085,1.10,187400,1.10
2016-04-27,1.09,1.107,1.09,1.10,166800,1.10
2016-04-26,1.12,1.1225,1.085,1.085,382100,1.085
2016-04-25,1.12,1.12,1.12,1.12,000,1.12
2016-04-22,1.13,1.13,1.09,1.12,270000,1.12
2016-04-21,1.13,1.145,1.13,1.145,37700,1.145
2016-04-20,1.13,1.14,1.13,1.13,8500,1.13
2016-04-19,1.13,1.14,1.12,1.135,58100,1.135
2016-04-18,1.15,1.15,1.125,1.14,27800,1.14
2016-04-15,1.15,1.157,1.15,1.155,37900,1.155
2016-04-14,1.14,1.15,1.137,1.145,98100,1.145
2016-04-13,1.142,1.145,1.12,1.12,1027900,1.12
2016-04-12,1.14,1.16,1.13,1.135,259900,1.135
2016-04-11,1.145,1.155,1.125,1.155,288000,1.155
