Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.185,0.185,0.17,0.17,2277300,0.17
2016-06-30,0.185,0.185,0.185,0.185,358800,0.185
2016-06-29,0.19,0.19,0.175,0.175,858800,0.175
2016-06-28,0.175,0.19,0.175,0.19,1046000,0.19
2016-06-27,0.17,0.19,0.17,0.175,976000,0.175
2016-06-24,0.185,0.205,0.17,0.17,4036300,0.17
2016-06-23,0.16,0.19,0.16,0.18,3854700,0.18
2016-06-22,0.16,0.16,0.16,0.16,457900,0.16
2016-06-21,0.16,0.17,0.16,0.16,1540100,0.16
2016-06-20,0.15,0.155,0.15,0.15,261100,0.15
2016-06-17,0.145,0.15,0.145,0.145,276700,0.145
2016-06-16,0.155,0.155,0.145,0.145,758600,0.145
2016-06-15,0.16,0.16,0.155,0.155,319300,0.155
2016-06-14,0.17,0.17,0.16,0.16,1024300,0.16
2016-06-13,0.165,0.165,0.165,0.165,000,0.165
2016-06-10,0.16,0.17,0.16,0.165,1180600,0.165
2016-06-09,0.17,0.17,0.155,0.155,1156400,0.155
2016-06-08,0.16,0.175,0.16,0.165,2252300,0.165
2016-06-07,0.175,0.18,0.152,0.155,1828600,0.155
2016-06-06,0.165,0.20,0.16,0.175,3966800,0.175
2016-06-03,0.12,0.155,0.12,0.155,2834100,0.155
2016-06-02,0.11,0.11,0.11,0.11,59100,0.11
2016-06-01,0.12,0.12,0.11,0.11,277600,0.11
2016-05-31,0.12,0.125,0.12,0.12,472000,0.12
2016-05-30,0.105,0.12,0.105,0.115,1568500,0.115
2016-05-27,0.105,0.115,0.10,0.105,2747000,0.105
2016-05-26,0.105,0.105,0.097,0.097,704900,0.097
2016-05-25,0.098,0.10,0.098,0.098,191900,0.098
2016-05-24,0.10,0.10,0.097,0.097,177600,0.097
2016-05-23,0.10,0.105,0.099,0.099,1108900,0.099
2016-05-20,0.098,0.105,0.097,0.097,458300,0.097
2016-05-19,0.105,0.105,0.095,0.095,2394900,0.095
2016-05-18,0.105,0.105,0.10,0.10,261600,0.10
2016-05-17,0.105,0.105,0.10,0.10,176400,0.10
2016-05-16,0.11,0.11,0.10,0.10,429700,0.10
2016-05-13,0.105,0.11,0.105,0.11,208900,0.11
2016-05-12,0.115,0.115,0.105,0.105,414100,0.105
2016-05-11,0.115,0.1175,0.11,0.115,1067100,0.115
2016-05-10,0.105,0.115,0.105,0.115,2646700,0.115
2016-05-09,0.105,0.11,0.105,0.105,495400,0.105
2016-05-06,0.105,0.105,0.099,0.105,546100,0.105
2016-05-05,0.10,0.10,0.098,0.098,306900,0.098
2016-05-04,0.105,0.105,0.10,0.10,434800,0.10
2016-05-03,0.11,0.11,0.10,0.10,486000,0.10
2016-05-02,0.105,0.11,0.10,0.11,1884600,0.11
2016-04-29,0.11,0.11,0.092,0.097,577900,0.097
2016-04-28,0.11,0.11,0.10,0.10,1359600,0.10
2016-04-27,0.11,0.135,0.105,0.105,5685900,0.105
2016-04-26,0.082,0.083,0.082,0.083,38700,0.083
2016-04-25,0.083,0.083,0.083,0.083,000,0.083
2016-04-22,0.083,0.084,0.083,0.083,80700,0.083
2016-04-21,0.084,0.085,0.083,0.085,120600,0.085
2016-04-20,0.082,0.082,0.082,0.082,19200,0.082
2016-04-19,0.085,0.085,0.085,0.085,000,0.085
2016-04-18,0.085,0.086,0.085,0.085,385000,0.085
2016-04-15,0.086,0.086,0.085,0.086,67700,0.086
2016-04-14,0.086,0.087,0.086,0.087,105000,0.087
2016-04-13,0.088,0.088,0.086,0.087,354400,0.087
2016-04-12,0.086,0.087,0.086,0.087,110000,0.087
2016-04-11,0.086,0.088,0.086,0.088,150400,0.088
2016-04-08,0.087,0.087,0.086,0.086,59500,0.086
2016-04-07,0.087,0.088,0.087,0.087,63800,0.087
2016-04-06,0.087,0.087,0.086,0.086,244500,0.086
