Date,Open,High,Low,Close,Volume,Adj Close
2015-12-30,0.20,0.20,0.20,0.20,000,0.20
2015-12-29,0.20,0.20,0.20,0.20,000,0.20
2015-12-28,0.20,0.20,0.20,0.20,000,0.20
2015-12-25,0.20,0.20,0.20,0.20,000,0.20
2015-12-24,0.20,0.20,0.20,0.20,000,0.20
2015-12-23,0.20,0.20,0.20,0.20,000,0.20
2015-12-22,0.20,0.20,0.20,0.20,000,0.20
2015-12-21,0.20,0.20,0.20,0.20,000,0.20
2015-12-18,0.20,0.20,0.20,0.20,000,0.20
2015-12-17,0.20,0.20,0.20,0.20,000,0.20
2015-12-16,0.20,0.20,0.20,0.20,000,0.20
2015-12-15,0.20,0.20,0.20,0.20,000,0.20
2015-12-14,0.20,0.20,0.20,0.20,000,0.20
2015-12-11,0.20,0.20,0.20,0.20,000,0.20
2015-12-10,0.20,0.20,0.20,0.20,000,0.20
2015-12-09,0.20,0.20,0.20,0.20,000,0.20
2015-12-08,0.20,0.20,0.20,0.20,000,0.20
2015-12-07,0.20,0.20,0.20,0.20,000,0.20
2015-12-04,0.20,0.20,0.20,0.20,000,0.20
2015-12-03,0.20,0.20,0.20,0.20,000,0.20
2015-12-02,0.20,0.20,0.20,0.20,000,0.20
2015-12-01,0.20,0.20,0.20,0.20,000,0.20
2015-11-30,0.20,0.20,0.20,0.20,000,0.20
2015-11-27,0.20,0.20,0.20,0.20,000,0.20
2015-11-26,0.20,0.20,0.20,0.20,000,0.20
2015-11-25,0.20,0.20,0.20,0.20,000,0.20
2015-11-24,0.20,0.20,0.20,0.20,000,0.20
2015-11-23,0.20,0.20,0.20,0.20,000,0.20
2015-11-20,0.20,0.20,0.20,0.20,000,0.20
2015-11-19,0.20,0.20,0.20,0.20,000,0.20
2015-11-18,0.20,0.20,0.20,0.20,66600,0.20
2015-11-17,0.20,0.20,0.20,0.20,17700,0.20
2015-11-16,0.20,0.20,0.20,0.20,86400,0.20
2015-11-13,0.20,0.205,0.20,0.205,978900,0.205
2015-11-12,0.20,0.20,0.20,0.20,4091300,0.20
2015-11-11,0.20,0.20,0.20,0.20,177600,0.20
2015-11-10,0.20,0.20,0.20,0.20,65300,0.20
2015-11-09,0.20,0.20,0.20,0.20,518600,0.20
2015-11-06,0.20,0.20,0.20,0.20,52600,0.20
2015-11-05,0.20,0.20,0.20,0.20,1854300,0.20
2015-11-04,0.20,0.20,0.20,0.20,187000,0.20
2015-11-03,0.20,0.20,0.20,0.20,6835500,0.20
2015-11-02,0.20,0.21,0.20,0.20,9606200,0.20
2015-10-30,0.20,0.20,0.20,0.20,10946300,0.20
2015-10-29,0.20,0.205,0.20,0.20,222598800,0.20
2015-10-28,0.21,0.21,0.20,0.20,1640100,0.20
2015-10-27,0.20,0.205,0.20,0.205,83700,0.205
2015-10-26,0.20,0.20,0.20,0.20,68900,0.20
2015-10-23,0.20,0.20,0.20,0.20,100000,0.20
2015-10-22,0.20,0.20,0.20,0.20,300000,0.20
2015-10-21,0.20,0.20,0.20,0.20,000,0.20
2015-10-20,0.20,0.20,0.20,0.20,268200,0.20
2015-10-19,0.20,0.20,0.20,0.20,5065200,0.20
2015-10-16,0.20,0.20,0.20,0.20,870000,0.20
2015-10-15,0.20,0.20,0.20,0.20,470500,0.20
2015-10-14,0.20,0.20,0.20,0.20,107200,0.20
2015-10-13,0.20,0.20,0.20,0.20,41200,0.20
2015-10-12,0.20,0.20,0.20,0.20,15500,0.20
2015-10-09,0.20,0.20,0.20,0.20,150600,0.20
2015-10-08,0.20,0.20,0.20,0.20,43400,0.20
2015-10-07,0.20,0.20,0.20,0.20,155000,0.20
2015-10-06,0.20,0.20,0.20,0.20,45900,0.20
2015-10-05,0.205,0.205,0.20,0.20,56000,0.20
2015-10-02,0.20,0.20,0.20,0.20,000,0.20
2015-10-01,0.20,0.20,0.20,0.20,000,0.20
2015-09-30,0.20,0.20,0.20,0.20,1769400,0.20
2015-09-29,0.20,0.205,0.20,0.20,12637200,0.20
2015-09-28,0.20,0.20,0.20,0.20,000,0.20
2015-09-25,0.20,0.20,0.20,0.20,1665600,0.20
2015-09-24,0.20,0.20,0.20,0.20,326100,0.20
2015-09-23,0.205,0.205,0.20,0.20,439000,0.20
2015-09-22,0.205,0.205,0.20,0.205,1616100,0.205
2015-09-21,0.20,0.205,0.20,0.205,6233900,0.205
2015-09-18,0.135,0.135,0.125,0.125,290000,0.125
2015-09-17,0.135,0.135,0.13,0.135,332500,0.135
2015-09-16,0.14,0.14,0.135,0.135,48800,0.135
2015-09-15,0.145,0.145,0.14,0.14,101800,0.14
2015-09-14,0.145,0.145,0.145,0.145,000,0.145
2015-09-11,0.145,0.145,0.145,0.145,2700,0.145
2015-09-10,0.145,0.145,0.14,0.14,37100,0.14
2015-09-09,0.15,0.15,0.145,0.145,82700,0.145
2015-09-08,0.15,0.15,0.15,0.15,000,0.15
2015-09-07,0.15,0.15,0.15,0.15,8500,0.15
2015-09-04,0.155,0.155,0.155,0.155,6500,0.155
2015-09-03,0.16,0.16,0.16,0.16,000,0.16
2015-09-02,0.16,0.16,0.16,0.16,120000,0.16
2015-09-01,0.16,0.16,0.16,0.16,13400,0.16
2015-08-31,0.155,0.155,0.155,0.155,13500,0.155
2015-08-28,0.155,0.155,0.155,0.155,6500,0.155
2015-08-27,0.145,0.145,0.145,0.145,000,0.145
2015-08-26,0.15,0.15,0.145,0.145,26500,0.145
2015-08-25,0.135,0.15,0.13,0.14,502600,0.14
2015-08-24,0.17,0.17,0.14,0.15,661500,0.15
2015-08-21,0.18,0.18,0.17,0.17,8000,0.17
2015-08-20,0.18,0.19,0.175,0.19,58300,0.19
2015-08-19,0.18,0.18,0.18,0.18,32000,0.18
2015-08-18,0.185,0.19,0.18,0.19,71500,0.19
2015-08-17,0.19,0.195,0.18,0.18,74500,0.18
2015-08-14,0.19,0.195,0.19,0.19,97000,0.19
2015-08-13,0.19,0.205,0.19,0.19,472700,0.19
2015-08-12,0.17,0.19,0.17,0.19,533200,0.19
2015-08-11,0.17,0.17,0.17,0.17,48200,0.17
2015-08-10,0.165,0.18,0.165,0.17,92700,0.17
2015-08-07,0.16,0.17,0.16,0.16,62800,0.16
2015-08-06,0.17,0.17,0.17,0.17,000,0.17
2015-08-05,0.17,0.17,0.17,0.17,24000,0.17
2015-08-04,0.16,0.16,0.16,0.16,42000,0.16
2015-08-03,0.16,0.16,0.16,0.16,69000,0.16
2015-07-31,0.16,0.16,0.16,0.16,000,0.16
2015-07-30,0.16,0.16,0.16,0.16,27500,0.16
2015-07-29,0.16,0.16,0.16,0.16,000,0.16
2015-07-28,0.16,0.16,0.155,0.16,14900,0.16
2015-07-27,0.16,0.16,0.16,0.16,11100,0.16
2015-07-24,0.17,0.17,0.17,0.17,8200,0.17
2015-07-23,0.16,0.16,0.16,0.16,80600,0.16
2015-07-22,0.16,0.16,0.16,0.16,74200,0.16
2015-07-21,0.165,0.17,0.165,0.165,88000,0.165
2015-07-20,0.16,0.17,0.16,0.165,70800,0.165
2015-07-17,0.15,0.15,0.145,0.145,60800,0.145
2015-07-16,0.145,0.145,0.145,0.145,30000,0.145
2015-07-15,0.14,0.155,0.14,0.14,22500,0.14
2015-07-14,0.135,0.135,0.135,0.135,000,0.135
2015-07-13,0.135,0.135,0.135,0.135,6900,0.135
2015-07-10,0.14,0.14,0.14,0.14,000,0.14
2015-07-09,0.14,0.14,0.14,0.14,000,0.14
2015-07-08,0.14,0.14,0.14,0.14,000,0.14
2015-07-07,0.13,0.14,0.13,0.14,19900,0.14
2015-07-06,0.13,0.13,0.13,0.13,10000,0.13
