Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.032,0.032,0.032,0.032,249600,0.032
2016-06-30,0.032,0.032,0.032,0.032,10000,0.032
2016-06-29,0.032,0.032,0.032,0.032,100000,0.032
2016-06-28,0.034,0.034,0.034,0.034,2998900,0.034
2016-06-27,0.034,0.034,0.034,0.034,000,0.034
2016-06-24,0.034,0.034,0.034,0.034,000,0.034
2016-06-23,0.037,0.037,0.034,0.034,496700,0.034
2016-06-22,0.034,0.036,0.034,0.036,471200,0.036
2016-06-21,0.031,0.032,0.031,0.032,427300,0.032
2016-06-20,0.036,0.037,0.036,0.036,140000,0.036
2016-06-17,0.036,0.036,0.036,0.036,3000,0.036
2016-06-16,0.035,0.035,0.034,0.034,167300,0.034
2016-06-15,0.034,0.035,0.034,0.035,116100,0.035
2016-06-14,0.033,0.035,0.033,0.035,1078400,0.035
2016-06-13,0.033,0.033,0.033,0.033,000,0.033
2016-06-10,0.033,0.033,0.033,0.033,000,0.033
2016-06-09,0.031,0.033,0.03,0.033,985700,0.033
2016-06-08,0.031,0.031,0.031,0.031,200000,0.031
2016-06-07,0.029,0.029,0.029,0.029,000,0.029
2016-06-06,0.029,0.029,0.029,0.029,15500,0.029
2016-06-03,0.029,0.029,0.029,0.029,222300,0.029
2016-06-02,0.029,0.029,0.029,0.029,000,0.029
2016-06-01,0.029,0.029,0.029,0.029,136300,0.029
2016-05-31,0.029,0.029,0.029,0.029,000,0.029
2016-05-30,0.029,0.029,0.029,0.029,31700,0.029
2016-05-27,0.029,0.029,0.029,0.029,1272700,0.029
2016-05-26,0.03,0.03,0.03,0.03,67700,0.03
2016-05-25,0.03,0.03,0.03,0.03,62700,0.03
2016-05-24,0.03,0.03,0.03,0.03,26900,0.03
2016-05-23,0.031,0.031,0.031,0.031,50000,0.031
2016-05-20,0.03,0.03,0.03,0.03,1100,0.03
2016-05-19,0.03,0.03,0.03,0.03,000,0.03
2016-05-18,0.03,0.03,0.03,0.03,000,0.03
2016-05-17,0.03,0.03,0.03,0.03,66600,0.03
2016-05-16,0.03,0.03,0.03,0.03,140000,0.03
2016-05-13,0.03,0.031,0.03,0.03,295400,0.03
2016-05-12,0.03,0.03,0.03,0.03,000,0.03
2016-05-11,0.03,0.03,0.03,0.03,609100,0.03
2016-05-10,0.03,0.03,0.03,0.03,66200,0.03
2016-05-09,0.031,0.031,0.03,0.031,1665200,0.031
2016-05-06,0.03,0.03,0.03,0.03,302400,0.03
2016-05-05,0.03,0.03,0.03,0.03,34000,0.03
2016-05-04,0.03,0.03,0.03,0.03,11000,0.03
2016-05-03,0.03,0.03,0.03,0.03,163000,0.03
2016-05-02,0.035,0.035,0.031,0.031,200000,0.031
2016-04-29,0.038,0.038,0.038,0.038,17200,0.038
2016-04-28,0.036,0.036,0.036,0.036,100000,0.036
2016-04-27,0.035,0.038,0.035,0.038,20300,0.038
2016-04-26,0.035,0.037,0.035,0.035,46700,0.035
2016-04-25,0.037,0.037,0.037,0.037,000,0.037
2016-04-22,0.037,0.037,0.037,0.037,000,0.037
2016-04-21,0.037,0.037,0.037,0.037,000,0.037
2016-04-20,0.037,0.037,0.037,0.037,47200,0.037
2016-04-19,0.034,0.035,0.034,0.035,77700,0.035
2016-04-18,0.031,0.033,0.031,0.033,82500,0.033
2016-04-15,0.03,0.03,0.03,0.03,000,0.03
2016-04-14,0.03,0.03,0.03,0.03,000,0.03
2016-04-13,0.03,0.03,0.03,0.03,60400,0.03
2016-04-12,0.032,0.035,0.03,0.035,599000,0.035
2016-04-11,0.034,0.035,0.034,0.035,53300,0.035
2016-04-08,0.027,0.027,0.027,0.027,000,0.027
2016-04-07,0.03,0.03,0.027,0.027,206500,0.027
2016-04-06,0.03,0.03,0.03,0.03,35400,0.03
2016-04-05,0.024,0.027,0.024,0.027,338900,0.027
2016-04-04,0.026,0.026,0.026,0.026,000,0.026
2016-04-01,0.028,0.028,0.026,0.026,236500,0.026
2016-03-31,0.028,0.028,0.028,0.028,000,0.028
2016-03-30,0.028,0.028,0.028,0.028,000,0.028
2016-03-29,0.028,0.028,0.028,0.028,30000,0.028
2016-03-28,0.028,0.028,0.028,0.028,000,0.028
2016-03-25,0.028,0.028,0.028,0.028,000,0.028
2016-03-24,0.028,0.028,0.028,0.028,000,0.028
2016-03-23,0.029,0.029,0.028,0.028,66000,0.028
2016-03-22,0.027,0.027,0.027,0.027,000,0.027
2016-03-21,0.026,0.027,0.026,0.027,343800,0.027
2016-03-18,0.03,0.03,0.029,0.029,553600,0.029
2016-03-17,0.03,0.03,0.03,0.03,506800,0.03
2016-03-16,0.031,0.031,0.031,0.031,000,0.031
2016-03-15,0.031,0.031,0.031,0.031,000,0.031
2016-03-14,0.031,0.031,0.031,0.031,000,0.031
2016-03-11,0.031,0.031,0.031,0.031,000,0.031
2016-03-10,0.031,0.031,0.031,0.031,000,0.031
2016-03-09,0.031,0.031,0.031,0.031,000,0.031
2016-03-08,0.031,0.031,0.031,0.031,88300,0.031
2016-03-07,0.035,0.035,0.035,0.035,000,0.035
2016-03-04,0.035,0.035,0.035,0.035,000,0.035
2016-03-03,0.035,0.035,0.035,0.035,000,0.035
2016-03-02,0.035,0.035,0.035,0.035,12100,0.035
2016-03-01,0.033,0.033,0.033,0.033,000,0.033
2016-02-29,0.033,0.033,0.033,0.033,150000,0.033
2016-02-26,0.031,0.031,0.031,0.031,000,0.031
2016-02-25,0.031,0.031,0.031,0.031,000,0.031
2016-02-24,0.035,0.035,0.031,0.031,56300,0.031
2016-02-23,0.031,0.031,0.031,0.031,000,0.031
2016-02-22,0.031,0.031,0.031,0.031,24200,0.031
2016-02-19,0.031,0.031,0.031,0.031,000,0.031
2016-02-18,0.031,0.031,0.031,0.031,000,0.031
2016-02-17,0.031,0.031,0.031,0.031,000,0.031
2016-02-16,0.031,0.031,0.031,0.031,33000,0.031
2016-02-15,0.035,0.035,0.035,0.035,43100,0.035
2016-02-12,0.035,0.035,0.035,0.035,000,0.035
2016-02-11,0.035,0.035,0.035,0.035,000,0.035
2016-02-10,0.035,0.035,0.035,0.035,48800,0.035
