Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.50,0.54,0.50,0.54,36500,0.54
2016-06-30,0.50,0.52,0.495,0.50,24000,0.50
2016-06-29,0.50,0.52,0.49,0.50,46000,0.50
2016-06-28,0.50,0.50,0.50,0.50,25000,0.50
2016-06-27,0.52,0.52,0.50,0.50,69000,0.50
2016-06-24,0.525,0.54,0.51,0.51,17300,0.51
2016-06-23,0.54,0.54,0.51,0.51,37600,0.51
2016-06-22,0.48,0.54,0.48,0.54,92500,0.54
2016-06-21,0.525,0.545,0.51,0.51,50000,0.51
2016-06-20,0.55,0.55,0.55,0.55,7000,0.55
2016-06-17,0.55,0.565,0.55,0.55,118400,0.55
2016-06-16,0.58,0.58,0.58,0.58,000,0.58
2016-06-15,0.55,0.59,0.55,0.58,93000,0.58
2016-06-14,0.55,0.55,0.53,0.55,25700,0.55
2016-06-13,0.53,0.53,0.53,0.53,000,0.53
2016-06-10,0.55,0.57,0.53,0.53,63900,0.53
2016-06-09,0.53,0.57,0.53,0.55,144900,0.55
2016-06-08,0.56,0.56,0.56,0.56,000,0.56
2016-06-07,0.55,0.56,0.54,0.56,46200,0.56
2016-06-06,0.55,0.55,0.55,0.55,5000,0.55
2016-06-03,0.60,0.605,0.57,0.57,41900,0.57
2016-06-02,0.605,0.605,0.605,0.605,000,0.605
2016-06-01,0.605,0.605,0.605,0.605,000,0.605
2016-05-31,0.59,0.605,0.56,0.605,13200,0.605
2016-05-30,0.575,0.58,0.575,0.58,10000,0.58
2016-05-27,0.60,0.60,0.575,0.575,63700,0.575
2016-05-26,0.61,0.61,0.60,0.60,81300,0.60
2016-05-25,0.645,0.645,0.625,0.63,36900,0.63
2016-05-24,0.64,0.64,0.63,0.63,15000,0.63
2016-05-23,0.64,0.64,0.64,0.64,15000,0.64
2016-05-20,0.63,0.63,0.63,0.63,000,0.63
2016-05-19,0.635,0.645,0.63,0.63,94400,0.63
2016-05-18,0.66,0.66,0.63,0.65,55500,0.65
2016-05-17,0.69,0.70,0.69,0.70,26800,0.70
2016-05-16,0.70,0.70,0.70,0.70,171400,0.70
2016-05-13,0.63,0.69,0.62,0.69,90000,0.69
2016-05-12,0.65,0.65,0.64,0.64,20800,0.64
2016-05-11,0.66,0.66,0.65,0.66,29100,0.66
2016-05-10,0.715,0.735,0.65,0.65,138800,0.65
2016-05-09,0.49,0.70,0.49,0.70,664500,0.70
2016-05-06,0.48,0.48,0.455,0.455,32900,0.455
2016-05-05,0.48,0.48,0.475,0.475,87500,0.475
2016-05-04,0.46,0.465,0.46,0.465,20500,0.465
2016-05-03,0.47,0.48,0.47,0.48,30400,0.48
2016-05-02,0.455,0.46,0.455,0.455,56000,0.455
2016-04-29,0.49,0.49,0.48,0.48,30000,0.48
2016-04-28,0.485,0.485,0.47,0.475,141600,0.475
2016-04-27,0.47,0.485,0.47,0.485,41500,0.485
2016-04-26,0.47,0.475,0.46,0.47,56500,0.47
2016-04-25,0.47,0.47,0.47,0.47,000,0.47
2016-04-22,0.45,0.47,0.45,0.47,10000,0.47
2016-04-21,0.42,0.44,0.42,0.44,36300,0.44
2016-04-20,0.42,0.42,0.42,0.42,1000,0.42
2016-04-19,0.45,0.45,0.43,0.45,29700,0.45
2016-04-18,0.44,0.44,0.43,0.43,16400,0.43
2016-04-15,0.46,0.46,0.46,0.46,000,0.46
2016-04-14,0.455,0.46,0.455,0.46,16200,0.46
2016-04-13,0.45,0.45,0.45,0.45,25000,0.45
2016-04-12,0.50,0.50,0.44,0.44,4500,0.44
2016-04-11,0.48,0.50,0.48,0.50,61000,0.50
2016-04-08,0.45,0.45,0.415,0.45,40000,0.45
2016-04-07,0.45,0.45,0.45,0.45,000,0.45
2016-04-06,0.46,0.46,0.45,0.45,15000,0.45
2016-04-05,0.465,0.485,0.45,0.45,31500,0.45
2016-04-04,0.44,0.50,0.41,0.50,68800,0.50
2016-04-01,0.475,0.475,0.44,0.44,43100,0.44
2016-03-31,0.475,0.50,0.475,0.50,15400,0.50
2016-03-30,0.50,0.50,0.50,0.50,6700,0.50
2016-03-29,0.47,0.47,0.47,0.47,35300,0.47
2016-03-28,0.485,0.485,0.485,0.485,000,0.485
2016-03-25,0.485,0.485,0.485,0.485,000,0.485
2016-03-24,0.485,0.485,0.485,0.485,000,0.485
2016-03-23,0.495,0.495,0.485,0.485,35500,0.485
2016-03-22,0.50,0.50,0.50,0.50,171500,0.50
2016-03-21,0.51,0.515,0.48,0.50,65200,0.50
2016-03-18,0.50,0.50,0.50,0.50,000,0.50
2016-03-17,0.50,0.50,0.50,0.50,18000,0.50
2016-03-16,0.50,0.50,0.50,0.50,60000,0.50
2016-03-15,0.525,0.525,0.47,0.47,66800,0.47
2016-03-14,0.52,0.52,0.52,0.52,3000,0.52
2016-03-11,0.525,0.525,0.525,0.525,11100,0.525
2016-03-10,0.54,0.55,0.51,0.525,92100,0.525
2016-03-09,0.515,0.54,0.515,0.54,104000,0.54
2016-03-08,0.50,0.50,0.50,0.50,41000,0.50
2016-03-07,0.52,0.52,0.50,0.50,35500,0.50
2016-03-04,0.44,0.51,0.44,0.51,64300,0.51
2016-03-03,0.43,0.43,0.425,0.425,15000,0.425
2016-03-02,0.435,0.49,0.43,0.43,81000,0.43
2016-03-01,0.45,0.45,0.445,0.45,49900,0.45
2016-02-29,0.50,0.50,0.43,0.455,186000,0.455
2016-02-26,0.525,0.525,0.50,0.50,87200,0.50
2016-02-25,0.54,0.54,0.54,0.54,2700,0.54
2016-02-24,0.56,0.56,0.525,0.525,12400,0.525
2016-02-23,0.60,0.60,0.56,0.56,29800,0.56
2016-02-22,0.52,0.555,0.52,0.555,7000,0.555
2016-02-19,0.42,0.50,0.42,0.50,69000,0.50
2016-02-18,0.40,0.42,0.38,0.42,93300,0.42
2016-02-17,0.40,0.40,0.40,0.40,000,0.40
2016-02-16,0.40,0.40,0.40,0.40,16900,0.40
2016-02-15,0.38,0.38,0.38,0.38,000,0.38
2016-02-12,0.38,0.38,0.38,0.38,60000,0.38
2016-02-11,0.395,0.395,0.395,0.395,000,0.395
2016-02-10,0.395,0.395,0.395,0.395,000,0.395
2016-02-09,0.39,0.395,0.38,0.395,14900,0.395
2016-02-08,0.395,0.40,0.395,0.40,14300,0.40
2016-02-05,0.38,0.38,0.365,0.38,22500,0.38
2016-02-04,0.38,0.38,0.38,0.38,10000,0.38
2016-02-03,0.36,0.36,0.35,0.35,23200,0.35
2016-02-02,0.365,0.365,0.34,0.355,75400,0.355
2016-02-01,0.365,0.365,0.35,0.365,134600,0.365
2016-01-29,0.37,0.375,0.355,0.365,42000,0.365
2016-01-28,0.38,0.395,0.37,0.37,54400,0.37
2016-01-27,0.39,0.40,0.35,0.39,245800,0.39
2016-01-26,0.42,0.42,0.42,0.42,000,0.42
2016-01-25,0.42,0.42,0.42,0.42,8200,0.42
2016-01-22,0.42,0.44,0.40,0.40,25800,0.40
2016-01-21,0.37,0.42,0.37,0.42,29100,0.42
2016-01-20,0.435,0.435,0.415,0.42,87600,0.42
2016-01-19,0.46,0.46,0.46,0.46,000,0.46
2016-01-18,0.43,0.46,0.43,0.46,88700,0.46
2016-01-15,0.43,0.43,0.43,0.43,5000,0.43
2016-01-14,0.43,0.43,0.42,0.43,75000,0.43
2016-01-13,0.46,0.47,0.425,0.425,105100,0.425
2016-01-12,0.47,0.47,0.47,0.47,000,0.47
2016-01-11,0.465,0.47,0.44,0.47,46200,0.47
2016-01-08,0.45,0.45,0.45,0.45,000,0.45
2016-01-07,0.435,0.465,0.435,0.45,48300,0.45
2016-01-06,0.44,0.45,0.44,0.445,50100,0.445
2016-01-05,0.42,0.44,0.415,0.44,42000,0.44
2016-01-04,0.46,0.46,0.42,0.44,82500,0.44
2016-01-01,0.47,0.47,0.47,0.47,000,0.47
2015-12-31,0.45,0.47,0.45,0.47,15900,0.47
2015-12-30,0.46,0.46,0.46,0.46,20900,0.46
2015-12-29,0.445,0.445,0.445,0.445,000,0.445
2015-12-28,0.445,0.445,0.445,0.445,000,0.445
