Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,10.06,10.06,10.00,10.03,13100,10.03
2016-06-30,10.05,10.25,9.90,10.10,19600,10.10
2016-06-29,9.75,10.08,9.75,10.01,24500,10.01
2016-06-28,10.02,10.08,9.90,9.90,407700,9.90
2016-06-27,10.08,10.10,9.99,10.04,6100,10.04
2016-06-24,10.17,10.23,9.99,10.15,205300,10.15
2016-06-23,10.14,10.25,10.06,10.16,234700,10.16
2016-06-22,10.27,10.27,10.10,10.21,17600,10.21
2016-06-21,10.345,10.39,10.00,10.27,437600,10.27
2016-06-20,10.20,10.45,10.20,10.39,12400,10.39
2016-06-17,9.82,10.20,9.82,10.20,20300,10.20
2016-06-16,10.00,10.30,9.84,9.84,4200,9.84
2016-06-15,9.69,10.40,9.65,10.09,7400,10.09
2016-06-14,10.10,10.40,9.69,10.35,7300,10.35
2016-06-13,10.05,10.05,10.05,10.05,000,10.05
2016-06-10,9.70,10.05,9.70,10.05,252400,10.05
2016-06-09,9.50,9.74,9.50,9.74,116600,9.74
2016-06-08,9.70,9.70,9.22,9.58,60400,9.58
2016-06-07,9.73,9.73,9.61,9.73,500,9.73
2016-06-06,9.74,9.74,9.33,9.67,19900,9.67
2016-06-03,9.75,9.75,9.54,9.74,21600,9.74
2016-06-02,9.70,9.78,9.545,9.74,274500,9.74
2016-06-01,9.39,9.70,9.39,9.70,11100,9.70
2016-05-31,9.29,9.65,9.27,9.65,12000,9.65
2016-05-30,9.64,9.70,9.46,9.50,3800,9.50
2016-05-27,9.37,9.47,9.00,9.16,6900,9.16
2016-05-26,9.60,9.60,9.30,9.46,3500,9.46
2016-05-25,9.67,9.70,9.50,9.64,13600,9.64
2016-05-24,9.71,9.72,9.63,9.70,639700,9.70
2016-05-23,9.45,9.73,9.45,9.73,99600,9.73
2016-05-20,9.50,9.69,9.45,9.55,7800,9.55
2016-05-19,9.30,9.50,9.30,9.50,4600,9.50
2016-05-18,9.39,9.40,9.32,9.40,9200,9.40
2016-05-17,9.34,9.40,9.33,9.40,4100,9.40
2016-05-16,9.295,9.40,9.295,9.35,15600,9.35
2016-05-13,9.195,9.35,8.99,9.35,22800,9.35
2016-05-12,9.07,9.18,8.80,8.99,24500,8.99
2016-05-11,9.55,9.55,9.00,9.08,9000,9.08
2016-05-10,9.31,9.55,9.15,9.15,6100,9.15
2016-05-09,9.20,9.40,9.20,9.32,9500,9.32
2016-05-06,9.25,9.40,9.22,9.32,72900,9.32
2016-05-05,8.90,9.20,8.90,9.09,35400,9.09
2016-05-04,8.81,9.04,8.75,8.90,19700,8.90
2016-05-03,8.80,9.01,8.71,8.82,17500,8.82
2016-05-02,8.77,8.99,8.70,8.74,16400,8.74
2016-04-29,8.70,8.74,8.65,8.70,54600,8.70
2016-04-28,8.65,8.77,8.65,8.70,55500,8.70
2016-04-27,8.69,8.69,8.54,8.61,7800,8.61
2016-04-26,8.71,8.82,8.65,8.71,7200,8.71
2016-04-25,8.77,8.77,8.77,8.77,000,8.77
2016-04-22,8.625,9.14,8.60,8.77,36500,8.77
2016-04-21,8.52,8.87,8.52,8.73,12800,8.73
2016-04-20,8.58,8.70,8.50,8.51,9700,8.51
2016-04-19,8.69,8.70,8.575,8.67,443400,8.67
2016-04-18,8.87,8.87,8.46,8.69,4300,8.69
2016-04-15,8.645,8.745,8.53,8.60,102800,8.60
2016-04-14,8.27,8.60,8.27,8.55,127300,8.55
2016-04-13,8.41,8.46,8.27,8.27,258000,8.27
2016-04-12,8.49,8.49,8.30,8.39,116500,8.39
2016-04-11,8.50,8.50,8.30,8.30,6800,8.30
2016-04-08,8.46,8.65,8.39,8.45,14000,8.45
2016-04-07,8.40,8.70,8.40,8.54,12800,8.369
2016-04-06,8.75,8.75,8.37,8.49,10300,8.32
2016-04-05,8.57,8.70,8.29,8.50,54800,8.329
2016-04-04,8.51,8.735,8.36,8.67,5700,8.496
2016-04-01,8.20,8.55,8.20,8.55,133300,8.378
2016-03-31,8.20,8.20,8.06,8.20,6400,8.035
2016-03-30,8.08,8.30,8.03,8.07,152200,7.908
2016-03-29,8.18,8.18,8.11,8.13,4100,7.967
2016-03-28,8.19,8.19,8.19,8.19,000,8.026
2016-03-25,8.19,8.19,8.19,8.19,000,8.026
2016-03-24,8.25,8.25,8.12,8.19,156500,8.026
2016-03-23,8.35,8.35,8.25,8.25,3400,8.084
