Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.053,0.053,0.053,0.053,251200,0.053
2016-06-30,0.056,0.056,0.052,0.052,32000,0.052
2016-06-29,0.056,0.056,0.056,0.056,37800,0.056
2016-06-28,0.055,0.057,0.055,0.056,183700,0.056
2016-06-27,0.052,0.052,0.052,0.052,1000,0.052
2016-06-24,0.052,0.054,0.052,0.054,77400,0.054
2016-06-23,0.052,0.052,0.051,0.051,90000,0.051
2016-06-22,0.052,0.052,0.052,0.052,10000,0.052
2016-06-21,0.052,0.052,0.052,0.052,189200,0.052
2016-06-20,0.052,0.052,0.052,0.052,3500,0.052
2016-06-17,0.052,0.052,0.052,0.052,75000,0.052
2016-06-16,0.052,0.052,0.052,0.052,2000,0.052
2016-06-15,0.056,0.056,0.056,0.056,65600,0.056
2016-06-14,0.056,0.056,0.05,0.053,941500,0.053
2016-06-13,0.056,0.056,0.056,0.056,000,0.056
2016-06-10,0.06,0.06,0.056,0.056,975000,0.056
2016-06-09,0.057,0.057,0.057,0.057,000,0.057
2016-06-08,0.058,0.058,0.057,0.057,420000,0.057
2016-06-07,0.055,0.062,0.055,0.062,361300,0.062
2016-06-06,0.051,0.055,0.051,0.055,278000,0.055
2016-06-03,0.049,0.049,0.049,0.049,000,0.049
2016-06-02,0.049,0.049,0.049,0.049,000,0.049
2016-06-01,0.047,0.049,0.047,0.049,629200,0.049
2016-05-31,0.05,0.05,0.047,0.048,666600,0.048
2016-05-30,0.05,0.051,0.047,0.047,2987200,0.047
2016-05-27,0.051,0.051,0.051,0.051,20000,0.051
2016-05-26,0.051,0.053,0.051,0.053,348000,0.053
2016-05-25,0.057,0.057,0.056,0.056,219700,0.056
2016-05-24,0.058,0.058,0.058,0.058,000,0.058
2016-05-23,0.058,0.058,0.058,0.058,000,0.058
2016-05-20,0.057,0.058,0.057,0.058,155000,0.058
2016-05-19,0.062,0.062,0.057,0.057,219700,0.057
2016-05-18,0.059,0.062,0.059,0.062,76300,0.062
2016-05-17,0.057,0.058,0.057,0.057,91000,0.057
2016-05-16,0.058,0.06,0.055,0.06,349400,0.06
2016-05-13,0.067,0.067,0.059,0.059,446700,0.059
2016-05-12,0.064,0.069,0.064,0.066,1875100,0.066
2016-05-11,0.06,0.063,0.06,0.063,615300,0.063
2016-05-10,0.062,0.065,0.06,0.06,2433000,0.06
2016-05-09,0.055,0.064,0.055,0.061,3132800,0.061
2016-05-06,0.056,0.058,0.055,0.055,3854100,0.055
2016-05-05,0.05,0.056,0.045,0.056,7683700,0.056
2016-05-04,0.045,0.047,0.04,0.047,2853400,0.047
2016-05-03,0.044,0.044,0.044,0.044,124100,0.044
2016-05-02,0.04,0.04,0.04,0.04,100000,0.04
2016-04-29,0.039,0.04,0.039,0.04,653500,0.04
2016-04-28,0.041,0.043,0.041,0.043,224400,0.043
