Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.26,1.26,1.26,1.26,2900,1.26
2016-06-30,1.25,1.25,1.24,1.24,29300,1.24
2016-06-29,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-28,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-27,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-24,1.24,1.24,1.23,1.23,114000,1.23
2016-06-23,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-22,1.24,1.24,1.24,1.24,73900,1.24
2016-06-21,1.25,1.25,1.25,1.25,28000,1.25
2016-06-20,1.25,1.25,1.24,1.24,12000,1.24
2016-06-17,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-16,1.25,1.25,1.25,1.25,16000,1.25
2016-06-15,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-14,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-13,1.2603,1.2603,1.2603,1.2603,000,1.2603
2016-06-10,1.32,1.32,1.32,1.32,800,1.32
2016-06-09,1.2103,1.2103,1.2103,1.2103,000,1.2103
2016-06-08,1.2103,1.2103,1.2103,1.2103,000,1.2103
2016-06-07,1.27,1.27,1.27,1.27,58100,1.27
2016-06-06,1.2103,1.2103,1.2103,1.2103,000,1.2103
2016-06-03,1.2103,1.2103,1.2103,1.2103,000,1.2103
2016-06-02,1.2103,1.2103,1.2103,1.2103,000,1.2103
2016-06-01,1.21,1.21,1.21,1.21,000,1.21
2016-05-31,1.28,1.28,1.28,1.28,13200,1.28
2016-05-30,1.27,1.27,1.27,1.27,28000,1.27
2016-05-27,1.26,1.26,1.26,1.26,43600,1.26
2016-05-26,1.27,1.27,1.27,1.27,46800,1.27
2016-05-25,1.25,1.25,1.25,1.25,8000,1.25
2016-05-24,1.25,1.25,1.25,1.25,13000,1.25
2016-05-23,1.25,1.25,1.25,1.25,8300,1.25
2016-05-20,1.25,1.25,1.24,1.24,3200,1.24
2016-05-19,1.21,1.21,1.21,1.21,000,1.21
2016-05-18,1.24,1.24,1.24,1.24,4800,1.24
