Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.013,0.013,0.013,0.013,000,0.013
2016-06-30,0.013,0.013,0.013,0.013,000,0.013
2016-06-29,0.013,0.013,0.013,0.013,000,0.013
2016-06-28,0.013,0.013,0.013,0.013,226300,0.013
2016-06-27,0.013,0.013,0.013,0.013,000,0.013
2016-06-24,0.013,0.013,0.013,0.013,000,0.013
2016-06-23,0.013,0.013,0.013,0.013,000,0.013
2016-06-22,0.013,0.013,0.013,0.013,000,0.013
2016-06-21,0.013,0.013,0.013,0.013,000,0.013
2016-06-20,0.013,0.013,0.013,0.013,000,0.013
2016-06-17,0.013,0.013,0.013,0.013,000,0.013
2016-06-16,0.013,0.013,0.013,0.013,000,0.013
2016-06-15,0.013,0.013,0.013,0.013,000,0.013
2016-06-14,0.013,0.013,0.013,0.013,000,0.013
2016-06-13,0.013,0.013,0.013,0.013,000,0.013
2016-06-10,0.013,0.013,0.013,0.013,75300,0.013
2016-06-09,0.015,0.015,0.013,0.013,258500,0.013
2016-06-08,0.011,0.011,0.011,0.011,000,0.011
2016-06-07,0.011,0.011,0.011,0.011,000,0.011
2016-06-06,0.011,0.011,0.011,0.011,000,0.011
2016-06-03,0.011,0.011,0.011,0.011,000,0.011
2016-06-02,0.015,0.015,0.011,0.011,407200,0.011
2016-06-01,0.01,0.01,0.01,0.01,000,0.01
2016-05-31,0.01,0.01,0.01,0.01,000,0.01
2016-05-30,0.01,0.01,0.01,0.01,000,0.01
2016-05-27,0.01,0.01,0.01,0.01,000,0.01
2016-05-26,0.01,0.01,0.01,0.01,000,0.01
2016-05-25,0.01,0.01,0.01,0.01,36000,0.01
2016-05-24,0.013,0.013,0.013,0.013,000,0.013
2016-05-23,0.013,0.013,0.013,0.013,000,0.013
2016-05-20,0.013,0.013,0.013,0.013,000,0.013
2016-05-19,0.013,0.013,0.013,0.013,000,0.013
2016-05-18,0.013,0.013,0.013,0.013,000,0.013
2016-05-17,0.013,0.013,0.013,0.013,000,0.013
2016-05-16,0.013,0.013,0.013,0.013,000,0.013
2016-05-13,0.013,0.013,0.013,0.013,000,0.013
2016-05-12,0.013,0.013,0.013,0.013,000,0.013
2016-05-11,0.013,0.013,0.013,0.013,000,0.013
2016-05-10,0.013,0.013,0.013,0.013,430000,0.013
2016-05-09,0.014,0.014,0.014,0.014,000,0.014
2016-05-06,0.014,0.014,0.014,0.014,000,0.014
2016-05-05,0.014,0.014,0.014,0.014,000,0.014
2016-05-04,0.014,0.014,0.014,0.014,44500,0.014
2016-05-03,0.014,0.014,0.014,0.014,000,0.014
2016-05-02,0.014,0.014,0.014,0.014,35000,0.014
2016-04-29,0.014,0.014,0.014,0.014,000,0.014
2016-04-28,0.014,0.014,0.014,0.014,000,0.014
2016-04-27,0.014,0.014,0.014,0.014,20000,0.014
2016-04-26,0.014,0.014,0.014,0.014,000,0.014
2016-04-25,0.014,0.014,0.014,0.014,000,0.014
2016-04-22,0.014,0.014,0.014,0.014,000,0.014
2016-04-21,0.014,0.014,0.014,0.014,168900,0.014
2016-04-20,0.014,0.014,0.014,0.014,000,0.014
2016-04-19,0.014,0.014,0.014,0.014,000,0.014
2016-04-18,0.014,0.014,0.014,0.014,000,0.014
2016-04-15,0.014,0.014,0.014,0.014,000,0.014
2016-04-14,0.014,0.014,0.014,0.014,000,0.014
2016-04-13,0.013,0.014,0.013,0.014,353800,0.014
2016-04-12,0.011,0.011,0.011,0.011,350000,0.011
2016-04-11,0.01,0.01,0.01,0.01,000,0.01
2016-04-08,0.01,0.01,0.01,0.01,000,0.01
2016-04-07,0.01,0.01,0.01,0.01,000,0.01
2016-04-06,0.01,0.01,0.01,0.01,20000,0.01
2016-04-05,0.01,0.01,0.01,0.01,000,0.01
2016-04-04,0.01,0.01,0.01,0.01,000,0.01
2016-04-01,0.01,0.01,0.01,0.01,000,0.01
2016-03-31,0.01,0.01,0.01,0.01,000,0.01
2016-03-30,0.01,0.01,0.01,0.01,000,0.01
2016-03-29,0.01,0.01,0.01,0.01,339000,0.01
2016-03-28,0.016,0.016,0.016,0.016,000,0.016
2016-03-25,0.016,0.016,0.016,0.016,000,0.016
2016-03-24,0.016,0.016,0.016,0.016,000,0.016
2016-03-23,0.016,0.016,0.016,0.016,000,0.016
2016-03-22,0.016,0.016,0.016,0.016,000,0.016
2016-03-21,0.016,0.016,0.016,0.016,000,0.016
2016-03-18,0.016,0.016,0.016,0.016,000,0.016
2016-03-17,0.016,0.016,0.016,0.016,000,0.016
2016-03-16,0.016,0.016,0.016,0.016,000,0.016
2016-03-15,0.016,0.016,0.016,0.016,000,0.016
2016-03-14,0.016,0.016,0.016,0.016,000,0.016
2016-03-11,0.016,0.016,0.016,0.016,000,0.016
2016-03-10,0.016,0.016,0.016,0.016,200000,0.016
2016-03-09,0.014,0.014,0.014,0.014,000,0.014
2016-03-08,0.014,0.014,0.014,0.014,000,0.014
2016-03-07,0.014,0.014,0.014,0.014,000,0.014
2016-03-04,0.014,0.014,0.014,0.014,000,0.014
2016-03-03,0.014,0.014,0.014,0.014,000,0.014
2016-03-02,0.014,0.014,0.014,0.014,000,0.014
2016-03-01,0.014,0.014,0.014,0.014,000,0.014
2016-02-29,0.014,0.014,0.014,0.014,175000,0.014
2016-02-26,0.014,0.014,0.014,0.014,217500,0.014
2016-02-25,0.012,0.012,0.012,0.012,200000,0.012
2016-02-24,0.01,0.01,0.01,0.01,000,0.01
2016-02-23,0.01,0.01,0.01,0.01,000,0.01
2016-02-22,0.01,0.01,0.01,0.01,000,0.01
2016-02-19,0.01,0.01,0.01,0.01,000,0.01
2016-02-18,0.01,0.01,0.01,0.01,000,0.01
2016-02-17,0.01,0.01,0.01,0.01,000,0.01
2016-02-16,0.01,0.01,0.01,0.01,000,0.01
2016-02-15,0.01,0.01,0.01,0.01,000,0.01
2016-02-12,0.01,0.01,0.01,0.01,000,0.01
2016-02-11,0.01,0.01,0.01,0.01,000,0.01
2016-02-10,0.01,0.01,0.01,0.01,000,0.01
2016-02-09,0.01,0.01,0.01,0.01,000,0.01
2016-02-08,0.01,0.01,0.01,0.01,000,0.01
2016-02-05,0.01,0.01,0.01,0.01,000,0.01
2016-02-04,0.01,0.01,0.01,0.01,000,0.01
2016-02-03,0.01,0.01,0.01,0.01,175000,0.01
2016-02-02,0.01,0.01,0.01,0.01,000,0.01
2016-02-01,0.01,0.01,0.01,0.01,171600,0.01
2016-01-29,0.011,0.011,0.011,0.011,000,0.011
2016-01-28,0.011,0.011,0.011,0.011,000,0.011
2016-01-27,0.011,0.011,0.011,0.011,200000,0.011
2016-01-26,0.011,0.011,0.011,0.011,000,0.011
2016-01-25,0.011,0.011,0.011,0.011,000,0.011
2016-01-22,0.011,0.011,0.011,0.011,000,0.011
2016-01-21,0.011,0.011,0.011,0.011,000,0.011
2016-01-20,0.012,0.012,0.011,0.011,356000,0.011
2016-01-19,0.011,0.011,0.011,0.011,000,0.011
2016-01-18,0.011,0.011,0.011,0.011,000,0.011
2016-01-15,0.011,0.011,0.011,0.011,000,0.011
