Date,Open,High,Low,Close,Volume,Adj Close
2016-06-29,5.75,5.75,5.75,5.75,000,5.75
2016-06-28,5.70,5.70,5.70,5.70,3700,5.70
2016-06-27,5.72,5.72,5.72,5.72,000,5.72
2016-06-24,5.74,5.74,5.74,5.74,7100,5.74
2016-06-23,5.79,5.79,5.79,5.79,000,5.79
2016-06-22,5.78,5.78,5.78,5.78,000,5.78
2016-06-21,5.78,5.78,5.78,5.78,000,5.78
2016-06-20,5.75,5.75,5.75,5.75,000,5.75
2016-06-17,5.70,5.70,5.70,5.70,4500,5.70
2016-06-16,5.77,5.77,5.77,5.77,000,5.77
2016-06-15,5.74,5.74,5.72,5.72,5700,5.72
2016-06-14,5.78,5.78,5.78,5.78,000,5.78
2016-06-13,5.78,5.78,5.78,5.78,000,5.78
2016-06-10,5.72,5.72,5.72,5.72,400,5.72
2016-06-09,5.77,5.77,5.77,5.77,000,5.77
2016-06-08,5.77,5.77,5.77,5.77,000,5.77
2016-06-07,5.71,5.71,5.71,5.71,3000,5.71
2016-06-06,5.76,5.76,5.76,5.76,000,5.76
2016-06-03,5.75,5.75,5.75,5.75,4300,5.75
2016-06-02,5.75,5.75,5.75,5.75,4300,5.75
2016-06-01,5.69,5.69,5.69,5.69,5000,5.69
2016-05-31,5.70,5.70,5.70,5.70,700,5.70
2016-05-30,5.75,5.75,5.75,5.75,000,5.75
2016-05-27,5.75,5.75,5.75,5.75,000,5.75
2016-05-26,5.69,5.69,5.69,5.69,700,5.69
2016-05-25,5.65,5.65,5.65,5.65,1600,5.65
2016-05-24,5.65,5.67,5.65,5.67,3200,5.67
2016-05-23,5.73,5.73,5.73,5.73,000,5.73
2016-05-20,5.61,5.61,5.61,5.61,4000,5.61
2016-05-19,5.66,5.66,5.66,5.66,700,5.66
2016-05-18,5.74,5.74,5.74,5.74,000,5.74
2016-05-17,5.60,5.60,5.60,5.60,5300,5.60
2016-05-16,5.71,5.71,5.71,5.71,000,5.71
2016-05-13,5.64,5.64,5.64,5.64,100,5.64
2016-05-12,5.73,5.73,5.73,5.73,000,5.73
2016-05-11,5.66,5.66,5.66,5.66,3700,5.66
2016-05-10,5.71,5.71,5.71,5.71,000,5.71
2016-05-09,5.71,5.71,5.71,5.71,000,5.71
2016-05-06,5.65,5.65,5.65,5.65,2100,5.65
2016-05-05,5.71,5.71,5.71,5.71,000,5.71
2016-05-04,5.71,5.71,5.71,5.71,000,5.71
2016-05-03,5.64,5.67,5.64,5.67,2800,5.67
2016-05-02,5.67,5.67,5.67,5.67,000,5.67
2016-04-29,5.67,5.67,5.67,5.67,000,5.67
2016-04-28,5.63,5.63,5.63,5.63,000,5.63
2016-04-27,5.59,5.63,5.59,5.63,2700,5.63
2016-04-26,5.60,5.60,5.60,5.60,500,5.60
2016-04-25,5.60,5.60,5.60,5.60,000,5.60
2016-04-22,5.60,5.60,5.60,5.60,000,5.60
2016-04-21,5.65,5.65,5.65,5.65,000,5.65
2016-04-20,5.61,5.61,5.59,5.59,3000,5.59
2016-04-19,5.59,5.59,5.59,5.59,300,5.59
2016-04-18,5.62,5.62,5.62,5.62,000,5.62
2016-04-15,5.60,5.60,5.60,5.60,000,5.60
2016-04-14,5.62,5.62,5.62,5.62,000,5.62
2016-04-13,5.52,5.52,5.52,5.52,2000,5.52
2016-04-12,5.59,5.59,5.59,5.59,000,5.59
2016-04-11,5.61,5.61,5.61,5.61,000,5.61
2016-04-08,5.58,5.58,5.58,5.58,000,5.58
2016-04-07,5.51,5.51,5.51,5.51,300,5.51
2016-04-06,5.51,5.51,5.51,5.51,700,5.51
2016-04-05,5.51,5.51,5.51,5.51,700,5.51
2016-04-04,5.55,5.55,5.55,5.55,000,5.55
2016-04-01,5.53,5.53,5.53,5.53,1600,5.53
2016-03-31,5.53,5.53,5.52,5.52,1000,5.52
2016-03-30,5.55,5.55,5.55,5.55,300,5.55
2016-03-29,5.62,5.62,5.62,5.62,3800,5.62
2016-03-28,5.67,5.67,5.67,5.67,000,5.67
2016-03-25,5.67,5.67,5.67,5.67,000,5.67
2016-03-24,5.67,5.67,5.67,5.67,000,5.67
2016-03-23,5.67,5.67,5.67,5.67,000,5.67
2016-03-22,5.6625,5.6625,5.6625,5.6625,000,5.6625
2016-03-21,5.61,5.61,5.61,5.61,2000,5.61
2016-03-18,5.69,5.69,5.69,5.69,000,5.69
2016-03-17,5.67,5.67,5.67,5.67,000,5.67
2016-03-16,5.66,5.66,5.66,5.66,000,5.66
2016-03-15,5.66,5.66,5.66,5.66,000,5.66
2016-03-14,5.66,5.66,5.66,5.66,000,5.66
2016-03-11,5.66,5.66,5.66,5.66,000,5.66
2016-03-10,5.66,5.66,5.66,5.66,000,5.66
2016-03-09,5.63,5.63,5.63,5.63,000,5.63
2016-03-08,5.61,5.61,5.61,5.61,000,5.61
2016-03-07,5.61,5.61,5.61,5.61,000,5.61
2016-03-04,5.67,5.67,5.67,5.67,000,5.67
2016-03-03,5.70,5.70,5.56,5.56,9400,5.56
2016-03-02,5.66,5.66,5.66,5.66,000,5.66
2016-03-01,5.63,5.63,5.63,5.63,000,5.63
2016-02-29,5.50,5.50,5.50,5.50,1900,5.50
2016-02-26,5.62,5.62,5.62,5.62,000,5.62
2016-02-25,5.50,5.50,5.50,5.50,8500,5.50
2016-02-24,5.50,5.50,5.50,5.50,3600,5.50
2016-02-23,5.61,5.61,5.61,5.61,000,5.61
2016-02-22,5.59,5.59,5.59,5.59,000,5.59
2016-02-19,5.59,5.59,5.59,5.59,000,5.59
2016-02-18,5.52,5.52,5.52,5.52,400,5.52
2016-02-17,5.52,5.52,5.52,5.52,1500,5.52
2016-02-16,5.58,5.58,5.58,5.58,000,5.58
2016-02-15,5.52,5.52,5.46,5.46,4300,5.46
2016-02-12,5.53,5.53,5.53,5.53,000,5.53
2016-02-11,5.53,5.53,5.53,5.53,000,5.53
2016-02-10,5.47,5.47,5.47,5.47,2700,5.47
2016-02-09,5.53,5.53,5.53,5.53,6900,5.53
2016-02-08,5.52,5.52,5.50,5.50,7500,5.50
2016-02-05,5.58,5.58,5.58,5.58,000,5.58
2016-02-04,5.57,5.57,5.57,5.57,000,5.57
2016-02-03,5.56,5.56,5.56,5.56,000,5.56
2016-02-02,5.56,5.56,5.56,5.56,000,5.56
2016-02-01,5.56,5.56,5.53,5.53,5000,5.53
2016-01-29,5.53,5.53,5.53,5.53,2000,5.53
2016-01-28,5.52,5.52,5.52,5.52,000,5.52
2016-01-27,5.52,5.52,5.52,5.52,2100,5.52
2016-01-26,5.50,5.50,5.50,5.50,000,5.50
2016-01-25,5.52,5.52,5.52,5.52,2200,5.52
2016-01-22,5.49,5.49,5.49,5.49,000,5.49
2016-01-21,5.51,5.51,5.51,5.51,000,5.51
2016-01-20,5.48,5.48,5.48,5.48,000,5.48
2016-01-19,5.40,5.40,5.40,5.40,2200,5.40
2016-01-18,5.42,5.42,5.42,5.42,600,5.42
2016-01-15,5.45,5.45,5.45,5.45,000,5.45
2016-01-14,5.41,5.41,5.41,5.41,000,5.41
2016-01-13,5.41,5.41,5.41,5.41,000,5.41
2016-01-12,5.40,5.40,5.40,5.40,000,5.40
2016-01-11,5.42,5.42,5.42,5.42,000,5.42
2016-01-08,5.42,5.42,5.42,5.42,000,5.42
2016-01-07,5.43,5.43,5.43,5.43,000,5.43
2016-01-06,5.46,5.46,5.46,5.46,000,5.46
