Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.027,0.03,0.026,0.027,2887900,0.027
2016-06-30,0.026,0.028,0.025,0.028,4001500,0.028
2016-06-29,0.025,0.025,0.025,0.025,000,0.025
2016-06-28,0.028,0.028,0.025,0.025,1223400,0.025
2016-06-27,0.026,0.028,0.026,0.026,862500,0.026
2016-06-24,0.028,0.028,0.025,0.026,3072000,0.026
2016-06-23,0.028,0.028,0.028,0.028,620900,0.028
2016-06-22,0.028,0.028,0.027,0.027,319700,0.027
2016-06-21,0.028,0.028,0.028,0.028,400000,0.028
2016-06-20,0.029,0.029,0.028,0.028,933100,0.028
2016-06-17,0.029,0.03,0.028,0.028,759400,0.028
2016-06-16,0.027,0.029,0.027,0.029,662200,0.029
2016-06-15,0.029,0.029,0.027,0.027,1155700,0.027
2016-06-14,0.028,0.029,0.028,0.029,840500,0.029
2016-06-13,0.028,0.028,0.028,0.028,000,0.028
2016-06-10,0.03,0.03,0.028,0.028,1241000,0.028
2016-06-09,0.031,0.031,0.029,0.029,1159700,0.029
2016-06-08,0.033,0.033,0.031,0.031,1825000,0.031
2016-06-07,0.029,0.033,0.029,0.031,7137500,0.031
2016-06-06,0.028,0.028,0.027,0.027,807300,0.027
2016-06-03,0.03,0.03,0.028,0.028,6500,0.028
2016-06-02,0.03,0.03,0.029,0.029,247700,0.029
2016-06-01,0.027,0.03,0.027,0.028,2300000,0.028
2016-05-31,0.025,0.026,0.025,0.026,806900,0.026
2016-05-30,0.027,0.027,0.026,0.026,500000,0.026
2016-05-27,0.027,0.027,0.027,0.027,000,0.027
2016-05-26,0.027,0.027,0.027,0.027,726400,0.027
2016-05-25,0.025,0.025,0.025,0.025,524200,0.025
2016-05-24,0.026,0.026,0.025,0.025,2190900,0.025
2016-05-23,0.027,0.028,0.025,0.025,3476500,0.025
2016-05-20,0.028,0.028,0.027,0.027,1413000,0.027
2016-05-19,0.029,0.03,0.029,0.029,1687200,0.029
2016-05-18,0.027,0.029,0.026,0.027,2671300,0.027
2016-05-17,0.028,0.028,0.027,0.027,3702200,0.027
2016-05-16,0.03,0.031,0.028,0.03,812500,0.03
2016-05-13,0.028,0.03,0.024,0.03,7624800,0.03
2016-05-12,0.029,0.03,0.027,0.027,2948000,0.027
2016-05-11,0.032,0.034,0.027,0.027,5963500,0.027
2016-05-10,0.027,0.032,0.027,0.03,3219300,0.03
2016-05-09,0.027,0.034,0.025,0.025,10604500,0.025
2016-05-06,0.023,0.03,0.023,0.026,7649600,0.026
2016-05-05,0.023,0.023,0.022,0.023,4480700,0.023
2016-05-04,0.022,0.027,0.022,0.022,19215800,0.022
2016-05-03,0.017,0.022,0.017,0.02,11966600,0.02
2016-05-02,0.017,0.017,0.016,0.016,220000,0.016
2016-04-29,0.016,0.016,0.016,0.016,000,0.016
2016-04-28,0.016,0.016,0.016,0.016,50200,0.016
2016-04-27,0.017,0.017,0.016,0.017,1019600,0.017
2016-04-26,0.018,0.018,0.017,0.017,2028900,0.017
2016-04-25,0.015,0.015,0.015,0.015,000,0.015
2016-04-22,0.017,0.017,0.015,0.015,1237500,0.015
2016-04-21,0.015,0.015,0.015,0.015,800,0.015
2016-04-20,0.015,0.015,0.015,0.015,1100,0.015
2016-04-19,0.017,0.018,0.016,0.016,389900,0.016
2016-04-18,0.017,0.017,0.017,0.017,223300,0.017
2016-04-15,0.017,0.018,0.017,0.017,454700,0.017
2016-04-14,0.017,0.018,0.017,0.017,388300,0.017
2016-04-13,0.016,0.018,0.016,0.017,430100,0.017
2016-04-12,0.017,0.017,0.015,0.015,799300,0.015
2016-04-11,0.017,0.017,0.017,0.017,679400,0.017
2016-04-08,0.016,0.016,0.016,0.016,500000,0.016
2016-04-07,0.016,0.016,0.016,0.016,1294600,0.016
2016-04-06,0.017,0.018,0.017,0.017,1124000,0.017
2016-04-05,0.017,0.018,0.016,0.016,500000,0.016
2016-04-04,0.02,0.02,0.017,0.017,2056400,0.017
2016-04-01,0.019,0.019,0.017,0.017,448400,0.017
2016-03-31,0.019,0.02,0.018,0.02,1187100,0.02
2016-03-30,0.018,0.018,0.018,0.018,423000,0.018
2016-03-29,0.019,0.019,0.018,0.018,648400,0.018
2016-03-28,0.02,0.02,0.02,0.02,000,0.02
