Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.009,0.0105,0.009,0.01,7858000,0.01
2016-06-30,0.01,0.01,0.009,0.009,2267300,0.009
2016-06-29,0.009,0.01,0.009,0.009,4796100,0.009
2016-06-28,0.011,0.011,0.008,0.009,25410400,0.009
2016-06-27,0.013,0.013,0.012,0.013,3479200,0.013
2016-06-24,0.014,0.015,0.013,0.013,16336900,0.013
2016-06-23,0.014,0.015,0.014,0.014,3978100,0.014
2016-06-22,0.014,0.014,0.014,0.014,2565800,0.014
2016-06-21,0.015,0.015,0.014,0.014,558100,0.014
2016-06-20,0.015,0.015,0.014,0.014,1634800,0.014
2016-06-17,0.014,0.015,0.014,0.015,146100,0.015
2016-06-16,0.015,0.0155,0.014,0.014,3425900,0.014
2016-06-15,0.016,0.016,0.015,0.015,3837400,0.015
2016-06-14,0.017,0.017,0.016,0.016,3315500,0.016
2016-06-13,0.017,0.017,0.017,0.017,000,0.017
2016-06-10,0.017,0.017,0.015,0.017,2398600,0.017
2016-06-09,0.016,0.016,0.015,0.015,2244200,0.015
2016-06-08,0.016,0.016,0.015,0.015,3514300,0.015
2016-06-07,0.017,0.017,0.016,0.016,6461600,0.016
2016-06-06,0.016,0.0165,0.015,0.016,8856600,0.016
2016-06-03,0.015,0.015,0.014,0.015,4525200,0.015
2016-06-02,0.013,0.014,0.013,0.013,3505300,0.013
2016-06-01,0.013,0.013,0.013,0.013,1787400,0.013
2016-05-31,0.014,0.014,0.013,0.013,375100,0.013
2016-05-30,0.014,0.015,0.013,0.013,6400800,0.013
2016-05-27,0.015,0.015,0.013,0.013,9106200,0.013
2016-05-26,0.015,0.015,0.014,0.015,560000,0.015
2016-05-25,0.014,0.0145,0.014,0.014,1619600,0.014
2016-05-24,0.015,0.015,0.014,0.014,5062200,0.014
2016-05-23,0.017,0.017,0.015,0.015,11284900,0.015
2016-05-20,0.016,0.016,0.015,0.015,12503300,0.015
2016-05-19,0.015,0.015,0.014,0.015,2261500,0.015
2016-05-18,0.014,0.015,0.013,0.015,5703800,0.015
2016-05-17,0.014,0.014,0.013,0.0135,862800,0.0135
2016-05-16,0.013,0.014,0.013,0.013,1988600,0.013
2016-05-13,0.013,0.013,0.013,0.013,2134500,0.013
2016-05-12,0.013,0.014,0.013,0.013,3757200,0.013
2016-05-11,0.013,0.0135,0.013,0.013,1429500,0.013
2016-05-10,0.013,0.0135,0.013,0.013,2163400,0.013
2016-05-09,0.014,0.014,0.012,0.014,2250300,0.014
2016-05-06,0.013,0.014,0.012,0.013,6220800,0.013
2016-05-05,0.013,0.0135,0.012,0.013,4626900,0.013
2016-05-04,0.013,0.013,0.013,0.013,3176700,0.013
2016-05-03,0.013,0.014,0.012,0.012,5907000,0.012
2016-05-02,0.014,0.014,0.013,0.013,3618700,0.013
2016-04-29,0.014,0.015,0.012,0.012,25219300,0.012
2016-04-28,0.014,0.015,0.013,0.013,5113000,0.013
2016-04-27,0.015,0.015,0.014,0.014,13312000,0.014
2016-04-26,0.017,0.017,0.015,0.015,8453400,0.015
2016-04-25,0.017,0.017,0.017,0.017,000,0.017
2016-04-22,0.016,0.018,0.016,0.017,20191300,0.017
2016-04-21,0.016,0.016,0.015,0.015,3485800,0.015
2016-04-20,0.016,0.0165,0.015,0.015,9880900,0.015
2016-04-19,0.015,0.0175,0.015,0.015,37394400,0.015
2016-04-18,0.013,0.0145,0.011,0.014,94105400,0.014
2016-04-15,0.024,0.026,0.023,0.023,9180000,0.023
2016-04-14,0.025,0.026,0.023,0.024,5831000,0.024
2016-04-13,0.025,0.025,0.023,0.024,8359200,0.024
2016-04-12,0.023,0.025,0.021,0.024,17178600,0.024
2016-04-11,0.024,0.025,0.021,0.021,20803700,0.021
2016-04-08,0.025,0.026,0.024,0.024,22227600,0.024
2016-04-07,0.029,0.03,0.025,0.026,15977100,0.026
2016-04-06,0.028,0.0295,0.027,0.028,23471600,0.028
2016-04-05,0.029,0.03,0.026,0.026,17781500,0.026
2016-04-04,0.028,0.031,0.027,0.029,30166800,0.029
2016-04-01,0.024,0.032,0.024,0.026,90250000,0.026
2016-03-31,0.024,0.024,0.024,0.024,000,0.024
2016-03-30,0.03,0.033,0.023,0.024,115048500,0.024
2016-03-29,0.017,0.037,0.017,0.033,224260500,0.033
2016-03-28,0.014,0.014,0.014,0.014,000,0.014
2016-03-25,0.014,0.014,0.014,0.014,000,0.014
2016-03-24,0.014,0.015,0.014,0.014,13938000,0.014
2016-03-23,0.014,0.014,0.013,0.013,7763500,0.013
2016-03-22,0.014,0.014,0.012,0.014,14295200,0.014
2016-03-21,0.013,0.015,0.012,0.012,37974400,0.012
2016-03-18,0.011,0.013,0.011,0.012,57977900,0.012
2016-03-17,0.009,0.009,0.008,0.008,1611800,0.008
2016-03-16,0.01,0.01,0.009,0.009,2036800,0.009
2016-03-15,0.009,0.01,0.009,0.01,2661800,0.01
2016-03-14,0.009,0.009,0.008,0.008,4281300,0.008
2016-03-11,0.008,0.008,0.008,0.008,000,0.008
2016-03-10,0.008,0.008,0.008,0.008,6066400,0.008
2016-03-09,0.008,0.008,0.008,0.008,000,0.008
2016-03-08,0.007,0.008,0.007,0.008,2016000,0.008
2016-03-07,0.007,0.008,0.007,0.007,1790000,0.007
2016-03-04,0.007,0.008,0.007,0.007,718000,0.007
2016-03-03,0.007,0.007,0.007,0.007,1590000,0.007
2016-03-02,0.007,0.007,0.007,0.007,1109900,0.007
2016-03-01,0.007,0.007,0.006,0.007,4059100,0.007
2016-02-29,0.007,0.007,0.007,0.007,1925700,0.007
2016-02-26,0.007,0.007,0.007,0.007,470000,0.007
2016-02-25,0.006,0.006,0.006,0.006,125000,0.006
