Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.565,0.57,0.56,0.56,127300,0.56
2016-06-30,0.55,0.565,0.55,0.565,146900,0.565
2016-06-29,0.54,0.56,0.54,0.545,255700,0.545
2016-06-28,0.59,0.59,0.54,0.54,399800,0.54
2016-06-27,0.605,0.615,0.57,0.58,604600,0.58
2016-06-24,0.615,0.615,0.595,0.60,512700,0.60
2016-06-23,0.61,0.615,0.61,0.615,90900,0.615
2016-06-22,0.615,0.615,0.605,0.615,198200,0.615
2016-06-21,0.615,0.615,0.605,0.615,56800,0.615
2016-06-20,0.595,0.615,0.59,0.615,172500,0.615
2016-06-17,0.597,0.60,0.585,0.59,240900,0.59
2016-06-16,0.61,0.615,0.595,0.60,110800,0.60
2016-06-15,0.595,0.62,0.59,0.615,169500,0.615
2016-06-14,0.63,0.635,0.595,0.595,292200,0.595
2016-06-13,0.635,0.635,0.635,0.635,000,0.635
2016-06-10,0.64,0.64,0.635,0.635,51600,0.635
2016-06-09,0.635,0.64,0.63,0.64,111300,0.64
2016-06-08,0.645,0.647,0.63,0.63,386400,0.63
2016-06-07,0.65,0.65,0.635,0.645,181600,0.645
2016-06-06,0.635,0.66,0.62,0.65,324200,0.65
2016-06-03,0.62,0.635,0.62,0.635,105400,0.635
2016-06-02,0.62,0.63,0.61,0.62,423900,0.62
2016-06-01,0.60,0.625,0.595,0.615,757700,0.615
2016-05-31,0.615,0.615,0.59,0.60,884100,0.60
2016-05-30,0.62,0.625,0.60,0.615,661800,0.615
2016-05-27,0.605,0.64,0.60,0.62,531800,0.62
2016-05-26,0.57,0.615,0.56,0.605,808200,0.605
2016-05-25,0.555,0.57,0.555,0.565,92100,0.565
2016-05-24,0.56,0.565,0.55,0.555,43400,0.555
2016-05-23,0.545,0.565,0.545,0.565,147300,0.565
2016-05-20,0.54,0.56,0.54,0.555,83900,0.555
2016-05-19,0.545,0.545,0.54,0.54,7900,0.54
2016-05-18,0.555,0.555,0.545,0.545,139200,0.545
2016-05-17,0.555,0.56,0.55,0.555,117000,0.555
2016-05-16,0.56,0.565,0.55,0.55,40100,0.55
2016-05-13,0.565,0.565,0.56,0.565,57800,0.565
2016-05-12,0.565,0.57,0.56,0.565,114400,0.565
2016-05-11,0.57,0.575,0.56,0.565,173300,0.565
2016-05-10,0.57,0.575,0.56,0.57,107100,0.57
2016-05-09,0.56,0.575,0.555,0.575,96900,0.575
2016-05-06,0.55,0.565,0.545,0.55,220900,0.55
2016-05-05,0.57,0.57,0.545,0.55,444900,0.55
2016-05-04,0.58,0.5925,0.565,0.57,1058300,0.57
2016-05-03,0.56,0.585,0.56,0.58,383400,0.58
2016-05-02,0.57,0.57,0.55,0.56,576600,0.56
2016-04-29,0.53,0.575,0.53,0.57,227000,0.57
2016-04-28,0.545,0.545,0.53,0.535,263500,0.535
2016-04-27,0.545,0.55,0.54,0.54,402900,0.54
2016-04-26,0.55,0.555,0.545,0.55,454100,0.55
2016-04-25,0.555,0.555,0.555,0.555,000,0.555
2016-04-22,0.555,0.56,0.55,0.555,194200,0.555
2016-04-21,0.56,0.565,0.55,0.56,388900,0.56
2016-04-20,0.58,0.582,0.565,0.565,277300,0.565
2016-04-19,0.58,0.585,0.575,0.58,175100,0.58
2016-04-18,0.57,0.58,0.56,0.58,244600,0.58
2016-04-15,0.57,0.585,0.57,0.57,155600,0.57
2016-04-14,0.575,0.575,0.56,0.57,476000,0.57
2016-04-13,0.59,0.59,0.57,0.57,374800,0.57
2016-04-12,0.59,0.59,0.585,0.59,383900,0.59
2016-04-11,0.58,0.59,0.58,0.585,473000,0.585
2016-04-08,0.585,0.585,0.57,0.58,217800,0.58
2016-04-07,0.585,0.585,0.57,0.58,523100,0.58
2016-04-06,0.55,0.595,0.55,0.575,1189100,0.575
2016-04-05,0.55,0.56,0.545,0.545,708300,0.545
2016-04-04,0.54,0.55,0.535,0.55,387900,0.55
2016-04-01,0.55,0.55,0.535,0.535,444600,0.535
2016-03-31,0.54,0.57,0.53,0.54,1936200,0.54
2016-03-30,0.47,0.49,0.465,0.49,428900,0.49
2016-03-29,0.51,0.51,0.485,0.485,531200,0.485
2016-03-28,0.51,0.51,0.51,0.51,000,0.51
2016-03-25,0.51,0.51,0.51,0.51,000,0.51
2016-03-24,0.52,0.52,0.51,0.51,147600,0.51
2016-03-23,0.52,0.525,0.52,0.525,50100,0.525
2016-03-22,0.54,0.54,0.51,0.52,112900,0.52
2016-03-21,0.53,0.53,0.51,0.52,339500,0.52
2016-03-18,0.55,0.555,0.53,0.53,834800,0.53
2016-03-17,0.545,0.565,0.54,0.545,1213200,0.545
2016-03-16,0.51,0.545,0.505,0.545,2144700,0.545
2016-03-15,0.51,0.515,0.49,0.51,323400,0.51
2016-03-14,0.515,0.515,0.495,0.505,59800,0.505
2016-03-11,0.50,0.52,0.495,0.505,229700,0.505
2016-03-10,0.49,0.505,0.48,0.50,613200,0.50
2016-03-09,0.515,0.52,0.495,0.495,424200,0.495
2016-03-08,0.51,0.53,0.50,0.515,590000,0.515
2016-03-07,0.50,0.51,0.50,0.51,343300,0.51
2016-03-04,0.50,0.51,0.485,0.50,911100,0.50
2016-03-03,0.47,0.51,0.47,0.51,1411300,0.51
2016-03-02,0.46,0.47,0.455,0.47,459500,0.47
2016-03-01,0.455,0.455,0.45,0.45,248200,0.45
2016-02-29,0.46,0.46,0.445,0.455,149200,0.455
2016-02-26,0.45,0.46,0.45,0.46,714400,0.46
2016-02-25,0.43,0.475,0.43,0.45,1435500,0.45
2016-02-24,0.41,0.44,0.405,0.425,784100,0.425
2016-02-23,0.415,0.415,0.41,0.415,24500,0.415
2016-02-22,0.405,0.425,0.405,0.415,158800,0.415
2016-02-19,0.39,0.40,0.39,0.40,859000,0.40
2016-02-18,0.385,0.385,0.385,0.385,320000,0.385
2016-02-17,0.39,0.39,0.38,0.38,161600,0.38
2016-02-16,0.39,0.39,0.38,0.38,115000,0.38
2016-02-15,0.385,0.385,0.38,0.38,275700,0.38
2016-02-12,0.38,0.39,0.38,0.38,794800,0.38
2016-02-11,0.38,0.385,0.375,0.385,391400,0.385
2016-02-10,0.375,0.385,0.37,0.385,890700,0.385
2016-02-09,0.385,0.385,0.375,0.385,966300,0.385
2016-02-08,0.38,0.39,0.38,0.39,22500,0.39
2016-02-05,0.38,0.39,0.38,0.39,61800,0.39
2016-02-04,0.38,0.385,0.38,0.38,35100,0.38
2016-02-03,0.382,0.382,0.38,0.38,294700,0.38
2016-02-02,0.38,0.385,0.38,0.38,959400,0.38
2016-02-01,0.38,0.385,0.38,0.38,699900,0.38
2016-01-29,0.385,0.39,0.38,0.38,307700,0.38
2016-01-28,0.38,0.39,0.38,0.385,494000,0.385
2016-01-27,0.38,0.38,0.375,0.38,292300,0.38
2016-01-26,0.38,0.38,0.38,0.38,000,0.38
2016-01-25,0.38,0.38,0.38,0.38,728300,0.38
2016-01-22,0.38,0.38,0.38,0.38,000,0.38
2016-01-21,0.38,0.38,0.38,0.38,000,0.38
2016-01-20,0.38,0.38,0.375,0.38,141000,0.38
2016-01-19,0.375,0.38,0.375,0.38,51700,0.38
2016-01-18,0.38,0.38,0.375,0.375,263800,0.375
2016-01-15,0.385,0.385,0.38,0.38,307200,0.38
2016-01-14,0.39,0.39,0.38,0.38,967700,0.38
2016-01-13,0.39,0.39,0.385,0.385,147700,0.385
2016-01-12,0.39,0.39,0.385,0.39,139600,0.39
