Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.092,0.095,0.091,0.095,391800,0.095
2016-06-30,0.092,0.096,0.091,0.092,599400,0.092
2016-06-29,0.098,0.098,0.09,0.092,3179400,0.092
2016-06-28,0.093,0.099,0.093,0.095,1362600,0.095
2016-06-27,0.093,0.094,0.091,0.092,864300,0.092
2016-06-24,0.094,0.094,0.091,0.091,819900,0.091
2016-06-23,0.095,0.096,0.094,0.094,716500,0.094
2016-06-22,0.095,0.095,0.093,0.093,319000,0.093
2016-06-21,0.097,0.097,0.094,0.095,657000,0.095
2016-06-20,0.095,0.097,0.095,0.097,332900,0.097
2016-06-17,0.10,0.10,0.096,0.096,947800,0.096
2016-06-16,0.10,0.10,0.098,0.10,2122900,0.10
2016-06-15,0.115,0.115,0.115,0.115,000,0.115
2016-06-14,0.115,0.115,0.115,0.115,000,0.115
2016-06-13,0.115,0.115,0.115,0.115,000,0.115
2016-06-10,0.115,0.115,0.11,0.115,233700,0.115
2016-06-09,0.115,0.12,0.11,0.115,843400,0.115
2016-06-08,0.115,0.115,0.11,0.11,678400,0.11
2016-06-07,0.115,0.115,0.105,0.11,897400,0.11
2016-06-06,0.11,0.11,0.11,0.11,5175300,0.11
2016-06-03,0.11,0.11,0.105,0.11,198200,0.11
2016-06-02,0.105,0.11,0.10,0.10,127400,0.10
2016-06-01,0.105,0.11,0.105,0.11,560100,0.11
2016-05-31,0.11,0.11,0.105,0.105,564000,0.105
2016-05-30,0.105,0.11,0.105,0.11,197500,0.11
2016-05-27,0.11,0.11,0.105,0.105,157800,0.105
2016-05-26,0.099,0.115,0.098,0.11,1912300,0.11
2016-05-25,0.10,0.10,0.098,0.099,1651500,0.099
2016-05-24,0.105,0.105,0.099,0.099,1932300,0.099
2016-05-23,0.11,0.11,0.105,0.105,276000,0.105
2016-05-20,0.11,0.11,0.107,0.11,46200,0.11
2016-05-19,0.11,0.11,0.105,0.11,1129300,0.11
2016-05-18,0.115,0.115,0.11,0.115,1922900,0.115
2016-05-17,0.125,0.125,0.11,0.12,2516000,0.12
2016-05-16,0.125,0.125,0.122,0.125,721000,0.125
2016-05-13,0.125,0.13,0.125,0.125,836000,0.125
2016-05-12,0.125,0.13,0.125,0.13,1428700,0.13
2016-05-11,0.13,0.13,0.127,0.13,535300,0.13
2016-05-10,0.135,0.135,0.13,0.13,981900,0.13
2016-05-09,0.135,0.135,0.13,0.13,373300,0.13
2016-05-06,0.135,0.135,0.132,0.135,100500,0.135
2016-05-05,0.135,0.135,0.13,0.13,844800,0.13
2016-05-04,0.135,0.14,0.135,0.135,1679000,0.135
2016-05-03,0.135,0.135,0.13,0.13,199100,0.13
2016-05-02,0.135,0.135,0.135,0.135,1479100,0.135
2016-04-29,0.14,0.14,0.135,0.135,964500,0.135
2016-04-28,0.15,0.15,0.135,0.14,1589600,0.14
2016-04-27,0.15,0.15,0.145,0.145,663100,0.145
2016-04-26,0.15,0.155,0.15,0.15,1590100,0.15
2016-04-25,0.15,0.15,0.15,0.15,000,0.15
2016-04-22,0.145,0.155,0.145,0.15,2879000,0.15
2016-04-21,0.13,0.14,0.13,0.14,603300,0.14
2016-04-20,0.135,0.14,0.13,0.13,607000,0.13
2016-04-19,0.135,0.14,0.13,0.13,833200,0.13
2016-04-18,0.135,0.135,0.13,0.13,457200,0.13
2016-04-15,0.13,0.135,0.13,0.135,524100,0.135
2016-04-14,0.14,0.14,0.13,0.13,929400,0.13
2016-04-13,0.135,0.145,0.135,0.14,1462700,0.14
2016-04-12,0.14,0.14,0.13,0.135,672200,0.135
2016-04-11,0.14,0.145,0.13,0.135,1708000,0.135
2016-04-08,0.12,0.13,0.12,0.13,666300,0.13
2016-04-07,0.12,0.125,0.12,0.12,1043600,0.12
2016-04-06,0.12,0.125,0.12,0.125,826700,0.125
2016-04-05,0.12,0.125,0.12,0.125,2950400,0.125
2016-04-04,0.115,0.12,0.11,0.115,1135100,0.115
