Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,2.38,2.49,2.32,2.35,117900,2.35
2016-06-30,2.34,2.365,2.325,2.36,297100,2.36
2016-06-29,2.36,2.39,2.32,2.35,77700,2.35
2016-06-28,2.35,2.38,2.325,2.36,553200,2.3232
2016-06-27,2.36,2.36,2.30,2.32,341100,2.28382
2016-06-24,2.34,2.37,2.28,2.37,252800,2.33304
2016-06-23,2.32,2.36,2.31,2.32,76300,2.28382
2016-06-22,2.315,2.34,2.28,2.31,319300,2.27398
2016-06-21,2.32,2.35,2.30,2.33,1139500,2.29367
2016-06-20,2.33,2.33,2.30,2.32,137300,2.28382
2016-06-17,2.32,2.36,2.30,2.32,158300,2.28382
2016-06-16,2.32,2.35,2.31,2.33,179200,2.29367
2016-06-15,2.31,2.355,2.31,2.325,31300,2.28875
2016-06-14,2.34,2.35,2.31,2.34,206000,2.30351
2016-06-13,2.34,2.34,2.34,2.34,000,2.30351
2016-06-10,2.33,2.35,2.29,2.34,143800,2.30351
2016-06-09,2.30,2.35,2.27,2.28,340100,2.24445
2016-06-08,2.30,2.30,2.27,2.30,230100,2.26414
2016-06-07,2.27,2.37,2.27,2.30,2021600,2.26414
2016-06-06,2.27,2.28,2.24,2.27,355500,2.2346
2016-06-03,2.26,2.28,2.24,2.27,439100,2.2346
2016-06-02,2.25,2.27,2.24,2.26,213000,2.22476
2016-06-01,2.24,2.265,2.22,2.26,158500,2.22476
2016-05-31,2.25,2.27,2.24,2.26,789100,2.22476
2016-05-30,2.27,2.29,2.24,2.26,265700,2.22476
2016-05-27,2.26,2.27,2.24,2.26,541000,2.22476
2016-05-26,2.24,2.27,2.23,2.26,198600,2.22476
2016-05-25,2.24,2.24,2.22,2.23,562100,2.19523
2016-05-24,2.24,2.25,2.225,2.24,331900,2.20507
2016-05-23,2.24,2.28,2.23,2.25,477000,2.21492
2016-05-20,2.25,2.26,2.21,2.25,266200,2.21492
2016-05-19,2.24,2.29,2.24,2.25,413600,2.21492
2016-05-18,2.21,2.28,2.19,2.24,769100,2.20507
2016-05-17,2.19,2.24,2.19,2.23,1628200,2.19523
2016-05-16,2.19,2.22,2.18,2.20,1381500,2.16569
2016-05-13,2.20,2.20,2.18,2.20,574200,2.16569
2016-05-12,2.25,2.27,2.19,2.20,479000,2.16569
2016-05-11,2.25,2.29,2.20,2.25,360700,2.21492
2016-05-10,2.22,2.30,2.22,2.27,340500,2.2346
2016-05-09,2.18,2.22,2.18,2.22,1808700,2.18538
2016-05-06,2.16,2.195,2.15,2.17,532700,2.13616
2016-05-05,2.16,2.21,2.16,2.17,1196900,2.13616
2016-05-04,2.15,2.18,2.15,2.16,112800,2.12632
2016-05-03,2.12,2.18,2.09,2.16,834300,2.12632
2016-05-02,2.14304,2.14304,2.14304,2.14304,000,2.10962
2016-04-29,2.16289,2.16289,2.14304,2.14304,16500,2.10962
