Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.21,0.21,0.19,0.20,909800,0.20
2016-06-30,0.205,0.215,0.185,0.20,1563800,0.20
2016-06-29,0.215,0.235,0.19,0.19,2844100,0.19
2016-06-28,0.18,0.245,0.175,0.21,7991100,0.21
2016-06-27,0.14,0.175,0.14,0.17,3249500,0.17
2016-06-24,0.13,0.135,0.13,0.13,425500,0.13
2016-06-23,0.135,0.135,0.13,0.13,228200,0.13
2016-06-22,0.135,0.135,0.13,0.135,393600,0.135
2016-06-21,0.13,0.135,0.13,0.135,370000,0.135
2016-06-20,0.125,0.13,0.125,0.13,511100,0.13
2016-06-17,0.135,0.135,0.12,0.125,896600,0.125
2016-06-16,0.135,0.14,0.13,0.13,288800,0.13
2016-06-15,0.14,0.14,0.125,0.125,1732200,0.125
2016-06-14,0.15,0.15,0.13,0.15,1088900,0.15
2016-06-13,0.15,0.15,0.15,0.15,000,0.15
2016-06-10,0.15,0.155,0.15,0.15,232600,0.15
2016-06-09,0.15,0.15,0.15,0.15,392100,0.15
2016-06-08,0.155,0.155,0.15,0.15,267000,0.15
2016-06-07,0.155,0.155,0.145,0.15,233600,0.15
2016-06-06,0.15,0.155,0.15,0.15,356500,0.15
2016-06-03,0.15,0.155,0.15,0.155,157500,0.155
2016-06-02,0.155,0.155,0.15,0.15,300600,0.15
2016-06-01,0.155,0.155,0.145,0.155,631300,0.155
2016-05-31,0.155,0.155,0.15,0.152,222300,0.152
2016-05-30,0.16,0.16,0.15,0.15,529800,0.15
2016-05-27,0.165,0.165,0.16,0.16,67600,0.16
2016-05-26,0.165,0.17,0.165,0.165,231300,0.165
2016-05-25,0.165,0.165,0.16,0.165,211700,0.165
2016-05-24,0.155,0.16,0.155,0.16,151100,0.16
2016-05-23,0.16,0.165,0.155,0.155,435200,0.155
2016-05-20,0.155,0.16,0.155,0.155,95000,0.155
2016-05-19,0.16,0.16,0.155,0.16,101000,0.16
2016-05-18,0.155,0.16,0.155,0.155,342900,0.155
2016-05-17,0.155,0.16,0.155,0.155,146500,0.155
2016-05-16,0.16,0.16,0.155,0.155,167900,0.155
2016-05-13,0.16,0.16,0.155,0.155,113700,0.155
2016-05-12,0.175,0.175,0.155,0.155,338400,0.155
2016-05-11,0.165,0.17,0.165,0.17,112800,0.17
2016-05-10,0.17,0.17,0.16,0.16,415300,0.16
2016-05-09,0.175,0.18,0.17,0.17,456600,0.17
2016-05-06,0.16,0.18,0.157,0.18,339700,0.18
2016-05-05,0.155,0.16,0.155,0.16,256400,0.16
2016-05-04,0.16,0.17,0.155,0.155,189000,0.155
2016-05-03,0.16,0.16,0.155,0.155,230500,0.155
2016-05-02,0.16,0.165,0.16,0.16,576100,0.16
2016-04-29,0.165,0.165,0.16,0.165,251700,0.165
2016-04-28,0.165,0.17,0.165,0.165,111800,0.165
2016-04-27,0.17,0.175,0.165,0.175,491000,0.175
2016-04-26,0.18,0.18,0.17,0.17,431600,0.17
2016-04-25,0.175,0.175,0.175,0.175,000,0.175
2016-04-22,0.17,0.18,0.17,0.175,798200,0.175
2016-04-21,0.18,0.18,0.165,0.165,790200,0.165
2016-04-20,0.175,0.18,0.17,0.18,638200,0.18
2016-04-19,0.16,0.17,0.16,0.16,853500,0.16
2016-04-18,0.14,0.155,0.14,0.155,957900,0.155
2016-04-15,0.145,0.15,0.14,0.14,925900,0.14
2016-04-14,0.155,0.155,0.145,0.145,695200,0.145
2016-04-13,0.165,0.165,0.15,0.15,1117100,0.15
2016-04-12,0.16,0.17,0.16,0.16,726700,0.16
2016-04-11,0.19,0.19,0.14,0.155,4136700,0.155
2016-04-08,0.20,0.20,0.19,0.19,613700,0.19
2016-04-07,0.195,0.20,0.195,0.195,608700,0.195
2016-04-06,0.205,0.205,0.19,0.19,2999700,0.19
2016-04-05,0.20,0.21,0.195,0.205,1504700,0.205
2016-04-04,0.205,0.215,0.195,0.195,5730700,0.195
2016-04-01,0.20,0.21,0.16,0.19,16015900,0.19
2016-03-31,0.38,0.38,0.38,0.38,000,0.38
2016-03-30,0.38,0.38,0.38,0.38,000,0.38
2016-03-29,0.38,0.38,0.38,0.38,000,0.38
2016-03-28,0.38,0.38,0.38,0.38,000,0.38
2016-03-25,0.38,0.38,0.38,0.38,000,0.38
2016-03-24,0.38,0.38,0.38,0.38,000,0.38
