Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.03,0.031,0.03,0.03,117700,0.03
2016-06-30,0.031,0.031,0.03,0.03,40800,0.03
2016-06-29,0.026,0.031,0.026,0.03,659900,0.03
2016-06-28,0.022,0.023,0.022,0.023,20700,0.023
2016-06-27,0.024,0.024,0.021,0.021,432000,0.021
2016-06-24,0.022,0.026,0.022,0.026,961600,0.026
2016-06-23,0.021,0.021,0.021,0.021,12500,0.021
2016-06-22,0.022,0.022,0.021,0.021,109700,0.021
2016-06-21,0.022,0.022,0.022,0.022,94200,0.022
2016-06-20,0.022,0.022,0.022,0.022,000,0.022
2016-06-17,0.022,0.022,0.022,0.022,229200,0.022
2016-06-16,0.02,0.021,0.02,0.021,52100,0.021
2016-06-15,0.02,0.02,0.02,0.02,000,0.02
2016-06-14,0.02,0.02,0.02,0.02,000,0.02
2016-06-13,0.02,0.02,0.02,0.02,000,0.02
2016-06-10,0.02,0.02,0.02,0.02,106400,0.02
2016-06-09,0.016,0.017,0.016,0.017,14600,0.017
2016-06-08,0.017,0.017,0.017,0.017,6200,0.017
2016-06-07,0.017,0.018,0.017,0.017,197400,0.017
2016-06-06,0.018,0.018,0.017,0.017,164500,0.017
2016-06-03,0.018,0.018,0.018,0.018,800,0.018
2016-06-02,0.018,0.018,0.018,0.018,300,0.018
2016-06-01,0.018,0.02,0.018,0.02,109200,0.02
2016-05-31,0.02,0.02,0.019,0.019,56600,0.019
2016-05-30,0.02,0.02,0.017,0.017,750200,0.017
2016-05-27,0.02,0.02,0.02,0.02,1100,0.02
2016-05-26,0.023,0.023,0.02,0.02,20600,0.02
2016-05-25,0.023,0.023,0.02,0.02,158200,0.02
2016-05-24,0.023,0.023,0.023,0.023,5500,0.023
2016-05-23,0.024,0.024,0.023,0.023,48700,0.023
2016-05-20,0.023,0.024,0.023,0.024,41700,0.024
2016-05-19,0.022,0.022,0.022,0.022,000,0.022
2016-05-18,0.022,0.022,0.022,0.022,50000,0.022
2016-05-17,0.021,0.021,0.021,0.021,000,0.021
2016-05-16,0.021,0.021,0.021,0.021,000,0.021
2016-05-13,0.021,0.021,0.021,0.021,000,0.021
2016-05-12,0.021,0.021,0.021,0.021,200,0.021
2016-05-11,0.025,0.025,0.025,0.025,000,0.025
2016-05-10,0.025,0.025,0.025,0.025,47500,0.025
2016-05-09,0.026,0.026,0.026,0.026,25000,0.026
2016-05-06,0.026,0.026,0.026,0.026,40000,0.026
2016-05-05,0.025,0.025,0.025,0.025,000,0.025
2016-05-04,0.025,0.025,0.025,0.025,11600,0.025
2016-05-03,0.023,0.023,0.023,0.023,104700,0.023
2016-05-02,0.023,0.023,0.023,0.023,3900,0.023
2016-04-29,0.024,0.024,0.023,0.023,62800,0.023
2016-04-28,0.024,0.024,0.024,0.024,7800,0.024
2016-04-27,0.024,0.024,0.024,0.024,129100,0.024
2016-04-26,0.023,0.024,0.023,0.024,223900,0.024
2016-04-25,0.023,0.023,0.023,0.023,000,0.023
2016-04-22,0.023,0.023,0.023,0.023,400,0.023
2016-04-21,0.023,0.023,0.023,0.023,75000,0.023
2016-04-20,0.025,0.025,0.023,0.023,416500,0.023
2016-04-19,0.025,0.026,0.025,0.026,119400,0.026
2016-04-18,0.025,0.025,0.025,0.025,3900,0.025
2016-04-15,0.026,0.026,0.023,0.023,28200,0.023
2016-04-14,0.025,0.025,0.025,0.025,25700,0.025
2016-04-13,0.025,0.026,0.025,0.025,254200,0.025
2016-04-12,0.025,0.025,0.025,0.025,52800,0.025
2016-04-11,0.025,0.025,0.025,0.025,1100,0.025
2016-04-08,0.028,0.03,0.025,0.025,97100,0.025
2016-04-07,0.028,0.028,0.028,0.028,38000,0.028
2016-04-06,0.026,0.026,0.025,0.025,54300,0.025
2016-04-05,0.024,0.025,0.024,0.024,161000,0.024
2016-04-04,0.03,0.03,0.03,0.03,000,0.03
2016-04-01,0.03,0.03,0.03,0.03,1300,0.03
2016-03-31,0.031,0.031,0.03,0.03,148300,0.03
2016-03-30,0.033,0.033,0.031,0.031,251500,0.031
2016-03-29,0.034,0.034,0.034,0.034,14800,0.034
2016-03-28,0.033,0.033,0.033,0.033,000,0.033
2016-03-25,0.033,0.033,0.033,0.033,000,0.033
2016-03-24,0.03,0.033,0.03,0.033,10400,0.033
2016-03-23,0.032,0.032,0.032,0.032,12300,0.032
2016-03-22,0.034,0.036,0.033,0.033,177800,0.033
2016-03-21,0.033,0.035,0.033,0.035,123200,0.035
2016-03-18,0.039,0.039,0.034,0.034,36700,0.034
2016-03-17,0.039,0.039,0.039,0.039,7500,0.039
2016-03-16,0.039,0.039,0.039,0.039,000,0.039
2016-03-15,0.039,0.039,0.039,0.039,000,0.039
2016-03-14,0.039,0.039,0.039,0.039,000,0.039
2016-03-11,0.039,0.039,0.039,0.039,000,0.039
2016-03-10,0.039,0.039,0.039,0.039,1900,0.039
2016-03-09,0.035,0.037,0.034,0.037,54100,0.037
2016-03-08,0.035,0.035,0.034,0.035,367700,0.035
2016-03-07,0.035,0.035,0.035,0.035,000,0.035
2016-03-04,0.035,0.035,0.035,0.035,4300,0.035
2016-03-03,0.035,0.035,0.035,0.035,2000,0.035
2016-03-02,0.036,0.036,0.035,0.035,46600,0.035
