Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.012,0.013,0.012,0.013,2988500,0.013
2016-06-30,0.012,0.012,0.012,0.012,000,0.012
2016-06-29,0.012,0.012,0.012,0.012,3410000,0.012
2016-06-28,0.012,0.012,0.011,0.011,3567000,0.011
2016-06-27,0.012,0.012,0.012,0.012,500000,0.012
2016-06-24,0.011,0.011,0.011,0.011,700000,0.011
2016-06-23,0.011,0.011,0.011,0.011,000,0.011
2016-06-22,0.011,0.011,0.011,0.011,978300,0.011
2016-06-21,0.011,0.011,0.01,0.01,418200,0.01
2016-06-20,0.012,0.012,0.012,0.012,000,0.012
2016-06-17,0.012,0.012,0.012,0.012,300000,0.012
2016-06-16,0.011,0.011,0.011,0.011,606900,0.011
2016-06-15,0.011,0.011,0.011,0.011,000,0.011
2016-06-14,0.011,0.011,0.011,0.011,500000,0.011
2016-06-13,0.01,0.01,0.01,0.01,000,0.01
2016-06-10,0.01,0.01,0.01,0.01,000,0.01
2016-06-09,0.01,0.01,0.01,0.01,000,0.01
2016-06-08,0.01,0.01,0.01,0.01,150000,0.01
2016-06-07,0.011,0.011,0.011,0.011,1500000,0.011
2016-06-06,0.011,0.011,0.011,0.011,1338300,0.011
2016-06-03,0.011,0.011,0.011,0.011,1100000,0.011
2016-06-02,0.01,0.01,0.009,0.009,2000000,0.009
2016-06-01,0.009,0.01,0.009,0.01,429900,0.01
2016-05-31,0.01,0.01,0.01,0.01,100000,0.01
2016-05-30,0.01,0.01,0.01,0.01,000,0.01
2016-05-27,0.01,0.01,0.01,0.01,000,0.01
2016-05-26,0.01,0.01,0.01,0.01,000,0.01
2016-05-25,0.01,0.01,0.01,0.01,250000,0.01
2016-05-24,0.01,0.01,0.01,0.01,500000,0.01
2016-05-23,0.011,0.011,0.011,0.011,000,0.011
2016-05-20,0.011,0.011,0.011,0.011,195000,0.011
2016-05-19,0.01,0.01,0.01,0.01,600000,0.01
2016-05-18,0.011,0.011,0.011,0.011,200000,0.011
2016-05-17,0.011,0.011,0.011,0.011,2000000,0.011
2016-05-16,0.012,0.012,0.011,0.011,3006900,0.011
2016-05-13,0.01,0.013,0.01,0.012,5661900,0.012
2016-05-12,0.009,0.01,0.009,0.01,1583300,0.01
2016-05-11,0.009,0.009,0.009,0.009,2201500,0.009
2016-05-10,0.008,0.008,0.008,0.008,000,0.008
2016-05-09,0.008,0.008,0.008,0.008,000,0.008
