Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,1.305,1.37,1.29,1.33,10259300,1.33
2016-06-30,1.27,1.325,1.27,1.295,9371400,1.295
2016-06-29,1.27,1.2975,1.262,1.275,8377600,1.275
2016-06-28,1.25,1.262,1.21,1.25,17415200,1.25
2016-06-27,1.285,1.29,1.25,1.285,9936900,1.285
2016-06-24,1.35,1.362,1.282,1.305,10394700,1.305
2016-06-23,1.34,1.355,1.325,1.35,6862500,1.35
2016-06-22,1.335,1.35,1.315,1.325,7976300,1.325
2016-06-21,1.335,1.355,1.33,1.335,7299800,1.335
2016-06-20,1.33,1.347,1.307,1.335,10939000,1.335
2016-06-17,1.32,1.335,1.302,1.32,12908600,1.32
2016-06-16,1.36,1.3625,1.275,1.31,23444800,1.31
2016-06-15,1.39,1.395,1.36,1.365,9406000,1.365
2016-06-14,1.40,1.41,1.36,1.395,16700000,1.395
2016-06-13,1.43,1.43,1.43,1.43,000,1.43
2016-06-10,1.435,1.45,1.415,1.43,5041800,1.43
2016-06-09,1.44,1.475,1.432,1.445,5823800,1.445
2016-06-08,1.455,1.465,1.435,1.455,9087600,1.455
2016-06-07,1.455,1.475,1.445,1.46,5947100,1.46
2016-06-06,1.36,1.46,1.355,1.455,18813100,1.455
2016-06-03,1.35,1.39,1.345,1.385,9353200,1.385
2016-06-02,1.40,1.40,1.302,1.35,22784100,1.35
2016-06-01,1.405,1.41,1.365,1.385,15959700,1.385
2016-05-31,1.42,1.43,1.382,1.415,29782900,1.415
2016-05-30,1.43,1.45,1.38,1.435,8919400,1.435
2016-05-27,1.44,1.4575,1.422,1.435,9152400,1.435
2016-05-26,1.42,1.44,1.40,1.43,7613900,1.43
2016-05-25,1.43,1.45,1.42,1.42,5830300,1.42
2016-05-24,1.445,1.457,1.41,1.415,9290600,1.415
2016-05-23,1.44,1.455,1.405,1.43,8080700,1.43
2016-05-20,1.385,1.437,1.365,1.425,12155700,1.425
2016-05-19,1.41,1.412,1.362,1.38,15521800,1.38
2016-05-18,1.395,1.425,1.387,1.405,8542300,1.405
2016-05-17,1.355,1.40,1.355,1.395,5758500,1.395
2016-05-16,1.33,1.3675,1.32,1.355,14341600,1.355
2016-05-13,1.35,1.3525,1.32,1.34,8579900,1.34
2016-05-12,1.345,1.37,1.332,1.345,14645900,1.345
2016-05-11,1.33,1.345,1.31,1.325,15475900,1.325
2016-05-10,1.34,1.345,1.29,1.305,31165500,1.305
2016-05-09,1.41,1.4275,1.365,1.385,8752900,1.385
2016-05-06,1.395,1.475,1.38,1.40,25786400,1.40
2016-05-05,1.405,1.435,1.37,1.40,20551800,1.40
2016-05-04,1.53,1.53,1.39,1.44,36605400,1.44
2016-05-03,1.525,1.575,1.502,1.57,18445200,1.57
2016-05-02,1.485,1.545,1.475,1.535,27750000,1.535
2016-04-29,1.51,1.51,1.462,1.495,15098600,1.495
2016-04-28,1.51,1.53,1.485,1.515,15513500,1.515
2016-04-27,1.45,1.50,1.44,1.49,18885500,1.49
2016-04-26,1.42,1.487,1.417,1.445,21044200,1.445
2016-04-25,1.41,1.41,1.41,1.41,000,1.41
2016-04-22,1.40,1.44,1.397,1.41,10387400,1.41
2016-04-21,1.475,1.48,1.392,1.435,17630800,1.435
2016-04-20,1.43,1.4725,1.425,1.45,19084900,1.45
2016-04-19,1.395,1.4275,1.39,1.42,10882800,1.42
2016-04-18,1.365,1.38,1.35,1.37,4196600,1.37
2016-04-15,1.36,1.375,1.357,1.365,9674800,1.365
2016-04-14,1.345,1.39,1.335,1.375,27805100,1.375
2016-04-13,1.32,1.345,1.307,1.32,20893900,1.32
2016-04-12,1.21,1.29,1.205,1.28,10052600,1.28
2016-04-11,1.26,1.265,1.19,1.225,9523100,1.225
2016-04-08,1.29,1.295,1.24,1.275,6841400,1.275
2016-04-07,1.30,1.32,1.295,1.305,5359200,1.305
2016-04-06,1.295,1.315,1.285,1.30,7626500,1.30
2016-04-05,1.30,1.3075,1.29,1.30,8128900,1.30
2016-04-04,1.31,1.325,1.292,1.31,8672600,1.31
2016-04-01,1.31,1.315,1.285,1.31,5107200,1.31
2016-03-31,1.32,1.325,1.295,1.30,7105300,1.30
2016-03-30,1.315,1.33,1.29,1.30,6720300,1.30
2016-03-29,1.28,1.33,1.27,1.29,10937500,1.29
2016-03-28,1.295,1.295,1.295,1.295,000,1.295
2016-03-25,1.295,1.295,1.295,1.295,000,1.295
2016-03-24,1.295,1.305,1.265,1.295,9098300,1.295
2016-03-23,1.345,1.3575,1.315,1.33,13441400,1.33
2016-03-22,1.33,1.33,1.285,1.325,10588100,1.325
2016-03-21,1.325,1.345,1.31,1.32,6999200,1.32
2016-03-18,1.375,1.375,1.33,1.33,8096400,1.33
2016-03-17,1.345,1.375,1.33,1.35,9656600,1.35
2016-03-16,1.32,1.35,1.31,1.325,7107800,1.325
