Date,Open,High,Low,Close,Volume,Adj Close
2016-02-22,0.078,0.078,0.078,0.078,000,0.078
2016-02-19,0.078,0.078,0.078,0.078,000,0.078
2016-02-18,0.078,0.078,0.078,0.078,000,0.078
2016-02-17,0.078,0.078,0.078,0.078,000,0.078
2016-02-16,0.078,0.078,0.078,0.078,000,0.078
2016-02-15,0.078,0.078,0.078,0.078,000,0.078
2016-02-12,0.078,0.078,0.078,0.078,000,0.078
2016-02-11,0.078,0.078,0.078,0.078,000,0.078
2016-02-10,0.078,0.078,0.078,0.078,000,0.078
2016-02-09,0.078,0.078,0.078,0.078,000,0.078
2016-02-08,0.078,0.078,0.078,0.078,000,0.078
2016-02-05,0.078,0.078,0.078,0.078,000,0.078
2016-02-04,0.078,0.078,0.078,0.078,000,0.078
2016-02-03,0.078,0.078,0.078,0.078,000,0.078
2016-02-02,0.078,0.078,0.078,0.078,000,0.078
2016-02-01,0.078,0.078,0.078,0.078,000,0.078
2016-01-29,0.078,0.078,0.078,0.078,000,0.078
2016-01-28,0.078,0.078,0.078,0.078,000,0.078
2016-01-27,0.078,0.078,0.078,0.078,000,0.078
2016-01-26,0.078,0.078,0.078,0.078,000,0.078
2016-01-25,0.078,0.078,0.078,0.078,000,0.078
2016-01-22,0.078,0.078,0.078,0.078,000,0.078
2016-01-21,0.078,0.078,0.078,0.078,000,0.078
2016-01-20,0.078,0.078,0.078,0.078,000,0.078
2016-01-19,0.078,0.078,0.078,0.078,000,0.078
2016-01-18,0.078,0.078,0.078,0.078,000,0.078
2016-01-15,0.078,0.078,0.078,0.078,000,0.078
2016-01-14,0.078,0.078,0.078,0.078,000,0.078
2016-01-13,0.078,0.078,0.078,0.078,000,0.078
2016-01-12,0.078,0.078,0.078,0.078,000,0.078
2016-01-11,0.078,0.078,0.078,0.078,000,0.078
2016-01-08,0.078,0.078,0.078,0.078,000,0.078
2016-01-07,0.078,0.078,0.078,0.078,000,0.078
2016-01-06,0.078,0.078,0.078,0.078,000,0.078
2016-01-05,0.078,0.078,0.078,0.078,000,0.078
2016-01-04,0.078,0.078,0.078,0.078,000,0.078
2016-01-01,0.078,0.078,0.078,0.078,000,0.078
2015-12-31,0.078,0.078,0.078,0.078,000,0.078
2015-12-30,0.078,0.078,0.078,0.078,000,0.078
2015-12-29,0.078,0.078,0.078,0.078,000,0.078
2015-12-28,0.078,0.078,0.078,0.078,000,0.078
2015-12-25,0.078,0.078,0.078,0.078,000,0.078
2015-12-24,0.078,0.078,0.078,0.078,000,0.078
2015-12-23,0.078,0.078,0.078,0.078,000,0.078
2015-12-22,0.078,0.078,0.078,0.078,000,0.078
2015-12-21,0.078,0.078,0.078,0.078,000,0.078
2015-12-18,0.078,0.078,0.078,0.078,000,0.078
2015-12-17,0.078,0.078,0.078,0.078,000,0.078
2015-12-16,0.078,0.078,0.078,0.078,000,0.078
2015-12-15,0.078,0.078,0.078,0.078,000,0.078
2015-12-14,0.078,0.078,0.078,0.078,000,0.078
2015-12-11,0.078,0.078,0.078,0.078,000,0.078
2015-12-10,0.078,0.078,0.078,0.078,000,0.078
2015-12-09,0.078,0.078,0.078,0.078,000,0.078
2015-12-08,0.078,0.078,0.078,0.078,000,0.078
2015-12-07,0.078,0.078,0.078,0.078,000,0.078
2015-12-04,0.078,0.078,0.078,0.078,000,0.078
2015-12-03,0.078,0.078,0.078,0.078,000,0.078
2015-12-02,0.078,0.078,0.078,0.078,000,0.078
2015-12-01,0.078,0.078,0.078,0.078,000,0.234
2015-11-30,0.078,0.078,0.078,0.078,000,0.234
2015-11-27,0.096,0.096,0.078,0.078,6560400,0.234
2015-11-26,0.093,0.099,0.093,0.096,2095600,0.288
2015-11-25,0.096,0.096,0.093,0.093,1399400,0.279
2015-11-24,0.096,0.102,0.096,0.096,2910500,0.288
2015-11-23,0.09,0.099,0.09,0.096,3659100,0.288
2015-11-20,0.093,0.093,0.087,0.087,2951800,0.261
2015-11-19,0.102,0.102,0.093,0.093,2370300,0.279
2015-11-18,0.111,0.111,0.096,0.096,3400100,0.288
2015-11-17,0.111,0.123,0.108,0.108,10052000,0.324
2015-11-16,0.108,0.12,0.108,0.111,7512000,0.333
2015-11-13,0.105,0.108,0.102,0.108,3759000,0.324
2015-11-12,0.105,0.12,0.105,0.105,14309600,0.315
2015-11-11,0.099,0.108,0.099,0.102,10811100,0.306
2015-11-10,0.096,0.111,0.09,0.096,19974600,0.288
2015-11-09,0.081,0.096,0.078,0.096,8253800,0.288
2015-11-06,0.075,0.084,0.075,0.078,1932500,0.234
2015-11-05,0.025,0.025,0.024,0.024,597600,0.072
2015-11-04,0.027,0.027,0.025,0.025,1988200,0.075
2015-11-03,0.023,0.029,0.023,0.026,5163800,0.078
2015-11-02,0.025,0.027,0.023,0.023,3919900,0.069
2015-10-30,0.028,0.028,0.026,0.027,1607100,0.081
2015-10-29,0.028,0.028,0.027,0.027,793400,0.081
2015-10-28,0.027,0.028,0.027,0.027,854900,0.081
2015-10-27,0.028,0.029,0.027,0.027,1440500,0.081
2015-10-26,0.03,0.031,0.028,0.028,1973200,0.084
2015-10-23,0.031,0.033,0.03,0.03,3994300,0.09
2015-10-22,0.027,0.029,0.025,0.029,2538000,0.087
2015-10-21,0.026,0.027,0.025,0.026,1746900,0.078
2015-10-20,0.028,0.028,0.026,0.027,2033600,0.081
2015-10-19,0.028,0.029,0.026,0.027,2513600,0.081
2015-10-16,0.031,0.031,0.028,0.029,2780900,0.087
2015-10-15,0.031,0.033,0.03,0.03,2989000,0.09
2015-10-14,0.031,0.032,0.03,0.031,2279100,0.093
2015-10-13,0.032,0.033,0.03,0.03,3345900,0.09
2015-10-12,0.035,0.038,0.032,0.032,12241200,0.096
2015-10-09,0.029,0.035,0.029,0.035,8217400,0.105
2015-10-08,0.028,0.029,0.028,0.029,1662600,0.087
2015-10-07,0.03,0.031,0.027,0.027,3449100,0.081
2015-10-06,0.027,0.032,0.027,0.028,6773400,0.084
2015-10-05,0.029,0.029,0.026,0.026,1243700,0.078
2015-10-02,0.029,0.029,0.028,0.029,2072400,0.087
2015-10-01,0.03,0.032,0.026,0.027,7832500,0.081
2015-09-30,0.024,0.033,0.023,0.029,19011900,0.087
