Date,Open,High,Low,Close,Volume,Adj Close
2016-06-17,1.045,1.045,1.045,1.045,000,1.045
2016-06-16,1.045,1.045,1.045,1.045,000,1.045
2016-06-15,1.045,1.045,1.045,1.045,000,1.045
2016-06-14,1.045,1.045,1.045,1.045,000,1.045
2016-06-13,1.045,1.045,1.045,1.045,000,1.045
2016-06-10,1.045,1.045,1.045,1.045,5000,1.045
2016-06-09,1.02,1.045,1.02,1.045,67700,1.045
2016-06-08,1.02,1.05,1.02,1.05,5000,1.05
2016-06-07,1.02,1.02,1.02,1.02,000,1.02
2016-06-06,1.02,1.02,1.02,1.02,000,1.02
2016-06-03,1.02,1.02,1.02,1.02,000,1.02
2016-06-02,1.02,1.02,1.02,1.02,000,1.02
2016-06-01,1.03,1.03,1.02,1.02,27600,1.02
2016-05-31,1.02,1.02,1.02,1.02,000,1.02
2016-05-30,1.045,1.045,1.02,1.02,52200,1.02
2016-05-27,1.05,1.05,1.05,1.05,2800,1.05
2016-05-26,1.06,1.06,1.06,1.06,000,1.06
2016-05-25,1.06,1.06,1.06,1.06,000,1.06
2016-05-24,1.06,1.06,1.06,1.06,65000,1.06
2016-05-23,1.06,1.06,1.06,1.06,000,1.06
2016-05-20,1.06,1.06,1.06,1.06,000,1.06
2016-05-19,1.06,1.06,1.06,1.06,10200,1.06
2016-05-18,1.06,1.06,1.06,1.06,4700,1.06
2016-05-17,1.06,1.06,1.06,1.06,000,1.06
2016-05-16,1.06,1.06,1.06,1.06,50000,1.06
2016-05-13,1.06,1.06,1.06,1.06,1400,1.06
2016-05-12,1.05,1.05,1.05,1.05,50000,1.05
2016-05-11,1.05,1.05,1.05,1.05,17800,1.05
2016-05-10,1.05,1.05,1.05,1.05,4500,1.05
2016-05-09,1.035,1.035,1.035,1.035,000,1.035
2016-05-06,1.035,1.035,1.035,1.035,2800,1.035
2016-05-05,1.02,1.02,1.02,1.02,000,1.02
2016-05-04,1.02,1.02,1.02,1.02,000,1.02
2016-05-03,1.02,1.02,1.02,1.02,000,1.02
2016-05-02,1.02,1.02,1.02,1.02,000,1.02
2016-04-29,1.02,1.02,1.02,1.02,34000,1.02
2016-04-28,1.02,1.03,1.02,1.03,36400,1.03
2016-04-27,1.025,1.025,1.025,1.025,000,1.025
2016-04-26,1.025,1.025,1.025,1.025,000,1.025
2016-04-25,1.025,1.025,1.025,1.025,000,1.025
2016-04-22,1.025,1.025,1.025,1.025,000,1.025
2016-04-21,1.025,1.025,1.025,1.025,2400,1.025
2016-04-20,1.02,1.02,1.02,1.02,000,1.02
2016-04-19,1.02,1.02,1.02,1.02,000,1.02
2016-04-18,1.02,1.02,1.02,1.02,000,1.02
2016-04-15,1.01,1.02,1.01,1.02,33100,1.02
2016-04-14,1.01,1.01,1.01,1.01,27200,1.01
2016-04-13,1.02,1.02,1.02,1.02,000,1.02
2016-04-12,1.02,1.02,1.02,1.02,000,1.02
2016-04-11,1.02,1.02,1.02,1.02,000,1.02
2016-04-08,1.02,1.02,1.02,1.02,22500,1.02
2016-04-07,1.02,1.02,1.02,1.02,1400,1.02
2016-04-06,1.02,1.02,1.02,1.02,000,1.02
2016-04-05,1.02,1.02,1.02,1.02,000,1.02
2016-04-04,1.02,1.02,1.02,1.02,15200,1.02
2016-04-01,1.00,1.00,1.00,1.00,000,1.00
2016-03-31,1.00,1.00,1.00,1.00,000,1.00
2016-03-30,1.00,1.00,1.00,1.00,000,1.00
2016-03-29,1.00,1.00,1.00,1.00,13000,1.00
2016-03-28,1.01,1.01,1.01,1.01,000,1.01
2016-03-25,1.01,1.01,1.01,1.01,000,1.01
2016-03-24,1.01,1.01,1.01,1.01,000,1.01
2016-03-23,1.01,1.01,1.01,1.01,000,1.01
2016-03-22,1.01,1.01,1.01,1.01,600,1.01
2016-03-21,1.01,1.01,1.01,1.01,18000,1.01
2016-03-18,1.01,1.01,1.01,1.01,000,1.01
2016-03-17,1.01,1.01,1.01,1.01,55500,1.01
2016-03-16,1.01,1.01,1.01,1.01,19800,1.01
2016-03-15,1.01,1.01,1.01,1.01,000,1.01
2016-03-14,1.01,1.01,1.01,1.01,000,1.01
2016-03-11,1.01,1.01,1.01,1.01,000,1.01
2016-03-10,1.01,1.01,1.01,1.01,000,1.01
2016-03-09,1.01,1.01,1.01,1.01,3300,1.01
2016-03-08,0.99,0.99,0.99,0.99,000,0.99
2016-03-07,0.995,0.995,0.99,0.99,12000,0.99
2016-03-04,1.00,1.00,1.00,1.00,000,1.00
2016-03-03,1.00,1.00,1.00,1.00,000,1.00
2016-03-02,1.00,1.00,1.00,1.00,2500,1.00
2016-03-01,0.99,0.99,0.99,0.99,15000,0.99
2016-02-29,0.99,0.99,0.99,0.99,000,0.99
2016-02-26,0.99,0.99,0.99,0.99,000,0.99
2016-02-25,0.99,0.99,0.99,0.99,000,0.99
2016-02-24,0.99,0.99,0.99,0.99,000,0.99
2016-02-23,0.99,0.99,0.99,0.99,8000,0.99
2016-02-22,0.97,0.97,0.97,0.97,000,0.97
2016-02-19,0.97,0.97,0.97,0.97,000,0.97
2016-02-18,0.97,0.97,0.97,0.97,000,0.97
2016-02-17,0.97,0.97,0.97,0.97,000,0.97
2016-02-16,0.97,0.97,0.97,0.97,000,0.97
2016-02-15,0.97,0.97,0.97,0.97,000,0.97
2016-02-12,0.97,0.97,0.97,0.97,000,0.97
2016-02-11,0.97,0.97,0.97,0.97,000,0.97
2016-02-10,0.98,0.98,0.97,0.97,6000,0.97
2016-02-09,1.00,1.00,1.00,1.00,000,1.00
2016-02-08,1.00,1.00,1.00,1.00,25000,1.00
2016-02-05,1.00,1.00,1.00,1.00,000,1.00
2016-02-04,1.00,1.00,1.00,1.00,000,1.00
2016-02-03,1.00,1.00,1.00,1.00,000,1.00
2016-02-02,1.00,1.00,1.00,1.00,20600,1.00
2016-02-01,1.01,1.01,1.01,1.01,000,1.01
2016-01-29,1.01,1.01,1.01,1.01,000,1.01
2016-01-28,1.01,1.01,1.01,1.01,000,1.01
2016-01-27,1.01,1.01,1.01,1.01,000,1.01
2016-01-26,1.01,1.01,1.01,1.01,000,1.01
2016-01-25,1.01,1.01,1.01,1.01,000,1.01
2016-01-22,1.01,1.01,1.01,1.01,000,1.01
2016-01-21,1.01,1.01,1.01,1.01,000,1.01
2016-01-20,1.01,1.01,1.01,1.01,000,1.01
2016-01-19,1.01,1.01,1.01,1.01,000,1.01
2016-01-18,1.01,1.01,1.01,1.01,000,1.01
2016-01-15,1.01,1.01,1.01,1.01,000,1.01
2016-01-14,1.01,1.01,1.01,1.01,000,1.01
2016-01-13,1.01,1.01,1.01,1.01,000,1.01
2016-01-12,1.01,1.01,1.01,1.01,000,1.01
2016-01-11,1.01,1.01,1.01,1.01,000,1.01
2016-01-08,1.01,1.01,1.01,1.01,54600,1.01
2016-01-07,1.01,1.01,1.01,1.01,000,1.01
2016-01-06,1.01,1.01,1.01,1.01,000,1.01
2016-01-05,1.01,1.01,1.01,1.01,000,1.01
2016-01-04,1.01,1.01,1.01,1.01,000,1.01
2016-01-01,1.01,1.01,1.01,1.01,000,1.01
2015-12-31,1.01,1.01,1.01,1.01,000,1.01
2015-12-30,1.01,1.01,1.01,1.01,000,1.01
2015-12-29,1.01,1.01,1.01,1.01,000,1.01
2015-12-28,1.01,1.01,1.01,1.01,000,1.01
2015-12-25,1.01,1.01,1.01,1.01,000,1.01
2015-12-24,1.01,1.01,1.01,1.01,000,1.01
2015-12-23,1.01,1.01,1.01,1.01,000,1.01
2015-12-22,1.01,1.01,1.01,1.01,000,1.01
2015-12-21,1.01,1.01,1.01,1.01,000,1.01
2015-12-18,1.01,1.01,1.01,1.01,000,1.01
2015-12-17,1.01,1.01,1.01,1.01,000,1.01
2015-12-16,1.01,1.01,1.01,1.01,000,1.01
2015-12-15,1.01,1.01,1.01,1.01,50000,1.01
2015-12-14,1.01,1.01,1.01,1.01,000,1.01
2015-12-11,1.01,1.01,1.01,1.01,52000,1.01
2015-12-10,1.01,1.01,1.01,1.01,000,1.01
2015-12-09,1.01,1.01,1.01,1.01,15500,1.01
2015-12-08,1.01,1.01,1.01,1.01,000,1.01
2015-12-07,1.01,1.01,1.01,1.01,000,1.01
2015-12-04,1.01,1.01,1.01,1.01,000,1.01
2015-12-03,1.01,1.01,1.01,1.01,000,1.01
2015-12-02,1.01,1.01,1.01,1.01,30000,1.01
2015-12-01,1.01,1.01,1.01,1.01,000,1.01
2015-11-30,1.01,1.01,1.01,1.01,000,1.01
2015-11-27,1.01,1.01,1.01,1.01,000,1.01
2015-11-26,1.01,1.01,1.01,1.01,000,1.01
2015-11-25,1.01,1.01,1.01,1.01,000,1.01
2015-11-24,1.01,1.01,1.01,1.01,000,1.01
2015-11-23,1.01,1.01,1.01,1.01,26400,1.01
2015-11-20,1.01,1.01,1.01,1.01,000,1.01
2015-11-19,1.01,1.01,1.01,1.01,000,1.01
2015-11-18,1.01,1.01,1.01,1.01,000,1.01
2015-11-17,1.01,1.01,1.01,1.01,000,1.01
2015-11-16,1.01,1.01,1.01,1.01,000,1.01
2015-11-13,1.01,1.01,1.01,1.01,000,1.01
2015-11-12,1.01,1.01,1.01,1.01,000,1.01
2015-11-11,1.01,1.01,1.01,1.01,000,1.01
2015-11-10,1.01,1.01,1.01,1.01,000,1.01
2015-11-09,1.01,1.01,1.01,1.01,000,1.01
2015-11-06,1.01,1.01,1.01,1.01,000,1.01
2015-11-05,1.01,1.01,1.01,1.01,000,1.01
2015-11-04,1.01,1.01,1.01,1.01,000,1.01
2015-11-03,1.01,1.01,1.01,1.01,000,1.01
2015-11-02,1.01,1.01,1.01,1.01,000,1.01
2015-10-30,1.01,1.01,1.01,1.01,29800,1.01
2015-10-29,1.00,1.00,1.00,1.00,000,1.00
2015-10-28,1.00,1.00,1.00,1.00,000,1.00
2015-10-27,1.00,1.00,1.00,1.00,000,1.00
2015-10-26,1.00,1.00,1.00,1.00,000,1.00
2015-10-23,1.00,1.00,1.00,1.00,000,1.00
2015-10-22,1.00,1.00,1.00,1.00,000,1.00
2015-10-21,1.00,1.00,1.00,1.00,000,1.00
2015-10-20,1.00,1.00,1.00,1.00,000,1.00
2015-10-19,1.00,1.00,1.00,1.00,000,1.00
2015-10-16,1.00,1.00,1.00,1.00,000,1.00
2015-10-15,1.00,1.00,1.00,1.00,000,1.00
2015-10-14,1.00,1.00,1.00,1.00,000,1.00
2015-10-13,1.00,1.00,1.00,1.00,000,1.00
2015-10-12,1.00,1.00,1.00,1.00,26000,1.00
2015-10-09,1.00,1.00,1.00,1.00,000,1.00
2015-10-08,1.00,1.00,1.00,1.00,000,1.00
2015-10-07,1.00,1.00,1.00,1.00,000,1.00
2015-10-06,1.00,1.00,1.00,1.00,000,1.00
2015-10-05,1.00,1.00,1.00,1.00,000,1.00
2015-10-02,1.00,1.00,1.00,1.00,000,1.00
2015-10-01,1.00,1.00,1.00,1.00,000,1.00
2015-09-30,1.00,1.00,1.00,1.00,000,1.00
2015-09-29,1.00,1.00,1.00,1.00,000,1.00
2015-09-28,1.00,1.00,1.00,1.00,000,1.00
2015-09-25,1.00,1.00,1.00,1.00,000,1.00
2015-09-24,1.00,1.00,1.00,1.00,000,1.00
2015-09-23,1.00,1.00,1.00,1.00,5000,1.00
2015-09-22,1.00,1.00,1.00,1.00,7000,1.00
2015-09-21,1.00,1.03,1.00,1.03,25000,1.03
2015-09-18,1.03,1.03,1.00,1.00,12000,1.00
2015-09-17,0.99,0.99,0.99,0.99,000,0.99
2015-09-16,0.99,0.99,0.99,0.99,10000,0.99
2015-09-15,1.01,1.01,1.01,1.01,000,1.01
2015-09-14,1.01,1.01,1.01,1.01,000,1.01
2015-09-11,1.01,1.01,1.01,1.01,000,1.01
2015-09-10,1.01,1.01,1.01,1.01,000,1.01
2015-09-09,1.01,1.01,1.01,1.01,20000,1.01
2015-09-08,0.99,0.99,0.99,0.99,24600,0.99
2015-09-07,0.99,0.99,0.99,0.99,000,0.99
2015-09-04,0.99,0.99,0.99,0.99,000,0.99
2015-09-03,0.99,0.99,0.99,0.99,000,0.99
2015-09-02,0.99,0.99,0.99,0.99,000,0.99
2015-09-01,0.99,0.99,0.99,0.99,000,0.99
2015-08-31,1.00,1.00,0.99,0.99,65500,0.99
