Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.072,0.075,0.071,0.075,299200,0.075
2016-06-30,0.076,0.076,0.072,0.072,417600,0.072
2016-06-29,0.074,0.077,0.074,0.075,604300,0.075
2016-06-28,0.073,0.074,0.072,0.073,394300,0.073
2016-06-27,0.076,0.077,0.072,0.072,386200,0.072
2016-06-24,0.08,0.08,0.073,0.075,830700,0.075
2016-06-23,0.084,0.084,0.08,0.08,598300,0.08
2016-06-22,0.084,0.084,0.084,0.084,100000,0.084
2016-06-21,0.084,0.085,0.083,0.085,715200,0.085
2016-06-20,0.086,0.086,0.082,0.083,543400,0.083
2016-06-17,0.086,0.086,0.084,0.086,280400,0.086
2016-06-16,0.084,0.086,0.082,0.085,852100,0.085
2016-06-15,0.082,0.085,0.08,0.085,1469000,0.085
2016-06-14,0.083,0.084,0.075,0.083,2044700,0.083
2016-06-13,0.09,0.09,0.09,0.09,000,0.09
2016-06-10,0.10,0.10,0.09,0.09,30900,0.09
2016-06-09,0.097,0.10,0.093,0.093,215000,0.093
2016-06-08,0.095,0.097,0.091,0.097,216300,0.097
2016-06-07,0.095,0.095,0.095,0.095,21000,0.095
2016-06-06,0.094,0.095,0.09,0.09,258100,0.09
2016-06-03,0.09,0.09,0.09,0.09,29100,0.09
2016-06-02,0.089,0.093,0.086,0.093,96200,0.093
2016-06-01,0.099,0.099,0.095,0.095,31000,0.095
2016-05-31,0.099,0.10,0.099,0.099,180400,0.099
2016-05-30,0.093,0.105,0.093,0.098,319500,0.098
2016-05-27,0.087,0.087,0.087,0.087,000,0.087
2016-05-26,0.088,0.088,0.087,0.087,12000,0.087
2016-05-25,0.085,0.085,0.085,0.085,000,0.085
2016-05-24,0.10,0.10,0.085,0.085,110000,0.085
2016-05-23,0.10,0.10,0.10,0.10,15000,0.10
2016-05-20,0.11,0.11,0.105,0.105,315400,0.105
2016-05-19,0.10,0.11,0.10,0.11,262200,0.11
2016-05-18,0.10,0.10,0.10,0.10,000,0.10
2016-05-17,0.10,0.10,0.10,0.10,600,0.10
2016-05-16,0.11,0.11,0.10,0.10,57100,0.10
2016-05-13,0.11,0.11,0.105,0.105,46600,0.105
2016-05-12,0.105,0.105,0.085,0.105,624800,0.105
2016-05-11,0.10,0.115,0.10,0.11,236700,0.11
2016-05-10,0.10,0.10,0.10,0.10,000,0.10
2016-05-09,0.10,0.10,0.10,0.10,000,0.10
2016-05-06,0.10,0.10,0.10,0.10,000,0.10
2016-05-05,0.10,0.10,0.10,0.10,000,0.10
2016-05-04,0.10,0.10,0.10,0.10,000,0.10
2016-05-03,0.10,0.10,0.10,0.10,10000,0.10
2016-05-02,0.10,0.10,0.096,0.098,350000,0.098
2016-04-29,0.083,0.10,0.08,0.10,790500,0.10
