Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.93,0.93,0.93,0.93,9900,0.93
2016-06-30,0.88,0.93,0.84,0.93,151500,0.93
2016-06-29,0.95,0.95,0.88,0.90,43000,0.90
2016-06-28,0.90,0.90,0.90,0.90,400,0.90
2016-06-27,0.95,0.985,0.90,0.90,8200,0.90
2016-06-24,0.88,0.95,0.88,0.95,1126300,0.95
2016-06-23,0.88,0.88,0.865,0.88,105500,0.88
2016-06-22,0.865,0.885,0.865,0.88,28400,0.88
2016-06-21,0.865,0.89,0.865,0.89,266100,0.89
2016-06-20,0.88,0.88,0.865,0.88,264300,0.88
2016-06-17,0.865,0.87,0.865,0.865,351800,0.865
2016-06-16,0.88,0.90,0.865,0.865,133900,0.865
2016-06-15,0.90,0.90,0.865,0.87,251300,0.87
2016-06-14,0.90,0.92,0.895,0.90,387400,0.90
2016-06-13,0.88,0.88,0.88,0.88,000,0.88
2016-06-10,0.885,0.895,0.865,0.88,119400,0.88
2016-06-09,0.855,0.885,0.855,0.88,176700,0.88
2016-06-08,0.85,0.85,0.78,0.85,313000,0.85
2016-06-07,0.89,0.89,0.89,0.89,000,0.89
2016-06-06,0.89,0.89,0.89,0.89,000,0.89
2016-06-03,0.87,0.89,0.87,0.89,27100,0.89
2016-06-02,0.85,0.86,0.85,0.85,159900,0.85
2016-06-01,0.84,0.84,0.84,0.84,000,0.84
2016-05-31,0.84,0.84,0.84,0.84,000,0.84
2016-05-30,0.84,0.84,0.84,0.84,000,0.84
2016-05-27,0.84,0.84,0.84,0.84,13000,0.84
2016-05-26,0.84,0.845,0.84,0.845,13800,0.845
2016-05-25,0.84,0.84,0.83,0.84,60200,0.84
2016-05-24,0.84,0.84,0.84,0.84,000,0.84
2016-05-23,0.85,0.85,0.84,0.84,10700,0.84
2016-05-20,0.87,0.88,0.85,0.85,64200,0.85
2016-05-19,0.87,0.88,0.86,0.86,27300,0.86
2016-05-18,0.87,0.87,0.87,0.87,20000,0.87
2016-05-17,0.88,0.88,0.88,0.88,11300,0.88
2016-05-16,0.88,0.89,0.88,0.89,12800,0.89
2016-05-13,0.88,0.90,0.86,0.89,17500,0.89
2016-05-12,0.89,0.90,0.89,0.90,31500,0.90
2016-05-11,0.90,0.91,0.88,0.88,177500,0.88
2016-05-10,0.90,0.90,0.90,0.90,000,0.90
2016-05-09,0.90,0.90,0.90,0.90,1500,0.90
2016-05-06,0.87,0.90,0.87,0.90,46500,0.90
2016-05-05,0.85,0.85,0.845,0.845,14500,0.845
2016-05-04,0.865,0.865,0.84,0.84,33600,0.84
2016-05-03,0.835,0.865,0.82,0.865,50000,0.865
2016-05-02,0.88,0.88,0.83,0.83,29100,0.83
2016-04-29,0.90,0.90,0.85,0.88,38800,0.88
2016-04-28,0.87,0.90,0.87,0.88,627500,0.88
2016-04-27,0.95,0.95,0.815,0.87,144800,0.87
2016-04-26,1.075,1.075,0.91,0.95,200100,0.95
2016-04-25,1.07,1.07,1.07,1.07,000,1.07
2016-04-22,1.08,1.08,1.07,1.07,26700,1.07
2016-04-21,1.09,1.09,1.08,1.085,17600,1.085
2016-04-20,1.12,1.12,1.10,1.10,151000,1.10
2016-04-19,1.14,1.14,1.14,1.14,24500,1.14
2016-04-18,1.14,1.14,1.13,1.13,11100,1.13
2016-04-15,1.14,1.15,1.14,1.145,67800,1.145
2016-04-14,1.12,1.13,1.12,1.12,869200,1.12
2016-04-13,1.10,1.12,1.10,1.12,637900,1.12
2016-04-12,1.11,1.11,1.10,1.10,47700,1.10
2016-04-11,1.07,1.13,1.07,1.13,45200,1.13
2016-04-08,1.10,1.13,1.07,1.07,65500,1.07
2016-04-07,1.12,1.12,1.12,1.12,000,1.12
2016-04-06,1.10,1.12,1.10,1.12,15600,1.12
2016-04-05,1.13,1.13,1.09,1.09,18100,1.09
2016-04-04,1.12,1.12,1.12,1.12,14200,1.12
2016-04-01,1.13,1.13,1.10,1.12,5800,1.12
2016-03-31,1.11,1.13,1.11,1.13,17400,1.13
2016-03-30,1.15,1.15,1.06,1.11,129100,1.11
2016-03-29,1.17,1.17,1.17,1.17,22000,1.17
2016-03-28,1.18,1.18,1.18,1.18,000,1.18
2016-03-25,1.18,1.18,1.18,1.18,000,1.18
2016-03-24,1.15,1.19,1.15,1.18,19600,1.18
2016-03-23,1.14,1.15,1.14,1.14,19400,1.14
2016-03-22,1.15,1.15,1.14,1.14,19400,1.14
2016-03-21,1.16,1.19,1.15,1.15,25500,1.15
2016-03-18,1.15,1.16,1.15,1.16,20000,1.16
2016-03-17,1.15,1.15,1.15,1.15,2000,1.15
2016-03-16,1.135,1.14,1.135,1.14,50000,1.14
2016-03-15,1.15,1.15,1.15,1.15,000,1.15
2016-03-14,1.14,1.16,1.14,1.15,22900,1.15
2016-03-11,1.16,1.16,1.14,1.14,83500,1.14
2016-03-10,1.16,1.20,1.15,1.15,49600,1.15
2016-03-09,1.13,1.14,1.11,1.14,26900,1.14
2016-03-08,1.10,1.10,1.10,1.10,16300,1.10
2016-03-07,1.09,1.10,1.08,1.08,33900,1.08
2016-03-04,1.07,1.08,1.07,1.075,30000,1.075
2016-03-03,1.10,1.10,1.065,1.09,23400,1.09
