Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.075,0.075,0.075,0.075,000,0.075
2016-06-30,0.075,0.075,0.075,0.075,000,0.075
2016-06-29,0.075,0.075,0.075,0.075,204000,0.075
2016-06-28,0.079,0.079,0.078,0.078,36000,0.078
2016-06-27,0.08,0.08,0.08,0.08,24000,0.08
2016-06-24,0.08,0.08,0.08,0.08,000,0.08
2016-06-23,0.08,0.08,0.08,0.08,000,0.08
2016-06-22,0.08,0.08,0.08,0.08,000,0.08
2016-06-21,0.08,0.08,0.08,0.08,000,0.08
2016-06-20,0.08,0.08,0.08,0.08,50000,0.08
2016-06-17,0.091,0.091,0.091,0.091,000,0.091
2016-06-16,0.091,0.091,0.091,0.091,000,0.091
2016-06-15,0.091,0.091,0.091,0.091,25800,0.091
2016-06-14,0.09,0.09,0.09,0.09,000,0.09
2016-06-13,0.09,0.09,0.09,0.09,000,0.09
2016-06-10,0.091,0.091,0.09,0.09,54900,0.09
2016-06-09,0.091,0.091,0.091,0.091,000,0.091
2016-06-08,0.09,0.091,0.09,0.091,123300,0.091
2016-06-07,0.09,0.09,0.09,0.09,198000,0.09
2016-06-06,0.09,0.09,0.09,0.09,000,0.09
2016-06-03,0.09,0.09,0.09,0.09,100000,0.09
2016-06-02,0.093,0.093,0.09,0.09,288800,0.09
2016-06-01,0.093,0.093,0.093,0.093,79900,0.093
2016-05-31,0.093,0.093,0.09,0.093,342000,0.093
2016-05-30,0.086,0.09,0.086,0.09,380700,0.09
2016-05-27,0.084,0.086,0.084,0.084,214800,0.084
2016-05-26,0.084,0.084,0.084,0.084,000,0.084
2016-05-25,0.084,0.084,0.084,0.084,7100,0.084
2016-05-24,0.072,0.072,0.072,0.072,2500,0.072
2016-05-23,0.078,0.078,0.072,0.072,129000,0.072
2016-05-20,0.078,0.078,0.078,0.078,300000,0.078
2016-05-19,0.078,0.078,0.078,0.078,000,0.078
2016-05-18,0.078,0.078,0.078,0.078,000,0.078
2016-05-17,0.078,0.078,0.078,0.078,50900,0.078
2016-05-16,0.085,0.087,0.085,0.086,49600,0.086
2016-05-13,0.08,0.08,0.078,0.078,112900,0.078
2016-05-12,0.08,0.08,0.08,0.08,151900,0.08
2016-05-11,0.08,0.08,0.08,0.08,58000,0.08
2016-05-10,0.082,0.082,0.08,0.08,191400,0.08
2016-05-09,0.088,0.088,0.088,0.088,000,0.088
2016-05-06,0.089,0.089,0.088,0.088,126700,0.088
2016-05-05,0.089,0.089,0.089,0.089,000,0.089
2016-05-04,0.089,0.089,0.089,0.089,44800,0.089
2016-05-03,0.088,0.088,0.088,0.088,60000,0.088
2016-05-02,0.092,0.092,0.088,0.088,178700,0.088
2016-04-29,0.091,0.092,0.09,0.09,175400,0.09
2016-04-28,0.085,0.09,0.085,0.09,723600,0.09
2016-04-27,0.081,0.083,0.081,0.083,213800,0.083
2016-04-26,0.079,0.081,0.079,0.081,161000,0.081
2016-04-25,0.078,0.078,0.078,0.078,000,0.078
2016-04-22,0.078,0.078,0.078,0.078,45200,0.078
2016-04-21,0.078,0.079,0.078,0.079,279700,0.079
2016-04-20,0.078,0.078,0.078,0.078,532500,0.078
2016-04-19,0.078,0.079,0.078,0.079,170000,0.079
2016-04-18,0.079,0.079,0.079,0.079,391800,0.079
2016-04-15,0.079,0.079,0.079,0.079,000,0.079
2016-04-14,0.076,0.079,0.076,0.079,250000,0.079
2016-04-13,0.073,0.073,0.073,0.073,25000,0.073
2016-04-12,0.07,0.072,0.07,0.072,124400,0.072
2016-04-11,0.07,0.07,0.07,0.07,60000,0.07
2016-04-08,0.068,0.07,0.068,0.07,84500,0.07
2016-04-07,0.065,0.068,0.064,0.068,206500,0.068
2016-04-06,0.064,0.064,0.064,0.064,2000,0.064
2016-04-05,0.066,0.066,0.064,0.064,58400,0.064
2016-04-04,0.065,0.065,0.065,0.065,48900,0.065
2016-04-01,0.07,0.07,0.068,0.068,88000,0.068
2016-03-31,0.07,0.07,0.07,0.07,7200,0.07
2016-03-30,0.072,0.072,0.072,0.072,000,0.072
2016-03-29,0.072,0.072,0.072,0.072,000,0.072
2016-03-28,0.072,0.072,0.072,0.072,000,0.072
2016-03-25,0.072,0.072,0.072,0.072,000,0.072
2016-03-24,0.072,0.072,0.072,0.072,42000,0.072
2016-03-23,0.07,0.07,0.07,0.07,000,0.07
2016-03-22,0.07,0.07,0.07,0.07,000,0.07
2016-03-21,0.07,0.07,0.07,0.07,000,0.07
2016-03-18,0.07,0.07,0.07,0.07,15000,0.07
2016-03-17,0.069,0.072,0.069,0.072,50000,0.072
2016-03-16,0.072,0.072,0.072,0.072,000,0.072
2016-03-15,0.075,0.075,0.072,0.072,302700,0.072
2016-03-14,0.078,0.078,0.078,0.078,7500,0.078
2016-03-11,0.078,0.079,0.078,0.079,339000,0.079
2016-03-10,0.077,0.079,0.077,0.078,109900,0.078
2016-03-09,0.077,0.077,0.074,0.074,275000,0.074
