Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.029,0.029,0.029,0.029,000,0.029
2016-06-30,0.029,0.029,0.029,0.029,000,0.029
2016-06-29,0.029,0.029,0.029,0.029,000,0.029
2016-06-28,0.029,0.029,0.029,0.029,000,0.029
2016-06-27,0.029,0.029,0.029,0.029,000,0.029
2016-06-24,0.029,0.029,0.029,0.029,000,0.029
2016-06-23,0.029,0.029,0.029,0.029,000,0.029
2016-06-22,0.029,0.029,0.029,0.029,000,0.029
2016-06-21,0.029,0.029,0.029,0.029,000,0.029
2016-06-20,0.029,0.029,0.029,0.029,000,0.029
2016-06-17,0.029,0.029,0.029,0.029,000,0.029
2016-06-16,0.029,0.029,0.029,0.029,000,0.029
2016-06-15,0.029,0.029,0.029,0.029,000,0.029
2016-06-14,0.029,0.029,0.029,0.029,000,0.029
2016-06-13,0.029,0.029,0.029,0.029,000,0.029
2016-06-10,0.029,0.029,0.029,0.029,000,0.029
2016-06-09,0.029,0.029,0.029,0.029,000,0.029
2016-06-08,0.029,0.029,0.029,0.029,000,0.029
2016-06-07,0.029,0.029,0.029,0.029,000,0.029
2016-06-06,0.029,0.029,0.029,0.029,000,0.029
2016-06-03,0.029,0.029,0.029,0.029,000,0.029
2016-06-02,0.029,0.029,0.029,0.029,000,0.029
2016-06-01,0.029,0.029,0.029,0.029,000,0.029
2016-05-31,0.029,0.029,0.029,0.029,000,0.029
2016-05-30,0.029,0.029,0.029,0.029,000,0.029
2016-05-27,0.029,0.029,0.029,0.029,000,0.029
2016-05-26,0.029,0.029,0.029,0.029,000,0.029
2016-05-25,0.029,0.029,0.029,0.029,000,0.029
2016-05-24,0.029,0.029,0.029,0.029,000,0.029
2016-05-23,0.029,0.029,0.029,0.029,000,0.029
2016-05-20,0.029,0.029,0.029,0.029,000,0.029
2016-05-19,0.029,0.029,0.029,0.029,000,0.029
2016-05-18,0.029,0.029,0.029,0.029,000,0.029
2016-05-17,0.029,0.029,0.029,0.029,000,0.029
2016-05-16,0.027,0.029,0.026,0.029,816800,0.029
2016-05-13,0.028,0.028,0.026,0.026,674000,0.026
2016-05-12,0.027,0.028,0.027,0.028,731000,0.028
2016-05-11,0.029,0.029,0.028,0.028,902700,0.028
2016-05-10,0.03,0.03,0.03,0.03,200500,0.03
2016-05-09,0.029,0.029,0.028,0.029,276400,0.029
2016-05-06,0.031,0.031,0.028,0.029,1085900,0.029
2016-05-05,0.03,0.033,0.03,0.03,238300,0.03
2016-05-04,0.035,0.035,0.035,0.035,172000,0.035
2016-05-03,0.03,0.035,0.03,0.035,717500,0.035
2016-05-02,0.031,0.031,0.031,0.031,100000,0.031
2016-04-29,0.031,0.031,0.029,0.031,569800,0.031
2016-04-28,0.037,0.038,0.033,0.033,1230000,0.033
2016-04-27,0.034,0.039,0.034,0.036,2128800,0.036
2016-04-26,0.031,0.034,0.03,0.034,454300,0.034
2016-04-25,0.03,0.03,0.03,0.03,000,0.03
2016-04-22,0.03,0.03,0.03,0.03,000,0.03
2016-04-21,0.03,0.03,0.028,0.03,1259300,0.03
2016-04-20,0.033,0.033,0.029,0.029,1276200,0.029
2016-04-19,0.034,0.034,0.034,0.034,000,0.034
2016-04-18,0.033,0.034,0.032,0.034,126000,0.034
2016-04-15,0.033,0.034,0.032,0.032,312700,0.032
2016-04-14,0.035,0.035,0.035,0.035,135500,0.035
2016-04-13,0.035,0.035,0.035,0.035,216100,0.035
2016-04-12,0.036,0.037,0.035,0.035,271700,0.035
2016-04-11,0.036,0.038,0.036,0.037,281100,0.037
2016-04-08,0.037,0.037,0.036,0.036,200000,0.036
2016-04-07,0.039,0.04,0.036,0.038,1261000,0.038
2016-04-06,0.039,0.04,0.039,0.039,604600,0.039
2016-04-05,0.04,0.04,0.039,0.039,199900,0.039
2016-04-04,0.04,0.041,0.04,0.041,165000,0.041
2016-04-01,0.039,0.039,0.039,0.039,000,0.039
2016-03-31,0.039,0.039,0.038,0.039,382500,0.039
2016-03-30,0.04,0.04,0.039,0.039,425000,0.039
2016-03-29,0.042,0.042,0.042,0.042,13500,0.042
2016-03-28,0.039,0.039,0.039,0.039,000,0.039
2016-03-25,0.039,0.039,0.039,0.039,000,0.039
2016-03-24,0.041,0.041,0.039,0.039,37300,0.039
2016-03-23,0.039,0.042,0.039,0.042,495000,0.042
2016-03-22,0.04,0.043,0.039,0.039,1335400,0.039
2016-03-21,0.043,0.043,0.04,0.04,469300,0.04
2016-03-18,0.04,0.043,0.04,0.043,597000,0.043
2016-03-17,0.04,0.04,0.039,0.04,878000,0.04
2016-03-16,0.04,0.04,0.04,0.04,000,0.04
2016-03-15,0.041,0.041,0.039,0.04,546000,0.04
2016-03-14,0.039,0.041,0.037,0.041,788900,0.041
2016-03-11,0.037,0.04,0.037,0.039,611400,0.039
2016-03-10,0.042,0.042,0.037,0.039,2650000,0.039
2016-03-09,0.043,0.043,0.042,0.042,864600,0.042
2016-03-08,0.044,0.044,0.043,0.043,309100,0.043
2016-03-07,0.044,0.045,0.044,0.044,781900,0.044
2016-03-04,0.044,0.045,0.044,0.045,1037500,0.045
2016-03-03,0.043,0.045,0.043,0.045,1013700,0.045
2016-03-02,0.047,0.048,0.043,0.043,2613900,0.043
2016-03-01,0.05,0.05,0.047,0.047,353100,0.047
2016-02-29,0.054,0.054,0.048,0.049,1172800,0.049
2016-02-26,0.046,0.048,0.044,0.048,1261900,0.048
2016-02-25,0.048,0.049,0.045,0.046,2690900,0.046
2016-02-24,0.047,0.062,0.044,0.048,20386400,0.048
2016-02-23,0.045,0.047,0.044,0.047,1194900,0.047
2016-02-22,0.045,0.046,0.045,0.045,490300,0.045
2016-02-19,0.043,0.045,0.042,0.045,1110500,0.045
2016-02-18,0.043,0.046,0.042,0.045,1959500,0.045
2016-02-17,0.047,0.048,0.04,0.042,5062600,0.042
2016-02-16,0.049,0.051,0.046,0.047,1273200,0.047
2016-02-15,0.05,0.051,0.049,0.05,1025000,0.05
2016-02-12,0.047,0.05,0.045,0.05,1416300,0.05
2016-02-11,0.049,0.05,0.048,0.048,703000,0.048
2016-02-10,0.052,0.053,0.048,0.05,3565600,0.05
2016-02-09,0.056,0.056,0.052,0.052,2831100,0.052
2016-02-08,0.06,0.06,0.056,0.057,3283700,0.057
2016-02-05,0.061,0.062,0.056,0.056,2205700,0.056
2016-02-04,0.055,0.06,0.055,0.06,2454300,0.06
2016-02-03,0.055,0.056,0.053,0.054,3482700,0.054
2016-02-02,0.053,0.057,0.052,0.052,8093000,0.052
2016-02-01,0.05,0.054,0.048,0.05,6958900,0.05
2016-01-29,0.055,0.055,0.049,0.05,8900400,0.05
2016-01-28,0.045,0.067,0.044,0.055,64212000,0.055
2016-01-27,0.046,0.051,0.045,0.045,5578000,0.045
2016-01-26,0.045,0.045,0.045,0.045,000,0.045
2016-01-25,0.046,0.048,0.043,0.045,4351900,0.045
2016-01-22,0.042,0.049,0.04,0.043,7283700,0.043
2016-01-21,0.045,0.046,0.037,0.04,7629500,0.04
2016-01-20,0.042,0.05,0.042,0.043,6175100,0.043
2016-01-19,0.053,0.054,0.041,0.041,5263200,0.041
2016-01-18,0.055,0.06,0.05,0.05,11647900,0.05
2016-01-15,0.051,0.063,0.05,0.052,17813100,0.052
2016-01-14,0.035,0.059,0.033,0.047,25041500,0.047
2016-01-13,0.038,0.038,0.034,0.035,2002000,0.035
2016-01-12,0.042,0.045,0.034,0.036,6013300,0.036
2016-01-11,0.048,0.049,0.041,0.041,3386000,0.041
2016-01-08,0.047,0.05,0.044,0.047,5382900,0.047
2016-01-07,0.051,0.052,0.047,0.052,4159800,0.052
2016-01-06,0.065,0.067,0.048,0.052,9549200,0.052
2016-01-05,0.063,0.07,0.06,0.062,5297500,0.062
2016-01-04,0.077,0.085,0.062,0.064,6818600,0.064
2016-01-01,0.076,0.076,0.076,0.076,000,0.076
2015-12-31,0.115,0.13,0.068,0.076,21643300,0.076
2015-12-30,0.024,0.20,0.024,0.09,28378100,0.09
2015-12-29,0.019,0.019,0.019,0.019,000,0.019
2015-12-28,0.019,0.019,0.019,0.019,000,0.019
2015-12-25,0.019,0.019,0.019,0.019,000,0.019
2015-12-24,0.019,0.019,0.019,0.019,000,0.019
2015-12-23,0.019,0.019,0.019,0.019,000,0.019
2015-12-22,0.019,0.019,0.019,0.019,000,0.019
2015-12-21,0.019,0.019,0.019,0.019,000,0.019
2015-12-18,0.02,0.02,0.019,0.019,128000,0.019
2015-12-17,0.019,0.019,0.019,0.019,000,0.019
2015-12-16,0.019,0.019,0.019,0.019,000,0.019
2015-12-15,0.019,0.019,0.019,0.019,000,0.019
2015-12-14,0.019,0.019,0.019,0.019,200000,0.019
2015-12-11,0.015,0.015,0.015,0.015,000,0.015
2015-12-10,0.015,0.015,0.015,0.015,000,0.015
2015-12-09,0.015,0.015,0.015,0.015,000,0.015
2015-12-08,0.015,0.015,0.015,0.015,50000,0.015
2015-12-07,0.014,0.014,0.014,0.014,000,0.014
2015-12-04,0.011,0.014,0.01,0.014,350000,0.014
2015-12-03,0.03,0.03,0.03,0.03,000,0.03
2015-12-02,0.03,0.03,0.03,0.03,000,0.03
2015-12-01,0.03,0.03,0.03,0.03,000,0.03
2015-11-30,0.024,0.03,0.024,0.03,1080800,0.03
2015-11-27,0.02,0.02,0.02,0.02,000,0.02
2015-11-26,0.02,0.02,0.02,0.02,000,0.02
2015-11-25,0.018,0.02,0.018,0.02,318500,0.02
2015-11-24,0.025,0.025,0.025,0.025,000,0.025
2015-11-23,0.025,0.025,0.025,0.025,000,0.025
2015-11-20,0.025,0.025,0.025,0.025,000,0.025
2015-11-19,0.025,0.025,0.025,0.025,000,0.025
2015-11-18,0.025,0.025,0.025,0.025,000,0.025
2015-11-17,0.025,0.025,0.025,0.025,000,0.025
2015-11-16,0.025,0.025,0.025,0.025,000,0.025
2015-11-13,0.026,0.026,0.025,0.025,417600,0.025
2015-11-12,0.026,0.026,0.026,0.026,1500,0.026
2015-11-11,0.03,0.03,0.03,0.03,000,0.03
2015-11-10,0.03,0.03,0.03,0.03,000,0.03
2015-11-09,0.03,0.03,0.03,0.03,000,0.03
2015-11-06,0.03,0.03,0.03,0.03,000,0.03
2015-11-05,0.03,0.03,0.03,0.03,000,0.03
2015-11-04,0.03,0.03,0.03,0.03,000,0.03
2015-11-03,0.03,0.03,0.03,0.03,000,0.03
2015-11-02,0.025,0.03,0.025,0.03,37700,0.03
2015-10-30,0.032,0.032,0.032,0.032,000,0.032
2015-10-29,0.032,0.032,0.032,0.032,27000,0.032
2015-10-28,0.03,0.03,0.03,0.03,20000,0.03
2015-10-27,0.025,0.025,0.025,0.025,29400,0.025
2015-10-26,0.02,0.02,0.02,0.02,000,0.02
2015-10-23,0.02,0.02,0.02,0.02,000,0.02
2015-10-22,0.02,0.02,0.02,0.02,000,0.02
2015-10-21,0.02,0.02,0.02,0.02,000,0.02
2015-10-20,0.02,0.02,0.02,0.02,000,0.02
2015-10-19,0.02,0.02,0.02,0.02,000,0.02
2015-10-16,0.02,0.02,0.02,0.02,000,0.02
2015-10-15,0.02,0.02,0.02,0.02,000,0.02
2015-10-14,0.023,0.023,0.02,0.02,204700,0.02
2015-10-13,0.023,0.023,0.023,0.023,844800,0.023
2015-10-12,0.023,0.023,0.023,0.023,000,0.023
2015-10-09,0.02,0.023,0.02,0.023,91900,0.023
2015-10-08,0.02,0.02,0.02,0.02,932400,0.02
2015-10-07,0.021,0.021,0.021,0.021,000,0.021
2015-10-06,0.021,0.021,0.021,0.021,19500,0.021
2015-10-05,0.017,0.02,0.017,0.02,240400,0.02
2015-10-02,0.02,0.02,0.02,0.02,000,0.02
2015-10-01,0.02,0.02,0.02,0.02,000,0.02
2015-09-30,0.02,0.02,0.02,0.02,000,0.02
2015-09-29,0.02,0.02,0.02,0.02,000,0.02
2015-09-28,0.02,0.02,0.02,0.02,000,0.02
2015-09-25,0.02,0.02,0.02,0.02,000,0.02
2015-09-24,0.02,0.02,0.02,0.02,000,0.02
2015-09-23,0.02,0.02,0.02,0.02,000,0.02
2015-09-22,0.02,0.02,0.02,0.02,000,0.02
2015-09-21,0.02,0.02,0.02,0.02,000,0.02
2015-09-18,0.02,0.02,0.02,0.02,000,0.02
2015-09-17,0.02,0.02,0.02,0.02,000,0.02
2015-09-16,0.02,0.02,0.02,0.02,000,0.02
